総合順位	No.	氏名	年齢	性別	居住地	総合記録	SWIM	Ｓ順	バイク	Ｂ順	スプリット	通過	ラン	Ｒ順	男子順位	女子順位	年齢区分	年齢別順
1	126	岡田 空大	22	男	京都府	2:04:32	0:20:54	2	1:05:54	9	1:26:48	5	0:37:44	1	1		20-24男子	
2	141	中山 泰誠	27	男	東京都	2:04:43	0:22:31	16	1:02:51	1	1:25:22	1	0:39:21	5	2		25-29男子	
3	140	大井 智仁	26	男	東京都	2:04:54	0:22:18	14	1:04:13	2	1:26:31	3	0:38:23	2	3		25-29男子	
4	125	櫻木 敦大	22	男	京都府	2:06:00	0:21:10	6	1:05:32	8	1:26:42	4	0:39:18	3	4		20-24男子	1
5	4	韮澤 由吏	23	男	新潟県	2:06:51	0:21:18	7	1:05:31	7	1:26:49	6	0:40:02	9	5		20-24男子	2
6	181	渡邊  俊輔	37	男	山形県	2:07:12	0:23:03	20	1:04:46	3	1:27:49	8	0:39:23	6	6		35-39男子	1
7	213	後藤  公成	42	男	埼玉県	2:07:49	0:20:59	5	1:05:14	5	1:26:13	2	0:41:36	13	7		40-44男子	1
8	149	村田 賢太郎	30	男	東京都	2:08:49	0:22:09	11	1:06:53	18	1:29:02	10	0:39:47	7	8		30-34男子	1
9	118	鈴木 爽太	21	男	宮城県	2:09:51	0:22:27	15	1:05:15	6	1:27:42	7	0:42:09	19	9		20-24男子	3
10	119	飯田 景士郎	22	男	愛知県	2:12:37	0:22:18	13	1:08:32	35	1:30:50	11	0:41:47	16	10		20-24男子	4
11	197	永田 務	40	男	新潟県	2:13:28	0:27:28	67	1:06:39	13	1:34:07	27	0:39:21	4	11		40-44男子	2
12	231	戸田 琢	45	男	愛知県	2:14:13	0:25:10	36	1:06:46	14	1:31:56	15	0:42:17	21	12		45-49男子	1
13	121	丸山 一樹	22	男	宮城県	2:14:34	0:24:07	22	1:07:33	24	1:31:40	13	0:42:54	25	13		20-24男子	5
14	402	高橋 克哉	55	男	新潟県	2:14:56	0:21:56	10	1:07:02	21	1:28:58	9	0:45:58	54	14		55-59男子	1
15	1	関 桃子	18	女	新潟県	2:14:58	0:21:20	8	1:12:02	74	1:33:22	22	0:41:36	14		1	10代女子	
16	351	平井 淳也	53	男	鹿児島県	2:15:07	0:25:18	39	1:06:25	11	1:31:43	14	0:43:24	29	15		50-54男子	1
17	202	渡邉 慶	41	男	愛知県	2:15:14	0:25:40	44	1:07:30	23	1:33:10	21	0:42:04	18	16		40-44男子	3
18	201	齋藤 俊介	41	男	長崎県	2:15:53	0:24:39	26	1:08:53	38	1:33:32	24	0:42:21	22	17		40-44男子	4
19	156	須田 皐太	34	男	東京都	2:16:10	0:26:23	50	1:07:44	26	1:34:07	26	0:42:03	17	18		30-34男子	2
20	153	阿久津 将	33	男	東京都	2:16:36	0:22:46	18	1:10:19	52	1:33:05	19	0:43:31	31	19		30-34男子	3
21	144	高野  真志	28	男	長野県	2:16:55	0:22:52	19	1:12:22	79	1:35:14	35	0:41:41	15	20		25-29男子	1
22	468	沢田 秀二	61	男	宮城県	2:17:00	0:24:45	29	1:08:13	30	1:32:58	18	0:44:02	38	21		60-64男子	1
23	115	神津 宏明	21	男	神奈川県	2:17:30	0:24:55	30	1:07:29	22	1:32:24	17	0:45:06	47	22		20-24男子	6
24	143	田澤 拓也	27	男	岩手県	2:17:37	0:27:05	59	1:10:43	59	1:37:48	51	0:39:49	8	23		25-29男子	2
25	267	内山 卓哉	48	男	新潟県	2:17:55	0:27:10	61	1:05:58	10	1:33:08	20	0:44:47	45	24		45-49男子	2
26	123	木下 昂星	22	男	大阪府	2:18:42	0:24:59	32	1:11:22	66	1:36:21	43	0:42:21	23	25		20-24男子	7
27	196	帆苅 裕	40	男	新潟県	2:19:05	0:25:51	46	1:09:22	41	1:35:13	33	0:43:52	34	26		40-44男子	5
28	147	宮 有希	29	男	群馬県	2:19:13	0:25:12	37	1:09:00	40	1:34:12	28	0:45:01	46	27		25-29男子	3
29	375	高橋 憲太郎	54	男	福島県	2:19:14	0:27:27	66	1:10:25	54	1:37:52	52	0:41:22	11	28		50-54男子	2
30	620	阿久津 美和子	37	女	宮城県	2:19:35	0:25:05	35	1:10:14	51	1:35:19	36	0:44:16	40		2	35-39女子	
31	5	関 伸介	50	男	新潟県	2:19:53	0:24:36	25	1:10:38	58	1:35:14	34	0:44:39	44	29		50-54男子	3
32	105	池田  優太	19	男	神奈川県	2:20:05	0:30:20	141	1:08:32	34	1:38:52	58	0:41:13	10	30		10代男子	1
33	316	田島 慎吾	51	男	千葉県	2:20:55	0:29:26	112	1:06:59	20	1:36:25	44	0:44:30	41	31		50-54男子	4
34	185	竹中 敦一	38	男	千葉県	2:21:00	0:28:49	92	1:08:20	31	1:37:09	47	0:43:51	33	32		35-39男子	2
35	226	沓澤 篤史	44	男	東京都	2:21:49	0:28:23	86	1:07:39	25	1:36:02	40	0:45:47	50	33		40-44男子	6
36	107	入江  心平	20	男	埼玉県	2:22:06	0:20:54	3	1:13:23	95	1:34:17	30	0:47:49	66	34		20-24男子	8
37	602	尾崎 ほの花	21	女	大阪府	2:22:45	0:25:31	42	1:12:44	85	1:38:15	53	0:44:30	42		3	20-24女子	
38	2	高木  実穂	27	女	長野県	2:22:53	0:24:59	33	1:13:56	107	1:38:55	60	0:43:58	37		4	25-29女子	1
39	614	奥脇 早織	33	女	神奈川県	2:22:55	0:22:45	17	1:11:28	69	1:34:13	29	0:48:42	71		5	30-34女子	1
40	369	香川 昌規	53	男	東京都	2:23:02	0:29:26	113	1:06:59	19	1:36:25	45	0:46:37	58	35		50-54男子	5
41	233	斎藤 渉	45	男	長野県	2:23:22	0:25:56	47	1:09:40	43	1:35:36	39	0:47:46	65	36		45-49男子	3
42	124	前田  諒飛	22	男	奈良県	2:23:24	0:20:55	4	1:13:48	104	1:34:43	31	0:48:41	70	37		20-24男子	9
43	146	高橋 颯太朗	28	男	神奈川県	2:23:25	0:28:51	94	1:10:01	46	1:38:52	59	0:44:33	43	38		25-29男子	4
44	228	白井 貴史	45	男	新潟県	2:23:34	0:29:35	118	1:06:37	12	1:36:12	41	0:47:22	62	39		45-49男子	4
45	259	成毛  崇	47	男	千葉県	2:23:48	0:30:34	149	1:06:53	17	1:37:27	48	0:46:21	56	40		45-49男子	5
46	398	斎藤 勉	55	男	新潟県	2:24:08	0:26:58	57	1:08:06	29	1:35:04	32	0:49:04	77	41		55-59男子	2
47	265	太田  滋	48	男	東京都	2:24:09	0:28:22	84	1:10:13	50	1:38:35	55	0:45:34	48	42		45-49男子	6
48	363	Sims  David	53	男	東京都	2:24:13	0:26:09	48	1:05:11	4	1:31:20	12	0:52:53	127	43		50-54男子	6
49	192	楠 直人	39	男	神奈川県	2:24:22	0:21:39	9	1:12:05	75	1:33:44	25	0:50:38	95	44		35-39男子	3
50	292	武田  敦岐	49	男	新潟県	2:24:49	0:31:04	162	1:10:28	55	1:41:32	79	0:43:17	27	45		45-49男子	7
51	271	畠山 秀彦	48	男	富山県	2:25:02	0:30:31	146	1:08:30	33	1:39:01	62	0:46:01	55	46		45-49男子	8
52	131	堀本 遼治	24	男	京都府	2:25:10	0:29:42	123	1:11:24	68	1:41:06	75	0:44:04	39	47		20-24男子	10
