	Pos	StartNum	Name	Affiliation	YOB	Time	Swim	T1	Bike	T2	Run
kenjinener	1	4	ニナー 賢治	NTT東日本・NTT西日本/山梨	1993	0:21:05	0:03:25	0:00:16	0:11:22	0:00:15	0:05:47
takumihojo	2	1	北條 巧	博慈会、NTT東日本・NTT西日本/東京	1996	0:21:06	0:03:24	0:00:14	0:11:24	0:00:16	0:05:48
rensato	3	5	佐藤 錬	福井県スポーツ協会/福井	1995	0:21:28	0:03:29	0:00:17	0:11:18	0:00:16	0:06:08
jumpeifuruya	4	2	古谷 純平	三井住友海上/東京	1991	0:21:37	0:03:20	0:00:15	0:11:19	0:00:20	0:06:23
makotoodakura	5	3	小田倉 真	三井住友海上/東京	1993	0:21:44	0:03:28	0:00:15	0:11:53	0:00:17	0:05:51
