	Pos	StartNum	Name	Affiliation	YOB	Time	Swim	T1	Bike	T2	Run
kenjinener	1	4	ニナー 賢治	NTT東日本・NTT西日本/山梨	1993	0:20:59	0:03:23	0:00:15	0:11:11	0:00:16	0:05:54
takumihojo	2	1	北條 巧	博慈会、NTT東日本・NTT西日本/東京	1996	0:21:01	0:03:18	0:00:16	0:11:12	0:00:18	0:05:57
jumpeifuruya	3	2	古谷 純平	三井住友海上/東京	1991	0:21:29	0:03:21	0:00:15	0:11:08	0:00:23	0:06:22
rensato	4	5	佐藤 錬	福井県スポーツ協会/福井	1995	0:21:35	0:03:34	0:00:16	0:11:16	0:00:18	0:06:11
makotoodakura	5	3	小田倉 真	三井住友海上/東京	1993	0:21:54	0:03:23	0:00:16	0:12:02	0:00:16	0:05:57
