Overall_Rank	Gender_Rank	Div_Rank	Bib	Name	Gender	Division	Country	Club	Penalty	Swim	T1	Bike	T2	Run	Total_Time
1	1		3	Dirk Bockel	M	M35-39	LUX	LUXEMBOURG		00:46:05	00:01:19	04:15:05	00:00:54	02:48:41	07:52:01
2	2		1	James Cunnama	M	M30-34	ZAF	TEAMTBB		00:48:38	00:01:28	04:23:46	00:01:07	02:49:16	08:04:13
3	3		2	Timo Bracht	M	M35-39	DEU	POWER HORSE TRIATHLON TEAM		00:48:31	00:01:28	04:32:09	00:01:16	02:44:55	08:08:18
4	4		12	Markus Fachbach	M	M30-34	DEU	SOFTWARE AG TEAM DSW DARMSTADT		00:48:35	00:01:29	04:24:23	00:01:14	02:56:34	08:12:13
5	5		84	Miquel Blanchart	M	M25-29	ESP	CN SABADELL		00:48:36	00:01:44	04:38:38	00:00:52	02:43:36	08:13:25
6	6		6	Konstantin Bachor	M	M25-29	DEU	VFL WOLFSBURG		00:48:36	00:01:29	04:19:30	00:01:11	03:07:11	08:17:55
7	7		25	Sergio Marques	M	M30-34	PRT	CHARITY MULTISPORT		00:53:09	00:01:38	04:39:14	00:01:28	02:48:14	08:23:40
8	8		10	Roeland Smits	M	M35-39	NLD	TEAM DAVILEX		00:53:02	00:01:32	04:39:28	00:01:06	02:48:57	08:24:03
9	9		16	Petr Vabrousek	M	M40-44	CZE	AUTHOR TUFO TRILIFE ZLIN		00:54:35	00:01:52	04:35:19	00:01:30	02:53:12	08:26:26
10	10		22	Erik-Simon Strijk	M	M25-29	NLD	DAVILEX TRIATHLON TEAM		00:51:49	00:01:38	04:37:15	00:01:16	02:54:57	08:26:54
11	11	1	20	Andrej Vistica	M	M30-34	HRV	TK ZAGREB		00:53:06	00:01:41	04:34:14	00:01:08	02:57:58	08:28:05
12	12	1	93	Christian Müller	M	M40-44	DEU	RSV TRIA BÜHLERTAL		00:56:23	00:01:57	04:30:46	00:01:19	02:58:31	08:28:55
13	13	1	175	Lukas Krämer	M	M25-29	DEU	ARGI+ TRITEAM SCHONGAU / BERUFSFEUERWEHR MÜNCHEN		00:54:54	00:01:38	04:38:55	00:01:06	02:54:01	08:30:32
14	14	1	13	Bernd Hagen	M	M35-39	DEU	TEAM ARNDT		00:55:42	00:01:48	04:37:46	00:01:28	02:54:35	08:31:18
15	15	2	35	Simon Jung	M	M25-29	DEU	EJOT TEAM TV BUSCHHÜTTEN		00:46:55	00:01:59	04:33:16	00:01:15	03:08:03	08:31:25
16	16	2	15	Jens Müller	M	M30-34	DEU	TSV NEUSTADT/REMS		00:55:20	00:02:14	04:34:15	00:01:25	02:58:32	08:31:44
17	17	3	21	Marc Dülsen	M	M25-29	DEU	TEAM SILLA HOPP/TEAM ERDINGER ALKOHOLFREI		00:53:00	00:01:40	04:38:14	00:01:07	02:58:06	08:32:05
18	18	2	23	Marin Koceic	M	M35-39	HRV	TK SPLIT		00:51:45	00:01:33	04:40:43	00:00:59	02:57:32	08:32:31
19	19	3	17	Marcus Büchler	M	M30-34	DEU	WMF BKK TEAM AST SÜßEN		00:53:12	00:01:49	04:40:48	00:01:20	02:57:38	08:34:45
20	20	4	9	Dylan MCNEICE	M	M25-29	NZL	Christchurch		00:45:58	00:02:09	04:45:18	00:01:40	03:01:23	08:36:26
21	21	4	110	Sebastian Bleisteiner	M	M30-34	DEU	TEAM KÖNIG'S APOTHEKE TSV ALTENFURT		00:51:46	00:02:56	04:41:07	00:02:02	02:58:50	08:36:40
22	22	5	5	Stephen Bayliss	M	M30-34	GBR	TEAM TBB		00:46:03	00:01:39	04:39:56	00:01:25	03:09:00	08:38:00
23	23	2	87	Mike Schifferle	M	M40-44	CHE	SCHIFFERLE SPORT COACHING		00:59:50	00:02:19	04:36:44	00:02:54	02:56:41	08:38:25
24	24	6	43	Steffen Frühauf	M	M30-34	DEU	POST SV WEILHEIM		00:56:52	00:01:45	04:35:23	00:01:01	03:03:44	08:38:43
25	1		55	Caroline Steffen	F	W35-39	CHE	TEAMTBB		00:51:45	00:01:38	04:42:21	00:01:46	03:03:07	08:40:35
26	2		56	Yvonne van Vlerken	F	W35-39	NLD	Schwarzach		00:54:40	00:01:24	04:39:35	00:01:12	03:09:33	08:46:22
27	25	7	85	Michael Krell	M	M30-34	DEU	TEAM ARNDT		00:58:12	00:02:11	04:45:11	00:01:28	03:00:36	08:47:36
28	26	1	30	Andreas Niedrig	M	M45-49	DEU	RÜCKENWIND GECKOS DORTMUND		00:46:09	00:01:40	04:43:19	00:01:47	03:15:36	08:48:30
29	27	3	91	Andreas Schröder	M	M35-39	DEU	ENCW TEAM TSV CALW		00:55:49	00:02:18	04:37:42	00:01:36	03:11:15	08:48:38
30	28	8	31	Michael Harrer	M	M30-34	DEU	TV 1848 ERLANGEN		00:56:54	00:01:58	04:43:18	00:01:35	03:06:40	08:50:23
31	3		53	Julia Gajer	F	W30-34	DEU	TEAM ERDINGER ALKOHOLFREI		00:51:48	00:01:37	04:56:35	00:01:11	02:59:55	08:51:04
32	29	5	95	Armin Atzlinger	M	M25-29	AUT	SC KNAUF LIEZEN TRIAHTLON		00:54:42	00:02:10	04:39:02	00:01:49	03:14:55	08:52:36
