総合 順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	PT	男子 順位	女子 順位	年齢区分	年齡 別順
1	101	Carrera Xabier	36	男	静岡県	3:30:50	0:31:33	12	1:33:27	1	2:05:00	2	1:25:50	4		1		30～39歳男子	
2	31	藤井 雅之	29	男	岐阜県	3:31:47	0:30:26	8	1:39:55	10	2:10:21	7	1:21:26	1		2		18～29歳男子	
3	186	竹内 一勝	42	男	静岡県	3:38:10	0:30:16	5	1:37:44	5	2:08:00	4	1:30:10	11		3		40～49歳男子	
4	4	山本 英治	43	男	豊橋市	3:38:33	0:34:08	30	1:39:07	8	2:13:15	11	1:25:18	3		4		40～49歳男子	1
5	182	山本 信吾	41	男	名古屋市	3:39:39	0:31:48	13	1:36:58	4	2:08:46	5	1:30:53	14		5		40～49歳男子	2
6	53	遠藤 啓介	32	男	神奈川県	3:39:58	0:29:55	3	1:42:19	20	2:12:14	8	1:27:44	6		6		30～39歳男子	1
7	142	齋藤 敦	40	男	奈良県	3:47:24	0:34:48	38	1:43:18	26	2:18:06	22	1:29:18	8		7		40～49歳男子	3
8	2	谷 新吾	47	男	豊川市	3:47:43	0:33:02	20	1:36:04	3	2:09:06	6	1:38:37	49		8		40～49歳男子	4
9	87	櫻井 宏樹	34	男	名古屋市	3:47:52	0:27:53	2	1:38:32	7	2:06:25	3	1:41:27	71		9		30～39歳男子	2
10	7	及部 豊幸	43	男	豊川市	3:47:55	0:35:50	49	1:41:46	15	2:17:36	21	1:30:19	12		10		40～49歳男子	5
11	98	中根 肇	35	男	岡崎市	3:48:02	0:31:06	11	1:42:53	23	2:13:59	13	1:34:03	23		11		30～39歳男子	3
12	110	富安 健治	37	男	豊田市	3:48:38	0:30:33	9	1:43:45	29	2:14:18	16	1:34:20	24		12		30～39歳男子	4
13	6	加能 基博	40	男	岡崎市	3:49:19	0:36:47	65	1:41:46	16	2:18:33	23	1:30:46	13		13		40～49歳男子	6
14	9	永長 健	36	男	大阪府	3:49:57	0:38:38	99	1:41:11	11	2:19:49	28	1:30:08	10		14		30～39歳男子	5
15	130	稲垣 勇一郎	38	男	名古屋市	3:52:04	0:36:17	61	1:37:56	6	2:14:13	15	1:37:51	45		15		30～39歳男子	6
16	60	大和 晃	33	男	大阪府	3:52:15	0:30:19	6	1:42:20	21	2:12:39	9	1:39:36	58		16		30～39歳男子	7
17	318	百鬼 賢一郎	47	男	静岡県	3:52:27	0:36:12	59	1:45:21	35	2:21:33	34	1:30:54	15		17		40～49歳男子	7
18	141	小幡 将一	39	男	大阪府	3:53:25	0:38:03	83	1:48:07	55	2:26:10	57	1:27:15	5		18		30～39歳男子	8
19	59	川村 勇気	33	男	名古屋市	3:54:47	0:34:41	37	1:46:47	47	2:21:28	33	1:33:19	19		19		30～39歳男子	9
20	89	鏑木 慎介	35	男	千葉県	3:56:00	0:33:17	23	1:45:33	37	2:18:50	27	1:37:10	38		20		30～39歳男子	10
21	264	月川 一彦	35	男	東京都	3:56:17	0:37:14	72	1:41:30	13	2:18:44	25	1:37:33	43		21		30～39歳男子	11
22	5	青木 喜昭	51	男	滋賀県	3:56:31	0:34:51	39	1:42:10	19	2:17:01	20	1:39:30	56		22		50～59歳男子	1
23	80	永田 将司	34	男	大阪府	3:56:46	0:33:44	26	1:41:53	17	2:15:37	17	1:41:09	68		23		30～39歳男子	12
24	39	石原 潤哉	30	男	豊田市	3:57:19	0:32:40	17	1:41:23	12	2:14:03	14	1:43:16	80		24		30～39歳男子	13
25	55	深田 俊郎	32	男	豊田市	3:57:46	0:38:43	101	1:42:28	22	2:21:11	32	1:36:35	34		25		30～39歳男子	14
26	150	千賀 茂生	40	男	半田市	3:57:51	0:37:54	79	1:44:46	34	2:22:40	38	1:35:11	28		26		40～49歳男子	8
27	51	山本 幹也	32	男	豊橋市	3:58:06	0:34:55	41	1:43:39	28	2:18:34	24	1:39:32	57		27		30～39歳男子	15
28	50	内海 敬大	32	男	神奈川県	3:58:14	0:36:01	56	1:45:42	39	2:21:43	35	1:36:31	32		28		30～39歳男子	16
29	28	小川 圭介	28	男	千葉県	3:58:56	0:33:22	24	1:45:24	36	2:18:46	26	1:40:10	62		29		18～29歳男子	1
30	293	吉田 幸廣	45	男	名古屋市	3:59:47	0:38:50	105	1:43:00	24	2:21:50	36	1:37:57	46		30		40～49歳男子	9
31	137	高橋 豊	39	男	東京都	3:59:48	0:32:52	18	1:50:48	93	2:23:40	40	1:36:08	30		31		30～39歳男子	17
32	21	太田 真司	25	男	田原市	3:59:49	0:36:06	57	1:44:34	32	2:20:40	31	1:39:09	52		32		18～29歳男子	2
33	404	古井 成之	53	男	知立市	4:00:31	0:36:34	63	1:46:39	45	2:23:13	39	1:37:18	40		33		50～59歳男子	2
34	406	藤城 健	53	男	名古屋市	4:00:39	0:41:44	185	1:50:19	80	2:32:03	109	1:28:36	7		34		50～59歳男子	3
35	243	大西 伸	44	男	大阪府	4:00:49	0:41:03	162	1:50:08	78	2:31:11	98	1:29:38	9		35		40～49歳男子	10
36	135	西村 真人	39	男	奈良県	4:00:51	0:38:01	81	1:49:29	70	2:27:30	66	1:33:21	20		36		30～39歳男子	18
37	57	西田 周平	32	男	名古屋市	4:01:14	0:45:29	307	1:50:52	95	2:36:21	146	1:24:53	2		37		30～39歳男子	19
38	103	鈴木 慎一郎	36	男	静岡県	4:01:18	0:39:57	125	1:47:35	50	2:27:32	67	1:33:46	22		38		30～39歳男子	20
39	380	中川 泰司	51	男	石川県	4:02:32	0:35:53	54	1:46:11	40	2:22:04	37	1:40:28	65		39		50～59歳男子	4
40	1	竹内 鉄平	37	男	みよし市	4:03:04	0:26:41	1	1:35:48	2	2:02:29	1	2:00:35	205		40		30～39歳男子	21
41	161	成田 英将	40	男	神奈川県	4:03:54	0:34:54	40	1:50:23	84	2:25:17	48	1:38:37	48		41		40～49歳男子	11
42	70	大畑 勇人	33	男	和歌山県	4:04:12	0:38:57	108	1:46:48	48	2:25:45	51	1:38:27	47		42		30～39歳男子	22
43	212	近藤 真司	43	男	豊明市	4:05:09	0:39:49	119	1:49:10	66	2:28:59	76	1:36:10	31		43		40～49歳男子	12
44	387	角田 孝生	52	男	滋賀県	4:05:51	0:35:15	45	1:48:34	63	2:23:49	41	1:42:02	74		44		50～59歳男子	5
45	8	清水 昌雄	35	男	名古屋市	4:06:05	0:32:17	16	1:43:25	27	2:15:42	18	1:50:23	132		45		30～39歳男子	23
46	102	野口 大志	36	男	大阪府	4:06:18	0:43:30	247	1:50:29	87	2:33:59	122	1:32:19	17		46		30～39歳男子	24
47	224	青木 勉	43	男	神奈川県	4:06:47	0:35:35	47	1:52:05	110	2:27:40	68	1:39:07	51		47		40～49歳男子	13
48	189	川村 龍太郎	42	男	一宮市	4:07:40	0:41:02	161	1:46:15	42	2:27:17	63	1:40:23	64		48		40～49歳男子	14
49	166	増田 晶人	41	男	大阪府	4:07:53	0:29:59	4	1:50:26	85	2:20:25	30	1:47:28	109		49		40～49歳男子	15
50	390	寺田 孝	52	男	静岡県	4:07:55	0:42:58	231	1:43:03	25	2:26:01	56	1:41:54	73		50		50～59歳男子	6
51	309	保坂 修	46	男	神奈川県	4:07:59	0:42:01	197	1:48:17	59	2:30:18	88	1:37:41	44		51		40～49歳男子	16
52	44	立野 貴浩	31	男	豊田市	4:08:09	0:35:52	50	1:48:19	60	2:24:11	44	1:43:58	83		52		30～39歳男子	25
53	131	佐藤 秀樹	39	男	豊橋市	4:08:11	0:35:55	55	1:49:58	75	2:25:53	52	1:42:18	75		53		30～39歳男子	26
54	75	古山 幹朗	33	男	名古屋市	4:08:19	0:40:55	154	1:48:37	64	2:29:32	80	1:38:47	50		54		30～39歳男子	27
55	126	中平 洋二	38	男	長野県	4:08:56	0:33:28	25	1:50:29	88	2:23:57	43	1:44:59	91		55		30～39歳男子	28
56	300	高田 英司	46	男	名古屋市	4:09:16	0:41:31	178	1:53:07	122	2:34:38	128	1:34:38	25		56		40～49歳男子	17
57	282	渡辺 義文	45	男	幸田町	4:09:22	0:42:00	195	1:54:50	142	2:36:50	156	1:32:32	18		57		40～49歳男子	18
58	187	藤田 芳人	42	男	豊田市	4:09:51	0:41:48	186	1:56:03	159	2:37:51	165	1:32:00	16		58		40～49歳男子	19
59	18	大塚 亮佑	23	男	埼玉県	4:10:16	0:31:59	15	1:41:39	14	2:13:38	12	1:56:38	165		59		18～29歳男子	3
60	25	嶋崎 善文	28	男	岡崎市	4:10:41	0:39:55	122	1:50:42	91	2:30:37	92	1:40:04	61		60		18～29歳男子	4
61	222	千葉 裕二	43	男	名古屋市	4:10:45	0:37:50	77	1:53:29	124	2:31:19	102	1:39:26	54		61		40～49歳男子	20
62	254	中田 義仁	30	男	田原市	4:10:54	0:42:40	217	1:51:36	105	2:34:16	123	1:36:38	35		62		30～39歳男子	29
63	467	中村 典子	38	女	岡崎市	4:11:06	0:39:58	126	1:53:55	126	2:33:53	121	1:37:13	39			1	30～39歳女子	
64	377	北原 学	51	男	京都府	4:11:35	0:38:59	110	1:49:39	72	2:28:38	75	1:42:57	78		63		50～59歳男子	7
65	210	森本 均	43	男	三重県	4:11:36	0:46:24	331	1:51:29	102	2:37:53	167	1:33:43	21		64		40～49歳男子	21
66	69	倉地 秀朋	33	男	東京都	4:11:45	0:39:42	118	1:57:01	172	2:36:43	153	1:35:02	27		65		30～39歳男子	30
67	431	岡村 巌	56	男	大阪府	4:11:55	0:35:34	46	1:50:20	81	2:25:54	54	1:46:01	101		66		50～59歳男子	8
68	65	小池 大樹	33	男	神奈川県	4:12:22	0:38:07	85	1:47:47	51	2:25:54	53	1:46:28	102		67		30～39歳男子	31
69	108	吉村 栄三	36	男	名古屋市	4:12:37	0:40:47	149	1:49:26	69	2:30:13	87	1:42:24	77		68		30～39歳男子	32
70	79	近藤 大輔	34	男	京都府	4:12:50	0:36:25	62	1:48:10	57	2:24:35	45	1:48:15	116		69		30～39歳男子	33
71	366	大坪 隆	50	男	埼玉県	4:12:51	0:34:40	36	1:52:36	117	2:27:16	62	1:45:35	97		70		50～59歳男子	9
72	92	遠藤 聡	35	男	常滑市	4:13:32	0:38:14	89	1:49:39	71	2:27:53	70	1:45:39	99		71		30～39歳男子	34
73	178	山崎 豊	41	男	豊川市	4:14:02	0:33:09	21	1:50:46	92	2:23:55	42	1:50:07	128		72		40～49歳男子	22
74	221	波床 知喜	43	男	兵庫県	4:14:25	0:43:40	253	1:53:57	127	2:37:37	163	1:36:48	36		73		40～49歳男子	23
