総合 順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	PNLT	男子 順位	女子 順位	区分	区分 順位
1	801	ウィンチェスタ ザッカリー	30	男	大阪府	1:13:41	0:15:37	2	0:37:17	2	0:52:54	2	0:20:47	1		1		PTS4男子	1
2	808	金子 慶也	27	男	千葉県	1:19:25	0:13:21	1	0:35:08	1	0:48:29	1	0:20:56	2	600	2		PTS4男子	2
3	802	稲上 聖真	38	男	京都府	1:21:17	0:17:10	3	0:42:52	3	1:00:02	3	0:21:15	3		3		PTS5男子	1
4	804	日高 恒仁	55	男	大阪府	1:43:50	0:19:15	6	0:48:13	4	1:07:28	4	0:36:22	5		4		PTS2男子	1
5	803	長原 宏樹	39	男	兵庫県	1:54:57	0:20:11	7	0:56:34	5	1:16:45	5	0:38:12	6		5		PTS2男子	2
6	809	保田 明日美	32	女	大阪府	2:14:43	0:18:41	5	1:20:01	6	1:38:42	6	0:36:01	4			1	PTS2女子	1
DNF	805	福田 拓哉	29	男	兵庫県		0:17:48	4										PTS3男子	
