総合 順位	No.	氏名	総合記録	スイムラップ	Ｓ順	バイクラップ	Ｂ順	スプリット	通過	ランラップ	Ｒ順	年齢区分	年齡 別順
1	24	蛭間 真美	1:11:46	0:09:56	1	0:40:41	1	0:50:37	1	0:21:09	5	30-39歳	
2	8	山口桃由	1:13:02	0:11:12	4	0:41:41	2	0:52:53	2	0:20:09	2	29歳以下	
3	1	船橋 星来	1:14:59	0:10:59	2	0:42:43	4	0:53:42	3	0:21:17	6	29歳以下	
4	12	高橋 遥	1:17:26	0:14:27	18	0:41:57	3	0:56:24	4	0:21:02	4	29歳以下	1
5	11	笠野 千織	1:19:39	0:12:26	7	0:45:29	6	0:57:55	6	0:21:44	7	29歳以下	2
6	44	林 摩里	1:21:05	0:11:35	6	0:45:39	7	0:57:14	5	0:23:51	18	40-49歳	1
7	7	上條 南斗	1:21:25	0:12:59	8	0:45:29	5	0:58:28	7	0:22:57	12	29歳以下	3
8	33	田口沙弥香	1:24:06	0:13:21	11	0:47:16	10	1:00:37	9	0:23:29	16	40-49歳	2
9	37	へファー 英子	1:24:10	0:13:25	13	0:47:58	11	1:01:23	10	0:22:47	11	40-49歳	3
10	23	深谷 美歩	1:24:40	0:13:12	9	0:52:04	26	1:05:16	18	0:19:24	1	30-39歳	1
11	31	友野 由香	1:25:18	0:14:57	21	0:48:11	12	1:03:08	12	0:22:10	10	40-49歳	4
12	13	田中佑加子	1:25:28	0:11:30	5	0:48:47	13	1:00:17	8	0:25:11	27	29歳以下	4
13	4	中島実優	1:26:51	0:15:38	25	0:49:12	14	1:04:50	15	0:22:01	8	29歳以下	5
14	5	中山 琴絵	1:28:31	0:14:13	17	0:50:55	21	1:05:08	17	0:23:23	15	29歳以下	6
15	32	池谷麻衣	1:28:43	0:13:24	12	0:49:40	16	1:03:04	11	0:25:39	31	40-49歳	5
16	35	渡部 真理子	1:29:32	0:14:12	16	0:50:09	20	1:04:21	13	0:25:11	26	40-49歳	6
17	21	辻川睦美	1:29:45	0:18:04	37	0:50:58	22	1:09:02	26	0:20:43	3	30-39歳	2
18	3	根本佳奈	1:30:16	0:17:54	36	0:47:09	9	1:05:03	16	0:25:13	29	29歳以下	7
19	36	大原 夕佳	1:31:17	0:15:58	31	0:50:07	19	1:06:05	20	0:25:12	28	40-49歳	7
20	10	中山 翠	1:31:23	0:11:08	3	0:58:12	46	1:09:20	28	0:22:03	9	29歳以下	8
21	43	細川 朋子	1:31:38	0:14:44	20	0:52:14	27	1:06:58	22	0:24:40	22	40-49歳	8
