関東順位	No.	氏名	所属（国体ふるさと出場県）	総合記録	スイムラップ	Ｓ順	バイクラップ	Ｂ順	スプリット	通過	ランラップ	Ｒ順	県選手権	選手権順
1	63	丹野 惠梨香	ゾーン・ボーマレーシング/埼玉	2:10:39	0:20:38	4	1:09:55	1	1:30:33	2	0:40:06	1	埼玉県	1
2	62	杉原 有紀	栃木	2:11:24	0:20:26	1	1:10:03	3	1:30:29	1	0:40:55	3	栃木県	1
3	61	江成 みなみ	神奈川	2:14:09	0:20:38	5	1:09:58	2	1:30:36	3	0:43:33	5	神奈川県	1
	76	佐藤 らら	東京	2:17:29	0:23:08	13	1:13:39	6	1:36:47	10	0:40:42	2		
4	71	日引 華子	神奈川 (栃木)	2:19:24	0:22:55	11	1:13:23	5	1:36:18	7	0:43:06	4	栃木県	2
5	65	奥脇 早織	神奈川	2:21:31	0:22:23	8	1:14:03	8	1:36:26	9	0:45:05	7	神奈川県	2
6	69	小山 菫	神奈川 (千葉)	2:24:22	0:22:32	9	1:13:46	7	1:36:18	8	0:48:04	8	千葉県	1
7	66	奥田 さわ	茨城 (栃木)	2:25:32	0:20:36	3	1:15:40	11	1:36:16	6	0:49:16	9	栃木県	3
8	72	千葉 美奈	千葉	2:27:30	0:28:19	15	1:15:21	10	1:43:40	14	0:43:50	6	千葉県	2
9	75	酒井 優真	茨城	2:29:12	0:20:27	2	1:10:28	4	1:30:55	4	0:58:17	14		
10	73	石井 汐里	千葉	2:34:28	0:23:12	14	1:19:50	12	1:43:02	11	0:51:26	10	千葉県	3
	67	増渕 日菜	東京 (栃木)	2:36:35	0:23:02	12	1:20:01	13	1:43:03	12	0:53:32	12	栃木県	4
11	74	花岡 愛美	茨城 (千葉)	2:40:55	0:22:39	10	1:20:30	14	1:43:09	13	0:57:46	13	千葉県	4
12	70	嵯峨 万琴	神奈川	2:42:01	0:22:06	7	1:28:04	15	1:50:10	15	0:51:51	11	神奈川県	3
DNF	68	吉田 琉七	神奈川		0:21:49	6	1:14:19	9	1:36:08	5			神奈川県	
