Pos	StartNum	Name	Affiliation	YOB	U23	Time	Swim	T1	Bike	T2	Run
1	1	ニナー 賢治	NTT東日本・NTT西日本/山梨	1993		1:48:29	0:16:46	0:01:06	0:58:46	0:00:30	0:31:21
2	5	岩本 敏	日本食研/愛媛	1996		1:50:57	0:16:54	0:01:08	0:59:46	0:00:27	0:32:42
3	6	徳山 哲平	早稲田大学・ロンドスポーツ	2002	1	1:51:13	0:16:46	0:01:07	0:58:47	0:00:36	0:33:57
4	15	前田 凌輔	三重県スポーツ協会/三重	1995		1:51:19	0:16:49	0:01:10	0:59:46	0:00:29	0:33:05
5	3	山本 康貴	博慈会/東京	1996		1:52:21	0:16:59	0:01:10	0:59:38	0:00:29	0:34:05
6	2	古谷 純平	三井住友海上/東京	1991		1:52:37	0:16:51	0:01:04	0:58:43	0:00:27	0:35:32
7	41	福島 旺	日本体育大学	2001	2	1:53:13	0:16:53	0:01:12	0:59:41	0:00:33	0:34:54
8	23	定塚 利心	流通経済大学	2004	3	1:53:18	0:17:43	0:01:19	1:01:18	0:00:30	0:32:28
9	8	小原 北斗	セクダム・チームエフォーツ/鳥取	1998		1:53:29	0:17:35	0:01:15	1:00:13	0:00:29	0:33:57
10	4	望月 満帆	トーシンパートナーズ・チームケンズ/山梨	2000	4	1:53:31	0:16:52	0:01:11	0:59:42	0:00:27	0:35:19
11	13	富内 檀	アリーディ・トライアクティブ・テイルウインド/東京	1994		1:53:32	0:16:54	0:01:09	0:59:45	0:00:28	0:35:16
12	21	石関 玲於	佐賀県トライアスロン協会	1998		1:53:33	0:17:47	0:01:13	1:01:23	0:00:33	0:32:37
13	47	大浦 直繁	静岡県トライアスロン協会	2000	5	1:53:42	0:17:00	0:01:17	1:00:50	0:00:31	0:34:04
14	16	森 拳真	トヨタ自動車/愛知	1999		1:54:03	0:17:57	0:01:13	1:02:11	0:00:38	0:32:04
15	18	玉崎 稜也	小泉/東京	1998		1:54:13	0:17:22	0:01:08	1:00:35	0:00:37	0:34:31
16	11	甲斐 瑠夏	佐賀県トライアスロン協会	2000	6	1:54:32	0:17:47	0:01:01	1:00:19	0:00:38	0:34:47
17	28	阿部 有希	福島県トライアスロン協会	1993		1:54:42	0:17:02	0:01:15	1:00:53	0:00:34	0:34:58
18	12	安藤 勘太	流通経済大学	2001	7	1:54:52	0:16:55	0:01:14	1:01:05	0:00:46	0:34:52
19	14	大谷 友哉	日本体育大学	2002	8	1:55:27	0:16:58	0:01:09	1:01:02	0:00:30	0:35:48
20	10	古山 大	セクダム/茨城	1995		1:55:35	0:16:53	0:01:11	0:59:43	0:00:37	0:37:11
21	7	榊原 利基	ANAシステムズ/神奈川	1994		1:55:50	0:17:57	0:01:15	1:01:14	0:00:36	0:34:48
22	22	堀田 光輝	フリート/千葉	1997		1:56:07	0:18:11	0:01:24	1:01:46	0:00:31	0:34:15
23	27	梅田 祐輝	東京都トライアスロン連合	1985		1:56:10	0:18:13	0:01:16	1:01:54	0:00:47	0:34:00
