	Pos	StartNum	Name	Affiliation	YOB	Time	Swim	T1	Bike	T2	Run
	1	56	メンギン・ソン	中国	1990	2:08:10	0:19:00	0:01:53	1:09:14	0:00:42	0:37:21
yukasato	2	55	佐藤 優香	トーシンパートナーズ、NTT東日本・NTT西日本、チームケンズ/山梨	1992	2:10:32	0:19:11	0:01:49	1:09:06	0:00:44	0:39:42
aiueda	3	51	上田 藍	ペリエ・グリーンタワー・ブリヂストン・稲毛インター/千葉	1983	2:10:37	0:20:00	0:01:41	1:10:04	0:00:38	0:38:14
niinakishimoto	4	57	岸本 新菜	福井県スポーツ協会・稲毛インター/福井	1995	2:10:41	0:19:23	0:01:48	1:08:54	0:00:44	0:39:52
	5	53	アリナ・シュイジーナ	カザフスタン	1991	2:11:06	0:21:28	0:01:54	1:10:06	0:00:42	0:36:56
	6	64	エカレリーナ・シャバリナ	カザフスタン	1998	2:11:13	0:20:25	0:01:52	1:11:12	0:00:43	0:37:01
	7	62	ベイリー・ブラウン	ホンコン・チャイナ	2000	2:11:59	0:19:21	0:01:49	1:08:56	0:00:41	0:41:12
juriide	8	52	井出 樹里	スポーツクラブNAS/神奈川	1983	2:13:15	0:19:22	0:01:48	1:12:16	0:00:37	0:39:12
hikarufukuoka	9	59	福岡 啓	横浜こどもスポーツ基金/福井	1994	2:14:50	0:20:20	0:01:56	1:11:11	0:00:41	0:40:42
	10	54	イ・ザン	中国	1987	2:15:02	0:20:00	0:01:55	1:11:35	0:00:45	0:40:47
	11	60	マリオン・キム・マングローバン	フィリピン	1991	2:16:57	0:20:26	0:01:49	1:11:12	0:00:45	0:42:45
	12	58	チ・ウェン・チャン	チャイニーズ・タイペイ	1998	2:18:19	0:20:18	0:01:51	1:11:18	0:00:50	0:44:02
	13	66	ウィン・ト・チョ	ホンコン・チャイナ	2001	2:19:18	0:19:23	0:01:54	1:12:11	0:00:43	0:45:07
	LAP	63	ヤン・イン・ヒルダ・チョイ	ホンコン・チャイナ	1994		0:20:27	0:01:45			
	DNF	61	ウェン・ウェイ	中国	1999		0:19:02	0:01:58			
	DNS	65	ガジザ・クマクバエバ	カザフスタン	1993						
