	Pos	StartNum	Name	Affiliation	YOB	Time	Swim	T1	Bike	T2	Run
kenjinener	1	3	ニナー 賢治	NTT東日本・NTT西日本/山梨	1993	1:48:59	0:17:09	0:01:33	0:58:39	0:00:36	0:31:02
takumihojo	2	2	北條 巧	博慈会、NTT東日本・NTT西日本/東京	1996	1:50:00	0:17:08	0:01:40	0:58:34	0:00:39	0:31:59
jumpeifuruya	3	4	古谷 純平	三井住友海上/東京	1991	1:50:29	0:17:11	0:01:35	0:58:35	0:00:39	0:32:29
	4	1	オスカー・コギンス	ホンコン・チャイナ	1999	1:51:29	0:17:13	0:01:37	0:58:32	0:00:35	0:33:32
makotoodakura	5	6	小田倉 真	三井住友海上/東京	1993	1:52:11	0:17:16	0:01:41	1:00:46	0:00:36	0:31:52
rensato	6	7	佐藤 錬	福井県スポーツ協会/福井	1995	1:53:42	0:17:25	0:01:35	1:00:42	0:00:34	0:33:26
	7	14	ジェイソン・タイ・ロン・グ	ホンコン・チャイナ	2000	1:55:05	0:17:19	0:01:34	1:00:50	0:00:37	0:34:45
	8	9	ダリャン・コンスバエフ	カザフスタン	1999	1:55:31	0:19:15	0:01:33	1:01:18	0:00:45	0:32:40
	9	5	アヤン・ベイセンバエフ	カザフスタン	1996	1:55:42	0:18:12	0:01:37	1:02:12	0:00:40	0:33:01
	10	10	ムハマド・アルサバフ	シリア	1990	1:56:18	0:17:13	0:01:41	1:00:48	0:00:37	0:35:59
	11	19	アレクサンドル・クリショフ	ウズベキスタン	1995	1:56:51	0:17:16	0:01:42	1:03:09	0:00:45	0:33:59
	12	15	キン・チェン	中国	1999	1:57:13	0:18:40	0:01:42	1:01:40	0:00:41	0:34:30
	13	27	フェル・カサーレス	フィリピン	1996	1:57:40	0:18:49	0:01:44	1:01:31	0:00:47	0:34:49
	14	17	ジュンジー・ファン	中国	2001	1:58:22	0:18:08	0:01:44	1:02:13	0:00:41	0:35:36
	15	11	ジェームス・タン	ホンコン・チャイナ	1997	1:58:59	0:17:23	0:01:41	1:03:00	0:00:43	0:36:12
	16	16	チェン・シン・ニコラス・ツァン	ホンコン・チャイナ	2000	2:00:01	0:18:10	0:01:39	1:02:14	0:00:48	0:37:10
	17	8	ムハマド・マソ	シリア	1993	2:00:11	0:17:22	0:01:37	1:03:06	0:00:42	0:37:24
	18	22	ミンギュ・ワン	中国	2000	2:00:18	0:19:20	0:01:41	1:01:01	0:00:52	0:37:24
	19	12	セメン・ピボバロフ	カザフスタン	1997	2:01:29	0:18:40	0:01:44	1:01:41	0:00:44	0:38:40
	20	18	フイ・ワイ・ウォン	ホンコン・チャイナ	1995	2:03:05	0:17:27	0:01:38	1:03:00	0:00:45	0:40:15
	LAP	20	アンドリュー・レモリノ	フィリピン	2000		0:20:42	0:02:04			
	LAP	21	アリ・レズバニ	イラン	2000		0:19:17	0:01:43			
	LAP	24	アヌア・ツルバエフ	カザフスタン	1994		0:19:53	0:01:57			
	LAP	25	アレクサンドル・アブツコ	カザフスタン	1989		0:18:41	0:01:45			
	LAP	26	アミン・サガエデコルディ	イラン	1998		0:20:43	0:01:56			
	LAP	23	ツレンバト・テデンダンバ	モンゴル	1984		0:25:49				
