順位	氏名	№	年齢	総合記録	スイム	バイク	ラン	順位表示
1	川井 啓佑	496	19	2:17:48	0:24:41	1:08:54	0:44:13	総合1位
2	池川 辰哉	409	37	2:22:41	0:33:42	1:06:01	0:42:58	総合2位
3	島田 鏡平	482	28	2:23:48	0:28:38	1:10:26	0:44:44	総合3位
4	城阪 佳佑	464	39	2:27:33	0:27:41	1:10:22	0:49:30	総合4位
5	中西 聖	456	54	2:29:38	0:28:50	1:14:38	0:46:10	総合5位
6	惣川 塁	378	43	2:35:33	0:30:39	1:17:43	0:47:11	総合6位
7	鈴木 達也	501	26	2:39:58	0:29:03	1:16:05	0:54:50	総合7位
8	伊藤 広太	307	38	2:40:15	0:31:28	1:18:00	0:50:47	総合8位
9	後藤 至徳	422	30	2:41:08	0:35:37	1:17:53	0:47:38	30歳代1位
10	谷本 博紀	452	30	2:42:46	0:34:07	1:21:26	0:47:13	30歳代2位
11	三根 康嗣	321	48	2:45:08	0:37:38	1:13:27	0:54:03	40歳代1位
12	木下 遥奈	557	29	2:46:03	0:32:10	1:18:54	0:54:59	総合1位
13	西出 唯都	439	23	2:46:08	0:26:48	1:18:33	1:00:47	秒29歳以下1位
14	村上 尚駿	359	31	2:46:55	0:28:40	1:20:40	0:57:35	30歳代3位
15	濱田 伸一郎	421	40	2:48:12	0:39:43	1:10:36	0:57:53	40歳代2位
16	東海林 知希	499	21	2:49:06	0:28:24	1:25:40	0:55:02	29歳以下2位
17	出口 凱也	384	20	2:49:10	0:39:48	1:15:05	0:54:17	29歳以下3位
18	羽生 敬	320	33	2:49:26	0:26:50	1:20:49	1:01:47	
19	森 大舗	357	38	2:51:56	0:36:53	1:18:41	0:56:22	
20	木本 翔	405	28	2:52:48	0:31:31	1:21:14	1:00:03	
21	巽 善彦	503	46	2:52:51	0:34:03	1:19:14	0:59:34	40歳代3位
22	長井 良佑	514	40	2:52:57	0:37:54	1:22:31	0:52:32	
23	足立 文武	459	46	2:53:20	0:36:16	1:29:44	0:47:20	
24	瀬戸 大地	349	42	2:53:27	0:42:49	1:23:09	0:47:29	
25	竹内 章雄	510	50	2:54:11	0:31:11	1:21:10	1:01:50	秒50歳代1位
26	前田 邦男	411	54	2:54:21	0:44:13	1:16:26	0:53:42	50歳代2位
27	籠島 明夫	449	46	2:54:31	0:32:21	1:22:46	0:59:24	
28	大堀 泰史	342	40	2:55:03	0:31:48	1:19:39	1:03:36	
29	吉川 健太	369	29	2:55:14	0:33:48	1:24:44	0:56:42	
30	出口 恵司	461	46	2:56:07	0:38:15	1:19:01	0:58:51	
31	堀江 祥平	394	42	2:56:22	0:38:30	1:18:44	0:59:08	
32	田中 博一	381	55	2:57:16	0:40:05	1:14:58	1:02:13	秒50歳代3位
33	永田 圭	317	28	2:58:16	0:38:55	1:23:14	0:56:07	
34	樫原 一仁	435	52	2:58:35	0:32:36	1:24:02	1:01:57	
35	中村 吉信	502	51	2:58:51	0:37:21	1:22:56	0:58:34	
