順位	ナンバー	氏名	年齢	所属	記録	スイム記録	バイク記録	ラン記録
1	355	片山 草太	30		2:17:38	0:25:48	1:10:26	0:41:24
2	276	加野 拓海	21	近畿大学体育会トライアスロン部	2:19:56	0:27:27	1:12:54	0:39:35
3	287	大石 敏夫	42	グランデパール播磨	2:23:22	0:31:10	1:08:57	0:43:15
4	302	丹 宇響	34	株式会社バイシクルカラー	2:23:40	0:29:00	1:08:15	0:46:25
5	366	倉田 芳信	41		2:24:35	0:29:57	1:10:13	0:44:25
6	260	石端 真和	30		2:24:58	0:25:19	1:13:20	0:46:19
7	281	大貫 和基	18	同志社大学	2:27:01	0:29:04	1:12:27	0:45:30
8	414	金子 健太	25	京都トライアスロンクラブ	2:27:31	0:31:21	1:12:04	0:44:06
9	203	堀後 樹代志	39	打ち上げまでがトライアスロン	2:28:28	0:34:04	1:05:23	0:49:01
10	310	加藤 正樹	47		2:29:03	0:31:28	1:14:22	0:43:13
11	289	前家 涼佑	25	第一三共陸上部	2:29:16	0:33:46	1:15:28	0:40:02
12	242	松下 友吾	47		2:29:26	0:33:17	1:10:15	0:45:54
13	271	安東 毅	39	ララ学園	2:29:39	0:32:55	1:16:08	0:40:36
14	365	森永 幸希	41		2:31:08	0:28:39	1:13:57	0:48:32
15	250	花原 敬	37		2:32:53	0:30:43	1:16:05	0:46:05
16	409	江草 幸一	22		2:33:55	0:29:14	1:15:07	0:49:34
17	464	木下 遥奈	23		2:34:46	0:27:03	1:18:54	0:48:49
18	373	山本 朋貴	44	ストラーダトライアスロンクラブ	2:34:47	0:33:39	1:07:56	0:53:12
19	222	一ツ屋 直樹	42	Ys TRINE	2:34:53	0:30:33	1:16:56	0:47:24
20	352	赤坂 健太	27		2:35:04	0:33:17	1:18:12	0:43:35
21	239	木坂 敢	44		2:35:43	0:29:12	1:10:07	0:56:24
22	248	中山 雄樹	27		2:36:33	0:36:16	1:13:07	0:47:10
23	405	川中 雅史	39	チームＡＳＴ	2:36:57	0:39:05	1:14:59	0:42:53
24	292	前田 吉敏	62	辰巳工業	2:38:43	0:32:29	1:19:52	0:46:22
25	319	丸岡 正和	44	チーム AST	2:38:47	0:28:24	1:14:38	0:55:45
26	219	松本 直哉	40		2:39:03	0:31:02	1:16:09	0:51:52
27	214	平川 貴嗣	38	ボラッチョ	2:39:24	0:32:31	1:14:04	0:52:49
28	247	藤枝 譲	37		2:39:45	0:35:40	1:19:02	0:45:03
29	211	越川 友幸	41		2:40:03	0:34:01	1:14:19	0:51:43
30	244	奥田 義彦	42		2:40:20	0:29:23	1:17:05	0:53:52
31	402	長浜 敏洋	20	明石工業高等専門学校	2:41:03	0:33:23	1:17:45	0:49:55
32	412	松崎 通弘	29	京都トライアスロンクラブ	2:41:54	0:33:41	1:16:20	0:51:53
33	216	井田 勲	47	シロッコ	2:42:25	0:31:57	1:16:14	0:54:14
34	273	安永 俊英	35		2:44:00	0:42:32	1:15:40	0:45:48
35	261	中西 晋	53		2:44:06	0:34:32	1:19:19	0:50:15
36	202	西平 俊	37	打ち上げまでがトライアスロン！！	2:45:01	0:33:49	1:18:10	0:53:02
37	220	田中 健一	39		2:45:16	0:35:42	1:18:44	0:50:50
38	359	池尾 圭	33		2:45:38	0:30:37	1:18:54	0:56:07
39	268	長谷川 貴志	30		2:45:45	0:36:08	1:24:21	0:45:16
40	399	橋本 潔	30		2:45:47	0:37:44	1:20:09	0:47:54
41	316	上之薗 崇	46		2:46:19	0:34:41	1:22:24	0:49:14
42	233	石田 定幸	49	福山鉄人会	2:46:27	0:35:56	1:15:52	0:54:39
43	303	春田 幸一	42	打ち上げまでがトライアスロン??	2:46:30	0:34:21	1:15:34	0:56:35
44	395	藤木 和也	31		2:47:08	0:33:33	1:19:43	0:53:52
45	267	畠山 重仁	35	ストラーダ・トライスロンクラブ	2:47:25	0:31:25	1:18:00	0:58:00
46	230	安田 圭宏	48	株式会社ヤスダケミカル	2:47:48	0:42:06	1:21:19	0:44:23
47	423	香山 芳範	40		2:47:48	0:36:48	1:21:59	0:49:01
48	217	川西 太一郎	45		2:47:56	0:37:14	1:17:58	0:52:44
49	460	平井 紬希	18	同志社大学	2:47:59	0:30:50	1:25:56	0:51:13
