総合順位	No.	氏名	年齢	性別	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位
1	1303	堀野 愛斗	21	男	1:05:46	0:04:23	8	0:41:17	4	0:45:40	4	0:20:06	3	1	
2	1326	川野 武紀	44	男	1:05:53	0:04:22	6	0:39:48	1	0:44:10	1	0:21:43	9	2	
3	1322	榎本 真彦	38	男	1:06:15	0:04:20	5	0:40:45	3	0:45:05	3	0:21:10	5	3	
4	1351	信田 篤志	53	男	1:07:20	0:04:23	7	0:40:12	2	0:44:35	2	0:22:45	11	4	
5	1312	山本 匡崇	30	男	1:08:26	0:04:12	3	0:44:27	9	0:48:39	7	0:19:47	2	5	
6	1306	横山 柊太	27	男	1:08:36	0:04:31	10	0:42:40	6	0:47:11	6	0:21:25	7	6	
7	1324	南條 健治	41	男	1:10:09	0:05:05	20	0:43:40	8	0:48:45	8	0:21:24	6	7	
8	1302	石塚 颯太	21	男	1:10:38	0:04:02	2	0:47:52	18	0:51:54	13	0:18:44	1	8	
9	1305	岩佐 大志	26	男	1:12:06	0:05:16	24	0:45:59	11	0:51:15	11	0:20:51	4	9	
10	1342	三井 昌彦	56	男	1:12:49	0:04:19	4	0:44:59	10	0:49:18	9	0:23:31	13	10	
11	1204	西平 里恵	50	女	1:13:18	0:04:24	9	0:47:21	14	0:51:45	12	0:21:33	8		1
12	1339	水越 照夫	54	男	1:14:01	0:06:10	35	0:43:26	7	0:49:36	10	0:24:25	16	11	
13	1320	岩瀬 大修	37	男	1:14:08	0:04:50	15	0:42:06	5	0:46:56	5	0:27:12	23	12	
14	1325	大賀 祐樹	43	男	1:16:14	0:06:07	33	0:47:31	16	0:53:38	19	0:22:36	10	13	
15	1331	山本 輝樹	47	男	1:18:01	0:05:11	22	0:47:26	15	0:52:37	16	0:25:24	19	14	
16	1336	内藤 均	53	男	1:18:12	0:05:00	18	0:47:50	17	0:52:50	17	0:25:22	18	15	
17	1313	新井 薫	32	男	1:19:50	0:10:47	54	0:46:05	12	0:56:52	24	0:22:58	12	16	
18	1352	谷村 大地	28	男	1:20:29	0:03:48	1	0:49:23	22	0:53:11	18	0:27:18	24	17	
19	1334	三武 恒彦	51	男	1:21:26	0:04:41	13	0:47:52	19	0:52:33	15	0:28:53	33	18	
20	1330	千国 洋道	47	男	1:22:53	0:06:40	45	0:50:52	26	0:57:32	28	0:25:21	17	19	
21	1350	李 東星	24	男	1:23:19	0:05:44	27	0:53:19	37	0:59:03	34	0:24:16	15	20	
22	1323	小林 章吾	39	男	1:23:53	0:06:57	48	0:50:26	25	0:57:23	27	0:26:30	21	21	
23	1301	市村 駿	40	男	1:24:21	0:05:06	21	0:48:41	20	0:53:47	20	0:30:34	40	22	
24	1206	佐々木 祐実	52	女	1:24:40	0:05:43	26	0:53:31	39	0:59:14	35	0:25:26	20		2
25	1333	大郷 博輔	49	男	1:25:20	0:08:34	51	0:53:04	34	1:01:38	40	0:23:42	14	23	
26	1308	桑原 周平	29	男	1:25:53	0:04:57	17	0:53:00	33	0:57:57	30	0:27:56	26	24	
27	1310	佐々木 光明	30	男	1:26:32	0:05:05	19	0:53:09	35	0:58:14	33	0:28:18	30	25	
28	1205	秋本 直美	51	女	1:26:56	0:05:46	28	0:51:00	27	0:56:46	22	0:30:10	37		3
29	1203	嶋崎 美沙子	41	女	1:27:23	0:04:34	11	0:53:30	38	0:58:04	32	0:29:19	34		4
30	1207	小林 敦子	53	女	1:27:43	0:05:24	25	0:52:22	31	0:57:46	29	0:29:57	36		5
31	1345	藤林 保信	60	男	1:27:55	0:06:46	46	0:52:56	32	0:59:42	36	0:28:13	28	26	
32	1315	大津 俊裕	32	男	1:28:13	0:04:38	12	0:55:21	40	0:59:59	38	0:28:14	29	27	
33	1307	片桐 拓哉	28	男	1:28:37	0:06:27	41	0:53:19	36	0:59:46	37	0:28:51	32	28	
34	1349	横井 嶺大	29	男	1:29:22	0:06:00	32	0:56:01	42	1:02:01	41	0:27:21	25	29	
35	1327	安田 睦	45	男	1:29:51	0:05:53	30	0:52:04	29	0:57:57	31	0:31:54	42	30	
36	1328	佐々木 実	45	男	1:29:54	0:05:50	29	0:46:27	13	0:52:17	14	0:37:37	52	31	
37	1309	田中 敬也	29	男	1:30:43	0:06:38	43	0:57:17	44	1:03:55	45	0:26:48	22	32	
38	1341	伊藤 健	55	男	1:31:22	0:06:13	37	0:48:45	21	0:54:58	21	0:36:24	48	33	
39	1348	鈴木 淳一郎	62	男	1:32:24	0:06:12	36	0:51:01	28	0:57:13	26	0:35:11	46	34	
40	1335	山田 達也	52	男	1:32:35	0:06:23	39	0:50:23	24	0:56:46	23	0:35:49	47	35	
41	1344	齋藤 茂	57	男	1:32:42	0:06:20	38	0:56:02	43	1:02:22	42	0:30:20	39	36	
42	1338	古江 信一	54	男	1:32:53	0:06:10	34	0:58:34	46	1:04:44	47	0:28:09	27	37	
43	1347	鈴木 雅彦	62	男	1:33:39	0:07:55	50	0:55:49	41	1:03:44	44	0:29:55	35	38	
44	1317	笹田 翔平	34	男	1:34:29	0:06:36	42	0:59:02	47	1:05:38	49	0:28:51	31	39	
45	1314	岩瀬 大洋	32	男	1:34:35	0:07:24	49	0:49:35	23	0:56:59	25	0:37:36	51	40	
46	1340	関原 政仁	55	男	1:35:15	0:09:14	52	0:52:07	30	1:01:21	39	0:33:54	44	41	
47	1316	石川 進太郎	33	男	1:36:58	0:04:49	14	1:00:05	49	1:04:54	48	0:32:04	43	42	
48	1202	崔 賀英	35	女	1:37:42	0:06:00	31	0:57:35	45	1:03:35	43	0:34:07	45		6
49	1319	高山 直人	36	男	1:41:04	0:10:12	53	1:00:36	50	1:10:48	51	0:30:16	38	43	
50	1321	山本 益実	37	男	1:42:03	0:06:50	47	1:04:27	52	1:11:17	53	0:30:46	41	44	
51	1201	田 杏莉	16	女	1:43:34	0:04:55	16	1:01:32	51	1:06:27	50	0:37:07	50		7
52	1332	長岡 圭	48	男	1:47:01	0:05:16	23	0:59:19	48	1:04:35	46	0:42:26	53	45	
53	1346	後藤 李千建	62	男	1:51:54	0:06:38	44	1:08:39	54	1:15:17	54	0:36:37	49	46	
DNF	1343	井口 明彦	56	男		0:06:24	40	1:04:28	53	1:10:52	52				
SKIP	1311	三好 諒	30	男				0:48:07				0:25:27			
DSQ	1304	大村 俊介	25	男	1:00:23	0:05:10		0:31:11		0:36:21		0:24:02			
DNS	1318	清水 雄矢	36	男											
DNS	1329	鈴木 広太郎	46	男											
DNS	1337	田中 博	53	男											
