総合順位	No.	氏名	年齢	性別	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位
54	1003	伊藤 加奈子	39	女	1:57:53	0:12:10	43	1:03:47	55	1:15:57	55	0:41:56	54		5
55	1148	桑田 和弥	58	男	1:57:54	0:12:21	46	1:02:51	54	1:15:12	54	0:42:42	55	50	
56	1156	小清水 潔	60	男	2:07:47	0:16:52	56	1:04:09	56	1:21:01	56	0:46:46	56	51	
SKIP	1109	下本地 拓人	30	男											
SKIP	1115	井出 健太	36	男				0:44:08				0:25:31			
SKIP	1119	坂下 圭吾	41	男				0:56:09				0:29:05			
SKIP	1120	浦本 真人	42	男				0:49:56				0:30:19			
SKIP	1129	酒井 東洋士	49	男				0:47:57				0:27:40			
SKIP	1134	秦 政彦	52	男				0:57:19				0:29:29			
SKIP	1154	佐々木 邦人	59	男				0:58:52				0:44:21			
DNS	1001	大橋 優菜	18	女											
DNS	1101	草苅 治喜	24	男											
DNS	1102	福田 駿	26	男											
DNS	1104	邵 鴻成	28	男											
DNS	1106	内田 博咲也	28	男											
DNS	1112	遠藤 裕貴	32	男											
DNS	1113	飛田 健裕	35	男											
DNS	1130	渡邉 宏	50	男											
DNS	1142	舛谷 威志	55	男											
DNS	1166	磯川 正教	79	男											
DNS	1168	有満 勇人	28	男											
