順位	No.	氏名	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	総合順位
OPEN	4	AGNIESZKA JERZYK	2:31:44	0:21:52		1:22:11		1:44:03		0:47:41		OPEN
OPEN	3	太田 麻衣子	2:32:31	0:22:21		1:21:56		1:44:17		0:48:14		OPEN
1	505	今関 優海	2:33:26	0:23:37	12	1:21:32	51	1:45:09	29	0:48:17	29	22
2	511	谷村 佳子	2:45:58	0:29:38	94	1:26:35	78	1:56:13	75	0:49:45	35	51
OPEN	1	酒井 絵美	2:47:37	0:31:39		1:23:13		1:54:52		0:52:45		OPEN
3	501	櫻井 唯	2:50:59	0:23:26	10	1:28:36	99	1:52:02	54	0:58:57	102	62
4	502	亀山 智美	2:54:59	0:25:56	29	1:28:08	95	1:54:04	62	1:00:55	125	73
5	529	鈴木 佐梨	2:56:07	0:33:55	188	1:30:05	112	2:04:00	118	0:52:07	46	76
6	504	新井 磨里子	3:00:00	0:28:53	85	1:26:29	76	1:55:22	70	1:04:38	168	92
7	509	加瀬 恵美	3:00:20	0:27:33	54	1:32:22	129	1:59:55	96	1:00:25	119	96
8	506	永宮 友子	3:03:00	0:29:39	96	1:35:25	157	2:05:04	134	0:57:56	91	109
9	510	川上 雅子	3:08:07	0:29:41	98	1:34:32	150	2:04:13	120	1:03:54	159	132
10	518	安藤 有希	3:08:21	0:32:18	146	1:37:25	184	2:09:43	169	0:58:38	98	133
11	508	フィンドレー 由香	3:10:11	0:31:01	119	1:34:46	152	2:05:47	138	1:04:24	164	145
12	515	関根 美樹	3:10:18	0:29:13	88	1:35:47	165	2:05:00	133	1:05:18	184	146
13	527	小田切 玲	3:10:57	0:30:14	108	1:42:30	227	2:12:44	198	0:58:13	95	148
14	507	佃 史絵	3:15:56	0:31:00	118	1:39:15	202	2:10:15	174	1:05:41	191	178
15	517	速見 利津子	3:19:02	0:33:38	177	1:41:08	220	2:14:46	209	1:04:16	162	188
16	525	近藤 美佐緒	3:19:56	0:33:47	184	1:46:17	267	2:20:04	247	0:59:52	110	192
17	513	樋田 真以子	3:20:56	0:34:03	193	1:36:15	170	2:10:18	176	1:10:38	241	199
18	503	齊藤 愛子	3:22:28	0:29:21	91	1:49:03	286	2:18:24	234	1:04:04	160	206
19	534	村田 聡子	3:27:48	0:33:31	175	1:45:58	260	2:19:29	243	1:08:19	218	225
20	538	白土 保子	3:29:13	0:34:38	209	1:47:40	279	2:22:18	260	1:06:55	203	235
21	516	佐野 智恵子	3:29:43	0:38:24	288	1:51:28	299	2:29:52	300	0:59:51	109	237
22	528	井 幸代	3:33:07	0:30:47	115	1:50:27	292	2:21:14	254	1:11:53	255	255
23	514	高田 友美	3:41:23	0:35:05	223	1:51:34	300	2:26:39	284	1:14:44	279	288
24	530	柴田 葵	3:44:46	0:43:46	350	1:46:22	269	2:30:08	303	1:14:38	277	300
25	524	渡邊 美由紀	3:50:25	0:40:45	327	1:53:44	311	2:34:29	319	1:15:56	285	311
26	533	具志堅 芽生	3:56:21	0:42:00	336	1:57:05	321	2:39:05	328	1:17:16	290	320
27	526	宮下 礼子	4:01:51	0:38:21	283	1:58:44	329	2:37:05	324	1:24:46	335	330
28	512	浅見 美香	4:04:23	0:46:13	362	2:03:35	341	2:49:48	347	1:14:35	276	336
29	523	田沼 智子	4:04:45	0:35:45	236	2:05:16	345	2:41:01	333	1:23:44	330	337
DNF	532	安納 明希子		0:42:09	339							DNF
DNF	536	赤堀 美希		0:39:57	315							DNF
DNF	519	片山 美香										DNF
DNF	537	平田 由衣子										DNF
DNS	520	柏木 千景										DNS
DNS	521	木下 友梨菜										DNS
DNS	522	野澤 佳恵										DNS
DNS	531	松本 多賀子										DNS
DNS	535	包 ハン										DNS
