順位	No.	氏名	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	総合順位
1	102	立山 宏一	2:14:13	0:21:20	1	1:11:25	6	1:32:45	5	0:41:28	2	1
2	113	平井 健吾	2:15:50	0:22:20	6	1:10:18	3	1:32:38	4	0:43:12	12	2
3	103	今村 圭孝	2:17:05	0:21:52	4	1:12:01	7	1:33:53	6	0:43:12	11	3
4	136	渡邉 達樹	2:18:10	0:25:44	28	1:10:55	5	1:36:39	10	0:41:31	3	4
5	119	江田 祐太朗	2:18:26	0:22:20	5	1:14:09	16	1:36:29	8	0:41:57	5	5
6	111	柴田 大輔	2:19:11	0:23:55	14	1:13:09	12	1:37:04	11	0:42:07	7	6
7	104	中山 泰誠	2:20:32	0:21:21	2	1:10:54	4	1:32:15	3	0:48:17	28	7
8	126	菊地 優志	2:20:58	0:26:58	40	1:12:15	9	1:39:13	13	0:41:45	4	8
9	135	中村 亮平	2:21:07	0:25:21	24	1:13:48	13	1:39:09	12	0:41:58	6	9
10	110	矢口 栄司	2:21:41	0:24:06	16	1:12:29	11	1:36:35	9	0:45:06	14	10
11	106	小林 颯人	2:22:48	0:22:48	7	1:17:25	27	1:40:13	16	0:42:35	8	11
12	107	茂田 萌次郎	2:22:51	0:23:50	13	1:12:18	10	1:36:08	7	0:46:43	20	12
13	139	養田 吏紀	2:23:48	0:26:12	33	1:14:03	15	1:40:15	17	0:43:33	13	13
14	163	杉本 昌也	2:24:37	0:27:07	45	1:14:19	17	1:41:26	19	0:43:11	10	14
15	133	渡辺 誉史	2:25:45	0:23:30	11	1:16:32	23	1:40:02	15	0:45:43	16	15
16	164	武田 隼人	2:25:56	0:27:36	55	1:12:13	8	1:39:49	14	0:46:07	17	16
17	224	唐沢 剛史	2:27:38	0:33:04	166	1:17:54	30	1:50:58	50	0:36:40	1	17
18	116	鬼澤 秀和	2:28:56	0:26:27	35	1:13:57	14	1:40:24	18	0:48:32	30	18
19	122	平澤 健市	2:31:24	0:25:08	23	1:19:06	34	1:44:14	25	0:47:10	23	19
20	152	池亀 晃	2:31:36	0:27:30	53	1:17:43	29	1:45:13	31	0:46:23	18	20
21	115	森山 岳	2:31:59	0:26:01	30	1:17:26	28	1:43:27	24	0:48:32	32	21
22	160	関口 奨	2:33:34	0:26:37	37	1:19:57	38	1:46:34	33	0:47:00	22	23
23	101	上條 琉聖	2:33:50	0:21:40	3	1:20:45	45	1:42:25	21	0:51:25	43	24
24	184	神谷 嵩史	2:33:55	0:28:17	71	1:14:34	18	1:42:51	22	0:51:04	41	25
25	183	吉田 圭汰	2:34:26	0:26:40	38	1:21:15	47	1:47:55	38	0:46:31	19	26
26	258	高橋 智	2:34:53	0:27:30	52	1:19:33	36	1:47:03	35	0:47:50	26	27
27	146	佐藤 浩二	2:35:38	0:26:15	34	1:15:27	19	1:41:42	20	0:53:56	58	28
28	172	伊藤 秀輔	2:35:54	0:27:56	63	1:17:00	24	1:44:56	28	0:50:58	39	29
29	117	今井 達也	2:36:04	0:23:57	15	1:20:37	44	1:44:34	27	0:51:30	44	30
