	Pos	StartNum	Name	Affiliation	YOB	Time	Swim	Bike	Run
	1	12	徳山 哲平	学連・埼玉県		0:57:59	0:09:16	0:33:25	0:15:18
	2	4	古山 大	セクダム/茨城県		0:58:08	0:09:24	0:33:12	0:15:32
	3	7	玉﨑 稜也	株式会社小泉/東京都（千葉県）		0:58:26	0:09:40	0:33:05	0:15:41
	4	15	小川 颯斗	学連・千葉県		0:58:32	0:09:17	0:33:25	0:15:50
	5	50	小林 祐也	学連・東京都（群馬県）		0:58:35	0:09:18	0:33:22	0:15:55
	6	11	山下 陽裕	埼玉県		0:59:16	0:09:13	0:33:35	0:16:28
	7	40	花岡 秀吾	学連・千葉県		0:59:25	0:10:22	0:33:27	0:15:36
	8	13	榊原 利基	神奈川県		0:59:40	0:09:23	0:34:27	0:15:50
	9	16	榊原 佑基	千葉県		0:59:57	0:10:13	0:33:41	0:16:03
	10	6	小林 竜馬	龍ケ崎市役所/茨城県		1:00:21	0:10:02	0:33:48	0:16:31
	11	46	本木 颯人	学連・東京都（埼玉県）		1:00:39	0:10:26	0:33:26	0:16:47
	12	2	鋤崎 隆也	さわかみホールディングス/千葉		1:00:50	0:09:38	0:34:16	0:16:56
	13	9	田中 文也	神奈川県		1:01:03	0:10:37	0:34:38	0:15:48
kotarowatanabe	14	5	渡部 晃大朗	稲毛インター/千葉県		1:01:07	0:09:20	0:33:25	0:18:22
	15	14	佐藤 謙太郎	群馬県		1:01:10	0:10:01	0:33:57	0:17:12
	16	48	佐山 拓海	学連・宮城県（栃木県）		1:01:35	0:10:47	0:34:39	0:16:09
	17	33	菅家 隼	学連・神奈川県		1:01:43	0:10:11	0:33:56	0:17:36
	18	37	中川 恵太	学連・千葉県		1:02:02	0:10:00	0:34:01	0:18:01
	19	31	篠崎 友	神奈川県		1:03:03	0:10:54	0:34:34	0:17:35
	20	23	加塩 柚樹	神奈川県		1:03:05	0:10:07	0:35:22	0:17:36
	21	20	浜崎 塁	学連・東京都（神奈川県）		1:03:23	0:09:34	0:35:53	0:17:56
	22	47	渡邉 優介	栃木県		1:03:34	0:12:03	0:35:17	0:16:14
yuichihosoda	23	1	細田 雄一	博慈会/東京都（千葉県）		1:03:34	0:11:12	0:35:20	0:17:02
	24	39	小池 賢	千葉県		1:03:40	0:10:16	0:35:17	0:18:07
	25	44	橋本 有広	埼玉県		1:03:45	0:12:05	0:34:44	0:16:56
	26	30	福田 勇希	神奈川県		1:03:51	0:10:53	0:35:46	0:17:12
	27	18	中込 英夫	神奈川県		1:03:59	0:10:36	0:35:56	0:17:27
	28	35	田中 聡	学連・宮城県（神奈川県）		1:04:15	0:10:58	0:35:34	0:17:43
	29	41	花野 潤	学連・千葉県		1:04:56	0:11:01	0:35:30	0:18:25
	30	19	森田 起也	千葉県		1:06:11	0:11:27	0:36:24	0:18:20
	31	27	山添 昌人	神奈川県		1:06:31	0:10:19	0:36:22	0:19:50
	32	38	小島 裕貴	茨城県		1:06:35	0:10:08	0:36:44	0:19:43
	33	32	若菜 和彦	神奈川県		1:06:44	0:10:41	0:36:05	0:19:58
	34	21	中塚 貴文	神奈川県		1:06:56	0:11:46	0:35:52	0:19:18
	35	28	有冨 弘朗	神奈川県		1:10:08	0:11:20	0:41:09	0:17:39
	36	49	経澤 耕達	栃木県		1:10:10	0:12:05	0:39:39	0:18:26
	37	45	山口 海一郎	学連・埼玉県		1:10:37	0:10:40	0:40:10	0:19:47
	38	29	森田 柊司	学連・神奈川県		1:12:18	0:14:06	0:39:06	0:19:06
	39	22	中山 祥貴	学連・神奈川県（栃木県）		1:14:05	0:13:37	0:39:27	0:21:01
	40	24	小林 倫彦	神奈川県		1:25:25	0:13:27	0:46:40	0:25:18
	DNF	26	山本 明宜	神奈川県			0:11:07		
	DSQ	34	齋藤 陽之助	学連・神奈川県（栃木県）		1:02:29	0:11:55	0:35:53	0:14:41
	DSQ	36	紺野 涼太	学連・神奈川県		1:02:02	0:12:20	0:35:58	0:13:44
	DSQ	51	奥山 奥士	山梨県		1:14:12	0:11:40	0:44:56	0:17:36
	DNS	8	安藤 勘太	流通経済大学/学連・茨城県					
	DNS	17	亀山 一輝	学連・茨城県（群馬県）					
	DNS	25	山本 昌孝	神奈川県					
	DNS	43	小泉 諒太	学連・埼玉県					
	DNS	52	塚田 重城	東京都					
