総合順位	No.	氏名	性別	居住地	総合記録	スイムラップ	S順	バイクラップ	B順	スプリット	通過	ランラップ	R順
1	25062	外山 高広	男	埼玉県	2:05:19	0:19:54	1	1:10:35	5	1:30:29	2	0:34:50	1
2	30030	今村 圭孝	男	神奈川県	2:09:01	0:21:12	3	1:11:09	7	1:32:21	4	0:36:40	3
3	25063	中井 啓太	男	三重県	2:09:33	0:21:50	7	1:10:30	4	1:32:20	3	0:37:13	4
4	30019	阿部 吉貴	男	東京都	2:11:58	0:23:39	27	1:12:28	15	1:36:07	12	0:35:51	2
5	25052	杉山 太一	男	静岡県	2:13:12	0:22:43	13	1:12:21	11	1:35:04	6	0:38:08	6
6	25067	西崎 昌宏	男	東京都	2:14:17	0:22:31	11	1:13:28	24	1:35:59	10	0:38:18	10
7	35128	八田 益之	男	神奈川県	2:14:43	0:24:02	36	1:12:25	13	1:36:27	14	0:38:16	9
8	25089	山本 一博	男	愛知県	2:14:48	0:25:39	71	1:09:46	2	1:35:25	8	0:39:23	20
9	40220	山口 俊宗	男	東京都	2:15:36	0:23:19	23	1:14:10	34	1:37:29	17	0:38:07	5
10	40145	田原 義夫	男	東京都	2:17:15	0:24:47	54	1:13:28	25	1:38:15	22	0:39:00	13
11	35152	松本 剛	男	長野県	2:17:17	0:25:01	57	1:14:04	30	1:39:05	28	0:38:12	8
12	25078	古畑 真	男	埼玉県	2:17:32	0:27:49	129	1:10:25	3	1:38:14	21	0:39:18	19
13	25038	小林 雄太	男	神奈川県	2:17:55	0:28:00	135	1:11:12	8	1:39:12	29	0:38:43	11
14	25056	高橋 篤史	男	茨城県	2:18:09	0:22:25	10	1:15:34	48	1:37:59	20	0:40:10	23
15	25073	東野 翔	男	大阪府	2:18:25	0:22:35	12	1:13:28	26	1:36:03	11	0:42:22	47
16	50069	塚越 達也	男	神奈川県	2:19:04	0:26:41	93	1:12:40	18	1:39:21	30	0:39:43	21
17	45020	石鍋 聖一	男	兵庫県	2:19:06	0:24:32	50	1:12:27	14	1:36:59	16	0:42:07	44
18	40003	David Sims	男	Australia	2:19:19	0:23:50	33	1:10:39	6	1:34:29	5	0:44:50	100
19	20014	山崎 裕太	男	学連	2:19:22	0:24:32	51	1:13:57	28	1:38:29	25	0:40:53	33
20	35158	溝端 祐一	男	大阪府	2:19:53	0:25:31	69	1:12:45	19	1:38:16	23	0:41:37	40
