総合 順位	No.	氏名	性別	総合記録	msec	ｽｲﾑﾗｯﾌﾟ	S順	ﾊﾞｲｸﾗｯﾌﾟ	B順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	R順	男子 順位	女子 順位	区分	区分 順位
1	101	山下 龍	男	0:51:57	380	0:03:43	1	0:27:09	1	0:30:52	1	0:21:05	11	1		男子19歳以下	
2	145	柴田 大輔	男	0:51:57	510	0:04:06	5	0:27:55	3	0:32:01	2	0:19:56	3	2		男子20-29歳	
3	153	イングリッシュ フィリップ	男	0:52:42		0:04:01	3	0:28:13	6	0:32:14	3	0:20:28	6	3		男子20-29歳	
4	109	平出 晃大	男	0:53:01		0:04:27	11	0:28:24	8	0:32:51	6	0:20:10	4	4		男子19歳以下	1
5	119	佐藤 大樹	男	0:53:19		0:05:43	59	0:28:15	7	0:33:58	13	0:19:21	1	5		男子19歳以下	2
6	148	中山 泰誠	男	0:54:01		0:04:18	7	0:28:03	5	0:32:21	4	0:21:40	17	6		男子20-29歳	1
7	116	渡邊 駿	男	0:54:06		0:04:48	22	0:27:49	2	0:32:37	5	0:21:29	15	7		男子19歳以下	3
8	117	和田 佳士	男	0:54:11		0:04:54	25	0:27:57	4	0:32:51	7	0:21:20	13	8		男子19歳以下	4
9	110	関 丈	男	0:54:36		0:05:18	38	0:28:32	9	0:33:50	12	0:20:46	9	9		男子19歳以下	5
10	124	藤﨑 浩隆	男	0:54:45		0:04:59	26	0:30:01	17	0:35:00	23	0:19:45	2	10		男子20-29歳	2
11	139	真野 翔太	男	0:54:59		0:03:55	2	0:29:29	14	0:33:24	10	0:21:35	16	11		男子20-29歳	3
12	114	本道 祥太	男	0:55:02		0:04:37	19	0:30:13	20	0:34:50	20	0:20:12	5	12		男子19歳以下	6
13	127	齋藤 陽之助	男	0:55:06		0:04:08	6	0:29:07	13	0:33:15	9	0:21:51	19	13		男子20-29歳	4
14	103	山田 壮流	男	0:55:20		0:04:21	9	0:28:35	11	0:32:56	8	0:22:24	22	14		男子19歳以下	7
15	147	松田 光将	男	0:55:45		0:04:49	23	0:29:55	16	0:34:44	17	0:21:01	10	15		男子20-29歳	5
16	102	島崎 茉央	女	0:56:35		0:04:24	10	0:30:22	21	0:34:46	19	0:21:49	18		1	女子19歳以下	
17	325	足立 健児	男	0:57:06		0:04:28	13	0:30:09	19	0:34:37	15	0:22:29	24	16		男子50-59歳	1
18	304	高橋 豊	男	0:58:10		0:04:32	16	0:30:57	26	0:35:29	25	0:22:41	27	17		男子40-49歳	1
19	121	廣田 興紀	男	0:58:14		0:05:26	45	0:32:05	31	0:37:31	33	0:20:43	8	18		男子19歳以下	8
20	123	島田 壮大郎	男	0:58:27		0:04:29	15	0:30:29	23	0:34:58	22	0:23:29	32	19		男子20-29歳	6
21	134	日引 華子	女	0:59:11		0:04:28	14	0:30:28	22	0:34:56	21	0:24:15	43		2	女子20-29歳	
22	173	長倉 卓正	男	0:59:21		0:05:10	34	0:31:19	28	0:36:29	28	0:22:52	28	20		男子30-39歳	1
23	352	丹野 憲仁	男	0:59:30		0:05:17	36	0:31:36	29	0:36:53	29	0:22:37	26	21		男子50-59歳	2
24	199	佐藤 智則	男	0:59:41		0:05:10	33	0:31:06	27	0:36:16	26	0:23:25	31	22		男子40-49歳	2
25	136	簑手 亮太	男	0:59:45		0:04:35	18	0:29:02	12	0:33:37	11	0:26:08	56	23		男子20-29歳	7
26	171	小梢 真弥	男	0:59:59		0:05:07	28	0:34:22	54	0:39:29	48	0:20:30	7	24		男子30-39歳	2
27	108	吉田 琉七	女	1:00:06		0:04:02	4	0:30:43	25	0:34:45	18	0:25:21	49		3	女子19歳以下	
28	122	堀内 登生	男	1:00:06		0:05:08	31	0:33:36	44	0:38:44	40	0:21:22	14	25		男子19歳以下	9
29	156	小田 哲也	男	1:00:06		0:05:20	39	0:32:29	37	0:37:49	35	0:22:17	21	26		男子30-39歳	3
30	188	河野 栄治	男	1:00:09		0:05:11	35	0:29:31	15	0:34:42	16	0:25:27	51	27		男子40-49歳	3
31	126	河村 新太	男	1:01:16		0:05:50	62	0:28:33	10	0:34:23	14	0:26:53	66	28		男子20-29歳	8
32	149	今中 智樹	男	1:01:17		0:06:13	82	0:30:05	18	0:36:18	27	0:24:59	46	29		男子20-29歳	9
33	327	木村 航士	男	1:01:27		0:04:53	24	0:35:15	61	0:40:08	57	0:21:19	12	30		男子50-59歳	3
34	111	大橋 勇紀	男	1:01:33		0:05:50	63	0:31:59	30	0:37:49	34	0:23:44	36	31		男子19歳以下	10
35	351	境 広志	男	1:01:38		0:05:07	29	0:32:17	34	0:37:24	32	0:24:14	42	32		男子50-59歳	4
36	161	青山 泰	男	1:01:52		0:05:09	32	0:34:29	56	0:39:38	52	0:22:14	20	33		男子30-39歳	4
37	105	倉澤 拓真	男	1:01:55		0:05:38	54	0:32:46	40	0:38:24	39	0:23:31	34	34		男子19歳以下	11
38	343	木下 芳樹	男	1:01:55		0:05:21	40	0:32:33	38	0:37:54	36	0:24:01	40	35		男子50-59歳	5
39	115	松本 大門	男	1:02:02		0:07:14	112	0:32:22	36	0:39:36	49	0:22:26	23	36		男子19歳以下	12
40	113	岡崎 唯人	男	1:02:28		0:04:47	21	0:30:39	24	0:35:26	24	0:27:02	68	37		男子19歳以下	13
41	165	常田 将弘	男	1:03:01		0:05:29	46	0:34:22	55	0:39:51	54	0:23:10	30	38		男子30-39歳	5
42	104	中野 翔太	男	1:03:02		0:05:42	57	0:33:38	46	0:39:20	45	0:23:42	35	39		男子19歳以下	14
43	194	唐司 寿一	男	1:03:24		0:06:17	83	0:33:20	41	0:39:37	51	0:23:47	37	40		男子40-49歳	4
44	340	大橋 誠司	男	1:03:34		0:05:08	30	0:33:36	45	0:38:44	41	0:24:50	45	41		男子50-59歳	6
45	190	左近田 崇仁	男	1:03:38		0:05:48	60	0:34:20	53	0:40:08	56	0:23:30	33	42		男子40-49歳	5
46	306	花木 聡	男	1:03:42		0:05:23	42	0:33:50	49	0:39:13	44	0:24:29	44	43		男子40-49歳	6
47	196	竹下 直宏	男	1:03:45		0:05:22	41	0:34:34	58	0:39:56	55	0:23:49	38	44		男子40-49歳	7
48	132	田辺 翔大	男	1:04:27		0:05:37	53	0:32:19	35	0:37:56	37	0:26:31	60	45		男子20-29歳	10
49	322	笹原 奈泉	女	1:04:43		0:05:40	56	0:33:48	47	0:39:28	47	0:25:15	48		4	女子50-59歳	1
50	170	山口 和也	男	1:04:51		0:06:06	78	0:35:36	63	0:41:42	65	0:23:09	29	46		男子30-39歳	6
51	155	鶴薗 浩徳	男	1:05:12		0:04:45	20	0:34:09	51	0:38:54	42	0:26:18	57	47		男子30-39歳	7
52	320	丹柿 善光	男	1:05:23		0:05:50	61	0:34:30	57	0:40:20	58	0:25:03	47	48		男子50-59歳	7
53	353	井形 繁雄	男	1:05:35		0:06:46	99	0:36:15	70	0:43:01	76	0:22:34	25	49		男子50-59歳	8
54	392	萩野 圭一	男	1:05:43		0:06:06	79	0:35:25	62	0:41:31	63	0:24:12	41	50		男子50-59歳	9
55	125	青木 達也	男	1:05:48		0:04:20	8	0:35:04	60	0:39:24	46	0:26:24	59	51		男子20-29歳	11
56	138	高田 彩加	女	1:05:52		0:05:25	44	0:33:35	43	0:39:00	43	0:26:52	65		5	女子20-29歳	1
57	390	渡邉 賢二	男	1:06:30		0:05:03	27	0:32:17	33	0:37:20	31	0:29:10	89	52		男子40-49歳	8
58	112	井出 颯一朗	男	1:06:31		0:04:28	12	0:32:39	39	0:37:07	30	0:29:24	94	53		男子19歳以下	15
59	364	風間 平吉	男	1:06:32		0:06:23	87	0:33:23	42	0:39:46	53	0:26:46	62	54		男子50-59歳	10
60	118	金井 謙吾	男	1:07:12		0:05:32	48	0:34:05	50	0:39:37	50	0:27:35	71	55		男子19歳以下	16
61	341	平山 経政	男	1:07:22		0:06:03	72	0:32:07	32	0:38:10	38	0:29:12	90	56		男子50-59歳	11
62	366	斉藤 茂之	男	1:07:32		0:05:34	51	0:35:57	66	0:41:31	62	0:26:01	54	57		男子50-59歳	12
63	365	小西 正宣	男	1:07:38		0:06:59	106	0:34:40	59	0:41:39	64	0:25:59	53	58		男子50-59歳	13
64	150	間明田 美保	女	1:07:44		0:05:25	43	0:36:49	78	0:42:14	69	0:25:30	52		6	女子20-29歳	2
65	160	榊原 大地	男	1:07:47		0:07:18	114	0:36:33	73	0:43:51	85	0:23:56	39	59		男子30-39歳	8
66	319	大久保 卓二	男	1:08:14		0:06:43	96	0:34:16	52	0:40:59	60	0:27:15	69	60		男子40-49歳	9
67	350	柏崎 龍進	男	1:08:17		0:06:31	92	0:33:50	48	0:40:21	59	0:27:56	75	61		男子50-59歳	14
68	307	小柳津 修	男	1:09:18		0:05:58	68	0:36:42	74	0:42:40	73	0:26:38	61	62		男子40-49歳	10
69	192	那須野 成紀	男	1:09:25		0:05:33	49	0:37:04	84	0:42:37	72	0:26:48	63	63		男子40-49歳	11
70	357	高橋 治	男	1:09:35		0:06:06	77	0:37:26	87	0:43:32	80	0:26:03	55	64		男子50-59歳	15
71	128	三浦 太生	男	1:10:06		0:05:30	47	0:38:13	91	0:43:43	83	0:26:23	58	65		男子20-29歳	12
72	184	佐々木 美由紀	女	1:10:24		0:06:25	88	0:36:01	67	0:42:26	70	0:27:58	77		7	女子40-49歳	1
73	323	星野 雅史	男	1:10:40		0:06:44	97	0:36:57	83	0:43:41	82	0:26:59	67	66		男子50-59歳	16
74	167	山口 尊子	女	1:10:42		0:05:40	55	0:38:13	92	0:43:53	88	0:26:49	64		8	女子30-39歳	1
75	189	竹原 智威	男	1:10:57		0:05:17	37	0:36:55	82	0:42:12	68	0:28:45	84	67		男子40-49歳	12
76	339	塚原 昭夫	男	1:10:57		0:06:06	80	0:36:49	79	0:42:55	75	0:28:02	78	68		男子50-59歳	17
77	163	鮫嶋 悠司	男	1:11:00		0:06:55	104	0:38:40	96	0:45:35	98	0:25:25	50	69		男子30-39歳	9
78	193	鷹野 浩三	男	1:11:01		0:05:34	50	0:35:46	65	0:41:20	61	0:29:41	96	70		男子40-49歳	13
79	142	柏木 快里	男	1:11:30		0:07:52	123	0:36:01	68	0:43:53	87	0:27:37	72	71		男子20-29歳	13
80	344	新藤 健司	男	1:11:41		0:07:04	110	0:36:47	76	0:43:51	86	0:27:50	74	72		男子50-59歳	18
