総合順位	No.	氏名	登録地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	PNLT
1	53	一松 菜央	鹿児島県	2:11:21	0:21:25	4	1:09:47	1	1:31:12	1	0:40:09	2	
2	51	福島 弥生	福岡県	2:13:11	0:22:47	6	1:11:13	4	1:34:00	4	0:39:11	1	
3	52	池口 いずみ	鳥取県	2:13:51	0:20:29	1	1:10:48	2	1:31:17	2	0:42:34	3	
4	56	松本 由衣	福岡県	2:18:23	0:23:21	7	1:10:49	3	1:34:10	6	0:44:13	4	
5	54	小野 梨花	学連(九州女子大学)	2:22:29	0:20:31	2	1:12:31	6	1:33:02	3	0:49:27	9	
6	60	入江 紘子	沖縄県	2:23:33	0:22:27	5	1:11:55	5	1:34:22	7	0:49:11	8	
7	55	上畑 真彩	学連(九州共立大学)	2:24:44	0:21:23	3	1:12:43	7	1:34:06	5	0:50:38	12	
8	64	倉原 未波	熊本県	2:27:26	0:27:06	11	1:13:12	8	1:40:18	8	0:47:08	5	
9	61	中村 真結	熊本県	2:29:18	0:24:48	9	1:15:31	11	1:40:19	9	0:48:59	7	
10	62	山内 実優	佐賀県	2:30:31	0:27:10	13	1:14:44	10	1:41:54	11	0:48:37	6	
11	58	西出 夏奈子	大分県	2:32:03	0:24:36	8	1:17:22	15	1:41:58	12	0:50:05	11	
12	65	野仲 典子	大分県	2:34:38	0:27:08	12	1:14:35	9	1:41:43	10	0:52:55	15	
13	66	寺田 ひなた	学連(長崎大学)	2:34:43	0:25:47	10	1:16:13	12	1:42:00	13	0:52:43	14	
14	63	林田 碧	長崎県	2:35:40	0:28:55	14	1:17:05	14	1:46:00	15	0:49:40	10	
15	67	池田 千春	長崎県	2:36:48	0:29:00	15	1:16:49	13	1:45:49	14	0:50:59	13	
16	68	杉谷 由香里	長崎県	3:01:31	0:33:46	16	1:30:50	16	2:04:36	16	0:56:55	16	
DSQ	57	津守 響子	福岡県	2:27:20	0:21:32		1:15:57		1:37:29		0:49:51		
DNS	59	片桐 由起	鹿児島県										
