総合順位	No.	氏名	登録地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	PNLT
1	1	石関 玲於	佐賀県	1:56:05	0:19:15	2	1:00:56	3	1:20:11	1	0:35:54	2	
2	10	福島 稜大	福岡県	1:57:35	0:21:02	15	1:01:33	6	1:22:35	6	0:35:00	1	
3	3	新田 城二	大分県	1:58:30	0:19:20	3	1:01:01	4	1:20:21	4	0:38:09	9	
4	4	山中 翔陽	学連(佐賀大学)	1:58:38	0:19:43	4	1:00:28	1	1:20:11	2	0:38:27	12	
5	13	安田 大河	学連(九州大学)	1:59:41	0:20:53	13	1:01:54	7	1:22:47	10	0:36:54	5	
6	9	藤田 海人	福岡県	1:59:55	0:20:35	9	1:02:04	10	1:22:39	7	0:37:16	6	
7	11	武友 潤	福岡県	2:01:02	0:20:44	12	1:02:01	9	1:22:45	9	0:38:17	11	
8	14	原口 大空	学連(同志社大学)	2:01:39	0:20:41	10	1:01:59	8	1:22:40	8	0:38:59	13	
9	5	大嶋 力	学連(立命館大学)	2:02:04	0:19:45	5	1:00:51	2	1:20:36	5	0:41:28	16	
10	2	甲斐 瑠夏	佐賀県	2:02:33	0:19:14	1	1:01:02	5	1:20:16	3	0:42:17	21	
11	20	橋本 悠輝	神奈川県	2:02:58	0:21:41	20	1:03:56	14	1:25:37	14	0:37:21	7	
12	16	末岡 瞭	長崎県	2:03:12	0:21:39	17	1:03:53	13	1:25:32	13	0:37:40	8	
13	18	鮫嶋 浩生	鹿児島県	2:04:43	0:20:42	11	1:02:14	11	1:22:56	12	0:41:47	19	
14	12	髙濵 邦晃	福岡県	2:05:07	0:21:40	19	1:06:49	21	1:28:29	20	0:36:38	4	
15	19	堀田 昇世	長崎県	2:06:27	0:23:36	26	1:06:27	20	1:30:03	22	0:36:24	3	
16	17	黒田 緣	福岡県	2:06:37	0:22:12	23	1:06:10	19	1:28:22	19	0:38:15	10	
17	25	米倉 亮太	福岡県	2:06:51	0:21:02	14	1:05:02	16	1:26:04	18	0:40:47	14	
18	23	土江 巧真	長崎県	2:07:39	0:20:10	8	1:05:48	18	1:25:58	17	0:41:41	18	
19	21	筒井 佑	佐賀県	2:09:07	0:21:34	16	1:04:09	15	1:25:43	15	0:43:24	25	
20	6	立花 匠	学連(日本体育大学)	2:09:13	0:19:53	6	1:02:56	12	1:22:49	11	0:46:24	28	
21	27	内栫 将司	熊本県	2:10:44	0:21:43	21	1:07:30	23	1:29:13	21	0:41:31	17	
22	26	池田 圭介	長崎県	2:11:09	0:21:48	22	1:08:17	24	1:30:05	23	0:41:04	15	
23	32	岩城 省吾	鹿児島県	2:14:19	0:20:09	7	1:05:42	17	1:25:51	16	0:48:28	30	
24	28	武友 寛	福岡県	2:14:50	0:22:45	24	1:07:28	22	1:30:13	24	0:44:37	26	
25	24	惠﨑 拓真	佐賀県	2:15:44	0:23:33	25	1:09:32	26	1:33:05	25	0:42:39	24	
26	15	伊東 政輝	学連(熊本大学)	2:18:22	0:21:40	18	1:11:40	27	1:33:20	26	0:45:02	27	
27	33	金子 雅明	学連(長崎大学)	2:18:52	0:27:46	31	1:08:30	25	1:36:16	27	0:42:36	23	
28	31	小林 正典	大分県	2:19:02	0:24:45	29	1:12:11	28	1:36:56	28	0:42:06	20	
29	29	竹永 照二郎	大分県	2:19:14	0:24:31	28	1:12:26	29	1:36:57	29	0:42:17	22	
30	34	酒井 博幸	福岡県	2:24:24	0:24:27	27	1:12:31	30	1:36:58	30	0:47:26	29	
DNF	35	竹之内 駿希	学連(同志社大学)		0:27:30	30	1:14:10	31	1:41:40	31			
DSQ	8	橋本 力輝	学連(神奈川大学)	1:58:49	0:19:59		1:02:47		1:22:46		0:36:03		
DSQ	22	江里口 史翔	佐賀県	2:06:11	0:20:09		1:02:45		1:22:54		0:43:17		
DNS	7	松本 敬之	学連(長崎大学)										
DNS	30	米田 亮吾	学連(長崎大学)										
