総合順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	区分	区分順位	選手権順
1	35	下野 善弘	49	男	千葉県	2:11:59	0:25:27	5	1:03:35	1	1:29:02	1	0:42:57	4	1		40代男子		
2	4	田澤 拓也	29	男	岩手県	2:17:48	0:24:27	2	1:12:22	6	1:36:49	4	0:40:59	3	2		39歳以下男子		
3	23	杉本 宏樹	45	男	埼玉県	2:19:08	0:21:41	1	1:14:09	13	1:35:50	3	0:43:18	5	3		40代男子		
4	43	平澤 健市	51	男	埼玉県	2:19:54	0:25:38	7	1:09:53	2	1:35:31	2	0:44:23	9	4		50代男子		
5	11	増田 拓也	35	男	東京都	2:24:11	0:26:01	11	1:11:08	3	1:37:09	5	0:47:02	15	5		39歳以下男子		
6	20	櫻田 慎	43	男	岩手県	2:24:41	0:27:39	13	1:12:30	7	1:40:09	10	0:44:32	11	6		40代男子		
7	3	山川 雄大	27	男	東京都	2:24:54	0:29:48	31	1:15:02	17	1:44:50	19	0:40:04	1	7		39歳以下男子	1	
8	208	布施 愛里	46	女	北海道	2:24:56	0:24:29	3	1:17:01	26	1:41:30	11	0:43:26	7		1	40代女子		
9	8	清水 優	33	男	大阪府	2:26:25	0:30:17	40	1:15:44	21	1:46:01	23	0:40:24	2	8		39歳以下男子	2	
10	2	澤村 悠里	26	男	青森県	2:27:00	0:24:48	4	1:14:27	16	1:39:15	8	0:47:45	17	9		39歳以下男子	3	1
11	32	鈴木 裕之	47	男	東京都	2:28:36	0:29:59	34	1:13:16	10	1:43:15	13	0:45:21	12	10		40代男子	1	
12	25	池田 浩一	45	男	山形県	2:28:55	0:31:48	54	1:12:45	8	1:44:33	18	0:44:22	8	11		40代男子	2	
13	47	木村 琢磨	52	男	埼玉県	2:29:06	0:25:40	8	1:13:56	12	1:39:36	9	0:49:30	21	12		50代男子	1	
14	12	虻川 真澄	38	男	東京都	2:29:22	0:28:07	19	1:16:46	24	1:44:53	20	0:44:29	10	13		39歳以下男子	4	
15	18	榎木 厚介	42	男	東京都	2:29:27	0:30:24	41	1:11:25	4	1:41:49	12	0:47:38	16	14		40代男子	3	
