総合順位	No.	氏名	年齢	性別	JTU登録	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	T1	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齢別順	岐阜県選手権	選手権順位
1	2502	湯村 天星	25	男	岐⾩県	1:06:11	0:19:43	2	0:00:50	0:28:42	1	0:16:56	1	1		25-29男⼦		岐⾩県男⼦	1
2	2013	甲斐 瑠夏	24	男	佐賀県	1:09:59	0:19:42	1	0:00:44	0:31:12	6	0:18:21	5	2		20-24男⼦			
3	2004	神⾕ 怜央	20	男	学連	1:12:19	0:21:15	3	0:01:00	0:31:29	8	0:18:35	6	3		20-24男⼦			
4	3506	東都 源也	36	男	⼤阪府	1:12:45	0:21:58	5	0:01:09	0:30:55	4	0:18:43	7	4		35-39男⼦	1		
5	2012	嶺岸 和主也	22	男	学連	1:15:07	0:24:56	12	0:00:55	0:31:50	9	0:17:26	2	5		20-24男⼦	1		
6	2505	平林 毅郎	26	男	岐⾩県	1:15:54	0:22:23	6	0:01:01	0:33:11	29	0:19:19	9	6		25-29男⼦	1	岐⾩県男⼦	2
7	4505	⼟⽥ 洋平	45	男	岐⾩県	1:16:29	0:26:19	23	0:01:11	0:29:18	2	0:19:41	16	7		45-49男⼦	1	岐⾩県男⼦	3
8	5509	森下 泰秀	57	男	三重県	1:17:35	0:23:52	7	0:01:08	0:31:53	11	0:20:42	30	8		55-59男⼦	1		
9	2002	横枕 優太	20	男	学連	1:17:35	0:25:50	19	0:01:10	0:31:27	7	0:19:08	8	9		20-24男⼦	2		
10	2006	中村 就太	20	男	学連	1:17:54	0:27:23	37	0:00:51	0:32:12	15	0:17:28	3	10		20-24男⼦	3		
11	2507	江草 幸⼀	27	男	愛知県	1:19:33	0:25:23	16	0:01:05	0:31:58	13	0:21:07	35	11		25-29男⼦	2		
12	5013	福元 テツロー	52	男	広島県	1:19:34	0:25:54	20	0:01:28	0:31:57	12	0:20:15	22	12		50-54男⼦	1		
13	5002	⿊川 哲弘	50	男	愛知県	1:19:38	0:24:15	9	0:01:00	0:32:47	20	0:21:36	44	13		50-54男⼦	2		
14	3513	神⾕ 泰平	37	男	愛知県	1:19:52	0:27:16	33	0:01:27	0:29:46	3	0:21:23	40	14		35-39男⼦	2		
15	4509	服部 雅司	46	男	愛知県	1:20:17	0:27:01	26	0:01:05	0:32:50	21	0:19:21	10	15		45-49男⼦	2		
16	351	⼊江 紘⼦	35	⼥	沖縄県	1:21:05	0:21:40	4	0:00:58	0:36:03	75	0:22:24	50		1	35-39⼥⼦			
17	6016	桑原 邦匡	60	男	愛知県	1:21:22	0:26:53	25	0:01:18	0:31:58	14	0:21:13	37	16		60-64男⼦	1		
18	3508	井上 博⼈	36	男	愛知県	1:21:30	0:27:28	40	0:01:03	0:33:01	24	0:19:58	19	17		35-39男⼦	3		
19	4010	⼤村 成伸	42	男	愛知県	1:21:36	0:27:26	39	0:02:11	0:32:30	16	0:19:29	13	18		40-44男⼦	1		
20	2011	北島 智史	21	男	学連	1:21:40	0:27:10	30	0:00:52	0:32:51	22	0:20:47	31	19		20-24男⼦	4		
21	4014	湊 佳彦	42	男	愛知県	1:21:59	0:29:33	62	0:01:23	0:31:11	5	0:19:52	17	20		40-44男⼦	2		
22	203	⼩⽯川 花梨	22	⼥	学連	1:22:30	0:28:49	55	0:00:53	0:33:13	30	0:19:35	15		2	20-24⼥⼦			
23	201	尾崎 ほの花	21	⼥	学連	1:22:36	0:27:31	44	0:00:53	0:33:41	35	0:20:31	27		3	20-24⼥⼦			
24	4008	横⼤路 勝也	41	男	⼤阪府	1:22:51	0:27:10	31	0:01:46	0:34:27	50	0:19:28	12	21		40-44男⼦	3		
