総合順位	No.	氏名	年齢	性別	都道府県	総合記録	スイムラップ	S順	T1ラップ	T1順	バイクラップ	B順	スプリット	通過	T2ラップ	T2順	ランラップ	R順	ペナルティ	男子順位	女子順位	エイジ区分	エイジ順位
1	45	益田 大貴		男	神奈川県	3:25:39	0:32:56	2	0:01:39	1	1:45:57	5	2:20:32	2	0:01:20	4	1:03:47	3	0:00:00	1			
2	12	伊藤 学成		男	愛知県	3:29:35	0:31:28	1	0:02:38	8	1:44:46	4	2:18:52	1	0:01:42	10	1:09:01	11	0:00:00	2			
3	7	小西 拓海		男	愛知県	3:33:32	0:37:36	12	0:03:44	36	1:49:35	8	2:30:55	8	0:01:13	3	1:01:24	1	0:00:00	3			
4	76	前田 宏樹		男	三重県	3:34:43	0:36:44	9	0:03:29	26	1:44:27	3	2:24:40	3	0:01:40	8	1:08:23	9	0:00:00	4			
5	78	川口 和也		男	大阪府	3:41:01	0:46:44	77	0:03:58	44	1:36:24	1	2:27:06	4	0:02:09	27	1:11:46	14	0:00:00	5			
6	74	千賀 茂生		男	愛知県	3:41:37	0:38:37	14	0:02:33	6	1:49:51	11	2:31:01	9	0:02:24	39	1:08:12	8	0:00:00	6			
7	23	神谷 泰平		男	愛知県	3:42:16	0:35:47	7	0:02:36	7	1:52:06	19	2:30:29	7	0:03:37	86	1:08:10	7	0:00:00	7			
8	110	木綿 正秋		男	千葉県	3:42:17	0:45:55	68	0:03:19	22	1:39:32	2	2:28:46	6	0:01:39	7	1:11:52	15	0:00:00	8			
9	44	安東 毅		男	京都府	3:43:58	0:42:23	38	0:04:07	48	1:49:46	10	2:36:16	15	0:01:54	17	1:05:48	4	0:00:00	9			
10	122	髙橋 佳那		女	大阪府	3:44:28	0:41:29	30	0:02:54	15	1:54:24	25	2:38:47	20	0:02:05	23	1:03:36	2	0:00:00		1		
11	21	ﾏｰ ﾘｰﾁｪ MA LI-CHUEH		男	台湾	3:45:27	0:40:41	23	0:02:14	5	1:50:01	12	2:32:56	10	0:01:50	14	1:10:41	13	0:00:00	10			
12	2	河澄 英武		男	愛知県	3:47:26	0:35:23	6	0:03:23	25	1:56:14	29	2:35:00	13	0:03:46	89	1:08:40	10	0:00:00	11			
13	32	大野 晃裕		男	愛知県	3:50:12	0:36:32	8	0:02:13	4	1:49:12	7	2:27:57	5	0:01:53	15	1:20:22	32	0:00:00	12			
14	63	浅井 輝彦		男	愛知県	3:50:27	0:38:50	17	0:03:22	24	1:58:36	41	2:40:48	27	0:01:41	9	1:07:58	6	0:00:00	13			
15	54	後藤 悦一		男	滋賀県	3:52:27	0:44:03	53	0:03:17	21	1:51:40	14	2:39:00	21	0:02:51	60	1:10:36	12	0:00:00	14			
16	102	勝倉 修一		男	神奈川県	3:55:19	0:42:37	40	0:04:05	47	1:52:04	18	2:38:46	19	0:02:50	58	1:13:43	17	0:00:00	15			
17	38	田邊 誠		男	愛知県	3:57:28	0:43:42	47	0:03:08	20	1:51:25	13	2:38:15	17	0:01:44	12	1:17:29	26	0:00:00	16			
18	18	都築 和寛		男	愛知県	3:58:54	0:41:49	33	0:02:43	9	1:51:44	16	2:36:16	16	0:01:34	6	1:21:04	35	0:00:00	17			
19	67	後藤 剛		男	愛知県	3:59:25	0:39:42	18	0:03:36	30	1:57:59	37	2:41:17	28	0:02:11	29	1:15:57	20	0:00:00	18			
20	40	平山 直樹		男	愛知県	4:00:03	0:43:20	44	0:03:20	23	1:54:06	24	2:40:46	26	0:02:19	35	1:16:58	22	0:00:00	19			
21	79	中村 拓稔		男	愛知県	4:00:11	0:40:04	19	0:02:12	3	1:52:34	22	2:34:50	12	0:01:20	4	1:24:01	47	0:00:00	20			
22	111	田中 明彦		男	三重県	4:00:45	0:38:37	15	0:03:55	41	1:58:47	42	2:41:19	29	0:01:43	11	1:17:43	28	0:00:00	21			
23	77	服部 繁雄		男	岐阜県	4:01:21	0:44:24	55	0:02:50	12	1:57:43	35	2:44:57	35	0:02:00	20	1:14:24	18	0:00:00	22			
24	31	木澤 裕史		男	東京都	4:01:41	0:43:47	50	0:03:04	18	1:55:19	27	2:42:10	30	0:02:23	37	1:17:08	23	0:00:00	23			
25	62	田上 英治		男	埼玉県	4:02:01	0:40:48	25	0:03:35	29	1:49:44	9	2:34:07	11	0:02:34	43	1:25:20	55	0:00:00	24			
26	114	吉村 直人		男	茨城県	4:02:19	0:48:40	89	0:04:35	62	1:52:00	17	2:45:15	39	0:02:07	24	1:14:57	19	0:00:00	25			
27	4	北島 雄人		男	千葉県	4:02:34	0:43:23	45	0:05:20	87	2:02:30	59	2:51:13	56	0:03:48	91	1:07:33	5	0:00:00	26			
