順位	部⾨	№	⽒名	ﾌﾘｶﾞﾅ	TOTAL		SWIM		T1	BIKE		T2	RUN	
1	50歳代	233	野仲 勝彦	ﾉﾅｶ ｶﾂﾋｺ	2:10:19.115	1	0:25:29.600	8	0:03:10.708	1:02:04.800	1	0:01:07.319	0:38:26.688	3
2	49歳以下	148	松元 潤也	ﾏﾂﾓﾄ ｼﾞｭﾝﾔ	2:17:24.407	2	0:23:58.184	4	0:02:41.729	1:06:05.930	3	0:01:06.071	0:43:32.493	13
3	49歳以下	159	久保 慎司	ｸﾎﾞ ｼﾝｼﾞ	2:23:03.104	3	0:24:35.038	7	0:04:14.533	1:09:22.702	15	0:01:56.955	0:42:53.876	10
4	50歳代	282	⾅⼭ 正志	ｳｽﾔﾏ ﾏｻｼ	2:23:25.215	4	0:27:58.465	22	0:03:54.935	1:08:52.370	11	0:01:19.632	0:41:19.813	7
5	50歳代	261	岡林 環樹	ｵｶﾊﾞﾔｼ ﾀﾏｷ	2:26:57.337	5	0:26:40.383	11	0:03:11.990	1:07:52.031	7	0:01:14.739	0:47:58.194	29
6	49歳以下	180	松本 洋和	ﾏﾂﾓﾄ ﾋﾛｶｽﾞ	2:27:31.286	6	0:33:37.766	92	0:03:26.829	1:11:13.631	22	0:01:32.058	0:37:41.002	2
7	49歳以下	131	⼤平 和寛	ｵｵﾋﾗ ｶｽﾞﾋﾛ	2:27:40.872	7	0:30:36.562	52	0:04:21.191	1:08:53.667	12	0:01:19.485	0:42:29.967	9
8	50歳代	268	⽊村 航⼠	ｷﾑﾗ ｺｳｼﾞ	2:27:41.748	8	0:23:34.730	2	0:04:49.988	1:18:57.630	105	0:01:17.404	0:39:01.996	4
9	49歳以下	191	迫⽥ 秀⼈	ｻｺﾀﾞ ﾋﾃﾞﾋﾄ	2:27:41.892	9	0:29:28.916	39	0:03:33.468	1:07:43.102	6	0:01:05.503	0:45:50.903	19
10	49歳以下	137	松⼭ 昌司	ﾏﾂﾔﾏ ﾏｻｼ	2:28:43.626	10	0:29:18.127	36	0:03:43.608	1:07:26.016	5	0:01:15.039	0:47:00.836	23
11	49歳以下	114	⻄⼭ 渓太	ﾆｼﾔﾏ ｹｲﾀ	2:29:47.850	11	0:31:11.299	60	0:03:21.444	1:09:19.482	14	0:01:20.397	0:44:35.228	17
12	50歳代	286	⼩城 左明	ｵｷﾞ ｽｹｱｷ	2:30:57.251	12	0:34:44.285	108	0:04:06.472	1:06:05.853	2	0:02:00.467	0:44:00.174	15
13	49歳以下	123	前⽥ 直也	ﾏｴﾀﾞ ﾅｵﾔ	2:31:16.666	13	0:29:29.023	41	0:06:04.178	1:11:10.219	20	0:02:26.194	0:42:07.052	8
14	49歳以下	111	⽥邉 晴	ﾀﾅﾍﾞ ﾊﾙ	2:31:37.596	14	0:28:52.053	29	0:03:25.372	1:14:40.999	50	0:01:40.472	0:42:58.700	11
15	50歳代	232	⽇⾼ 洋⼀	ﾋﾀﾞｶ ﾖｳｲﾁ	2:31:51.948	15	0:26:11.746	9	0:03:39.360	1:12:28.851	28	0:01:24.847	0:48:07.144	31
16	50歳代	240	稲⽥ 裕仁	ｲﾅﾀﾞ ﾋﾛﾋﾄ	2:32:27.019	16	0:31:52.912	70	0:04:45.500	1:12:57.501	34	0:01:51.120	0:40:59.986	6
17	49歳以下	135	加冶屋 毅	ｶｼﾞﾔ ﾂﾖｼ	2:32:45.965	17	0:29:01.594	32	0:05:12.529	1:20:20.551	117	0:01:57.880	0:36:13.411	1
18	50歳代	293	⻄⼭ 伸⼆	ﾆｼﾔﾏ ｼﾝｼﾞ	2:33:24.909	18	0:29:14.255	34	0:04:04.867	1:11:24.024	23	0:01:32.280	0:47:09.483	24
19	49歳以下	206	⼭⼝ 健太	ﾔﾏｸﾞﾁ ｹﾝﾀ	2:33:25.618	19	0:29:51.860	45	0:04:23.997	1:08:03.183	8	0:01:46.697	0:49:19.881	41
20	49歳以下	182	遠武 憲明	ﾄｵﾀｹ ﾉﾘｱｷ	2:33:56.245	20	0:28:22.149	23	0:04:20.840	1:11:11.898	21	0:01:36.719	0:48:24.639	35
21	49歳以下	124	奥 祐介	ｵｸ ﾕｳｽｹ	2:35:11.165	21	0:33:27.506	90	0:03:59.699	1:12:30.200	29	0:01:15.945	0:43:57.815	14
22	49歳以下	195	岸本 泰輔	ｷｼﾓﾄ ﾀｲｽｹ	2:35:46.137	22	0:29:08.241	33	0:04:14.655	1:10:26.624	17	0:01:48.245	0:50:08.372	48
23	50歳代	308	唐⽊ 將⾏	ｶﾗｷ ﾏｻﾕｷ	2:35:50.931	23	0:26:52.545	13	0:03:55.197	1:15:16.390	60	0:02:11.758	0:47:35.041	27
24	49歳以下	112	池⽥ 達郎	ｲｹﾀﾞ ﾀﾂﾛｳ	2:35:54.073	24	0:26:56.510	14	0:03:27.591	1:14:54.035	54	0:00:57.181	0:49:38.756	44
25	49歳以下	221	⽔町 英⼆	ﾐｽﾞﾏﾁ ｴｲｼﾞ	2:37:08.021	25	0:29:26.619	38	0:04:53.915	1:15:47.408	63	0:02:01.034	0:44:59.045	18
26	50歳代	280	内野 基	ｳﾁﾉ ﾓﾄｲ	2:37:14.440	26	0:27:28.561	18	0:03:36.954	1:15:09.946	59	0:01:23.033	0:49:35.946	43
27	49歳以下	179	井 良貴	ｲ ﾖｼﾀｶ	2:37:19.574	27	0:30:00.819	46	0:03:48.888	1:14:00.381	40	0:01:11.594	0:48:17.892	33
28	49歳以下	172	⽵原 寛	ﾀｹﾊﾗ ﾋﾛｼ	2:37:40.438	28	0:28:51.553	28	0:05:15.477	1:13:52.804	39	0:02:43.909	0:46:56.695	22
29	49歳以下	152	秋⼭ 勇太	ｱｷﾔﾏ ﾕｳﾀ	2:37:52.780	29	0:34:09.163	99	0:05:28.763	1:08:45.664	10	0:02:02.948	0:47:26.242	25
30	49歳以下	212	椎 靖貴	ｼｲ ﾔｽﾀｶ	2:37:58.832	30	0:35:20.004	112	0:04:59.197	1:08:13.260	9	0:01:43.662	0:47:42.709	28
31	50歳代	301	守部 丈博	ﾓﾘﾍﾞ ﾀｹﾋﾛ	2:38:41.969	31	0:29:37.371	43	0:03:34.563	1:17:39.651	91	0:01:13.659	0:46:36.725	21
32	49歳以下	188	桑代 剛	ｸﾜｼﾛ ﾂﾖｼ	2:39:10.902	32	0:36:50.360	124	0:04:39.751	1:13:05.790	36	0:01:35.213	0:42:59.788	12
33	50歳代	252	⿃⽻ ⾼彰	ﾄﾊﾞ ﾀｶｱｷ	2:40:13.189	33	0:27:46.043	21	0:04:59.101	1:16:00.352	68	0:01:43.023	0:49:44.670	45
34	49歳以下	194	横⼭ 浩⼆	ﾖｺﾔﾏ ｺｳｼﾞ	2:40:27.702	34	0:27:24.053	17	0:04:05.949	1:13:03.826	35	0:01:58.467	0:53:55.407	75
35	49歳以下	134	若林 裕之	ﾜｶﾊﾞﾔｼ ﾋﾛﾕｷ	2:40:46.756	35	0:31:25.240	66	0:05:01.480	1:14:40.839	49	0:01:39.829	0:47:59.368	30
36	49歳以下	165	宝⽰ 賢悟	ﾎｳｼﾞ ｹﾝｺﾞ	2:41:12.114	36	0:29:28.946	40	0:05:26.040	1:19:33.723	110	0:02:10.160	0:44:33.245	16
37	49歳以下	174	緒⽅ 洋介	ｵｶﾞﾀ ﾖｳｽｹ	2:41:20.347	37	0:30:18.258	48	0:05:20.248	1:13:06.232	37	0:01:17.535	0:51:18.074	56
38	50歳代	277	前⽥ 幸司	ﾏｴﾀﾞ ｺｳｼﾞ	2:43:02.868	38	0:27:01.563	15	0:04:25.729	1:09:27.127	16	0:02:19.204	0:59:49.245	124
39	49歳以下	120	児島 瑞基	ｺｼﾞﾏ ﾐｽﾞｷ	2:43:08.175	39	0:26:21.195	10	0:04:48.088	1:12:46.264	32	0:02:08.192	0:57:04.436	103
40	60歳以上	346	夏⼭ 栄敏	ﾅﾂﾔﾏ ﾏｻﾄｼ	2:43:32.335	40	0:29:44.463	44	0:04:20.994	1:12:15.314	27	0:01:38.022	0:55:33.542	91
41	50歳代	258	丸橋 勝寿	ﾏﾙﾊｼ ｶﾂﾄｼ	2:44:01.417	41	0:27:44.200	20	0:04:52.766	1:14:55.404	55	0:02:07.284	0:54:21.763	80
42	49歳以下	116	家迫 遼介	ｲｴｻｺ ﾘｮｳｽｹ	2:44:05.074	42	0:26:50.218	12	0:04:33.080	1:18:57.531	104	0:01:25.469	0:52:18.776	63
43	49歳以下	205	吉⾒ 雅博	ﾖｼﾐ ﾏｻﾋﾛ	2:44:08.920	43	0:27:23.926	16	0:04:01.496	1:16:45.414	79	0:01:38.285	0:54:19.799	78
44	50歳代	290	芳賀 俊夫	ﾊｶﾞ ﾄｼｵ	2:44:13.967	44	0:23:35.646	3	0:04:41.768	1:21:15.141	124	0:01:09.862	0:53:31.550	72
45	49歳以下	196	甲斐 ﾀｶｼ	ｶｲ ﾀｶｼ	2:44:14.067	45	0:33:53.530	96	0:04:56.269	1:11:51.435	25	0:01:38.907	0:51:53.926	59
46	50歳代	242	Soares Roger	ｿｰﾚｽ ﾛｼﾞｬｰ	2:44:18.511	46	0:36:49.988	123	0:06:00.473	1:10:49.359	19	0:01:49.832	0:48:48.859	37
47	50歳代	243	池⾒ 孝雄	ｲｹﾐ ﾀｶｵ	2:44:31.122	47	0:31:09.571	59	0:05:17.776	1:09:09.379	13	0:02:57.632	0:55:56.764	96
48	49歳以下	213	池本 多賀正	ｲｹﾓﾄ ﾀｶﾏｻ	2:44:33.276	48	0:31:23.411	65	0:05:26.556	1:14:23.309	46	0:01:52.126	0:51:27.874	58
49	60歳以上	334	甲斐 敬⼆	ｶｲ ｹｲｼﾞ	2:44:43.354	49	0:30:55.630	54	0:04:25.301	1:16:48.577	80	0:01:29.776	0:51:04.070	54
50	50歳代	274	中埜 健⼀	ﾅｶﾉ ｹﾝｲﾁ	2:44:48.756	50	0:31:17.520	62	0:05:03.456	1:14:15.821	43	0:01:30.176	0:52:41.783	66
51	49歳以下	219	⼤庭 純⼀	ｵｵﾆﾜ ｼﾞｭﾝｲﾁ	2:45:26.459	51	0:36:45.850	122	0:05:07.315	1:10:38.157	18	0:02:00.066	0:50:55.071	52
52	50歳代	309	清⽔ 秀和	ｼﾐｽﾞ ﾋﾃﾞｶｽﾞ	2:46:04.413	52	0:28:37.146	26	0:04:43.170	1:17:42.653	93	0:02:00.579	0:53:00.865	68
53	50歳代	264	志賀 隆⽂	ｼｶﾞ ﾀｶﾌﾐ	2:46:35.117	53	0:42:19.534	175	0:05:38.864	1:07:20.764	4	0:02:04.066	0:49:11.889	39
54	50歳代	276	池⽥ 徳郎	ｲｹﾀﾞ ﾄｸﾛｳ	2:46:45.161	54	0:24:05.143	5	0:03:52.305	1:12:45.764	31	0:01:58.467	1:04:03.482	150
55	60歳以上	321	鎌⽥ 廣法	ｶﾏﾀﾞ ﾋﾛﾉﾘ	2:46:59.260	55	0:28:34.063	25	0:06:41.688	1:15:49.964	65	0:02:21.440	0:53:32.105	73
56	60歳以上	328	井上 昭彦	ｲﾉｳｴ ｱｷﾋｺ	2:47:14.006	56	0:32:49.447	79	0:04:37.413	1:19:35.896	111	0:01:43.853	0:48:27.397	36
57	60歳以上	324	内⾨ 浩志	ｳﾁｶﾄﾞ ﾋﾛｼ	2:47:29.702 1	/5 57 ペ	0ー:2ジ9:35.278	42	0:06:14.894	1:14:44.817	52	0:02:25.605	0:54:29.108	82
58	49歳以下	202	⽶⽥ 浩之	ﾖﾈﾀﾞ ﾋﾛﾕｷ	2:47:40.043	58	0:34:49.272	110	0:04:22.700	1:11:31.115	24	0:01:26.985	0:55:29.971	90
