Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
72	Fedor Orlov	M	M25-29	6	9:36:41	0:43:06	5:15:42	3:29:35
73	Evan Gruda	M	M30-34	9	9:36:48	0:49:18	5:17:28	3:23:25
74	Philipp Kuhr	M	M30-34	10	9:37:03	0:47:39	4:49:15	3:52:27
75	Ryan Hiscox	M	M40-44	8	9:37:12	0:53:52	5:08:15	3:28:50
76	Kelsey Barnholt	F	F35-39	1	9:39:29	0:57:19	5:24:43	3:10:49
77	Verdo Gregory	M	M45-49	6	9:40:17	0:49:27	5:15:38	3:26:41
78	Simon Paquette	M	M30-34	11	9:40:34	0:53:49	5:01:43	3:36:26
79	Jiri Pospisil	M	M45-49	7	9:42:16	0:49:10	4:57:11	3:48:35
80	Paige Schulz	F	F35-39	2	9:43:35	0:54:29	5:18:44	3:24:23
81	Maciej Zadlo	M	M45-49	8	9:43:46	1:02:57	5:15:15	3:18:03
82	Katay Mora	M	M35-39	12	9:44:05	0:45:21	4:59:54	3:49:12
83	Patrick Enriquez	M	M35-39	13	9:44:18	0:56:11	5:03:06	3:22:25
84	Jason Sabio	M	M35-39	14	9:45:00	0:48:25	5:02:20	3:45:38
85	Tyler Frank	M	M30-34	12	9:45:08	0:48:21	4:56:43	3:52:39
86	Martin Malik	M	M45-49	9	9:45:13	0:58:35	5:11:28	3:25:14
87	Sage Costen	M	M25-29	7	9:46:07	0:48:27	4:56:55	3:52:46
88	Brian Willing	M	M40-44	9	9:46:40	0:51:35	5:10:04	3:35:35
89	Brett Klesitz	M	M40-44	10	9:47:17	1:00:00	5:08:14	3:29:42
90	Thomas Schmid	M	M45-49	10	9:47:31	0:58:12	5:07:26	3:34:23
91	Johnny Aboud	M	M30-34	13	9:47:45	0:49:34	5:07:54	3:42:11
92	Olivia Dietzel	F	FPRO	9	9:48:18	0:47:40	5:25:09	3:26:37
93	Joshua Creech	M	M25-29	8	9:48:41	0:52:08	5:18:26	3:29:10
94	Alejandro Torre	M	M45-49	11	9:48:57	0:45:13	5:01:16	3:54:49
95	Miranda Tomenson	F	FPRO	10	9:49:07	0:42:14	5:12:37	3:47:12
96	Jamie Fuhrman	M	M25-29	9	9:52:12	0:45:19	5:14:31	3:44:02
97	Andrey Sanko	M	M25-29	10	9:52:25	0:57:43	5:28:24	3:15:55
98	Phillip Koenig	M	M25-29	11	9:52:53	0:55:01	4:59:15	3:50:31
99	James Delong	M	M40-44	11	9:54:06	0:56:31	5:09:31	3:36:36
100	Yorlliry Moreno	M	MPRO	25	9:54:46	0:39:58	4:52:03	4:16:02
101	Kirk Gilligan	M	M50-54	3	9:54:52	0:54:19	5:00:08	3:51:19
102	Vadim Suraev	M	M50-54	4	9:55:38	0:52:02	4:51:35	4:02:44
103	Griffin Hokanson	M	M25-29	12	9:56:01	0:54:10	5:19:30	3:34:47
