順位	No.	氏名	都道府県	Swim	S順	T1	Bike	B順	スプリット	通過	Run	R順	総合記録
1	1	寺澤　光介	東京都	0:25:41	2	0:02:04	2:40:24	1	3:08:09	1	1:25:21	2	4:33:30
2	12	湯村　天星	岐阜県	0:25:14	1	0:01:41	2:43:29	2	3:10:24	2	1:27:24	3	4:37:48
3	3	大畑　亮介	東京都	0:26:03	4	0:02:28	2:49:26	3	3:17:57	3	1:28:23	4	4:46:20
4	4	山岸　穂高	千葉県	0:32:09	13	0:02:11	2:52:20	4	3:26:40	5	1:22:43	1	4:49:23
5	15	堀田　光輝	千葉県	0:26:11	5	0:02:07	2:56:14	5	3:24:32	4	1:36:37	7	5:01:09
6	9	前田　能宜	愛知県	0:27:15	7	0:01:57	3:03:49	6	3:33:01	6	1:29:35	6	5:02:36
7	8	川久保　直希	奈良県	0:27:11	6	0:02:23	3:04:43	7	3:34:17	7	1:36:38	8	5:10:55
8	11	梅田　航平	神奈川県	0:33:36	14	0:03:01	3:10:42	10	3:47:19	13	1:28:47	5	5:16:06
9	13	水野　泉之介	愛知県	0:25:42	3	0:01:39	3:11:26	11	3:38:47	8	1:39:52	10	5:18:39
10	10	橋本　悠輝	神奈川県	0:27:47	8	0:02:31	3:12:28	13	3:42:46	11	1:38:44	9	5:21:30
11	7	大石　一博	愛知県	0:29:28	10	0:02:08	3:11:46	12	3:43:22	12	1:40:20	11	5:23:42
12	6	山本　昌孝	神奈川県	0:30:43	11	0:02:10	3:09:43	9	3:42:36	10	1:42:49	12	5:25:25
13	2	榊原　佑基	千葉県	0:28:08	9	0:02:23	3:08:50	8	3:39:21	9	2:05:08	13	5:44:29
DNF	5	牧野　巧	東京都	0:30:45	12	0:02:51	3:32:39	14	4:06:15	14			
DNS	14	梅田　祐輝	東京都										
