総合順位	No.	チーム名	SWIM	BIKE	RUN	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	T1	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順
1	9016	SHINSEI TRIATHLON TEAM	筒井 佑	島村 健	恵崎 拓真	5:05:31	0:25:56	1	0:02:02	3:08:49	2	3:36:47	1	1:28:44	3
2	9009	Small Stones	廣瀬 楓太	石倉 泰	小野 稔彦	5:11:30	0:32:18	4	0:02:30	3:13:43	3	3:48:31	2	1:22:59	1
3	9001	Team RGB	松野 紘明	小林 健輔	上田 淳平	5:25:51	0:42:15	19	0:02:39	3:06:18	1	3:51:12	3	1:34:39	7
4	9045	シュースイ・もみの木ハウス新潟	石黒 律子	曽根 洋明	栗原 健太	5:33:39	0:34:36	7	0:02:40	3:22:40	4	3:59:56	6	1:33:43	5
5	9010	TEAMもりぞうMFD	風間 雄三	計良 秀明	森田 哲史	5:35:00	0:31:22	3	0:02:33	3:25:41	6	3:59:36	5	1:35:24	9
6	9031	#1-PRIMERA-	江口 沙和	武田 幸寿	早川 光	5:37:18	0:27:56	2	0:02:06	3:26:14	7	3:56:16	4	1:41:02	10
7	9013	会津大トラ部28期	今井 佑	中島 瑞生	橋本 尚人	5:42:57	0:42:04	17	0:02:55	3:28:54	8	4:13:53	9	1:29:04	4
8	9011	佐渡ガス＆静岡ガス	樋口 憲一	金井 慎次	鈴木 泰弘	5:44:47	0:33:31	5	0:03:06	3:34:22	11	4:10:59	8	1:33:48	6
9	9042	UnLimiTED	安田 夏怜	大屋 祐一	末武 正洋	6:19:18	0:47:12	31	0:03:37	3:37:39	14	4:28:28	14	1:50:50	13
10	9047	チームむせん	岩渕 真臣	平原 隆宏	仲川 亮	6:22:56	0:45:03	26	0:03:02	4:07:48	24	4:55:53	23	1:27:03	2
11	9035	新潟県庁トライアスロンクラブ	明田川 二郎	米山 哲郎	永井 丈史	6:32:15	0:43:44	21	0:03:00	3:40:23	15	4:27:07	13	2:05:08	20
12	9017	チーム早川部	茂住 江美	岡原 陽二	有銘 卓	6:33:24	0:55:32	43	0:04:31	3:31:20	10	4:31:23	16	2:02:01	18
13	9002	Team UNO	鈴木 翔太郎	宇野 晃央	戸川 雅也	6:35:30	0:38:39	10	0:02:41	4:05:40	23	4:47:00	22	1:48:30	11
14	9019	teamMAY	高橋 祐作	市橋 誠	樋口 慶一	6:36:26	0:45:22	28	0:02:58	3:46:45	18	4:35:05	18	2:01:21	17
15	9050	NewbieZ	田村 謙介	渡邉 周三	原口 和真	6:43:36	0:39:58	13	0:04:10	3:55:11	20	4:39:19	19	2:04:17	19
16	9025	RED-ABI	佐々木 裕	佐藤 明生	安孫子 博幸	6:46:07	0:38:38	9	0:03:16	3:42:33	16	4:24:27	11	2:21:40	25
17	9022	チームわかさ	山下 照彦	石津 優	佐藤 佳代	6:47:35	0:51:50	39	0:03:34	3:30:59	9	4:26:23	12	2:21:12	24
18	9005	スクーデリア朝井電化	長井 勇太	市橋 孝明	入野 孝雄	6:56:56	0:39:30	12	0:02:52	4:17:13	28	4:59:35	24	1:57:21	15
19	9038	えびすくらぶ	谷 雄広	秋田 遼平	木下 緑	6:58:13	0:45:00	24	0:02:35	3:36:21	13	4:23:56	10	2:34:17	31
20	9003	はなささジャンボ	花道 由美子	佐々木 祐介	大竹 雄一郎	7:00:39	0:46:58	30	0:03:18	3:51:57	19	4:42:13	20	2:18:26	22
21	9023	がちゃへご	渡辺 裕二	戸田 智也	奥村 哲也	7:13:13	0:53:23	42	0:02:51	4:42:10	35	5:38:24	37	1:34:49	8
22	9018	WTC栃木▲女子部	影山 絵美	上杉 なつみ	吉田 由美子	7:22:42	0:44:59	23	0:03:06	4:14:31	27	5:02:36	25	2:20:06	23
23	9026	ポールスミスニャンチーズ	長谷川 和彦	三澤 香里	青柳 七奈	7:28:02	0:34:14	6	0:03:13	4:28:52	30	5:06:19	29	2:21:43	26
24	9049	師匠を囲む会	坂下 浅一	本田 充	土屋 一也	7:30:00	0:51:52	40	0:05:19	4:08:50	25	5:06:01	28	2:23:59	28
