No.	氏名	都道府県	総合記録	ｽｲﾑﾗｯﾌﾟ	ﾊﾞｲｸﾗｯﾌﾟ	ﾗﾝﾗｯﾌﾟ
871	佐山 周平	宮城県	1:31:03	0:08:09	0:56:13	0:26:41
873	柴田 和樹	宮城県	1:14:12	0:09:54	0:45:14	0:19:04
874	坂牧 歩峻	宮城県	1:26:00	0:06:29	0:53:20	0:26:11
875	平田 陸斗	宮城県	1:25:56	0:10:53	0:50:35	0:24:28
876	吉武 凌	宮城県	1:20:09	0:10:59	0:47:59	0:21:11
877	山内 涼太郎	宮城県	1:28:30	0:10:51	0:51:49	0:25:50
878	矢田目 和弥	宮城県	1:14:13	0:10:27	0:45:35	0:18:11
879	渡邊 果子	宮城県	1:20:45	0:10:37	0:48:33	0:21:35
880	平和 佳菜	宮城県				
881	武田 結	宮城県				
