総合順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	PT	男子順位	女子順位	年齢区分	年齡別順
参考記録	668	木村 幸康	39	男	愛知県		0:41:13	260	1:33:33	184	2:14:46	209						35-39歳	
参考記録	579	伊藤 真和	29	男	愛知県		0:39:05	199	1:35:44	216	2:14:49	210						25-29歳	
参考記録	698	松井 一真	41	男	静岡県		0:39:40	227	1:35:17	208	2:14:57	211						40-44歳	
参考記録	701	豊嶋 大倫	41	男	愛知県		0:33:41	74	1:41:17	284	2:14:58	212						40-44歳	
参考記録	595	奥村 卓史	31	男	奈良県		0:36:01	126	1:38:58	255	2:14:59	213						30-34歳	
参考記録	570	向田 康宏	29	男	愛知県		0:38:12	171	1:36:53	228	2:15:05	214						25-29歳	
参考記録	797	早川 公明	48	男	山梨県		0:41:49	277	1:33:18	182	2:15:07	215						45-49歳	
参考記録	890	塩谷 泰彦	56	男	愛知県		0:43:30	324	1:31:53	157	2:15:23	216						55-59歳	
参考記録	910	福武 朗	59	男	神奈川県		0:43:51	332	1:31:46	156	2:15:37	217						55-59歳	
参考記録	537	林 亮太	24	男	愛知県		0:39:20	206	1:36:20	224	2:15:40	218						20-24歳	
参考記録	717	山田 剛司	42	男	愛知県		0:34:04	81	1:41:38	286	2:15:42	219						40-44歳	
参考記録	928	森木 英司	62	男	愛知県		0:39:56	232	1:35:53	220	2:15:49	220						60-64歳	
参考記録	573	塩谷 泰亮	29	男	京都府		0:43:09	309	1:32:44	174	2:15:53	221						25-29歳	
参考記録	980	ハリソン 明枝	43	女	愛知県		0:38:50	190	1:37:04	232	2:15:54	223						40-44歳	
参考記録	590	島田 卓	30	男	岐阜県		0:42:02	284	1:33:52	194	2:15:54	222						30-34歳	
参考記録	811	伊丹 尚明	49	男	愛知県		0:33:31	71	1:42:24	299	2:15:55	224						45-49歳	
参考記録	725	今枝 寛	43	男	愛知県		0:36:19	131	1:39:37	262	2:15:56	225						40-44歳	
参考記録	899	川野 喜重	58	男	愛知県		0:37:41	160	1:38:30	252	2:16:11	226						55-59歳	
参考記録	771	鈴木 麻知宇	46	男	愛知県		0:44:00	334	1:32:24	167	2:16:24	227						45-49歳	
参考記録	826	柏木 文雄	50	男	三重県		0:44:24	341	1:32:01	159	2:16:25	228						50-54歳	
参考記録	765	磯部 稔	46	男	愛知県		0:44:48	345	1:31:38	150	2:16:26	229						45-49歳	
参考記録	793	林 純生	47	男	岐阜県		0:42:06	286	1:34:27	200	2:16:33	230						45-49歳	
参考記録	767	八木 秀幸	46	男	愛知県		0:41:23	264	1:35:17	209	2:16:40	231						45-49歳	
参考記録	525	田中 俊光	21	男	愛知県		0:39:04	198	1:37:54	245	2:16:58	232						20-24歳	
参考記録	906	石神 昭男	59	男	静岡県		0:41:55	281	1:35:20	210	2:17:15	233						55-59歳	
参考記録	558	海上 智史	27	男	愛知県		0:37:13	150	1:40:04	265	2:17:17	234						25-29歳	
参考記録	742	佐伯 亮一	44	男	愛知県		0:39:33	219	1:37:47	244	2:17:20	235						40-44歳	
参考記録	971	本田 弥生	35	女	愛知県		0:36:48	141	1:40:44	276	2:17:32	236			120			35-39歳	
参考記録	973	石村 理紗	37	女	愛知県		0:34:20	91	1:43:24	312	2:17:44	237						35-39歳	
参考記録	889	祖父江 伸二	56	男	愛知県		0:39:28	211	1:38:22	250	2:17:50	238						55-59歳	
参考記録	752	阿草 太郎	44	男	愛知県		0:37:52	163	1:39:59	264	2:17:51	239						40-44歳	
参考記録	630	川越 大輔	35	男	愛知県		0:38:34	182	1:39:26	258	2:18:00	240						35-39歳	
参考記録	552	荒木 翼	27	男	愛知県		0:41:59	283	1:36:05	221	2:18:04	241						25-29歳	
参考記録	651	越智 鉄兵	37	男	愛知県		0:39:11	201	1:39:03	256	2:18:14	242						35-39歳	
参考記録	686	阿知波 弘郎	40	男	愛知県		0:35:39	118	1:42:38	303	2:18:17	243						40-44歳	
参考記録	801	高柳 孝志	48	男	愛知県		0:44:37	344	1:33:40	187	2:18:17	244						45-49歳	
参考記録	762	間野 公太	45	男	愛知県		0:41:12	259	1:37:08	233	2:18:20	245						45-49歳	
参考記録	991	三輪 直美	52	女	愛知県		0:37:37	157	1:41:06	280	2:18:43	246						50-54歳	
参考記録	743	岩原 隆直	44	男	愛知県		0:45:15	354	1:33:34	185	2:18:49	247						40-44歳	
参考記録	857	藤田 政己	53	男	愛知県		0:42:04	285	1:36:55	229	2:18:59	248						50-54歳	
参考記録	895	鯖戸 育宏	57	男	三重県		0:41:28	268	1:37:38	241	2:19:06	249						55-59歳	
参考記録	512	北御門 祐太	17	男	愛知県		0:38:42	186	1:40:30	270	2:19:12	250						19歳以下	
参考記録	836	近藤 範康	51	男	三重県		0:46:41	375	1:32:33	168	2:19:14	251						50-54歳	
参考記録	700	水谷 卓史	41	男	愛知県		0:37:15	151	1:42:01	295	2:19:16	252						40-44歳	
参考記録	688	大坪 聖志	40	男	岐阜県		0:40:10	238	1:39:08	257	2:19:18	253						40-44歳	
参考記録	546	服部 登夢	26	男	愛知県		0:43:14	310	1:36:08	222	2:19:22	254						25-29歳	
参考記録	566	池谷 洋樹	28	男	愛知県		0:43:32	325	1:35:52	218	2:19:24	255						25-29歳	
参考記録	567	野末 紗海人	28	男	愛知県		0:45:41	366	1:33:47	189	2:19:28	256						25-29歳	
参考記録	518	深山 達也	19	男	愛知県		0:41:46	276	1:37:46	243	2:19:32	257						19歳以下	
参考記録	555	近並 資	27	男	愛知県		0:37:54	168	1:41:40	288	2:19:34	258						25-29歳	
参考記録	524	山本 章陽	21	男	愛知県		0:38:26	176	1:41:09	281	2:19:35	259						20-24歳	
参考記録	519	藤田 成也	20	男	愛知県		0:40:00	234	1:39:36	261	2:19:36	260						20-24歳	
参考記録	551	石川 悟	26	男	愛知県		0:38:53	193	1:41:12	282	2:20:05	261						25-29歳	
参考記録	689	松原 弘	40	男	岐阜県		0:39:33	220	1:40:39	273	2:20:12	262						40-44歳	
参考記録	974	神原 咲子	37	女	兵庫県		0:36:55	144	1:43:25	313	2:20:20	263						35-39歳	
参考記録	761	千賀 雅典	45	男	愛知県		0:43:18	313	1:37:03	231	2:20:21	264						45-49歳	
参考記録	841	安藤 弘道	51	男	岐阜県		0:41:51	278	1:38:43	253	2:20:34	265						50-54歳	
参考記録	832	池畑 達夫	50	男	岐阜県		0:41:06	253	1:39:34	260	2:20:40	266						50-54歳	
参考記録	776	今井 満敏	46	男	神奈川県		0:41:10	258	1:39:34	259	2:20:44	267						45-49歳	
参考記録	629	榊原 大輔	34	男	神奈川県		0:43:24	320	1:37:26	239	2:20:50	268						30-34歳	
参考記録	540	鷲谷 大輔	25	男	愛知県		0:39:00	196	1:41:55	294	2:20:55	269						25-29歳	
参考記録	705	上田 裕樹	41	男	愛知県		0:42:07	287	1:38:48	254	2:20:55	270						40-44歳	
参考記録	772	日高 正二	46	男	愛知県		0:39:17	204	1:41:39	287	2:20:56	271						45-49歳	
参考記録	838	福田 陵一	51	男	岐阜県		0:42:55	306	1:38:04	246	2:20:59	272						50-54歳	
参考記録	872	豊田 博土	54	男	愛知県		0:43:49	330	1:37:13	237	2:21:02	273						50-54歳	
参考記録	824	落合 賢	50	男	愛知県		0:40:40	245	1:40:25	268	2:21:05	274						50-54歳	
参考記録	881	古川 幸宏	55	男	愛知県		0:44:10	338	1:37:13	238	2:21:23	275						55-59歳	
参考記録	777	深見 英治	46	男	愛知県		0:43:23	319	1:38:20	248	2:21:43	276						45-49歳	
参考記録	912	竹内 正之	59	男	大阪府		0:36:51	143	1:44:54	325	2:21:45	277						55-59歳	
参考記録	735	松田 健司	43	男	愛知県		0:45:55	369	1:35:52	219	2:21:47	278						40-44歳	
参考記録	658	大鷹 隆広	38	男	愛知県		0:38:36	183	1:43:12	309	2:21:48	279						35-39歳	
参考記録	844	服部 憲彦	51	男	愛知県		0:38:25	175	1:43:35	316	2:22:00	280						50-54歳	
参考記録	564	木村 将樹	28	男	愛知県		0:53:39	409	1:28:29	110	2:22:08	281						25-29歳	
参考記録	871	片山 章	54	男	静岡県		0:44:02	335	1:38:07	247	2:22:09	282						50-54歳	
参考記録	769	和田 章裕	46	男	愛知県		0:39:46	229	1:42:24	300	2:22:10	283						45-49歳	
参考記録	628	加藤 哲也	34	男	愛知県		0:41:43	273	1:40:30	271	2:22:13	284						30-34歳	
参考記録	936	鈴木 義彦	63	男	愛知県		0:42:16	292	1:40:13	266	2:22:29	285						60-64歳	
参考記録	652	多知 哲也	37	男	静岡県		0:40:25	239	1:42:07	296	2:22:32	286						35-39歳	
参考記録	594	大坪 怜志	30	男	愛知県		0:41:04	251	1:41:41	289	2:22:45	287						30-34歳	
参考記録	916	武石 大輔	60	男	埼玉県		0:41:08	255	1:41:48	291	2:22:56	288						60-64歳	
参考記録	804	林 孝司	48	男	岐阜県		0:39:45	228	1:43:18	310	2:23:03	289						45-49歳	
参考記録	753	浅見 康史	44	男	愛知県		0:34:12	87	1:49:03	357	2:23:15	290						40-44歳	
参考記録	870	松原 浩二	54	男	愛知県		0:47:27	379	1:36:25	226	2:23:52	291						50-54歳	
参考記録	569	渡会 育也	29	男	愛知県		0:40:33	241	1:43:21	311	2:23:54	292						25-29歳	
参考記録	527	石村 大海	23	男	愛知県		0:49:01	389	1:34:56	206	2:23:57	293						20-24歳	
参考記録	834	越川 喜直	51	男	神奈川県		0:41:02	249	1:42:59	306	2:24:01	294						50-54歳	
参考記録	617	山口 研悟	33	男	愛知県		0:45:38	364	1:38:29	251	2:24:07	295						30-34歳	
参考記録	867	岩瀬 光	54	男	愛知県		0:43:29	323	1:40:43	274	2:24:12	297						50-54歳	
参考記録	692	大内田 仁	40	男	和歌山県		0:46:36	373	1:37:36	240	2:24:12	296						40-44歳	
参考記録	511	荒木 春音	17	男	愛知県		0:33:35	72	1:50:49	370	2:24:24	298						19歳以下	
参考記録	576	丸山 央	29	男	東京都		0:39:29	214	1:44:59	326	2:24:28	299						25-29歳	
参考記録	523	廣瀬 皓一	21	男	愛知県		0:49:04	390	1:35:36	212	2:24:40	300						20-24歳	
参考記録	860	一ノ瀬 成徳	53	男	大阪府		0:41:35	270	1:43:09	308	2:24:44	301						50-54歳	
参考記録	597	川井 陽平	31	男	愛知県		0:41:39	271	1:43:08	307	2:24:47	302						30-34歳	
参考記録	712	岩本 吉幸	42	男	愛知県		0:39:50	231	1:45:02	328	2:24:52	303						40-44歳	
参考記録	897	伊藤 泰寿	57	男	三重県		0:43:20	316	1:41:48	292	2:25:08	304						55-59歳	
参考記録	741	高橋 信治	44	男	愛知県		0:40:01	235	1:45:27	331	2:25:28	305						40-44歳	
参考記録	731	西川 康之	43	男	愛知県		0:43:01	308	1:42:31	301	2:25:32	306						40-44歳	
参考記録	535	高橋 慶伍	24	男	愛知県		0:49:24	394	1:36:22	225	2:25:46	307						20-24歳	
参考記録	682	杉本 岳夫	40	男	奈良県		0:49:06	391	1:36:48	227	2:25:54	308						40-44歳	
参考記録	757	丹羽 健太	45	男	愛知県		0:46:04	370	1:39:59	263	2:26:03	309						45-49歳	
参考記録	759	高橋 晃	45	男	愛知県		0:44:52	347	1:41:36	285	2:26:28	310						45-49歳	
参考記録	925	清水 敬能	62	男	愛知県		0:42:13	291	1:44:18	320	2:26:31	311						60-64歳	
参考記録	601	平井 陽一	31	男	愛知県		0:37:38	158	1:49:09	358	2:26:47	312						30-34歳	
参考記録	577	板倉 寛明	29	男	愛知県		0:54:25	413	1:32:51	175	2:27:16	313						25-29歳	
参考記録	874	松浦 利昭	55	男	愛知県		0:45:32	362	1:41:50	293	2:27:22	314						55-59歳	
参考記録	815	高橋 義宏	49	男	愛知県		0:40:31	240	1:47:15	346	2:27:46	315						45-49歳	
参考記録	950	安田 孝二	67	男	静岡県		0:39:57	233	1:47:50	350	2:27:47	316						65-69歳	
参考記録	893	佐脇 徳哉	57	男	三重県		0:45:12	352	1:42:39	304	2:27:51	317						55-59歳	
参考記録	780	有吉 稔	46	男	愛知県		0:41:58	282	1:45:58	337	2:27:56	318						45-49歳	
参考記録	611	樺澤 哲也	32	男	愛知県		0:45:38	365	1:42:22	297	2:28:00	319						30-34歳	
参考記録	944	行元 富士夫	66	男	愛媛県		0:45:30	361	1:42:53	305	2:28:23	320						65-69歳	
参考記録	865	渡辺 秀明	54	男	愛知県		0:50:15	399	1:38:22	249	2:28:37	321						50-54歳	
参考記録	528	老平 大輝	23	男	愛知県		0:43:00	307	1:45:39	334	2:28:39	322						20-24歳	
参考記録	997	倉本 里実	55	女	大阪府		0:45:21	356	1:43:34	315	2:28:55	323						55-59歳	
参考記録	559	尾崎 耕二	28	男	愛知県		0:40:46	246	1:48:10	352	2:28:56	324						25-29歳	
参考記録	992	榎本 悦子	52	女	愛知県		0:42:13	290	1:46:46	340	2:28:59	325						50-54歳	
参考記録	835	青木 慎治	51	男	愛知県		0:43:28	322	1:45:51	336	2:29:19	327						50-54歳	
参考記録	618	原田 裕介	33	男	愛知県		0:44:30	342	1:44:49	324	2:29:19	326						30-34歳	
参考記録	684	藤波 直樹	40	男	愛知県		0:32:59	63	1:56:21	391	2:29:20	328						40-44歳	
参考記録	948	谷口 允伸	67	男	愛知県		0:43:43	329	1:45:38	333	2:29:21	329						65-69歳	
参考記録	955	若尾 高弘	68	男	岐阜県		0:41:26	265	1:47:56	351	2:29:22	330						65-69歳	
参考記録	843	花木 俊也	51	男	愛知県		0:54:40	415	1:34:46	205	2:29:26	331						50-54歳	
参考記録	908	薮本 幸広	59	男	三重県		0:36:40	138	1:52:48	379	2:29:28	332						55-59歳	
参考記録	766	池田 雅師	46	男	愛知県		0:42:29	297	1:47:01	344	2:29:30	333						45-49歳	
参考記録	817	宮川 直樹	49	男	愛知県		0:42:33	299	1:46:59	343	2:29:32	334						45-49歳	
参考記録	619	川口 将宏	33	男	愛知県		0:45:21	357	1:44:27	322	2:29:48	335						30-34歳	
参考記録	996	近藤 由紀子	55	女	愛知県		0:35:28	114	1:54:21	385	2:29:49	336						55-59歳	
参考記録	985	黒川 まゆ美	46	女	愛知県		0:43:19	315	1:46:45	339	2:30:04	337						45-49歳	
参考記録	600	小島 龍司	31	男	愛知県		0:45:22	358	1:45:01	327	2:30:23	338						30-34歳	
参考記録	965	磯谷 由衣	28	女	愛知県		0:41:23	263	1:49:18	360	2:30:41	339						25-29歳	
参考記録	923	辻 晴之	61	男	愛知県		0:46:20	371	1:44:47	323	2:31:07	341						60-64歳	
参考記録	609	小林 芳幸	32	男	愛知県		0:45:07	350	1:46:08	338	2:31:15	342						30-34歳	
参考記録	942	加藤 信之	65	男	静岡県		0:45:38	363	1:45:37	332	2:31:15	343						65-69歳	
参考記録	539	花本 京太朗	25	男	愛知県		0:39:17	205	1:52:04	375	2:31:21	344						25-29歳	
参考記録	809	藤田 正道	48	男	愛知県		0:47:32	380	1:43:52	317	2:31:24	345						45-49歳	
参考記録	862	夏目 悟	53	男	愛知県		0:40:38	243	1:50:54	371	2:31:32	346						50-54歳	
参考記録	674	寺西 真樹	39	男	愛知県		0:42:23	295	1:49:29	362	2:31:52	347						35-39歳	
参考記録	663	石井 博巳	38	男	岐阜県		0:44:08	336	1:47:46	349	2:31:54	348						35-39歳	
参考記録	778	野村 秀威	46	男	愛知県		0:42:42	301	1:49:16	359	2:31:58	350						45-49歳	
参考記録	935	伊藤 敏恭	63	男	愛知県		0:45:12	353	1:46:52	342	2:32:04	351						60-64歳	
参考記録	989	鈴木 聖子	49	女	愛知県		0:49:36	398	1:42:34	302	2:32:10	352						45-49歳	
参考記録	516	小島 孝文	19	男	愛知県		0:42:49	304	1:49:22	361	2:32:11	353						19歳以下	
参考記録	864	花井 章夫	54	男	愛知県		0:39:25	209	1:52:55	380	2:32:20	354						50-54歳	
参考記録	554	本多 智明	27	男	愛知県		0:48:08	384	1:44:23	321	2:32:31	355						25-29歳	
参考記録	733	山西 真緒	43	男	愛知県		0:43:28	321	1:49:50	366	2:33:18	356						40-44歳	
参考記録	603	山本 哲也	32	男	愛知県		0:39:22	208	1:54:04	383	2:33:26	357						30-34歳	
参考記録	639	城所 速人	35	男	愛知県		0:49:14	392	1:44:17	319	2:33:31	358						35-39歳	
参考記録	662	花岡 剛志	38	男	長野県		0:45:24	359	1:48:25	354	2:33:49	360						35-39歳	
参考記録	627	高橋 毅	34	男	愛知県		0:53:07	406	1:40:44	277	2:33:51	361						30-34歳	
参考記録	541	小林 瑞宝	25	男	愛知県		0:49:32	396	1:45:07	330	2:34:39	362						25-29歳	
参考記録	949	永坂 義和	67	男	愛知県		0:42:30	298	1:52:29	377	2:34:59	363						65-69歳	
参考記録	975	乾井 貴子	37	女	奈良県		0:51:37	402	1:43:34	314	2:35:11	364						35-39歳	
参考記録	977	照井 綾美	40	女	愛知県		0:43:57	333	1:51:58	373	2:35:55	365						40-44歳	
参考記録	583	上村 直也	29	男	愛知県		0:45:43	367	1:50:33	368	2:36:16	366						25-29歳	
参考記録	561	亀井 勇樹	28	男	愛知県		0:49:17	393	1:47:24	347	2:36:41	367						25-29歳	
参考記録	677	滝 健志	40	男	愛知県		0:52:00	404	1:45:06	329	2:37:06	369						40-44歳	
参考記録	986	磯部 直子	46	女	愛知県		0:53:17	407	1:44:05	318	2:37:22	370						45-49歳	
参考記録	734	坂根 義範	43	男	東京都		0:39:34	223	1:57:50	395	2:37:24	371						40-44歳	
参考記録	939	鈴木 政春	64	男	愛知県		0:47:44	381	1:49:42	365	2:37:26	372						60-64歳	
参考記録	654	斎藤 理人	38	男	愛知県		0:56:37	418	1:40:59	279	2:37:36	373						35-39歳	
参考記録	880	上田 定行	55	男	愛知県		0:47:50	382	1:49:52	367	2:37:42	374						55-59歳	
参考記録	999	桑垣内 博子	66	女	三重県		0:43:20	317	1:54:39	386	2:37:59	376						65-69歳	
参考記録	807	水島 啓友	48	男	愛知県		0:44:11	339	1:54:08	384	2:38:19	377						45-49歳	
参考記録	693	外山 隆明	41	男	愛知県		0:48:44	387	1:49:40	363	2:38:24	378						40-44歳	
参考記録	932	小林 薫	62	男	愛知県		0:38:40	184	1:59:49	399	2:38:29	379						60-64歳	
参考記録	649	栗木 英和	37	男	愛知県		0:51:46	403	1:46:49	341	2:38:35	380						35-39歳	
参考記録	931	角谷 政美	62	男	愛知県		0:46:37	374	1:52:00	374	2:38:37	381						60-64歳	
参考記録	888	川口 恭一	56	男	愛知県		0:42:55	305	1:55:56	389	2:38:51	382						55-59歳	
参考記録	921	堤 雄二	61	男	静岡県		0:47:12	377	1:52:09	376	2:39:21	383						60-64歳	
参考記録	952	高橋 秀樹	67	男	京都府		0:38:58	195	2:00:32	403	2:39:30	384						65-69歳	
参考記録	808	河口 哲	48	男	愛知県		0:54:09	411	1:45:49	335	2:39:58	386						45-49歳	
参考記録	818	小関 利明	50	男	静岡県		0:53:33	408	1:47:14	345	2:40:47	388						50-54歳	
参考記録	706	渡邉 敏	42	男	愛知県		0:43:22	318	1:58:39	396	2:42:01	390						40-44歳	
参考記録	943	藤波 敬	66	男	愛知県		0:43:18	314	2:00:14	402	2:43:32	391						65-69歳	
参考記録	704	鈴木 正紀	41	男	愛知県		0:54:48	416	1:48:51	356	2:43:39	392						40-44歳	
参考記録	938	犬伏 英明	64	男	大阪府		0:50:30	400	1:53:36	382	2:44:06	394						60-64歳	
参考記録	940	橋本 眞徳	65	男	愛知県		0:47:24	378	1:57:34	393	2:44:58	395						65-69歳	
参考記録	990	柳生 美恵	51	女	愛知県		0:44:14	340	2:01:09	406	2:45:23	396						50-54歳	
参考記録	613	浅井 宏昭	32	男	愛知県		0:45:30	360	2:01:00	405	2:46:30	399						30-34歳	
参考記録	607	磯村 岳治	32	男	愛知県		0:47:53	383	1:58:40	397	2:46:33	400						30-34歳	
参考記録	917	斎藤 秀司	60	男	兵庫県		0:46:29	372	2:00:12	400	2:46:41	401						60-64歳	
参考記録	615	福岡 正晃	33	男	愛知県		0:53:43	410	1:53:28	381	2:47:11	402						30-34歳	
参考記録	690	小山 洋宣	40	男	愛知県		0:56:32	417	1:50:45	369	2:47:17	403						40-44歳	
参考記録	568	杉浦 宏紀	28	男	愛知県		0:54:13	412	1:55:01	388	2:49:14	407						25-29歳	
参考記録	868	杉浦 敏昭	54	男	愛知県		0:51:24	401	1:58:45	398	2:50:09	409						50-54歳	
参考記録	957	小原 守生	76	男	愛知県		0:54:26	414	1:55:57	390	2:50:23	411						70歳以上	
参考記録	945	中 幸正	66	男	愛知県		0:48:21	385	2:02:25	408	2:50:46	412						65-69歳	
参考記録	970	上島 綾	33	女	愛知県		0:41:41	272	2:10:00	413	2:51:41	413						30-34歳	
参考記録	715	長坂 典洋	42	男	愛知県		0:41:32	269	2:10:44	414	2:52:16	414						40-44歳	
参考記録	522	山下 幹人	20	男	愛知県		0:24:12	1	1:12:09	9	1:36:21	4						20-24歳	
参考記録	958	小林 良康	77	男	大阪府		0:42:11	289	1:48:36	355	2:30:47	340						70歳以上	
参考記録	956	山本 義幸	69	男	三重県		0:40:03	236	1:51:53	372	2:31:56	349						65-69歳	
参考記録	905	松井 富美夫	59	男	静岡県		0:43:50	331	1:49:41	364	2:33:31	359						55-59歳	
参考記録	1000	松本 郁子	68	女	大阪府		0:48:42	386	1:48:14	353	2:36:56	368						65-69歳	
参考記録	941	小谷 就一	65	男	愛知県		0:45:15	355	1:52:39	378	2:37:54	375						65-69歳	
参考記録	549	岡村 淳志	26	男	愛知県		0:44:51	346	1:55:00	387	2:39:51	385						25-29歳	
参考記録	538	伊藤 聡志	25	男	愛知県		0:53:06	405	1:47:41	348	2:40:47	387						25-29歳	
参考記録	998	小谷 聖子	65	女	愛知県		0:40:40	244	2:00:14	401	2:40:54	389						65-69歳	
参考記録	783	福島 重樹	47	男	愛知県		0:47:08	376	1:56:39	392	2:43:47	393						45-49歳	
参考記録	993	花井 弘美	53	女	愛知県		0:44:10	337	2:01:16	407	2:45:26	397						50-54歳	
参考記録	994	大場 和子	53	女	愛知県		0:41:54	280	2:03:53	410	2:45:47	398						50-54歳	
参考記録	884	山形 恵之	56	男	愛知県		0:49:34	397	1:57:47	394	2:47:21	404						55-59歳	
参考記録	982	安藤 安奈	44	女	愛知県		0:44:57	349	2:03:37	409	2:48:34	405						40-44歳	
参考記録	933	髙島 光秋	62	男	愛知県		0:41:21	262	2:07:47	412	2:49:08	406						60-64歳	
参考記録	728	長濱 良門	43	男	愛知県		0:44:37	343	2:05:07	411	2:49:44	408						40-44歳	
参考記録	946	木原 康博	66	男	岐阜県		0:49:25	395	2:00:58	404	2:50:23	410						65-69歳	
DNF	803	浅倉 伸治	48	男	愛知県		0:36:13	129										45-49歳	
DNF	819	坪内 孝暁	50	男	愛知県		0:38:15	172										50-54歳	
DNF	937	西尾 政治	64	男	愛知県		0:39:33	221										60-64歳	
DNF	988	坂野 実穂	48	女	愛知県		0:45:11	351										45-49歳	
DNF	800	天野 洋	48	男	愛知県													45-49歳	
SKIP	548	齋藤 有	26	男	愛知県				1:57:03									25-29歳	
SKIP	602	服部 仁史	32	男	三重県				1:46:33									30-34歳	
SKIP	610	広瀬 厚太	32	男	愛知県				1:31:04				0:50:17					30-34歳	
SKIP	621	山田 秀一	33	男	愛知県				1:46:35									30-34歳	
SKIP	670	飯田 浩貴	39	男	愛知県				1:47:30									35-39歳	
SKIP	764	石田 俊光	46	男	愛知県				1:35:00									45-49歳	
SKIP	768	植田 展正	46	男	愛知県				1:34:51									45-49歳	
SKIP	784	若杉 靖史	47	男	愛知県				1:46:58									45-49歳	
SKIP	822	西辻 潤	50	男	岐阜県				1:40:22									50-54歳	
SKIP	831	神谷 雅之	50	男	愛知県													50-54歳	
SKIP	846	斉藤 浩平	52	男	愛知県				2:05:01									50-54歳	
SKIP	848	古井 勝利	52	男	愛知県				1:36:53									50-54歳	
SKIP	851	酒井 国一	52	男	愛知県				1:35:07									50-54歳	
SKIP	858	室田 正敏	53	男	愛知県				1:38:27									50-54歳	
SKIP	903	渡会 敬一	59	男	愛知県				2:03:10									55-59歳	
SKIP	934	小島 久直	62	男	愛知県				1:37:26									60-64歳	
SKIP	966	森 裕美子	29	女	愛知県				2:14:03									25-29歳	
SKIP	967	内藤 幸恵	31	女	愛知県				2:11:39									30-34歳	
SKIP	978	加藤 朝子	42	女	愛知県													40-44歳	
SKIP	987	川合 明子	48	女	愛知県								0:48:55					45-49歳	
SKIP	953	石坂 俊雄	68	男	三重県		0:35:03						0:58:58					65-69歳	
SKIP	687	姉崎 景虎	40	男	愛知県		0:35:17						0:47:08					40-44歳	
SKIP	795	田内 誉之	48	男	静岡県		0:36:53						0:48:58					45-49歳	
SKIP	517	鴨川 大輝	19	男	静岡県		0:39:31						0:43:11					19歳以下	
SKIP	995	檀林 典子	53	女	愛知県		0:47:32											50-54歳	
DNS	503	鈴木 照幸	42	男	愛知県													40-44歳	
DNS	529	小久保 辰悟	23	男	愛知県													20-24歳	
DNS	550	筒井 康太	26	男	愛知県													25-29歳	
DNS	562	寺島 俊和	28	男	三重県													25-29歳	
DNS	572	澤井 貴史	29	男	神奈川県													25-29歳	
DNS	574	清水 大和	29	男	愛知県													25-29歳	
DNS	575	上杉 剛大	29	男	愛知県													25-29歳	
DNS	578	Dizon Gilbert	29	男	京都府													25-29歳	
DNS	586	杉田 伸也	30	男	愛知県													30-34歳	
DNS	604	鈴木 浩之	32	男	静岡県													30-34歳	
DNS	606	山本 高章	32	男	愛知県													30-34歳	
DNS	625	篠原 史人	34	男	静岡県													30-34歳	
DNS	631	道浦 啓吾	35	男	和歌山県													35-39歳	
DNS	634	榮倉 裕晃	35	男	愛知県													35-39歳	
DNS	636	川端 大介	35	男	鳥取県													35-39歳	
DNS	640	稲井 謙策	36	男	愛知県													35-39歳	
DNS	641	坂田 哲也	36	男	愛知県													35-39歳	
DNS	656	浅井 竜二郎	38	男	愛知県													35-39歳	
DNS	664	白井 洋	38	男	愛知県													35-39歳	
DNS	678	龍頭 正明	40	男	愛知県													40-44歳	
DNS	697	川合 靖幸	41	男	愛知県													40-44歳	
DNS	699	古橋 誠司	41	男	愛知県													40-44歳	
DNS	703	一色 歩三	41	男	愛知県													40-44歳	
DNS	711	小柳津 彰朗	42	男	愛知県													40-44歳	
DNS	714	伊藤 敏明	42	男	愛知県													40-44歳	
DNS	716	菰田 勝久	42	男	愛知県													40-44歳	
DNS	721	上川 幸則	43	男	愛知県													40-44歳	
DNS	729	真部 健一	43	男	福岡県													40-44歳	
DNS	730	小池 光伸	43	男	岐阜県													40-44歳	
DNS	732	長滝谷 一也	43	男	兵庫県													40-44歳	
DNS	736	沼田 佳生	43	男	静岡県													40-44歳	
DNS	750	山本 裕策	44	男	千葉県													40-44歳	
DNS	754	水野 裕二	44	男	愛知県													40-44歳	
DNS	755	小久保 孝	45	男	愛知県													45-49歳	
DNS	779	瀧 康太郎	46	男	神奈川県													45-49歳	
DNS	781	小塩 哲朗	46	男	愛知県													45-49歳	
DNS	796	長谷川 龍一	48	男	愛知県													45-49歳	
DNS	806	近藤 壽男	48	男	愛知県													45-49歳	
DNS	813	前田 光一郎	49	男	京都府													45-49歳	
DNS	823	浅田 一寛	50	男	愛知県													50-54歳	
DNS	861	池田 重宏	53	男	静岡県													50-54歳	
DNS	875	菱川 一実	55	男	愛知県													55-59歳	
DNS	882	伊藤 秀雄	55	男	岐阜県													55-59歳	
DNS	886	中沢 弘史	56	男	愛知県													55-59歳	
DNS	894	野呂 敬	57	男	愛知県													55-59歳	
DNS	900	小久保 武彦	58	男	愛知県													55-59歳	
DNS	907	尾崎 篤司	59	男	愛知県													55-59歳	
