順位	部門	№	氏名	ﾌﾘｶﾞﾅ	TOTAL		SWIM		T1	BIKE		T2	RUN		ｸﾗｽ	ｸﾗｽ別順位	JTU登録地
140	49歳以下	335	坂本 徹志	サカモト テツシ	2:59:20.800	140	0:31:46.410	102	0:05:11.432	1:21:49.037	195	0:03:12.865	0:57:21.056	140	40-44M	17	大分県
141	50歳代	449	鶴田 主税	ツルタ チカラ	2:59:28.016	141	0:39:17.368	264	0:05:06.069	1:20:21.485	170	0:04:37.194	0:50:05.900	66	50-54M	36	熊本県
142	49歳以下	390	西村 健司	ニシムラ ケンジ	2:59:52.922	142	0:33:45.510	147	0:05:18.667	1:19:52.936	158	0:04:01.083	0:56:54.726	138	45-49M	28	福岡県
143	50歳代	418	日比野 暢	ヒビノ トオル	2:59:53.789	143	0:33:20.829	133	0:05:22.040	1:18:24.536	138	0:03:55.300	0:58:51.084	163	50-54M	37	東京都
144	49歳以下	217	黒木 京介	クロキ キョウスケ	2:59:54.191	144	0:28:40.856	61	0:04:58.294	1:20:26.011	173	0:04:09.964	1:01:39.066	197	25-29M	11	熊本県
145	50歳代	459	宮崎 一朗	ミヤザキ イチロウ	2:59:57.279	145	0:30:11.412	87	0:06:28.500	1:19:08.804	149	0:03:30.423	1:00:38.140	186	50-54M	38	大分県
146	60歳以上	614	鎌田 廣法	カマダ ヒロノリ	2:59:58.681	146	0:31:32.790	99	0:06:15.304	1:17:39.476	130	0:03:57.801	1:00:33.310	183	60-64M	10	宮崎県
147	49歳以下	377	藤澤  陽三	フジサワ  ヨウゾウ	3:00:09.586	147	0:38:32.562	247	0:05:25.601	1:20:10.780	167	0:02:59.512	0:53:01.131	98	45-49M	29	東京都
148	49歳以下	261	中尾 宇志	ナカオ タカシ	3:00:45.210	148	0:34:46.592	177	0:05:37.276	1:22:07.604	200	0:04:19.187	0:53:54.551	109	35-39M	12	福岡県
149	49歳以下	337	金丸 宗玄	カネマル ムネハル	3:00:49.093	149	0:32:53.640	123	0:05:25.294	1:26:14.806	259	0:02:33.913	0:53:41.440	105	45-49M	30	宮崎県
150	49歳以下	262	海辺 義一	ウミベ ギイチ	3:01:00.853	150	0:36:22.653	207	0:05:11.021	1:18:30.598	140	0:02:49.030	0:58:07.551	149	35-39M	13	福岡県
151	60歳以上	619	井上 昭彦	イノウエ アキヒコ	3:01:02.856	151	0:33:38.864	143	0:05:30.741	1:26:49.519	266	0:03:01.019	0:52:02.713	85	60-64M	11	福岡県
152	49歳以下	312	伊藤 智彦	イトウ トモヒコ	3:01:16.055	152	0:32:48.201	120	0:05:06.109	1:20:38.134	179	0:03:29.021	0:59:14.590	168	40-44M	18	宮崎県
153	49歳以下	324	榊原 大輔	サカキバラ ダイスケ	3:01:36.744	153	0:37:50.004	227	0:04:14.785	1:18:22.597	137	0:02:28.896	0:58:40.462	159	40-44M	19	神奈川県
154	50歳代	519	山崎 英樹	ヤマサキ ヒデキ	3:02:02.423	154	0:39:25.949	266	0:07:48.626	1:17:15.541	127	0:04:32.529	0:52:59.778	97	55-59M	17	神奈川県
155	50歳代	438	加藤 健治	カトウ ケンジ	3:02:08.252	155	0:29:52.265	79	0:05:17.899	1:22:18.655	206	0:02:50.544	1:01:48.889	198	50-54M	39	静岡県
156	50歳代	404	小野 大介	オノ ダイスケ	3:02:45.087	156	0:37:21.543	219	0:08:37.818	1:21:39.452	192	0:03:59.226	0:51:07.048	76	50-54M	40	宮崎県
157	49歳以下	397	田中 祐二	タナカ ユウジ	3:03:00.889	157	0:38:01.581	232	0:06:59.832	1:19:05.559	148	0:03:30.601	0:55:23.316	125	45-49M	31	大分県
158	49歳以下	357	岩元 秀樹	イワモト ヒデキ	3:03:09.965	158	0:41:52.055	292	0:07:28.690	1:18:17.891	136	0:03:59.090	0:51:32.239	79	45-49M	32	鹿児島県
159	49歳以下	374	田染 健志	タシブ ケンジ	3:03:22.667	159	0:39:04.545	256	0:07:15.297	1:14:06.198	82	0:04:30.742	0:58:25.885	154	45-49M	33	大分県
160	49歳以下	336	岩崎 琢磨	イワサキ タクマ	3:03:35.292	160	0:34:35.460	172	0:05:16.119	1:22:06.414	199	0:02:50.487	0:58:46.812	160	45-49M	34	宮崎県
161	49歳以下	246	倉田  貴生	クラタ  タカオ	3:03:55.226	161	0:35:28.706	190	0:07:55.269	1:23:58.780	230	0:04:03.975	0:52:28.496	00:00.0	30-34M	5	東京都
162	49歳以下	363	出來 大輔	デキ ダイスケ	3:04:33.767	162	0:32:19.235	108	0:06:54.818	1:25:17.779	249	0:02:27.084	0:57:34.851	141	45-49M	35	山口県
163	49歳以下	369	水上 卓	ミズカミ タク	3:04:46.779	163	0:36:48.393	212	0:06:25.243	1:24:47.222	243	0:07:51.284	0:48:54.637	58	45-49M	36	福岡県
164	60歳以上	627	芥田 龍一	アクタ リュウイチ	3:04:50.264	164	0:41:15.572	285	0:06:15.325	1:20:54.937	184	0:03:50.920	0:52:33.510	92	60-64M	12	宮崎県
165	60歳以上	645	白江 淑浩	シラエ トシヒロ	3:05:04.875	165	0:37:52.869	228	0:07:09.736	1:12:51.383	67	0:04:21.510	1:02:49.377	207	65-69M	5	大阪府
166	49歳以下	218	平野 亮	ヒラノ リョウ	3:05:18.790	166	0:37:33.816	222					1:01:06.447	188	25-29M	12	宮崎県
167	49歳以下	294	上坂  優太	カミサカ  ユウタ	3:05:25.280	167	0:31:12.596	95	0:05:49.774	1:24:43.414	241	0:02:24.588	1:01:14.908	191	40-44M	20	東京都
168	50歳代	515	平山 崇	ヒラヤマ タカシ	3:05:27.743	168	0:34:42.232	175	0:04:44.925	1:22:08.385	202	0:03:06.765	1:00:45.436	187	55-59M	18	福岡県
169	49歳以下	384	加藤 修一郎	カトウ シュウイチロウ	3:05:29.679	169	0:30:01.346	83	0:05:20.556	1:19:20.633	151	0:04:00.821	1:06:46.323	238	45-49M	37	宮崎県
170	50歳代	416	牧野  秀寿	マキノ  ヒデヒサ	3:05:31.544	170	0:35:31.862	192	0:06:03.427	1:10:59.015	46	0:04:38.302	1:08:18.938	246	50-54M	41	福岡県
171	50歳代	497	石橋 康夫	イシバシ ヤスオ	3:05:34.706	171	0:34:50.363	179	0:07:30.221	1:23:14.001	222	0:03:56.331	0:56:03.790	131	55-59M	19	兵庫県
172	50歳代	426	毛利 有孝	モウリ アリタカ	3:06:06.329	172	0:35:34.375	194	0:09:22.508	1:22:58.714	220	0:04:42.677	0:53:28.055	102	50-54M	42	愛知県
173	49歳以下	392	若松 正臣	ワカマツ マサオミ	3:06:18.223	173	0:36:33.105	209	0:07:40.879	1:19:42.098	155	0:04:08.207	0:58:13.934	150	45-49M	38	鹿児島県
174	49歳以下	285	橋本 晃	ハシモト アキラ	3:06:35.032	174	0:32:30.666	117	0:05:41.345	1:20:02.261	163	0:03:33.067	1:04:47.693	221	35-39M	14	福岡県
175	50歳代	520	城田  正俊	シロタ  マサトシ	3:06:45.442	175	0:38:20.464	242	0:06:31.492	1:21:46.312	194	0:03:00.862	0:57:06.312	139	55-59M	20	福岡県
176	49歳以下	310	澤井 研作	サワイ ケンサク	3:07:00.621	176	0:37:46.178	225	0:05:08.211	1:16:40.169	120	0:03:16.825	1:04:09.238	216	40-44M	21	愛知県
177	50歳代	439	石井 靖人	イシイ ヤスト	3:07:11.871	177	0:39:09.400	258	0:05:11.842	1:13:38.365	76	0:03:42.784	1:05:29.480	229	50-54M	43	兵庫県
178	49歳以下	344	伊藤 英嗣	イトウ ヒデツグ	3:07:17.202	178	0:35:48.529	199	0:05:13.775	1:20:35.950	177	0:04:03.924	1:01:35.024	195	45-49M	39	東京都
179	60歳以上	651	品野  俊治	シナノ  シュンジ	3:07:41.048	179	0:30:34.456	90	0:04:24.926	1:22:58.377	219	0:03:19.122	1:06:24.167	233	65-69M	6	福岡県
180	49歳以下	286	寺田 翔吾	テラダ ショウゴ	3:07:50.896	180	0:34:09.141	160	0:05:27.394	1:20:00.462	162	0:03:08.554	1:05:05.345	225	35-39M	15	宮崎県
181	50歳代	494	江越 啓一郎	エゴシ ケイイチロウ	3:08:16.918	181	0:35:08.322	184	0:05:37.055	1:17:15.982	128	0:03:44.959	1:06:30.600	234	55-59M	21	福岡県
182	49歳以下	326	渋谷 和昭	シブヤ カズアキ	3:08:30.447	182	0:35:44.762	197	0:07:00.468	1:25:20.329	250	0:04:00.267	0:56:24.621	136	40-44M	22	福岡県
183	50歳代	451	服部 徳晃	ハットリ ヨシアキ	3:08:31.535	183	0:35:17.609	187	0:07:25.883	1:12:14.937	62	0:05:20.149	1:08:12.957	245	50-54M	44	岐阜県
184	49歳以下	202	森  駿太	モリ シュンタ	3:08:37.891	184	0:28:40.432	60	0:04:05.057	1:19:47.580	156	0:02:32.042	1:13:32.780	273	18-19M	1	鹿児島県
185	50歳代	500	渥美 修一郎	アツミ シュウイチロウ	3:08:42.268	185	0:36:16.861	203	0:05:45.002	1:20:58.615	185	0:03:35.328	1:02:06.462	202	55-59M	22	東京都
186	49歳以下	270	岩下 裕之	イワシタ ヒロユキ	3:08:57.586	186	0:34:32.585	170	0:05:38.068	1:25:29.291	252	0:02:48.185	1:00:29.457	181	35-39M	16	福岡県
187	49歳以下	391	大上 良介	オオウエ リョウスケ	3:10:46.538	187	0:39:09.663	259	0:09:20.135	1:19:04.192	147	0:03:46.290	0:59:26.258	169	45-49M	40	東京都
188	60歳以上	613	森上 健	モリカミ タケシ	3:10:50.576	188	0:33:07.900	128	0:06:53.018	1:21:18.103	189	0:04:08.973	1:05:22.582	228	60-64M	13	福岡県
189	50歳代	503	田中  肇	タナカ  ハジメ	3:11:18.388	189	0:39:15.196	263	0:09:36.230	1:18:31.651	141	0:03:33.984	1:00:21.327	179	55-59M	23	千葉県
190	49歳以下	295	佐藤 元	サトウ ガン	3:11:38.295	190	0:32:20.558	110	0:05:39.047	1:22:40.329	212	0:03:15.517	1:07:42.844	243	40-44M	23	東京都
191	49歳以下	334	世利 祐一郎	セリ ユウイチロウ	3:12:29.695	191	0:36:22.464	206	0:05:36.558	1:19:32.566	153	0:04:24.353	1:06:33.754	235	40-44M	24	福岡県
192	50歳代	437	有光 北斗	アリミツ ホクト	3:12:31.012	192	0:41:43.926	289	0:06:56.308	1:18:34.090	142	0:04:41.369	1:00:35.319	185	50-54M	45	福岡県
193	49歳以下	212	岡田 浩宜	オカダ コウキ	3:12:34.148	193	0:35:10.882	185	0:08:14.258	1:32:02.274	308	0:02:59.063	0:54:07.671	113	20-24M	7	福岡県
194	60歳以上	649	木原 郁夫	キハラ イクオ	3:12:37.008	194	0:39:48.334	272	0:07:48.568	1:25:29.888	253	0:04:06.173	0:55:24.045	126	65-69M	7	福岡県
195	49歳以下	275	金子 真之	カネコ マサユキ	3:12:51.865	195	0:44:00.276	307	0:07:32.100	1:23:06.953	221	0:03:38.774	0:54:33.762	119	35-39M	17	東京都
196	49歳以下	367	林田 直樹	ハヤシダ ナオキ	3:13:07.366	196	0:38:02.994	233	0:08:50.969	1:19:33.987	154	0:03:17.165	1:03:22.251	212	45-49M	41	東京都
197	50歳代	448	大道寺 崇	ダイドウジ タカシ	3:13:19.826	197	0:27:49.969	49	0:07:01.738	1:27:52.227	276	0:03:51.332	1:06:44.560	237	50-54M	46	福岡県
198	50歳代	491	齊藤 敬	サイトウ タカシ	3:13:29.344	198	0:37:09.458	217	0:09:30.025	1:27:58.254	277	0:04:51.894	0:53:59.713	111	55-59M	24	福岡県
199	49歳以下	311	松下 創思	マツシタ ソウシ	3:13:57.722	199	0:40:01.702	277	0:05:39.691	1:31:18.505	299	0:02:37.596	0:54:20.228	115	40-44M	25	鹿児島県
200	49歳以下	210	藤本 祐輝	フジモト ユウキ	3:14:21.999	200	0:42:30.693	297	0:07:14.909	1:19:59.824	161	0:05:35.277	0:59:01.296	164	20-24M	8	学連
201	50歳代	401	福永 礼史	フクナガ ユキヒト	3:14:34.026	201	0:38:23.904	243	0:06:49.948	1:27:16.773	269	0:04:06.429	0:57:56.972	147	50-54M	47	鹿児島県
202	49歳以下	269	田口 一也	タグチ カズヤ	3:14:44.482	202	0:38:10.061	234	0:07:14.084	1:25:22.017	251	0:03:43.787	1:00:14.533	176	35-39M	18	福岡県
203	50歳代	444	白水  威彦	シロズ  タケヒコ	3:14:48.144	203	0:39:14.002	262	0:08:27.808	1:22:16.991	205	0:03:26.733	1:01:22.610	192	50-54M	48	千葉県
204	49歳以下	323	臼本 隼也	ウスモト トシヤ	3:15:11.920	204	0:24:53.102	21	0:04:49.941	1:27:11.923	268	0:03:07.609	1:15:09.345	284	40-44M	26	宮崎県
205	50歳代	456	星野 正晶	ホシノ マサアキ	3:15:16.161	205	0:32:28.614	115	0:11:40.465	1:28:35.883	282	0:04:03.377	0:58:27.822	155	50-54M	49	福岡県
206	60歳以上	642	蓑部 孝行	ミノベ タカユキ	3:15:16.278	206	0:35:58.437	200	0:06:20.516	1:21:57.461	197	0:04:57.648	1:06:02.216	231	65-69M	8	三重県
207	49歳以下	242	牧原 和樹	マキハラ カズキ	3:15:24.952	207	0:25:39.545	28	0:06:19.650	1:21:35.510	191	0:03:54.239	1:17:56.008	298	30-34M	6	宮崎県
208	49歳以下	279	谷山 慶太	タニヤマ ケイタ	3:15:56.410	208	0:40:46.500	283	0:09:00.930	1:21:51.831	196	0:03:09.009	1:01:08.140	189	35-39M	19	宮崎県
209	50歳代	510	神村 正人	カミムラ マサト	3:16:01.855	209	0:33:45.301	146	0:06:43.653	1:15:45.166	107	0:04:33.935	1:15:13.800	285	55-59M	25	宮崎県
210	49歳以下	238	山田 晃平	ヤマダ コウヘイ	3:16:26.731	210	0:40:13.965	279	0:06:37.515	1:25:44.552	254	0:03:33.191	1:00:17.508	177	30-34M	7	東京都
211	49歳以下	301	小山 武士	コヤマ タケシ	3:16:42.028	211	0:42:01.237	294	0:07:54.140	1:19:03.585	146	0:04:04.699	1:03:38.367	213	40-44M	27	東京都
212	60歳以上	633	田口 義隆	タグチ ヨシタカ	3:16:46.690	212	0:33:17.447	131	0:06:48.694	1:19:56.017	159	0:04:14.884	1:12:29.648	269	60-64M	14	岐阜県
213	60歳以上	662	今鷹 修	イマタカ オサム	3:16:51.397	213	0:32:11.690	105	0:05:26.262	1:23:53.851	228	0:03:37.615	1:11:41.979	266	70-74M	2	熊本県
214	60歳以上	609	池田 達彦	イケダ タツヒコ	3:16:58.317	214	0:42:36.705	300	0:09:17.114	1:27:42.208	273	0:04:22.941	0:52:59.349	96	60-64M	15	鹿児島県
215	50歳代	474	櫛間 伴之	クシマ トモユキ	3:17:05.568	215	0:41:46.422	291	0:09:30.172	1:20:21.757	171	0:04:14.917	1:01:12.300	190	50-54M	50	宮崎県
216	50歳代	466	川坂 吉徳	カワサカ ヨシノリ	3:17:13.118	216	0:41:45.135	290	0:06:57.214	1:18:47.880	145	0:05:06.603	1:04:36.286	220	50-54M	51	福岡県
217	50歳代	473	川原 陽一郎	カワハラ ヨウイチロウ	3:17:21.851	217	0:29:46.643	77	0:05:16.255	1:22:27.077	208	0:03:12.210	1:16:39.666	292	50-54M	52	鹿児島県
218	49歳以下	354	松尾  俊治	マツオ  トシハル	3:17:36.028	218	0:39:06.093	257	0:07:17.112	1:22:36.849	211	0:03:38.670	1:04:57.304	223	45-49M	42	福岡県
219	49歳以下	385	岡崎 進一	オカザキ シンイチ	3:17:44.754	219	0:44:49.392	314	0:06:46.999	1:22:47.034	214	0:02:47.691	1:00:33.638	184	45-49M	43	宮崎県
220	60歳以上	661	梶原 信雄	カジワラ ノブオ	3:17:45.241	220	0:35:47.845	198	0:08:23.867	1:24:01.033	231	0:02:22.466	1:07:10.030	239	70-74M	3	熊本県
221	49歳以下	376	上 剛司	カミ タケシ	3:17:52.951	221	0:36:19.990	205	0:07:52.093	1:26:16.252	260	0:04:47.638	1:02:36.978	206	45-49M	44	熊本県
222	50歳代	490	兒玉 寛	コダマ ヒロシ	3:17:58.877	222	0:39:45.297	269	0:08:01.037	1:24:09.824	234	0:03:40.666	1:02:22.053	205	55-59M	26	鹿児島県
223	49歳以下	250	大園 将司	オオゾノ マサシ	3:18:39.666	223	0:35:00.343	182	0:06:15.522	1:19:21.411	152	0:03:03.731	1:14:58.659	281	30-34M	8	鹿児島県
224	49歳以下	233	喜連 航平	キレ コウヘイ	3:18:44.745	224	0:41:59.401	293	0:07:41.509	1:26:38.852	263	0:03:18.539	0:59:06.444	166	25-29M	13	東京都
225	49歳以下	345	伊藤 智博	イトウ トモヒロ	3:19:16.702	225	0:38:25.713	244	0:11:39.931	1:24:58.208	245	0:04:25.167	0:59:47.683	173	45-49M	45	福岡県
226	60歳以上	615	河野 敏治	カワノ トシハル	3:19:17.372	226	0:37:53.349	229	0:08:01.260	1:27:21.622	270	0:03:43.396	1:02:17.745	204	60-64M	16	鹿児島県
227	49歳以下	226	坂山 智哉	サカヤマ トモヤ	3:19:21.379	227	0:34:09.999	162	0:05:13.917	1:23:35.282	226	0:02:30.117	1:13:52.064	275	25-29M	14	福岡県
228	60歳以上	654	山本 喜義	ヤマモト キヨシ	3:19:36.076	228	0:26:21.983	34	0:06:14.074	1:32:34.773	311	0:03:28.904	1:10:56.342	264	70-74M	4	熊本県
229	49歳以下	314	柴田 有史	シバタ アリフミ	3:19:47.790	229	0:34:44.100	176	0:08:43.070	1:24:16.335	236	0:03:40.677	1:08:23.608	249	40-44M	28	埼玉県
230	50歳代	434	長友 一郎	ナガトモ イチロウ	3:19:52.751	230	0:35:18.196	188	0:07:41.027	1:29:24.071	286	0:04:11.052	1:03:18.405	210	50-54M	53	宮崎県
231	49歳以下	206	山本 竜大	ヤマモト タツヒロ	3:19:57.892	231	0:38:12.715	238	0:05:10.235	1:22:52.643	217	0:02:29.762	1:11:12.537	265	20-24M	9	学連
232	60歳以上	607	中島 靖憲	ナカシマ ヤスノリ	3:20:19.323	232	0:36:25.041	208	0:06:46.841	1:23:56.296	229	0:04:08.256	1:09:02.889	254	60-64M	17	佐賀県
233	49歳以下	368	堀口 俊彦	ホリグチ トシヒコ	3:20:48.590	233	0:37:43.135	223	0:05:18.630	1:18:40.061	143	0:03:10.684	1:15:56.080	287	45-49M	46	熊本県
234	50歳代	405	中島 崇樹	ナカジマ タカキ	3:20:59.444	234	0:38:58.488	252	0:07:37.325	1:20:33.902	175	0:04:07.518	1:09:42.211	259	50-54M	54	長野県
235	49歳以下	277	岩田 貴裕	イワタ タカヒロ	3:21:01.791	235	0:45:49.780	321	0:08:37.284	1:26:38.682	262	0:04:13.095	0:55:42.950	130	35-39M	20	宮崎県
236	49歳以下	260	中谷 太祐	ナカタニ ダイスケ	3:21:38.152	236	0:37:53.484	230	0:06:17.297	1:24:05.876	232	0:03:38.585	1:09:42.910	260	35-39M	21	大分県
237	60歳以上	632	橋本 雅治	ハシモト マサハル	3:21:43.497	237	0:43:47.302	306	0:08:58.133	1:20:25.595	172	0:04:40.426	1:03:52.041	215	60-64M	18	大分県
238	49歳以下	381	菅野 正一	カンノ マサカズ	3:21:50.437	238	0:36:19.114	204	0:06:16.837	1:20:49.161	182	0:03:37.515	1:14:47.810	279	45-49M	47	東京都
239	50歳代	417	山本 純也	ヤマモト ジュンヤ	3:21:55.104	239	0:32:39.283	118	0:06:05.649	1:17:43.103	132	0:04:18.202	1:21:08.867	310	50-54M	55	大阪府
240	50歳代	470	鍋倉 貴行	ナベクラ タカユキ	3:21:59.856	240	0:35:01.731	183	0:08:17.162	1:26:09.824	258	0:05:16.160	1:07:14.979	241	50-54M	56	宮崎県
241	49歳以下	304	石川 知佳	イシカワ トモヨシ	3:22:06.476	241	0:37:22.244	220	0:07:23.335	1:29:34.875	291	0:04:24.424	1:03:21.598	211	40-44M	29	宮崎県
242	49歳以下	366	田中  智史	タナカ  サトシ	3:22:31.807	242	0:32:49.683	121	0:06:20.676	1:29:29.694	290	0:04:55.562	1:08:56.192	253	45-49M	48	宮崎県
243	49歳以下	248	森下 禎昭	モリシタ サダアキ	3:22:45.465	243	0:34:30.182	169	0:07:41.869	1:31:48.901	303	0:03:35.643	1:05:08.870	226	30-34M	9	熊本県
244	50歳代	476	山本 道伸	ヤマモト ミチノブ	3:22:52.858	244	0:41:18.748	286	0:08:14.252	1:21:12.874	187	0:04:27.605	1:07:39.379	242	50-54M	57	愛知県
245	50歳代	511	蔵元 博文	クラモト ヒロフミ	3:23:52.009	245	0:47:39.768	328	0:07:22.319	1:24:32.814	238	0:04:09.746	1:00:07.362	174	55-59M	27	宮崎県
246	60歳以上	636	伊藤 正明	イトウ マサアキ	3:24:08.679	246	0:33:52.681	153	0:05:38.195	1:21:44.622	193	0:04:30.316	1:18:22.865	300	60-64M	19	長野県
247	60歳以上	608	清水 幸一郎	シミズ コウイチロウ	3:24:29.646	247	0:32:46.119	119	0:10:04.731	1:18:42.290	144	0:05:29.163	1:17:27.343	297	60-64M	20	東京都
248	50歳代	485	木村  憲司	キムラ  ケンジ	3:24:43.721	248	0:40:40.156	281	0:10:18.229	1:23:14.209	223	0:06:15.641	1:04:15.486	218	55-59M	28	愛知県
249	60歳以上	612	平田  一雄	ヒラタ  カズオ	3:25:12.620	249	0:38:55.126	251	0:06:51.142	1:16:26.409	117	0:03:42.251	1:19:17.692	305	60-64M	21	佐賀県
250	60歳以上	616	糠塚 雅樹	ヌカツカ マサキ	3:25:35.348	250	0:34:49.845	178	0:06:09.984	1:24:54.603	244	0:03:42.940	1:15:57.976	288	60-64M	22	神奈川県
251	49歳以下	322	迫田  雄介	サコタ  ユウスケ	3:25:42.899	251	0:50:05.912	335	0:08:00.047	1:20:42.794	180	0:04:49.890	1:02:04.256	201	40-44M	30	熊本県
252	50歳代	436	穴井  隆二	アナイ  リュウジ	3:25:47.767	252	0:44:21.978	312	0:10:45.463	1:24:46.858	242	0:07:02.592	0:58:50.876	162	50-54M	58	熊本県
253	50歳代	406	後藤  義和	ゴトウ  ヨシカズ	3:25:57.978	253	0:36:53.959	214	0:07:08.484	1:27:42.893	274	0:04:30.670	1:09:41.972	258	50-54M	59	福岡県
254	50歳代	441	山田 康一朗	ヤマダ コウイチロウ	3:25:59.500	254	0:38:14.047	240	0:07:25.270	1:21:57.474	198	0:05:32.774	1:12:49.935	271	50-54M	60	福岡県
255	60歳以上	656	岡本 和輝	オカモト カズテル	3:26:03.024	255	0:41:21.212	287	0:08:12.071	1:31:22.254	300	0:06:28.856	0:58:38.631	158	70-74M	5	山口県
256	49歳以下	358	畑 英一郎	ハタ エイイチロウ	3:26:42.534	256	0:39:12.982	260	0:05:57.794	1:26:01.963	256	0:03:23.287	1:12:06.508	267	45-49M	49	東京都
257	50歳代	504	高見澤 一伸	タカミザワ カズノブ	3:27:08.493	257	0:43:43.292	305	0:06:42.323	1:22:47.844	215	0:05:54.831	1:08:00.203	244	55-59M	29	長野県
258	50歳代	472	土屋 俊英	ツチヤ トシヒデ	3:27:08.865	258	0:49:18.455	333	0:08:52.059	1:25:08.323	247	0:06:00.128	0:57:49.900	145	50-54M	61	長野県
259	49歳以下	236	伊藤 優馬	イトウ ユウマ	3:27:19.967	259	0:45:30.209	320	0:09:36.191	1:27:46.398	275	0:06:47.406	0:57:39.763	143	25-29M	15	鹿児島県
260	49歳以下	223	後藤 秀隆	ゴトウ ヒデタカ	3:27:29.471	260	0:34:58.135	181	0:06:58.279	1:24:24.188	237	0:04:37.655	1:16:31.214	290	25-29M	16	大分県
261	60歳以上	646	大島 昇	オオシマ ノボル	3:27:35.635	261	0:38:44.123	250	0:07:22.952	1:28:11.565	278	0:04:56.306	1:08:20.689	247	65-69M	9	埼玉県
262	49歳以下	396	柿本 裕己	カキモト ユウキ	3:28:06.417	262	0:40:59.399	284	0:08:44.626	1:29:17.706	285	0:07:37.730	1:01:26.956	194	45-49M	50	鹿児島県
263	60歳以上	653	山口 満	ヤマグチ ミツル	3:28:24.748	263	0:33:20.930	134	0:07:49.117	1:33:48.676	316	0:04:09.570	1:09:16.455	257	70-74M	6	東京都
264	49歳以下	237	竹田  将貴	タケダ  マサキ	3:28:52.820	264	0:33:43.098	144	0:06:30.760	1:44:28.135	336	0:04:30.621	0:59:40.206	171	25-29M	17	東京都
265	50歳代	495	朝武 康臣	トモタケ ヤスオミ	3:29:14.230	265	0:40:26.013	280	0:06:11.812	1:35:28.221	323	0:04:02.568	1:03:05.616	208	55-59M	30	東京都
266	49歳以下	291	吉田  俊介	ヨシダ  シュンスケ	3:29:54.288	266	0:48:41.794	332	0:05:31.581	1:31:58.322	306	0:03:22.150	1:00:20.441	178	40-44M	31	福岡県
267	50歳代	432	前薗 郁男	マエゾノ イクオ	3:30:37.370	267	0:38:43.795	249	0:12:12.469	1:24:09.168	233	0:06:47.161	1:08:44.777	251	50-54M	62	山口県
268	49歳以下	317	渡邉 哲郎	ワタナベ テツロウ	3:30:41.265	268	0:43:12.007	303	0:07:15.325	1:28:35.681	281	0:06:46.336	1:04:51.916	222	40-44M	32	福岡県
269	49歳以下	244	伊澤 基博	イサワ モトヒロ	3:31:16.075	269	0:48:03.778	329	0:07:19.414	1:26:05.565	257	0:06:07.009	1:03:40.309	214	30-34M	10	東京都
270	49歳以下	225	溝尻 賢大	ミゾジリ ケンタ	3:31:54.605	270	0:38:14.344	241	0:05:48.490	1:35:41.245	325	0:03:20.865	1:08:49.661	252	25-29M	18	福岡県
271	49歳以下	272	廣瀬 昌彦	ヒロセ マサヒコ	3:32:31.436	271	0:33:47.357	148	0:07:25.773	1:27:09.624	267	0:04:13.368	1:19:55.314	306	35-39M	22	大分県
272	50歳代	505	大坪 啓一郎	オオツボ ケイイチロウ	3:33:34.639	272	0:47:36.001	327	0:07:48.015	1:24:12.731	235	0:04:54.324	1:09:03.568	256	55-59M	31	宮崎県
273	60歳以上	641	甲斐 圭祐	カイ ケイスケ	3:34:11.800	273	0:39:53.539	274	0:08:06.987	1:22:58.343	218	0:04:40.815	1:18:32.116	301	65-69M	10	佐賀県
274	49歳以下	316	石橋 雄介	イシバシ ユウスケ	3:34:18.960	274	0:38:00.455	231	0:10:22.101	1:30:24.103	295	0:07:03.681	1:08:28.620	250	40-44M	33	福岡県
275	50歳代	508	後藤 玄利	ゴトウ ゲンリ	3:34:26.760	275	0:32:25.683	114	0:06:35.580	1:22:42.576	213	0:03:37.017	1:29:05.904	324	55-59M	32	東京都
276	49歳以下	342	横山 大介	ヨコヤマ ダイスケ	3:34:50.422	276	0:30:31.693	89	0:10:03.016	1:31:55.902	305	0:05:18.304	1:17:01.507	294	45-49M	51	東京都
277	50歳代	471	佐々木 孝	ササキ タカシ	3:35:00.169	277	0:40:41.093	282	0:06:37.175	1:33:08.344	315	0:04:29.231	1:10:04.326	262	50-54M	63	大分県
278	50歳代	435	井ノ上  陽一	イノウエ  ヨウイチ	3:35:08.333	278	0:42:52.566	301	0:07:13.619	1:20:19.346	169	0:03:35.597	1:21:07.205	309	50-54M	64	東京都
279	49歳以下	247	藤井 裕真	フジイ ユウマ	3:35:15.409	279	0:52:12.300	339	0:06:56.184	1:27:27.233	271	0:04:28.369	1:04:11.323	217	30-34M	11	千葉県
280	50歳代	498	狩集 一彦	カリアツメ カズヒコ	3:36:15.338	280	0:41:39.090	288	0:09:00.619	1:33:00.120	314	0:07:16.001	1:05:19.508	227	55-59M	33	鹿児島県
281	50歳代	433	高井 伸太郎	タカイ シンタロウ	3:36:47.361	281	0:39:53.603	275	0:08:17.348	1:28:29.885	279	0:05:00.394	1:15:06.131	283	50-54M	65	東京都
282	49歳以下	264	瀬尾 紘樹	セオ ヒロキ	3:37:18.287	282	0:37:09.572	218	0:07:20.464	1:23:23.254	224	0:02:26.761	1:26:58.236	321	35-39M	23	宮崎県
