総合順位	No.	氏名	年齢	性別	所属・登録	総合記録	スイムラップ	S順	バイクラップ	B順	スプリット	通過	ランラップ	R順	男子順位	女子順位	年齢区分	年齡別順
1	9062	三浦 喜明	45	男	神奈川	1:07:10	0:12:41	9	0:33:28	2	0:46:09	1	0:21:01	5	1		40代男子	1
2	9157	駒野 悠太	31	男	神奈川	1:08:49	0:11:42	4	0:36:38	3	0:48:20	2	0:20:29	1	2		30代男子	1
3	9167	池田 啓介	29	男	愛知	1:10:48	0:10:37	1	0:38:12	10	0:48:49	4	0:21:59	12	3		20代男子	1
4	9141	小宮 朋之	34	男	千葉	1:11:02	0:11:24	3	0:36:58	4	0:48:22	3	0:22:40	17	4		30代男子	2
5	9181	へブラー ジャレル	16	男	神奈川	1:11:35	0:10:54	2	0:39:13	17	0:50:07	5	0:21:28	8	5		10代男子	1
6	9162	内海 敬大	31	男	神奈川	1:11:42	0:13:28	19	0:37:33	8	0:51:01	10	0:20:41	3	6		30代男子	3
7	9170	永堀 悟	28	男	神奈川	1:12:20	0:14:08	31	0:37:33	7	0:51:41	12	0:20:39	2	7		20代男子	2
8	9034	和島 知己	51	男	青森	1:12:53	0:12:34	8	0:39:05	16	0:51:39	11	0:21:14	7	8		50代男子	1
9	9172	鈴木 広志	28	男	神奈川	1:13:05	0:13:22	16	0:37:16	5	0:50:38	7	0:22:27	14	9		20代男子	3
10	9122	古賀 拓	38	男	神奈川	1:13:23	0:13:10	11	0:37:31	6	0:50:41	8	0:22:42	18	10		30代男子	4
11	9135	森岡 卓也	36	男	神奈川	1:13:40	0:13:21	14	0:38:24	11	0:51:45	13	0:21:55	11	11		30代男子	5
12	9108	森山 岳	39	男	埼玉	1:14:46	0:13:35	20	0:38:48	13	0:52:23	14	0:22:23	13	12		30代男子	6
13	9130	小平 隆広	36	男	埼玉	1:15:09	0:14:36	37	0:39:21	18	0:53:57	19	0:21:12	6	13		30代男子	7
14	9179	新堀 利章	22	男	神奈川	1:16:34	0:13:59	27	0:38:30	12	0:52:29	15	0:24:05	25	14		20代男子	4
