順位	No.	氏名	都道府県	Swim	S順	T1	Bike	B順	スプリット	通過	Run	R順	総合記録
1	53	中西　篤志	大阪府	1:04:59	3	0:02:20	5:51:12	1	6:58:31	1	3:53:43	2	10:52:14
2	54	石橋　健志	大阪府	0:58:58	2	0:01:20	6:41:52	4	7:42:10	4	3:45:08	1	11:27:18
3	55	宮村　和宏	東京都	1:07:14	5	0:02:08	6:24:56	3	7:34:18	3	4:21:47	3	11:56:05
4	52	石田　涼	大阪府	1:05:02	4	0:01:26	6:15:31	2	7:21:59	2	4:58:38	4	12:20:37
DNF	51	高橋　正俊	大阪府	0:56:41	1	0:01:52	6:49:20	5	7:47:53	5			
