総合順位	No.	氏名	年齢	性別	登録地	総合記録	スイムラップ	S順	バイクラップ	B順	スプリット	通過	ランラップ	R順	男子順位	女子順位	年齢区分	年齢別順
1	1191	甲斐　瑠夏	25	男	佐賀県	4:44:59	0:20:06	1	2:50:39	1	3:10:45	1	1:34:14	4	1		M25～29	
2	1188	堀田　昇世	33	男	長崎県	5:00:45	0:24:33	6	3:10:49	6	3:35:22	6	1:25:23	1	2		M30～34	
3	1155	後藤　謙仁	45	男	東京都	5:02:21	0:26:08	14	2:59:15	2	3:25:23	2	1:36:58	6	3		M45～49	
4	1157	池田　圭介	45	男	長崎県	5:05:15	0:22:29	3	3:09:48	5	3:32:17	4	1:32:58	3	4		M45～49	
5	1152	リッパー　ジェス	47	男	北海道	5:06:27	0:25:01	9	3:05:59	3	3:31:00	3	1:35:27	5	5		M45～49	
6	1190	田中　聡	26	男	福岡県	5:17:06	0:22:46	4	3:23:19	16	3:46:05	9	1:31:01	2	6		M25～29	1
7	1136	川越　勝仁	50	男	鹿児島県	5:24:41	0:27:13	18	3:08:06	4	3:35:19	5	1:49:22	18	7		M50～54	1
8	1131	笠井　歩	50	男	東京都	5:28:45	0:32:01	54	3:12:34	7	3:44:35	8	1:44:10	10	8		M50～54	2
9	1175	杉山　謙心	40	男	岡山県	5:29:44	0:24:33	5	3:15:14	9	3:39:47	7	1:49:57	20	9		M40～44	1
10	1160	三宅　賢	44	男	福岡県	5:31:47	0:32:42	65	3:18:50	11	3:51:32	14	1:40:15	7	10		M40～44	2
11	1177	磯見　洋一	40	男	熊本県	5:39:57	0:32:32	63	3:16:06	10	3:48:38	11	1:51:19	26	11		M40～44	3
12	1184	本郷　輝	35	男	大分県	5:41:42	0:27:07	16	3:26:25	20	3:53:32	16	1:48:10	14	12		M35～39	1
13	1127	野田　慎一朗	51	男	福岡県	5:43:26	0:29:44	39	3:23:13	14	3:52:57	15	1:50:29	23	13		M50～54	3
14	1165	持田　敬司	43	男	千葉県	5:44:20	0:29:54	43	3:29:40	25	3:59:34	24	1:44:46	11	14		M40～44	4
15	1106	高橋　順一	56	男	栃木県	5:47:25	0:28:30	26	3:27:42	24	3:56:12	21	1:51:13	25	15		M55～59	1
16	1123	石川　幸篤	53	男	東京都	5:47:47	0:29:52	42	3:27:00	22	3:56:52	22	1:50:55	24	16		M50～54	4
17	1244	野仲　典子	44	女	大分県	5:50:06	0:27:12	17	3:27:10	23	3:54:22	18	1:55:44	30		1	W40～44	
18	1109	島村　健	55	男	千葉県	5:50:43	0:34:10	84	3:14:13	8	3:48:23	10	2:02:20	44	17		M55～59	2
19	1154	倉岡　圭	46	男	福岡県	5:52:12	0:29:43	38	3:19:01	12	3:48:44	13	2:03:28	46	18		M45～49	1
20	1176	遠山　誠也	40	男	東京都	5:52:29	0:32:53	68	3:32:40	27	4:05:33	33	1:46:56	13	19		M40～44	5
21	1159	久保　慎司	44	男	長崎県	5:54:09	0:24:36	7	3:39:19	37	4:03:55	31	1:50:14	22	20		M40～44	6
22	1246	林　摩耶	41	女	大阪府	5:54:43	0:29:19	36	3:24:47	18	3:54:06	17	2:00:37	39		2	W40～44	
23	1189	賀川　尚樹	27	男	神奈川県	5:55:36	0:25:13	11	3:41:23	41	4:06:36	34	1:49:00	16	21		M25～29	2
24	1050	佐藤　長武	64	男	山口県	5:55:48	0:33:27	74	3:40:40	40	4:14:07	42	1:41:41	9	22		M60～64	1
25	1129	葛城　建史	51	男	神奈川県	5:56:57	0:29:24	37	3:47:13	51	4:16:37	46	1:40:20	8	23		M50～54	5
26	1133	杉崎　憲三	50	男	広島県	5:58:40	0:28:30	25	3:20:12	13	3:48:42	12	2:09:58	62	24		M50～54	6
27	1233	池田　千春	50	女	長崎県	5:58:54	0:28:36	27	3:33:35	29	4:02:11	29	1:56:43	32		3	W50～54	
28	1099	安丸　信行	57	男	東京都	5:59:43	0:25:02	10	3:36:41	30	4:01:43	27	1:58:00	35	25		M55～59	3
29	1095	勝倉　修一	58	男	神奈川県	6:00:35	0:32:51	67	3:42:06	43	4:14:57	44	1:45:38	12	26		M55～59	4
30	1138	西川　剛	50	男	京都府	6:01:18	0:35:12	99	3:37:42	32	4:12:54	40	1:48:24	15	27		M50～54	7
31	1119	長谷部　崇	53	男	大分県	6:03:26	0:29:07	32	3:33:00	28	4:02:07	28	2:01:19	41	28		M50～54	8
32	1149	川口　英晃	47	男	長崎県	6:03:59	0:27:58	21	3:36:49	31	4:04:47	32	1:59:12	38	29		M45～49	2
33	1107	山田　徹	56	男	福岡県	6:04:09	0:32:12	58	3:25:51	19	3:58:03	23	2:06:06	51	30		M55～59	5
34	1179	小川　繁幸	39	男	長崎県	6:04:21	0:28:50	29	3:43:52	45	4:12:42	39	1:51:39	27	31		M35～39	2
35	1134	山部　真一	50	男	岡山県	6:05:28	0:28:17	23	3:47:06	50	4:15:23	45	1:50:05	21	32		M50～54	9
36	1070	清水　俊郎	61	男	福岡県	6:08:07	0:28:58	30	3:32:13	26	4:01:11	26	2:06:56	53	33		M60～64	2
37	1150	武田　幸寿	47	男	東京都	6:09:30	0:31:16	49	3:23:16	15	3:54:32	19	2:14:58	69	34		M45～49	3
38	1240	岸　智子	45	女	大阪府	6:12:12	0:34:09	83	3:26:38	21	4:00:47	25	2:11:25	63		4	W45～49	
39	1141	小池　正治	49	男	東京都	6:12:18	0:24:56	8	3:38:03	33	4:02:59	30	2:09:19	59	35		M45～49	4
40	1128	岡崎　和彦	51	男	埼玉県	6:13:16	0:29:07	33	3:45:27	48	4:14:34	43	1:58:42	36	36		M50～54	10
41	1132	角　伸幸	50	男	福岡県	6:14:37	0:35:14	100	3:42:23	44	4:17:37	48	1:57:00	33	37		M50～54	11
42	1084	森　雅裕	60	男	東京都	6:15:01	0:30:05	44	3:49:10	53	4:19:15	51	1:55:46	31	38		M60～64	3
43	1079	廣田　省吾	60	男	兵庫県	6:15:10	0:28:08	22	3:40:14	39	4:08:22	36	2:06:48	52	39		M60～64	4
