総合順位	No.	氏名	年齢	性別	都道府県	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位
1	304	福士 裕大	36	男	大阪府	0:13:23	0:03:37	1			0:09:46	5	1	
2	309	辻川 祐紀	45	男	和歌山県	0:13:54	0:04:23	2			0:09:31	4	2	
3	311	渡邊 さやか	47	女	大阪府	0:14:28	0:05:13	5			0:09:15	1		1
4	312	木下 輔	47	男	大阪府	0:14:58	0:05:35	9			0:09:23	2	3	
5	307	加藤 洋平	42	男	大阪府	0:15:23	0:05:25	8			0:09:58	6	4	
6	315	馬場 ケイジロウ	49	男	大阪府	0:15:55	0:04:58	4			0:10:57	8	5	
7	310	能勢 貴士	47	男	京都府	0:16:10	0:06:39	10			0:09:31	3	6	
8	305	植村 勇介	41	男	愛知県	0:16:42	0:05:24	7			0:11:18	9	7	
9	319	田中 雅教	54	男	兵庫県	0:18:12	0:04:46	3			0:13:26	12	8	
10	306	大嵜 真之介	42	男	滋賀県	0:18:20	0:05:13	6			0:13:07	10	9	
11	313	石川 雄	48	男	三重県	0:20:13	0:07:00	11			0:13:13	11	10	
12	317	岩田 竜一	52	男	京都府	0:20:58	0:10:02	13			0:10:56	7	11	
13	320	佐藤 京子	54	女	京都府	0:23:22	0:07:15	12			0:16:07	13		2
DNS	301	永野 仁一朗	15	男	大阪府									
DNS	302	石坂 賢斗	24	男	大阪府									
DNS	303	大西 彩太	27	男	大阪府									
DNS	308	稲田 真治郎	42	男	京都府									
DNS	314	明石 長月	49	男	大阪府									
DNS	316	岡崎 拓海	52	男	大阪府									
DNS	321	阪井 剛司	55	男	大阪府									
DNS	322	加藤 寿一	57	男	京都府									
DNS	323	岡田 幸宏	61	男	兵庫県									
DNS	324	坪井 修一	65	男	大阪府									
