総合順位	No.	氏名	年齢	性別	都道府県	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位
1	208	山本 剛志	27	男	大阪府	0:20:33	0:07:36	5			0:12:57	1	1	
2	213	吉木 幸宏	30	男	京都府	0:20:58	0:07:42	6			0:13:16	2	2	
3	202	金澤 佑樹	19	男	大阪府	0:21:17	0:06:39	3			0:14:38	8	3	
4	201	柴田 直宏	18	男	大阪府	0:21:55	0:06:25	1			0:15:30	12	4	
5	226	前田 猛	48	男	奈良県	0:22:40	0:08:55	12			0:13:45	4	5	
6	222	滝内 一博	37	男	大阪府	0:23:01	0:08:02	7			0:14:59	11	6	
7	219	田中 陽一郎	32	男	大阪府	0:23:07	0:08:19	9			0:14:48	9	7	
8	206	吉﨑 奈生	25	女	大阪府	0:23:51	0:08:12	8			0:15:39	13		1
9	224	鈴木 勲	43	男	京都府	0:24:05	0:09:35	14			0:14:30	7	8	
10	230	浅野 拓郎	52	男	岐阜県	0:24:31	0:06:26	2			0:18:05	26	9	
11	205	川角 圭祐	24	男	愛知県	0:24:40	0:06:40	4			0:18:00	25	10	
12	203	東野 由芽	23	女	愛媛県	0:24:41	0:08:26	10			0:16:15	16		2
13	212	引馬 智裕	29	男	東京都	0:25:21	0:10:25	18			0:14:56	10	11	
14	216	窪 尚弥	30	男	奈良県	0:25:21	0:11:15	21			0:14:06	5	12	
15	207	吉田 健人	25	男	大阪府	0:25:37	0:11:27	22			0:14:10	6	13	
16	233	佐々木 勝之	57	男	京都府	0:25:48	0:10:03	17			0:15:45	14	14	
17	218	松岡 昇	31	男	大阪府	0:25:58	0:09:42	16			0:16:16	17	15	
18	221	松井 駿士	36	男	奈良県	0:26:23	0:12:45	29			0:13:38	3	16	
19	215	寺井 公亮	30	男	兵庫県	0:27:39	0:11:49	24			0:15:50	15	17	
20	232	東野 真季	54	女	大阪府	0:27:57	0:08:49	11			0:19:08	29		3
21	318	中村 研一	53	男	京都府	0:28:02	0:10:42	19			0:17:20	21	18	
22	220	小西 大喜	35	男	大阪府	0:29:02	0:11:52	25			0:17:10	20	19	
23	235	末澤 実	58	男	大阪府	0:29:02	0:12:46	30			0:16:16	18	20	
24	211	鈴木 奈津	29	女	京都府	0:29:19	0:09:37	15			0:19:42	32		4
25	229	奥下 剛光	51	男	大阪府	0:29:36	0:11:28	23			0:18:08	27	21	
26	231	齋藤 充弘	54	男	東京都	0:29:45	0:12:14	26			0:17:31	23	22	
27	234	河野 暢	57	男	大阪府	0:29:52	0:12:30	28			0:17:22	22	23	
28	223	南 未央子	41	女	大阪府	0:30:13	0:10:47	20			0:19:26	30		5
29	236	吉川 弘剛	61	男	大阪府	0:30:58	0:12:21	27			0:18:37	28	24	
30	214	丸山 敬貴	30	男	宮崎県	0:31:11	0:14:26	33			0:16:45	19	25	
31	204	深谷 直樹	24	男	愛知県	0:32:41	0:14:41	34			0:18:00	24	26	
32	217	江夏 俊祐	31	男	大阪府	0:33:47	0:08:58	13			0:24:49	37	27	
33	237	戸田 弘	64	男	兵庫県	0:35:11	0:15:42	36			0:19:29	31	28	
34	210	舟木 遼	29	男	東京都	0:35:18	0:13:39	31			0:21:39	34	29	
35	227	金澤 孔輔	49	男	大阪府	0:35:24	0:15:15	35			0:20:09	33	30	
36	228	松尾 威一郎	51	男	大阪府	0:36:40	0:13:55	32			0:22:45	36	31	
37	209	松野 和馬	29	男	愛知県	0:38:42	0:16:55	37			0:21:47	35	32	
DNS	225	村田 尚己	43	男	兵庫県									
