総合順位	No.	氏名	年齢	性別	総合記録	スイムラップ	S順	T1ラップ	T1順	バイクラップ	B順	スプリット	通過	T2ラップ	T2順	ランラップ	R順	年代区分	年代順位	年齢	年齢順位
1	5026	ｱｲｻﾞｷ ﾘｭｳｾｲ	19	男	2:12:40	0:23:41	5	0:06:47	10	1:04:59	12	1:35:27	2	0:01:15	3	0:35:58	4	男子24歳以下	1	19	
1	5003	ﾑﾗﾀ ｶｵﾙ	26	女	2:39:49	0:27:08	1	0:07:10	1	1:21:12	14	1:55:30	1	0:01:59	1	0:42:20	1	女子25-29歳	1	26	
2	5027	ﾏﾂｵｶ ｼﾝﾀﾛｳ	20	男	2:13:32	0:27:42	14	0:06:19	4	1:01:51	2	1:35:52	4	0:01:43	10	0:35:57	3	男子24歳以下	2	20	
2	8128	ｻｲﾄｳ ﾊﾙｶ	27	女	2:49:27	0:36:25	8	0:08:29	4	1:14:07	2	1:59:01	3	0:02:24	8	0:48:02	8	女子25-29歳	2	27	
3	5144	ﾄﾐｳﾁ ﾀﾞﾝ	30	男	2:13:45	0:24:25	6	0:06:36	7	1:04:38	9	1:35:39	3	0:01:11	1	0:36:55	7	男子30-34歳	1	30	
3	8119	ｴｸﾞﾁ ﾐﾕｳ	21	女	2:51:42	0:33:14	4	0:08:19	2	1:17:17	4	1:58:50	2	0:02:13	5	0:50:39	15	女子24歳以下	1	21	
4	5028	ﾖｺﾔﾏ ﾋﾛｷ	20	男	2:17:07	0:28:58	19	0:06:14	2	1:04:29	8	1:39:41	10	0:01:27	5	0:35:59	5	男子24歳以下	3	20	
4	8122	ｱｻｶ ｽｽﾞ	22	女	2:57:41	0:46:56	46	0:08:50	5	1:13:46	1	2:09:32	8	0:02:00	2	0:46:09	2	女子24歳以下	2	22	
5	5029	ﾅｶﾉ ﾕｳﾀﾞｲ	25	男	2:18:16	0:29:20	21	0:06:17	3	1:04:23	6	1:40:00	12	0:01:41	9	0:36:35	6	男子25-29歳	1	25	
5	8167	ﾐｳﾗ ｱｽｶ	45	女	2:59:07	0:41:11	22	0:09:20	9	1:18:23	8	2:08:54	7	0:02:43	14	0:47:30	5	女子45-49歳	1	45	
6	8607	ｵﾊﾞﾅ ﾚﾝﾄ	20	男	2:18:18	0:27:29	11	0:06:26	5	1:04:54	11	1:38:49	8	0:01:52	17	0:37:37	9	男子24歳以下	4	20	
6	8120	ｽｽﾞｷ ﾁﾊﾙ	21	女	2:59:41	0:43:26	32	0:08:53	6	1:17:22	5	2:09:41	9	0:02:18	6	0:47:42	7	女子24歳以下	3	21	
7	5019	ｱｶｲｼ ｲｯﾀ	21	男	2:18:37	0:23:36	4	0:06:36	7	1:07:42	25	1:37:54	7	0:01:54	20	0:38:49	13	男子24歳以下	5	21	
7	8118	ｵﾉｻﾞﾜ ﾄﾓｶ	21	女	3:00:20	0:34:41	5	0:09:47	12	1:17:06	3	2:01:34	4	0:02:55	19	0:55:51	29	女子24歳以下	4	21	
