総合順位	No.	氏名	年齢	性別	居住地	総合記録	バイクラップ	B順	ランラップ	R順	男子順位	女子順位	区分	区分順位
1	1003	布川 昊	17	男	千葉県	0:57:07	0:36:01	2	0:21:06	8	1		10-19男子	
2	1001	高橋 駿介	16	男	東京都	0:57:13	0:37:01	3	0:20:12	4	2		10-19男子	
3	1079	名倉 和希	37	男	千葉県	0:57:32	0:37:53	5	0:19:39	3	3		30-39男子	
4	1176	岡部 稔	56	男	東京都	0:58:57	0:36:00	1	0:22:57	19	4		50-59男子	1
5	1090	大野 雄一朗	40	男	東京都	0:59:54	0:37:42	4	0:22:12	14	5		40-49男子	1
6	1165	今井 達也	55	男	東京都	1:00:14	0:38:24	6	0:21:50	11	6		50-59男子	2
7	1114	CALCAGNI ANDREA	46	男	東京都	1:00:14	0:38:47	10	0:21:27	9	7		40-49男子	2
8	1115	山口 陽平	46	男	東京都	1:00:17	0:39:11	12	0:21:06	7	8		40-49男子	3
9	1025	ジラルディ 起丈	27	男	埼玉県	1:00:32	0:38:38	9	0:21:54	13	9		20-29男子	1
10	1081	鈴木 秀人	38	男	千葉県	1:00:34	0:39:41	14	0:20:53	6	10		30-39男子	1
11	1188	大塚 邦幸	58	男	東京都	1:01:59	0:38:31	7	0:23:28	24	11		50-59男子	3
12	1019	山名 貴大	26	男	神奈川県	1:02:05	0:43:10	26	0:18:55	2	12		20-29男子	2
13	1035	阿部 稀世人	29	男	神奈川県	1:02:28	0:38:32	8	0:23:56	31	13		20-29男子	3
14	1157	信田 篤志	54	男	神奈川県	1:02:57	0:40:34	15	0:22:23	15	14		50-59男子	4
15	1048	森井 拓哉	31	男	茨城県	1:03:00	0:39:26	13	0:23:34	25	15		30-39男子	2
16	1026	工藤 遼太郎	28	男	埼玉県	1:03:19	0:45:40	48	0:17:39	1	16		20-29男子	4
17	1073	山崎 朗	36	男	神奈川県	1:03:39	0:41:45	21	0:21:54	12	17		30-39男子	3
18	1102	小口 裕也	43	男	東京都	1:04:09	0:43:55	31	0:20:14	5	18		40-49男子	4
19	1156	青木 亮輔	54	男	東京都	1:05:18	0:42:20	23	0:22:58	20	19		50-59男子	5
20	1211	冨岡 蒼	18	女	千葉県	1:05:55	0:41:25	18	0:24:30	36		1	10-19女子	
21	1112	宮坂 政志	46	男	千葉県	1:06:01	0:44:23	34	0:21:38	10	20		40-49男子	5
22	1011	福宮 凪人	25	男	東京都	1:07:20	0:44:54	41	0:22:26	16	21		20-29男子	5
23	1187	梶原 真哉	58	男	福島県	1:07:26	0:42:35	24	0:24:51	40	22		50-59男子	6
24	1169	渋井 信治	55	男	埼玉県	1:07:32	0:39:05	11	0:28:27	80	23		50-59男子	7
25	1149	兼田 一彦	53	男	埼玉県	1:08:25	0:43:13	27	0:25:12	43	24		50-59男子	8
26	1128	染谷 要一	49	男	茨城県	1:08:25	0:44:21	33	0:24:04	33	25		40-49男子	6
27	1151	矢口 照彦	53	男	神奈川県	1:08:26	0:41:53	22	0:26:33	54	26		50-59男子	9
28	1160	影山 健二	54	男	千葉県	1:08:37	0:44:58	42	0:23:39	26	27		50-59男子	10
29	1027	姫野 拓真	28	男	愛知県	1:08:37	0:46:11	50	0:22:26	17	28		20-29男子	6
30	1234	野上 陽子	54	女	千葉県	1:09:08	0:45:14	43	0:23:54	30		2	50-59女子	
31	1121	村田 悠治	48	男	神奈川県	1:09:14	0:46:29	52	0:22:45	18	29		40-49男子	7
32	1213	行田 明夢	27	女	埼玉県	1:10:04	0:44:17	32	0:25:47	50		3	20-29女子	
33	1110	伊藤 裕亮	45	男	埼玉県	1:10:19	0:44:24	36	0:25:55	52	30		40-49男子	8
34	1177	松村 宜久	56	男	千葉県	1:10:33	0:41:38	20	0:28:55	89	31		50-59男子	11
35	1036	山中 颯	29	男	東京都	1:10:46	0:47:31	66	0:23:15	22	32		20-29男子	7
36	1131	石井 秀幸	49	男	東京都	1:10:58	0:43:43	30	0:27:15	65	33		40-49男子	9
37	1094	浅野 浩一	42	男	千葉県	1:11:09	0:47:23	65	0:23:46	28	34		40-49男子	10
38	1182	中野 伸一	57	男	神奈川県	1:11:13	0:41:22	17	0:29:51	112	35		50-59男子	12
39	1099	佐藤 正文	42	男	千葉県	1:11:28	0:45:50	49	0:25:38	47	36		40-49男子	11
40	1010	多田 彩人	25	男	東京都	1:11:39	0:44:33	38	0:27:06	62	37		20-29男子	8
41	1139	霧生 秀治	50	男	東京都	1:11:46	0:47:55	71	0:23:51	29	38		50-59男子	13
42	1066	嶋村 翼	34	男	東京都	1:12:11	0:45:31	45	0:26:40	55	39		30-39男子	4
43	1113	須藤 大貴	46	男	神奈川県	1:12:17	0:48:35	80	0:23:42	27	40		40-49男子	12
44	1168	小澤 賢	55	男	東京都	1:12:22	0:46:40	55	0:25:42	49	41		50-59男子	14
45	1045	深井 航貴	30	男	東京都	1:12:24	0:46:47	58	0:25:37	46	42		30-39男子	5
46	1109	高山 晋	45	男	東京都	1:12:28	0:49:01	86	0:23:27	23	43		40-49男子	13
47	1020	湯浅 直也	26	男	茨城県	1:12:33	0:45:32	46	0:27:01	61	44		20-29男子	9
48	1029	中泉 裕貴	28	男	東京都	1:12:37	0:46:57	59	0:25:40	48	45		20-29男子	10
49	1007	田代 アッバース	23	男	埼玉県	1:12:42	0:41:31	19	0:31:11	133	46		20-29男子	11
50	1170	前田 幸司	55	男	千葉県	1:13:01	0:43:38	29	0:29:23	102	47		50-59男子	15
51	1239	森 悦子	61	女	東京都	1:13:04	0:44:40	39	0:28:24	79		4	60-69女子	1
52	1180	三本 雅樹	57	男	千葉県	1:13:05	0:40:55	16	0:32:10	148	48		50-59男子	16
53	1194	仲田 徳実	61	男	東京都	1:13:24	0:44:23	35	0:29:01	93	49		60-69男子	1
54	1093	木村 賢	41	男	埼玉県	1:13:33	0:43:31	28	0:30:02	117	50		40-49男子	14
55	1178	出羽 明雄	56	男	埼玉県	1:13:35	0:46:46	57	0:26:49	57	51		50-59男子	17
56	1049	関原 翔	31	男	埼玉県	1:13:47	0:48:48	82	0:24:59	41	52		30-39男子	6
57	1118	清水 朋寛	47	男	埼玉県	1:13:55	0:48:05	73	0:25:50	51	53		40-49男子	15
58	1221	野口 梢	39	女	東京都	1:13:59	0:45:39	47	0:28:20	77		5	30-39女子	1
59	1199	下鶴 泰久	64	男	東京都	1:14:00	0:48:28	77	0:25:32	45	54		60-69男子	2
60	1203	中村 均	66	男	東京都	1:14:14	0:49:48	98	0:24:26	35	55		60-69男子	3
61	1016	追林 洸太	26	男	神奈川県	1:14:23	0:49:22	94	0:25:01	42	56		20-29男子	12
62	1172	真杉 公二	56	男	東京都	1:14:29	0:42:59	25	0:31:30	138	57		50-59男子	18
63	1171	田代 典正	55	男	茨城県	1:14:30	0:47:15	61	0:27:15	66	58		50-59男子	19
64	1132	高須 雄士	49	男	東京都	1:14:34	0:49:49	99	0:24:45	39	59		40-49男子	16
65	1024	並木 淳	27	男	千葉県	1:14:38	0:48:28	78	0:26:10	53	60		20-29男子	13
66	1117	花井 剛	47	男	東京都	1:14:44	0:44:28	37	0:30:16	119	61		40-49男子	17
67	1068	吉野 勇介	34	男	千葉県	1:14:45	0:47:52	70	0:26:53	58	62		30-39男子	7
68	1074	松丸 将	36	男	東京都	1:14:59	0:50:51	108	0:24:08	34	63		30-39男子	8
69	1150	佐藤 文彦	53	男	千葉県	1:15:08	0:52:01	124	0:23:07	21	64		50-59男子	20
70	1065	今井 健太郎	34	男	東京都	1:15:19	0:44:52	40	0:30:27	122	65		30-39男子	9
総合
順位	No.	氏名	年齢	性別	居住地	総合記録	バイクラップ	B順	ランラップ	R順	男子
順位	女子
順位	区分	区分
順位
71	1106	戸田 洋右	44	男	千葉県	1:15:27	0:51:26	115	0:24:01	32	66		40-49男子	18
72	1148	鈴木 修一	53	男	千葉県	1:15:40	0:47:06	60	0:28:34	82	67		50-59男子	21
73	1154	今井 敦司	54	男	千葉県	1:15:41	0:47:50	68	0:27:51	74	68		50-59男子	22
74	1231	中條 史穂	53	女	茨城県	1:15:56	0:48:29	79	0:27:27	72		6	50-59女子	1
75	1097	黒木 雅典	42	男	千葉県	1:16:04	0:49:22	93	0:26:42	56	69		40-49男子	19
76	1083	堀内 亮平	39	男	東京都	1:16:13	0:48:48	83	0:27:25	71	70		30-39男子	10
77	1200	飯塚 仁	64	男	福島県	1:16:30	0:47:15	62	0:29:15	98	71		60-69男子	4
78	1107	岩田 憲幸	44	男	東京都	1:16:34	0:47:36	67	0:28:58	92	72		40-49男子	20
79	1105	村松 聡	43	男	神奈川県	1:16:38	0:49:14	90	0:27:24	70	73		40-49男子	21
80	1124	池田 裕一	48	男	神奈川県	1:16:40	0:51:55	123	0:24:45	38	74		40-49男子	22
81	1108	岩井 義和	44	男	東京都	1:16:42	0:46:41	56	0:30:01	116	75		40-49男子	23
82	1095	田之上 皓一	42	男	埼玉県	1:16:48	0:49:32	96	0:27:16	67	76		40-49男子	24
83	1063	小峯 剛	34	男	東京都	1:16:54	0:48:19	75	0:28:35	83	77		30-39男子	11
84	1119	鈴木 信二郎	47	男	東京都	1:16:56	0:48:14	74	0:28:42	87	78		40-49男子	25
85	1038	鈴木 智大	29	男	茨城県	1:17:00	0:49:41	97	0:27:19	68	79		20-29男子	14
86	1153	仲川 豪	54	男	大阪府	1:17:09	0:47:21	64	0:29:48	110	80		50-59男子	23
87	1198	藤井 章	63	男	千葉県	1:17:20	0:48:39	81	0:28:41	86	81		60-69男子	5
88	1184	鈴木 健太郎	57	男	神奈川県	1:17:30	0:49:18	92	0:28:12	76	82		50-59男子	24
89	1232	志村 愛	53	女	千葉県	1:17:34	0:46:34	53	0:31:00	131		7	50-59女子	2
90	1041	高川 泰蒔	30	男	東京都	1:17:43	0:50:20	103	0:27:23	69	83		30-39男子	12
91	1152	Yoshihara Kevin	53	男	東京都	1:17:45	0:47:18	63	0:30:27	123	84		50-59男子	25
92	1163	村尾 隆康	54	男	東京都	1:17:48	0:48:20	76	0:29:28	104	85		50-59男子	26
93	1021	神里 一徳	27	男	神奈川県	1:18:05	0:51:12	110	0:26:53	59	86		20-29男子	15
94	1196	小川 主	62	男	東京都	1:18:12	0:46:15	51	0:31:57	142	87		60-69男子	6
95	1175	井上 幸太郎	56	男	東京都	1:18:12	0:48:54	85	0:29:18	101	88		50-59男子	27
96	1018	楠 恵到	26	男	東京都	1:18:15	0:47:51	69	0:30:24	121	89		20-29男子	16
97	1017	福野 藝	26	男	東京都	1:18:33	0:49:09	89	0:29:24	103	90		20-29男子	17
98	1111	水屋 和広	46	男	東京都	1:18:46	0:51:35	118	0:27:11	64	91		40-49男子	26
99	1088	藤井 洋一	40	男	東京都	1:18:53	0:48:54	84	0:29:59	115	92		40-49男子	27
100	1133	玉城 清政	50	男	神奈川県	1:19:07	0:54:34	156	0:24:33	37	93		50-59男子	28
101	1055	絹川 雄史	32	男	大阪府	1:19:08	0:52:10	129	0:26:58	60	94		30-39男子	13
102	1091	望月 恵介	41	男	東京都	1:19:22	0:49:03	87	0:30:19	120	95		40-49男子	28
103	1159	川崎 孝康	54	男	茨城県	1:19:29	0:49:31	95	0:29:58	113	96		50-59男子	29
104	1166	紀藤 政寿	55	男	東京都	1:19:51	0:50:21	104	0:29:30	106	97		50-59男子	30
105	1037	鈴木 雄大	29	男	東京都	1:20:07	0:50:32	107	0:29:35	107	98		20-29男子	18
106	1058	濱上 大基	32	男	東京都	1:20:21	0:51:45	121	0:28:36	84	99		30-39男子	14
107	1137	及部 智仁	50	男	東京都	1:20:22	0:46:35	54	0:33:47	161	100		50-59男子	31
108	1243	熊谷 智久	46	男	神奈川県	1:20:35	0:52:57	135	0:27:38	73	101		40-49男子	29
109	1214	佐伯 亜紗美	28	女	東京都	1:20:53	0:51:14	112	0:29:39	109		8	20-29女子	1
110	1089	瀬戸 裕一郎	40	男	東京都	1:21:11	0:52:06	126	0:29:05	94	102		40-49男子	30
111	1220	萩原 恵梨	37	女	埼玉県	1:21:13	0:50:30	106	0:30:43	125		9	30-39女子	2
112	1052	妻木 脩人	32	男	神奈川県	1:21:14	0:54:07	147	0:27:07	63	103		30-39男子	15
113	1101	菊池 亮一	43	男	長崎県	1:21:32	0:52:35	132	0:28:57	90	104		40-49男子	31
114	1191	藤野 隆太	58	男	東京都	1:21:33	0:51:44	120	0:29:49	111	105		50-59男子	32
115	1061	安藤 聡史	33	男	東京都	1:21:56	0:50:23	105	0:31:33	139	106		30-39男子	16
116	1189	鈴木 仁志	58	男	千葉県	1:22:11	0:47:58	72	0:34:13	165	107		50-59男子	33
117	1181	宇山 憲児	57	男	千葉県	1:22:22	0:51:20	114	0:31:02	132	108		50-59男子	34
118	1205	庄司 功	68	男	千葉県	1:22:27	0:54:06	146	0:28:21	78	109		60-69男子	7
119	1240	鈴木 尚子	63	女	東京都	1:23:01	0:50:53	109	0:32:08	147		10	60-69女子	2
120	1190	関口 洋一	58	男	埼玉県	1:23:10	0:53:41	143	0:29:29	105	110		50-59男子	35
121	1062	坂巻 佳祐	34	男	埼玉県	1:23:36	0:51:20	113	0:32:16	149	111		30-39男子	17
122	1208	阿部 正	72	男	千葉県	1:23:50	0:51:29	117	0:32:21	151	112		70-79男子	1
123	1179	米川 敦	57	男	東京都	1:24:04	0:53:04	136	0:31:00	130	113		50-59男子	36
124	1123	山口 牧人	48	男	千葉県	1:24:04	0:52:29	131	0:31:35	140	114		40-49男子	32
125	1044	富永 亮介	30	男	東京都	1:24:11	0:53:39	142	0:30:32	124	115		30-39男子	18
126	1056	鯉江 一登	32	男	千葉県	1:24:12	0:52:23	130	0:31:49	141	116		30-39男子	19
127	1145	横内 仁	52	男	神奈川県	1:24:17	0:55:23	164	0:28:54	88	117		50-59男子	37
128	1002	廣 健翔	17	男	千葉県	1:24:22	0:59:01	179	0:25:21	44	118		10-19男子	1
129	1104	須藤 大輔	43	男	神奈川県	1:24:35	0:55:19	163	0:29:16	99	119		40-49男子	33
130	1051	長谷場 好輝	32	男	神奈川県	1:24:37	0:53:10	138	0:31:27	137	120		30-39男子	20
131	1144	山口 哲史	52	男	東京都	1:24:38	0:53:48	144	0:30:50	129	121		50-59男子	38
132	1012	渡邊 悠大	25	男	福島県	1:24:38	0:50:03	101	0:34:35	169	122		20-29男子	19
133	1161	大沼 二郎	54	男	宮城県	1:24:51	0:49:54	100	0:34:57	171	123		50-59男子	39
134	1138	篠原 徹	50	男	神奈川県	1:24:53	0:51:39	119	0:33:14	157	124		50-59男子	40
135	1173	林 哲也	56	男	東京都	1:24:58	0:54:11	151	0:30:47	127	125		50-59男子	41
136	1206	倉島 勝治	69	男	神奈川県	1:25:20	0:49:17	91	0:36:03	177	126		60-69男子	8
137	1046	明比 優太	31	男	東京都	1:25:22	0:54:09	149	0:31:13	134	127		30-39男子	21
138	1174	有田 宗慎	56	男	東京都	1:25:24	0:54:35	157	0:30:49	128	128		50-59男子	42
139	1100	石橋 哲也	42	男	東京都	1:25:26	0:52:03	125	0:33:23	160	129		40-49男子	34
140	1043	有賀 大晃	30	男	東京都	1:25:31	0:52:09	128	0:33:22	159	130		30-39男子	22
総合
順位	No.	氏名	年齢	性別	居住地	総合記録	バイクラップ	B順	ランラップ	R順	男子
順位	女子
順位	区分	区分
順位
141	1230	金泉 愛	50	女	東京都	1:25:31	0:54:13	152	0:31:18	135		11	50-59女子	3
142	1050	加藤 昂輔	31	男	東京都	1:25:32	0:54:07	148	0:31:25	136	131		30-39男子	23
143	1075	小林 大起	36	男	大阪府	1:25:34	0:56:21	168	0:29:13	96	132		30-39男子	24
144	1186	深澤 伸朗	58	男	東京都	1:25:34	0:49:09	88	0:36:25	180	133		50-59男子	43
