総合順位	No.	氏名	年齢	性別	総合記録	スイムラップ	S順	T1	バイクラップ	B順	スプリット	通過	ランラップ	R順	男子順位	女子順位	年齢区分	年齡別順
1	102	安西 琴美	17	女	1:05:01	0:09:57	1	0:02:44	0:34:35	6	0:47:16	1	0:17:45	2		1	10代女子	1	
2	511	柴田 大輔	24	男	1:07:57	0:13:02	9	0:02:42	0:34:53	9	0:50:37	3	0:17:20	1	1		20代男子	1	
3	514	清水 慎一	26	男	1:09:16	0:12:36	7	0:03:09	0:34:53	8	0:50:38	4	0:18:38	4	2		20代男子	2	
4	507	平原 幹太	20	男	1:10:10	0:13:28	12	0:02:53	0:35:35	12	0:51:56	10	0:18:14	3	3		20代男子	3	
5	104	甲斐 彩花	18	女	1:11:18	0:11:00	2	0:03:09	0:36:05	18	0:50:14	2	0:21:04	30		2	10代女子	2	
6	103	島崎 茉央	17	女	1:11:32	0:11:01	4	0:03:04	0:37:59	37	0:52:04	12	0:19:28	8		3	10代女子	3	
7	502	山田 壮流	17	男	1:11:41	0:13:13	11	0:03:13	0:34:52	7	0:51:18	6	0:20:23	21	4		10代男子	1	
8	101	野田 莉緒	16	女	1:11:54	0:11:00	3	0:03:04	0:37:46	32	0:51:50	8	0:20:04	14		4	10代女子	4	
9	332	河村 慎	46	男	1:12:09	0:11:35	5	0:03:25	0:37:02	22	0:52:02	11	0:20:07	16	5		40代男子	1	
10	406	齋藤 修	51	男	1:12:38	0:14:59	34	0:03:06	0:34:10	3	0:52:15	13	0:20:23	20	6		50代男子	1	
11	424	岡部 稔	53	男	1:12:40	0:14:36	24	0:03:21	0:35:38	13	0:53:35	14	0:19:05	5	7		50代男子	2	
12	421	三浦 喜明	53	男	1:13:01	0:14:48	30	0:03:13	0:33:14	1	0:51:15	5	0:21:46	37	8		50代男子	3	
13	540	三品 喬弘	37	男	1:13:17	0:13:52	14	0:03:35	0:34:27	4	0:51:54	9	0:21:23	35	9		30代男子	1	
14	420	浅沼 哲雄	53	男	1:13:42	0:13:03	10	0:03:26	0:35:19	11	0:51:48	7	0:21:54	38	10		50代男子	4	
15	506	植村 輝	20	男	1:13:48	0:17:28	81	0:02:52	0:34:04	2	0:54:24	18	0:19:24	7	11		20代男子	4	
16	207	境 広志	56	男	1:14:57	0:14:22	21	0:03:13	0:36:27	19	0:54:02	15	0:20:55	28	12		50代男子	5	
17	351	山本 英永	49	男	1:15:06	0:13:58	17	0:03:04	0:37:16	27	0:54:18	17	0:20:48	26	13		40代男子	2	
18	323	小倉 慎太郎	45	男	1:15:17	0:15:28	47	0:03:36	0:35:39	14	0:54:43	19	0:20:34	24	14		40代男子	3	
19	221	中島 秀彰	58	男	1:15:25	0:15:31	49	0:03:47	0:36:02	17	0:55:20	20	0:20:05	15	15		50代男子	6	
20	520	川瀬 佑太	28	男	1:15:26	0:17:32	83	0:02:53	0:35:05	10	0:55:30	22	0:19:56	12	16		20代男子	5	
21	505	へファー 竜敏	18	男	1:15:30	0:14:25	22	0:03:37	0:36:02	16	0:54:04	16	0:21:26	36	17		10代男子	2	
22	423	藤田 裕行	53	男	1:15:34	0:14:47	29	0:03:30	0:37:04	23	0:55:21	21	0:20:13	18	18		50代男子	7	
23	301	小口 裕也	40	男	1:15:48	0:13:58	16	0:04:39	0:37:48	33	0:56:25	29	0:19:23	6	19		40代男子	4	
24	508	嶋村 朗	21	男	1:15:51	0:14:21	20	0:03:15	0:38:05	38	0:55:41	24	0:20:10	17	20		20代男子	6	
25	430	小口 正人	54	男	1:15:55	0:15:22	42	0:04:04	0:36:51	21	0:56:17	27	0:19:38	10	21		50代男子	8	
26	516	麻見 雄介	26	男	1:17:21	0:15:26	46	0:04:15	0:37:23	28	0:57:04	32	0:20:17	19	22		20代男子	7	
27	533	星 慎太郎	34	男	1:18:08	0:16:10	59	0:03:24	0:38:58	49	0:58:32	41	0:19:36	9	23		30代男子	2	
28	324	田代 賢二郎	45	男	1:18:14	0:15:23	44	0:03:38	0:36:47	20	0:55:48	25	0:22:26	46	24		40代男子	5	
29	233	山田 朗	60	男	1:18:26	0:16:48	69	0:05:00	0:34:31	5	0:56:19	28	0:22:07	40	25		60代男子	1	
30	312	森川 泰宏	42	男	1:18:29	0:15:41	52	0:04:22	0:37:56	35	0:57:59	35	0:20:30	23	26		40代男子	6	
31	329	播磨 崇史	45	男	1:18:47	0:13:53	15	0:04:23	0:39:32	56	0:57:48	33	0:20:59	29	27		40代男子	7	
32	426	山内 誠治	53	男	1:18:54	0:16:20	62	0:03:27	0:38:15	40	0:58:02	36	0:20:52	27	28		50代男子	9	
33	343	近藤 希望	47	男	1:19:02	0:14:38	25	0:03:33	0:38:30	43	0:56:41	31	0:22:21	43	29		40代男子	8	
34	504	庵原 大湖	17	男	1:20:11	0:15:18	39	0:03:40	0:41:34	78	1:00:32	52	0:19:39	11	30		10代男子	3	
35	226	山田 浩司	58	男	1:20:12	0:15:29	48	0:05:26	0:39:14	52	1:00:09	48	0:20:03	13	31		50代男子	10	
36	517	鯨井 悠生	26	男	1:20:12	0:13:32	13	0:04:47	0:37:14	26	0:55:33	23	0:24:39	72	32		20代男子	8	
37	311	澤井 宏文	42	男	1:20:21	0:15:35	50	0:05:02	0:37:40	30	0:58:17	38	0:22:04	39	33		40代男子	9	
38	231	北山 毅	60	男	1:20:57	0:16:36	66	0:04:28	0:37:09	24	0:58:13	37	0:22:44	48	34		60代男子	2	
39	515	森 拓也	26	男	1:21:06	0:18:07	100	0:04:13	0:38:22	42	1:00:42	55	0:20:24	22	35		20代男子	9	
40	307	水口 直樹	42	男	1:21:25	0:18:58	113	0:04:01	0:37:09	25	1:00:08	47	0:21:17	33	36		40代男子	10	
41	341	高野 英祐	47	男	1:21:33	0:15:14	38	0:03:30	0:37:42	31	0:56:26	30	0:25:07	85	37		40代男子	11	
42	115	角 仁美	41	女	1:22:10	0:16:02	58	0:03:45	0:38:45	46	0:58:32	40	0:23:38	62		5	40代女子	1	
43	428	三井 昌彦	54	男	1:22:21	0:16:42	68	0:03:50	0:40:34	69	1:01:06	58	0:21:15	32	38		50代男子	11	
44	219	吉岡 朋昭	58	男	1:23:10	0:17:50	92	0:04:35	0:36:01	15	0:58:26	39	0:24:44	74	39		50代男子	12	
45	346	森田 俊平	47	男	1:23:36	0:15:55	54	0:05:02	0:39:28	55	1:00:25	51	0:23:11	56	40		40代男子	12	
46	327	金子 雄介	45	男	1:23:39	0:19:04	114	0:05:13	0:38:41	44	1:02:58	72	0:20:41	25	41		40代男子	13	
47	546	山中 貞治	39	男	1:23:49	0:14:38	26	0:04:24	0:41:38	80	1:00:40	54	0:23:09	54	42		30代男子	3	
48	114	永宮 友子	41	女	1:23:59	0:14:38	27	0:04:26	0:42:47	98	1:01:51	64	0:22:08	41		6	40代女子	2	
49	206	森田 充	55	男	1:23:59	0:14:48	31	0:03:40	0:37:30	29	0:55:58	26	0:28:01	123	43		50代男子	13	
50	513	服部 友哉	25	男	1:24:16	0:16:58	72	0:04:48	0:39:46	58	1:01:32	61	0:22:44	49	44		20代男子	10	
51	122	山崎 牧	47	女	1:24:16	0:14:59	35	0:03:42	0:42:18	91	1:00:59	57	0:23:17	58		7	40代女子	3	
52	225	小森谷 功	58	男	1:24:16	0:15:23	43	0:04:25	0:39:13	51	0:59:01	42	0:25:15	87	45		50代男子	14	
