順位	選手名	所属	スイム	バイク	ラン	合計記録	備考
1	内田 弦大	滋賀	0:17:21	0:57:55	0:32:22	1:49:27	
2	浅沼 一那	東京	0:17:20	0:57:57	0:32:58	1:50:07	
3	大浦 直繁	静岡	0:17:23	0:57:55	0:33:11	1:50:23	
4	湯村 天星	岐阜	0:17:23	0:57:19	0:33:51	1:50:31	
5	山本 康貴	京都	0:17:23	0:57:51	0:33:56	1:51:06	
6	前田 凌輔	三重	0:17:17	0:57:28	0:35:00	1:51:36	
7	徳山 哲平	京都	0:17:22	0:57:56	0:34:50	1:52:04	
8	安藤 勘太	岡山	0:18:16	0:57:54	0:34:02	1:52:10	
9	若竹 葵礼	滋賀	0:18:02	0:58:16	0:34:19	1:52:28	
10	小林 幸誠	愛媛	0:17:25	0:57:54	0:35:28	1:52:44	
11	倉本 倫太郎	埼玉	0:17:59	0:58:20	0:34:27	1:52:47	
12	長谷川 大翔	神奈川	0:18:09	0:58:07	0:34:39	1:52:55	
13	関 麟太郎	新潟	0:17:30	0:58:39	0:35:00	1:53:14	
14	小林 祐也	群馬	0:17:16	0:57:59	0:36:01	1:53:16	
15	福島 旺	愛媛	0:17:25	0:57:53	0:36:10	1:53:20	
16	小原 北斗	鳥取	0:17:23	0:57:53	0:36:15	1:53:24	
17	大山 輝向	鳥取	0:18:13	0:58:03	0:35:45	1:53:58	
18	西川 悠介	沖縄	0:17:29	0:57:41	0:36:58	1:54:02	
19	望月 満帆	山梨	0:17:19	0:57:56	0:37:29	1:54:45	
20	大山 波琉	茨城	0:18:22	0:57:56	0:36:50	1:55:06	
21	甲斐 瑠夏	佐賀	0:17:19	0:57:57	0:38:12	1:55:30	
22	喩 梓銘	茨城	0:18:12	0:59:59	0:35:38	1:55:55	
23	前田 能宜	愛知	0:18:13	0:58:00	0:37:35	1:56:00	
24	榊原 拓海	千葉	0:17:31	0:58:44	0:37:48	1:56:25	
25	小田 陸人	奈良	0:18:22	1:00:07	0:35:53	1:56:29	
26	吉澤 太賀	福岡	0:18:24	1:00:11	0:36:29	1:56:54	
27	竹内 隼	兵庫	0:18:11	1:00:19	0:36:59	1:57:35	
28	石関 玲於	佐賀	0:18:26	1:00:02	0:37:09	1:57:43	
29	ナギ良 晃大	広島	0:17:26	0:57:49	0:40:44	1:58:02	
30	山根 慧希	山口	0:17:23	0:57:56	0:40:46	1:58:03	
31	池 隆礼	沖縄	0:19:07	1:02:18	0:35:00	1:58:24	
32	山浦 健	長野	0:18:11	0:58:02	0:39:56	1:58:29	
33	本木 蔵人	東京	0:18:33	0:59:56	0:38:25	1:59:12	
34	春名 峻瑛	大阪	0:18:12	1:00:11	0:38:50	1:59:24	
35	横山 紘来	兵庫	0:21:13	1:00:52	0:35:19	1:59:24	
36	植野 恭介	富山	0:17:24	1:01:30	0:38:56	2:00:01	
37	大場 龍成	静岡	0:20:48	1:00:38	0:36:42	2:00:13	
38	奥 已咲	石川	0:17:31	1:01:02	0:39:46	2:00:25	
39	丸山 吏紀	群馬	0:20:46	1:00:43	0:36:54	2:00:40	
40	出口 陽也	神奈川	0:17:24	1:03:57	0:37:22	2:00:50	
41	高橋 正俊	岡山	0:20:14	1:01:52	0:36:43	2:00:55	
42	川久保 直希	奈良	0:19:04	1:02:24	0:37:20	2:00:59	
43	岡田 空大	広島	0:18:08	1:00:06	0:40:39	2:01:01	
44	金子 奏一朗	埼玉	0:18:15	1:03:12	0:37:44	2:01:20	
45	末岡 瞭	長崎	0:20:21	1:01:50	0:37:57	2:02:10	
46	藤代 舜真	千葉	0:18:27	1:02:55	0:38:53	2:02:15	
47	福吉 雄樹	高知	0:20:24	1:01:50	0:37:44	2:02:28	
48	岡田 俊介	愛知	0:21:37	1:04:21	0:34:27	2:02:38	
49	山田 達	宮城	0:21:14	1:00:57	0:38:36	2:02:55	
50	新田 城二	大分	0:19:20	1:02:10	0:39:49	2:03:25	
51	東 鼓太郎	大阪	0:20:18	1:01:51	0:39:36	2:03:46	
52	木下 裕司	香川	0:20:48	1:01:06	0:39:29	2:03:54	
53	鮫嶋 浩生	鹿児島	0:20:12	1:01:53	0:39:27	2:04:00	
54	前田 凰樹	熊本	0:20:54	1:01:04	0:40:07	2:04:13	
55	山浦 信	長野	0:19:07	1:03:15	0:39:45	2:04:25	
56	相崎 隆成	新潟	0:18:24	1:00:02	0:44:23	2:05:02	
57	渡邉 優介	栃木	0:23:53	1:03:43	0:35:51	2:05:32	
58	古謝 孝明	北海道	0:19:08	1:02:18	0:41:53	2:05:43	
59	高平 丈	宮城	0:20:16	1:02:09	0:41:57	2:06:40	
60	竹川 博	香川	0:21:18	1:04:24	0:39:06	2:07:04	
61	黒田 縁	福岡	0:20:46	1:01:18	0:43:00	2:07:06	
62	恩田 康佑	栃木	0:18:44	1:03:26	0:42:53	2:07:21	
63	長沼 拳	北海道	0:22:03	1:05:24	0:37:53	2:07:58	
64	岩渕 努	岩手	0:22:27	1:04:58	0:38:39	2:08:29	
65	佐藤 快	秋田	0:18:44	1:03:49	0:43:53	2:08:51	
66	池田 圭介	長崎	0:20:53	1:07:06	0:38:47	2:09:11	
67	原田 洋旭	和歌山	0:20:10	1:01:48	0:45:11	2:09:22	
68	齋藤 智哉	山形	0:27:30	1:03:54	0:36:14	2:09:56	
69	菊地 優志	福島	0:23:53	1:05:06	0:39:33	2:10:45	
70	高見 雅晴	島根	0:24:11	1:07:57	0:36:44	2:10:50	
71	小野 陽平	山形	0:23:15	1:05:39	0:40:10	2:11:35	
72	吉村 優介	山口	0:23:25	1:06:22	0:39:02	2:11:35	
73	須賀 祥太	福島	0:18:09	1:04:02	0:46:59	2:11:46	
74	小西 拓海	富山	0:23:36	1:06:15	0:40:42	2:12:49	
75	里見 隼人	岐阜	0:18:37	1:11:48	0:41:43	2:14:27	
76	佐藤 輝茂	宮崎	0:23:14	1:06:21	0:42:55	2:14:53	
77	鈴木 凰太	大分	0:18:55	1:12:43	0:41:43	2:15:44	
78	佐々木 秀一	徳島	0:27:01	1:04:37	0:41:51	2:15:55	
79	服部 勇佑	岩手	0:23:56	1:09:00	0:40:02	2:16:07	
80	渡部 創平	島根	0:23:48	1:08:18	0:43:14	2:17:30	
81	松元 潤也	宮崎	0:23:11	1:10:21	0:42:45	2:18:42	
82	野田頭 優作	青森	0:24:28	1:09:18	0:43:13	2:19:05	
