Pos	StartNum	Name	Affiliation	YOB	Time	Swim	T1	Bike	T2	Split	Run
1	13	中山 彩理香	東 京 都		2:01:09	0:19:09	0:01:06	1:02:27	0:00:58	1:23:40	0:37:29
2	63	島﨑 茉央	東 京 都		2:03:20	0:20:20	0:01:11	1:04:17	0:01:03	1:26:51	0:36:29
3	25	杉原 有紀	滋 賀 県		2:03:38	0:20:08	0:01:11	1:03:02	0:00:57	1:25:18	0:38:20
4	30	髙橋 真紀	和歌山県		2:03:49	0:22:15	0:01:19	1:02:30	0:01:07	1:27:11	0:36:38
5	40	福島 弥生	福 岡 県		2:04:28	0:21:45	0:01:15	1:02:56	0:00:56	1:26:52	0:37:36
6	82	山田 梓	島 根 県		2:04:54	0:20:04	0:01:14	1:03:06	0:01:04	1:25:28	0:39:26
7	67	瀬戸 郁美	長 野 県		2:04:57	0:20:53	0:01:06	1:03:57	0:01:07	1:27:03	0:37:54
8	61	丹野 惠梨香	埼 玉 県		2:05:01	0:20:55	0:01:16	1:03:43	0:01:01	1:26:55	0:38:06
9	14	関口 はるか	神奈川県		2:05:20	0:20:24	0:01:13	1:04:29	0:01:03	1:27:09	0:38:11
10	23	枡田 日菜果	三 重 県		2:05:39	0:19:05	0:01:10	1:02:32	0:01:04	1:23:51	0:41:48
11	11	野田 莉緒	埼 玉 県		2:05:49	0:20:00	0:01:15	1:03:08	0:01:00	1:25:23	0:40:26
12	46	井出 樹里	鹿児島県		2:06:33	0:19:35	0:01:20	1:03:27	0:00:57	1:25:19	0:41:14
13	64	油井 あまね	神奈川県		2:06:46	0:22:28	0:01:20	1:01:59	0:01:03	1:26:50	0:39:56
14	81	小原 結芽	鳥 取 県		2:06:51	0:20:01	0:01:15	1:03:07	0:00:57	1:25:20	0:41:31
15	7	菅家 成美	福 島 県		2:07:13	0:19:36	0:01:20	1:03:28	0:01:03	1:25:27	0:41:46
16	78	清水 葵	兵 庫 県		2:07:47	0:20:12	0:01:16	1:04:30	0:01:05	1:27:03	0:40:44
17	28	正垣 水梨	兵 庫 県		2:08:33	0:22:11	0:01:23	1:02:22	0:01:03	1:26:59	0:41:34
18	96	上畑 真彩	鹿児島県		2:08:41	0:20:20	0:01:16	1:04:17	0:00:53	1:26:46	0:41:55
19	77	河野 典子	大 阪 府		2:08:43	0:21:45	0:01:15	1:03:04	0:01:07	1:27:11	0:41:32
20	19	中村 祥代	石 川 県		2:08:48	0:22:13	0:01:23	1:02:24	0:01:08	1:27:08	0:41:40
21	22	荻野 瑛未	愛 知 県		2:09:05	0:22:05	0:01:23	1:02:29	0:01:06	1:27:03	0:42:02
22	75	木谷 唯花	滋 賀 県		2:09:08	0:19:15	0:01:17	1:03:54	0:01:05	1:25:31	0:43:37
23	72	前田 乙乃	愛 知 県		2:09:21	0:21:52	0:01:14	1:02:50	0:01:17	1:27:13	0:42:08
24	16	関 桃子	新 潟 県		2:09:23	0:19:34	0:01:15	1:03:35	0:00:59	1:25:23	0:44:00
25	80	野田 優	和歌山県		2:09:40	0:20:27	0:01:19	1:04:12	0:01:02	1:27:00	0:42:40
26	4	佐々木 麻瑚	宮 城 県		2:09:53	0:20:52	0:01:11	1:03:57	0:01:03	1:27:03	0:42:50
27	91	伊原 咲和	佐 賀 県		2:09:56	0:19:28	0:01:18	1:03:39	0:01:00	1:25:25	0:44:31
28	57	齋藤 椛凛	福 島 県		2:10:57	0:20:37	0:01:18	1:04:00	0:00:59	1:26:54	0:44:03
29	41	甲斐 いずみ	佐 賀 県		2:11:07	0:19:27	0:01:19	1:03:41	0:01:07	1:25:34	0:45:33
30	26	長島 実桜	京 都 府		2:11:11	0:20:27	0:01:20	1:04:05	0:01:03	1:26:55	0:44:16
31	89	松岡 喬子	高 知 県		2:11:30	0:20:15	0:01:27	1:04:17	0:01:14	1:27:13	0:44:17
32	15	櫻井 唯	山 梨 県		2:11:43	0:22:07	0:01:16	1:02:39	0:01:08	1:27:10	0:44:33
33	10	加塩 桃乃	群 馬 県		2:11:49	0:20:54	0:01:17	1:03:47	0:01:04	1:27:02	0:44:47
34	86	橋本 華	香 川 県		2:12:20	0:23:28	0:01:15	1:07:02	0:01:08	1:32:53	0:39:27
35	62	小山 菫	千 葉 県		2:13:27	0:21:44	0:01:26	1:02:54	0:01:08	1:27:12	0:46:15
36	42	寺田 ひなた	長 崎 県		2:13:46	0:21:28	0:01:22	1:03:13	0:01:10	1:27:13	0:46:33
37	1	伊藤 穂乃佳	北 海 道		2:14:08	0:25:05	0:01:34	1:07:21	0:01:12	1:35:12	0:38:56
38	12	沼野 藍	千 葉 県		2:14:31	0:23:34	0:01:20	1:06:47	0:01:12	1:32:53	0:41:38
39	39	中嶋 紗代	高 知 県		2:14:36	0:23:25	0:01:17	1:06:57	0:01:05	1:32:44	0:41:52
40	68	西塔 華鈴	富 山 県		2:15:08	0:22:07	0:01:27	1:08:13	0:01:08	1:32:55	0:42:13
41	47	入江 紘子	沖 縄 県		2:15:44	0:20:26	0:01:20	1:04:13	0:01:12	1:27:11	0:48:33
42	76	林田 青空	京 都 府		2:15:59	0:20:51	0:01:12	1:03:51	0:01:03	1:26:57	0:49:02
43	33	岡本 春香	岡 山 県		2:16:13	0:27:06	0:01:27	1:05:25	0:01:18	1:35:16	0:40:57
44	90	松本 由衣	福 岡 県		2:16:27	0:22:31	0:01:18	1:07:53	0:01:04	1:32:46	0:43:41
45	6	藤倉 萌映	山 形 県		2:16:46	0:21:42	0:01:18	1:02:59	0:01:05	1:27:04	0:49:42
46	58	奥田 さわ	茨 城 県		2:17:19	0:20:24	0:01:31	1:04:07	0:01:14	1:27:16	0:50:03
47	31	山下 甘紅香	鳥 取 県		2:17:56	0:21:48	0:01:23	1:02:56	0:01:24	1:27:31	0:50:25
48	60	中野 咲桜	群 馬 県		2:19:28	0:22:04	0:01:29	1:08:10	0:01:16	1:32:59	0:46:29
49	66	白井 未来	新 潟 県		2:20:01	0:22:06	0:01:22	1:02:40	0:01:18	1:27:26	0:52:35
50	3	東井 久実子	岩 手 県		2:20:06	0:25:09	0:01:28	1:07:20	0:01:06	1:35:03	0:45:03
51	36	山本 麻衣	香 川 県		2:20:30	0:24:49	0:01:15	1:08:05	0:01:03	1:35:12	0:45:18
52	38	安田 美里	愛 媛 県		2:20:44	0:23:42	0:01:33	1:08:56	0:01:15	1:35:26	0:45:18
53	45	橋 英	宮 崎 県		2:21:26	0:25:03	0:01:38	1:11:28	0:01:08	1:39:17	0:42:09
54	84	二分 陽子	広 島 県		2:22:28	0:24:37	0:01:27	1:07:57	0:01:17	1:35:18	0:47:10
55	29	川久保 恵里	奈 良 県		2:23:14	0:23:30	0:01:27	1:09:17	0:01:19	1:35:33	0:47:41
56	9	増渕 日菜	栃 木 県		2:23:25	0:22:27	0:01:18	1:08:00	0:01:07	1:32:52	0:50:33
57	27	谷村 帆夏	大 阪 府		2:24:00	0:21:46	0:01:26	1:12:14	0:01:06	1:36:32	0:47:28
58	83	吉岡 唯	岡 山 県		2:24:49	0:29:32	0:01:26	1:10:54	0:01:22	1:43:14	0:41:35
59	73	早川 優花	三 重 県		2:26:19	0:27:03	0:01:36	1:12:37	0:01:19	1:42:35	0:43:44
60	51	大森 綾香	北 海 道		2:27:15	0:32:23	0:02:02	1:09:07	0:01:42	1:45:14	0:42:01
61	20	新谷 望恵	福 井 県		2:27:25	0:24:58	0:01:37	1:11:31	0:01:18	1:39:24	0:48:01
62	44	野仲 典子	大 分 県		2:27:44	0:25:00	0:01:36	1:11:32	0:01:28	1:39:36	0:48:08
63	8	根本 あさひ	茨 城 県		2:27:44	0:24:59	0:01:24	1:11:50	0:01:26	1:39:39	0:48:05
64	18	藤田 優子	富 山 県		2:28:59	0:24:59	0:01:36	1:11:40	0:01:22	1:39:37	0:49:22
65	88	増崎 菜摘	愛 媛 県		2:29:10	0:23:37	0:01:57	1:16:11	0:01:13	1:42:58	0:46:12
66	35	武居 修子	山 口 県		2:29:46	0:25:06	0:02:41	1:15:07	0:01:30	1:44:24	0:45:22
67	95	柳川 花緒	宮 崎 県		2:29:49	0:22:58	0:01:39	1:09:28	0:01:31	1:35:36	0:54:13
68	97	宮城 野乃香	沖 縄 県		2:30:22	0:30:57	0:01:56	1:13:57	0:01:23	1:48:13	0:42:09
69	43	倉原 未波	熊 本 県		2:30:36	0:27:03	0:01:37	1:12:39	0:01:10	1:42:29	0:48:07
70	53	大志田 紀子	岩 手 県		2:30:44	0:27:05	0:01:28	1:14:18	0:01:24	1:44:15	0:46:29
71	87	先田 由紀	徳 島 県		2:31:48	0:29:14	0:01:44	1:10:53	0:01:44	1:43:35	0:48:13
72	93	森 奈津代	熊 本 県		2:32:04	0:27:07	0:01:31	1:14:15	0:01:20	1:44:13	0:47:51
73	32	松田 美香	島 根 県		2:32:12	0:25:11	0:01:34	1:16:11	0:01:21	1:44:17	0:47:55
74	54	阿部 優美	宮 城 県		2:32:46	0:24:53	0:01:44	1:14:44	0:01:27	1:42:48	0:49:58
75	21	宮本 真奈美	静 岡 県		2:33:11	0:24:55	0:01:39	1:11:43	0:01:20	1:39:37	0:53:34
76	92	池田 千春	長 崎 県		2:36:46	0:27:15	0:01:35	1:12:30	0:01:21	1:42:41	0:54:05
77	56	植松 奈央	山 形 県		2:38:55	0:32:56	0:01:34	1:18:35	0:01:18	1:54:23	0:44:32
78	2	蛯名 真弓	青 森 県		2:40:22	0:25:00	0:01:26	1:19:25	0:01:21	1:47:12	0:53:10
79	52	安藤 舞佳	青 森 県		2:44:21	0:20:57	0:01:45	1:22:49	0:01:19	1:46:50	0:57:31
80	85	濵田 唯花	山 口 県		2:53:01	0:23:33	0:01:27	1:24:43	0:01:06	1:50:49	1:02:12
81	5	児玉 樹理	秋 田 県		2:55:13	0:31:31	0:02:01	1:24:22	0:01:45	1:59:39	0:55:34
DNF	94	西出 夏奈子	大 分 県			0:22:15	0:01:37				
1	25	内田 弦大	滋 賀 県		1:49:27	0:17:21	0:01:00	0:57:55	0:00:49	1:17:05	0:32:22
2	13	浅沼 一那	東 京 都		1:50:07	0:17:20	0:01:02	0:57:57	0:00:50	1:17:09	0:32:58
3	21	大浦 直繁	静 岡 県		1:50:23	0:17:23	0:01:01	0:57:55	0:00:53	1:17:12	0:33:11
4	24	湯村 天星	岐 阜 県		1:50:31	0:17:23	0:01:06	0:57:19	0:00:52	1:16:40	0:33:51
5	26	山本 康貴	京 都 府		1:51:06	0:17:23	0:01:04	0:57:51	0:00:52	1:17:10	0:33:56
6	23	前田 凌輔	三 重 県		1:51:36	0:17:17	0:01:02	0:57:28	0:00:49	1:16:36	0:35:00
7	76	徳山 哲平	京 都 府		1:52:04	0:17:22	0:01:01	0:57:56	0:00:55	1:17:14	0:34:50
8	33	安藤 勘太	岡 山 県		1:52:10	0:18:16	0:01:07	0:57:54	0:00:51	1:18:08	0:34:02
9	75	若竹 葵礼	滋 賀 県		1:52:28	0:18:02	0:01:03	0:58:16	0:00:48	1:18:09	0:34:19
10	88	小林 幸誠	愛 媛 県		1:52:44	0:17:25	0:01:01	0:57:54	0:00:56	1:17:16	0:35:28
11	11	倉本 倫太郎	埼 玉 県		1:52:47	0:17:59	0:01:03	0:58:20	0:00:58	1:18:20	0:34:27
12	64	長谷川 大翔	神奈川県		1:52:55	0:18:09	0:01:04	0:58:07	0:00:56	1:18:16	0:34:39
13	16	関 麟太郎	新 潟 県		1:53:14	0:17:30	0:01:11	0:58:39	0:00:54	1:18:14	0:35:00
14	10	小林 祐也	群 馬 県		1:53:16	0:17:16	0:01:04	0:57:59	0:00:56	1:17:15	0:36:01
15	38	福島 旺	愛 媛 県		1:53:20	0:17:25	0:01:02	0:57:53	0:00:50	1:17:10	0:36:10
16	31	小原 北斗	鳥 取 県		1:53:24	0:17:23	0:01:02	0:57:53	0:00:51	1:17:09	0:36:15
17	81	大山 輝向	鳥 取 県		1:53:58	0:18:13	0:01:03	0:58:03	0:00:54	1:18:13	0:35:45
18	47	西川 悠介	沖 縄 県		1:54:02	0:17:29	0:01:07	0:57:41	0:00:47	1:17:04	0:36:58
19	15	望月 満帆	山 梨 県		1:54:45	0:17:19	0:01:03	0:57:56	0:00:58	1:17:16	0:37:29
20	8	大山 波琉	茨 城 県		1:55:06	0:18:22	0:01:03	0:57:56	0:00:55	1:18:16	0:36:50
21	41	甲斐 瑠夏	佐 賀 県		1:55:30	0:17:19	0:01:04	0:57:57	0:00:58	1:17:18	0:38:12
22	58	喩 梓銘	茨 城 県		1:55:55	0:18:12	0:01:09	0:59:59	0:00:57	1:20:17	0:35:38
23	72	前田 能宜	愛 知 県		1:56:00	0:18:13	0:01:07	0:58:00	0:01:05	1:18:25	0:37:35
24	62	榊原 拓海	千 葉 県		1:56:25	0:17:31	0:01:19	0:58:44	0:01:03	1:18:37	0:37:48
25	79	小田 陸人	奈 良 県		1:56:29	0:18:22	0:01:08	1:00:07	0:00:59	1:20:36	0:35:53
26	40	吉澤 太賀	福 岡 県		1:56:54	0:18:24	0:01:00	1:00:11	0:00:50	1:20:25	0:36:29
27	78	竹内 隼	兵 庫 県		1:57:35	0:18:11	0:01:04	1:00:19	0:01:02	1:20:36	0:36:59
28	91	石関 玲於	佐 賀 県		1:57:43	0:18:26	0:01:07	1:00:02	0:00:59	1:20:34	0:37:09
29	34	𣟿良 晃大	広 島 県		1:58:02	0:17:26	0:01:06	0:57:49	0:00:57	1:17:18	0:40:44
30	85	山根 慧希	山 口 県		1:58:03	0:17:23	0:01:02	0:57:56	0:00:56	1:17:17	0:40:46
31	97	池 隆礼	沖 縄 県		1:58:24	0:19:07	0:01:09	1:02:18	0:00:50	1:23:24	0:35:00
32	17	山浦 健	長 野 県		1:58:29	0:18:11	0:01:11	0:58:02	0:01:09	1:18:33	0:39:56
33	63	本木 蔵人	東 京 都		1:59:12	0:18:33	0:01:06	0:59:56	0:01:12	1:20:47	0:38:25
34	27	春名 峻瑛	大 阪 府		1:59:24	0:18:12	0:01:10	1:00:11	0:01:01	1:20:34	0:38:50
35	28	横山 紘来	兵 庫 県		1:59:24	0:21:13	0:01:09	1:00:52	0:00:51	1:24:05	0:35:19
36	18	植野 恭介	富 山 県		2:00:01	0:17:24	0:01:07	1:01:30	0:01:04	1:21:05	0:38:56
37	71	大場 龍成	静 岡 県		2:00:13	0:20:48	0:01:06	1:00:38	0:00:59	1:23:31	0:36:42
38	19	奥 已咲	石 川 県		2:00:25	0:17:31	0:01:12	1:01:02	0:00:54	1:20:39	0:39:46
39	60	丸山 吏紀	群 馬 県		2:00:40	0:20:46	0:01:08	1:00:43	0:01:09	1:23:46	0:36:54
40	14	出口 陽也	神奈川県		2:00:50	0:17:24	0:01:06	1:03:57	0:01:01	1:23:28	0:37:22
41	83	髙橋 正俊	岡 山 県		2:00:55	0:20:14	0:01:09	1:01:52	0:00:57	1:24:12	0:36:43
42	29	川久保 直希	奈 良 県		2:00:59	0:19:04	0:01:09	1:02:24	0:01:02	1:23:39	0:37:20
43	84	岡田 空大	広 島 県		2:01:01	0:18:08	0:01:07	1:00:06	0:01:01	1:20:22	0:40:39
44	61	金子 奏一朗	埼 玉 県		2:01:20	0:18:15	0:01:09	1:03:12	0:01:00	1:23:36	0:37:44
45	92	末岡 瞭	長 崎 県		2:02:10	0:20:21	0:01:04	1:01:50	0:00:58	1:24:13	0:37:57
46	12	藤代 舜真	千 葉 県		2:02:15	0:18:27	0:01:08	1:02:55	0:00:52	1:23:22	0:38:53
47	39	福吉 雄樹	高 知 県		2:02:28	0:20:24	0:01:18	1:01:50	0:01:12	1:24:44	0:37:44
48	22	岡田 俊介	愛 知 県		2:02:38	0:21:37	0:01:05	1:04:21	0:01:08	1:28:11	0:34:27
49	4	山田 達	宮 城 県		2:02:55	0:21:14	0:00:59	1:00:57	0:01:09	1:24:19	0:38:36
50	44	新田 城二	大 分 県		2:03:25	0:19:20	0:01:09	1:02:10	0:00:57	1:23:36	0:39:49
51	77	東 鼓太郎	大 阪 府		2:03:46	0:20:18	0:01:05	1:01:51	0:00:56	1:24:10	0:39:36
