総合順位	No.	氏名	年齢	性別	居住地	総合記録	スイムラップ	S順	バイクラップ	B順	スプリット	通過	ランラップ	R順	男子順位	女子順位
1	2	下村 勇喜	27	男	長野県	1:44:29	0:04:48	1	1:06:11	2	1:10:59	2	0:33:30	1	1	
2	14	髙橋 悠斗	20	男	千葉県	1:46:57	0:04:59	2	1:03:52	1	1:08:51	1	0:38:06	2	2	
3	29	渡辺 誉史	43	男	茨城県	1:53:10	0:05:22	5	1:07:55	3	1:13:17	3	0:39:53	3	3	
4	11	瀧 天精	26	男	東京都	1:56:07	0:05:09	3	1:09:37	7	1:14:46	5	0:41:21	4	4	
5	8	國樹 克也	51	男	東京都	1:58:40	0:06:07	19	1:09:41	8	1:15:48	7	0:42:52	6	5	
6	13	古野 裕一	49	男	神奈川県	1:59:08	0:05:56	11	1:09:14	5	1:15:10	6	0:43:58	7	6	
7	44	神居 寧	27	男	東京都	2:00:44	0:05:40	8	1:13:20	15	1:19:00	13	0:41:44	5	7	
8	46	田仲 功二	57	男	千葉県	2:01:22	0:05:28	6	1:08:26	4	1:13:54	4	0:47:28	14	8	
9	41	生形 憲市郎	55	男	千葉県	2:03:12	0:05:59	13	1:11:31	10	1:17:30	9	0:45:42	9	9	
10	45	大熊 隆太	58	男	福岡県	2:05:53	0:06:07	18	1:11:27	9	1:17:34	10	0:48:19	15	10	
11	10	山本 詠史	47	男	東京都	2:06:05	0:06:06	17	1:13:14	14	1:19:20	15	0:46:45	10	11	
12	12	田所 翔太	38	男	茨城県	2:07:23	0:07:16	33	1:09:31	6	1:16:47	8	0:50:36	18	12	
13	16	水口 直樹	47	男	東京都	2:09:19	0:06:28	23	1:12:30	12	1:18:58	12	0:50:21	17	13	
14	23	菅野 達也	40	男	茨城県	2:11:01	0:05:50	9	1:17:45	22	1:23:35	21	0:47:26	13	14	
15	15	田中 理久	23	男	東京都	2:11:08	0:05:57	12	1:12:12	11	1:18:09	11	0:52:59	24	15	
16	27	寺本 知史	56	男	千葉県	2:12:28	0:07:03	30	1:17:03	20	1:24:06	22	0:48:22	16	16	
17	18	上釜 颯太	25	男	東京都	2:13:27	0:06:05	16	1:21:56	28	1:28:01	28	0:45:26	8	17	
18	48	鳥居 千紘	14	男	千葉県	2:13:47	0:05:32	7	1:15:59	17	1:21:31	16	0:52:16	23	18	
19	38	工藤 篤博	49	男	神奈川県	2:14:00	0:06:03	14	1:16:46	19	1:22:49	18	0:51:11	20	19	
20	22	木村 隆幸	36	男	東京都	2:14:12	0:06:12	22	1:17:21	21	1:23:33	20	0:50:39	19	20	
21	39	中西 竜也	50	男	千葉県	2:14:39	0:06:30	24	1:16:14	18	1:22:44	17	0:51:55	22	21	
22	1	阿部 綾子	54	女	千葉県	2:15:16	0:07:21	36	1:20:37	26	1:27:58	27	0:47:18	12		1
