順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	S順	ﾊﾞｲｸﾗｯﾌﾟ	B順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	R順	男子順位	女子順位	ハンデ記録	HC男	HC女
1	155	原田 雄太郎	41	男	埼玉県	2:10:37	0:24:44	2	1:07:13	2	1:31:57	2	0:38:40	2	1		2:04:37	2	
2	102	佐藤 大樹	20	男	千葉県	2:21:15	0:34:35	27	1:09:16	6	1:43:51	11	0:37:24	1	2		2:21:15	8	
3	107	伊東 洋祐	25	男	三宅島	2:21:57	0:36:20	33	1:06:39	1	1:42:59	9	0:38:58	3	3		2:21:57	10	
4	113	峰岸 一樹	29	男	埼玉県	2:23:47	0:34:27	26	1:07:29	3	1:41:56	7	0:41:51	4	4		2:23:47	12	
5	148	赤松 洋一郎	38	男	神奈川県	2:24:34	0:27:15	4	1:13:10	10	1:40:25	3	0:44:09	6	5		2:21:34	9	
6	201	田村 誠	59	男	東京都	2:25:43	0:28:07	6	1:13:21	11	1:41:28	5	0:44:15	8	6		2:01:43	1	
7	160	小池 正治	45	男	東京都	2:30:35	0:25:45	3	1:16:07	15	1:41:52	6	0:48:43	23	7		2:20:35	7	
8	166	筒井 貴之	47	男	東京都	2:31:24	0:28:54	9	1:14:58	13	1:43:52	12	0:47:32	17	8		2:19:24	6	
9	308	小杉 真由子	40	女	東京都	2:32:02	0:31:05	18	1:16:47	16	1:47:52	17	0:44:10	7		1	2:27:02		2
10	186	安丸 信行	54	男	東京都	2:32:55	0:28:27	7	1:17:09	19	1:45:36	14	0:47:19	16	9		2:13:55	5	
11	202	辻 慶雄	59	男	神奈川県	2:33:53	0:31:43	20	1:14:09	12	1:45:52	15	0:48:01	21	10		2:09:53	3	
12	146	吉田 隆之	38	男	東京都	2:34:15	0:30:26	14	1:18:06	22	1:48:32	18	0:45:43	10	11		2:31:15	14	
13	150	宋 基央	39	男	東京都	2:35:53	0:34:22	24	1:16:47	17	1:51:09	20	0:44:44	9	12		2:31:53	15	
14	168	佐藤 和昭	48	男	東京都	2:36:25	0:36:35	36	1:08:51	5	1:45:26	13	0:50:59	31	13		2:23:25	11	
15	203	鈴木 雄久	60	男	東京都	2:37:51	0:30:58	17	1:11:08	7	1:42:06	8	0:55:45	49	14		2:12:51	4	
16	315	川嶋 明子	51	女	東京都	2:39:26	0:30:22	13	1:20:12	28	1:50:34	19	0:48:52	24		2	2:23:26		1
17	120	内藤 兵磨	30	男	東京都	2:42:19	0:31:09	19	1:27:07	46	1:58:16	28	0:44:03	5	15		2:42:19	21	
18	128	Murphy Gerry	33	男	東京都	2:43:25	0:35:34	30	1:21:12	29	1:56:46	25	0:46:39	14	16		2:43:25	23	
19	141	山口 尚己	37	男	神奈川県	2:44:29	0:27:43	5	1:19:07	23	1:46:50	16	0:57:39	54	17		2:42:29	22	
20	133	Vyshegorodtsev Marat	33	男	東京都	2:44:45	0:29:25	11	1:11:22	8	1:40:47	4	1:03:58	80	18		2:44:45	25	
21	110	高橋 煕	28	男	東京都	2:45:02	0:34:22	25	1:19:58	26	1:54:20	22	0:50:42	30	19		2:45:02	26	
22	129	菊地 瞬也	33	男	東京都	2:45:41	0:36:48	37	1:22:43	34	1:59:31	30	0:46:10	11	20		2:45:41	28	
23	122	隅本 輝	31	男	東京都	2:46:41	0:39:01	42	1:19:33	25	1:58:34	29	0:48:07	22	21		2:46:41	29	
24	181	大谷 剛	51	男	神奈川県	2:49:26	0:37:07	39	1:19:27	24	1:56:34	24	0:52:52	38	22		2:33:26	17	
25	135	増原 雄太郎	34	男	東京都	2:49:38	0:46:39	78	1:15:12	14	2:01:51	34	0:47:47	18	23		2:49:38	32	
26	130	木守 望	33	男	東京都	2:50:40	0:41:19	55	1:16:47	18	1:58:06	26	0:52:34	37	24		2:50:40	33	
27	198	山口 理	58	男	神奈川県	2:51:38	0:45:56	76	1:17:42	20	2:03:38	40	0:48:00	20	25		2:28:38	13	
28	192	川合 亮	55	男	東京都	2:52:10	0:39:55	47	1:20:10	27	2:00:05	32	0:52:05	34	26		2:32:10	16	
29	174	竹内 淳	49	男	神奈川県	2:53:03	0:29:13	10	1:22:29	33	1:51:42	21	1:01:21	68	27		2:39:03	19	
30	153	西村 晴吾	40	男	東京都	2:53:39	0:36:28	34	1:21:48	31	1:58:16	27	0:55:23	48	28		2:48:39	31	
31	304	岡村 安里	30	女	神奈川県	2:54:01	0:28:46	8	1:31:19	61	2:00:05	31	0:53:56	42		3	2:54:01		4
32	306	西澤 香澄	36	女	東京都	2:54:07	0:36:31	35	1:26:26	44	2:02:57	38	0:51:10	32		4	2:53:07		3
33	190	斉藤 浩一	55	男	神奈川県	2:54:12	0:40:27	52	1:21:12	30	2:01:39	33	0:52:33	36	29		2:34:12	18	
34	103	橘 陽太	20	男	青森県	2:54:52	0:45:00	73	1:17:53	21	2:02:53	37	0:51:59	33	30		2:54:52	37	
35	101	川嶋 仰健房	19	男	東京都	2:56:09	0:30:41	15	1:12:37	9	1:43:18	10	1:12:51	95	31		2:56:09	39	
36	131	藤島 大樹	33	男	埼玉県	2:56:29	0:35:44	31	1:30:21	56	2:06:05	43	0:50:24	28	32		2:56:29	40	
37	143	阿部 俊	37	男	神奈川県	2:56:36	0:39:36	45	1:29:09	49	2:08:45	45	0:47:51	19	33		2:54:36	36	
38	149	長谷川 功	39	男	東京都	2:57:26	0:29:54	12	1:32:57	67	2:02:51	36	0:54:35	45	34		2:53:26	35	
39	106	佐々木 諒太朗	24	男	神奈川県	2:58:05	0:30:56	16	1:25:30	39	1:56:26	23	1:01:39	71	35		2:58:05	43	
40	169	服部 史男	49	男	東京都	2:59:34	0:34:38	28	1:29:41	52	2:04:19	42	0:55:15	47	36		2:45:34	27	
