Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
73	Zachary Levet	M	M25-29	6	4:24:58	0:31:10	2:21:29	1:25:32
74	Denver Perry	M	M25-29	7	4:25:22	0:33:19	2:18:15	1:29:36
75	Avraham Mana	M	MPRO	50	4:25:32	0:24:49	2:21:49	1:34:52
76	Blake Peiffer	M	M18-24	4	4:25:51	0:28:57	2:20:39	1:31:31
77	Chris Hammer	M	MPRO	51	4:26:42	0:29:15	2:17:50	1:34:46
78	Laura Siddall	F	FPRO	9	4:27:10	0:29:28	2:22:43	1:30:22
79	Davis Kaahanui	M	M25-29	8	4:27:15	0:31:00	2:22:39	1:27:32
80	Ryan Sedivec	M	MPRO	52	4:27:28	0:28:37	2:17:55	1:36:26
81	Jason Quinn	M	M25-29	9	4:27:29	0:25:07	2:26:24	1:30:09
82	Matthew Clark	M	M40-44	2	4:27:46	0:36:47	2:06:37	1:37:29
83	Kevin Bishop	M	MPRO	53	4:28:31	0:26:11	2:21:04	1:37:49
84	Parker Watt	M	M35-39	2	4:28:33	0:25:05	2:29:15	1:28:01
85	Alejandro Garcia Sanchez	M	MPRO	54	4:28:38	0:32:45	2:20:58	1:31:10
86	Sean Obrien	M	M35-39	3	4:29:00	0:30:45	2:23:02	1:30:30
87	John Seddon	M	M40-44	3	4:29:26	0:26:20	2:20:34	1:36:27
88	Kevin Stumpf	M	M35-39	4	4:29:35	0:30:36	2:21:45	1:31:22
89	Jordan Nichols	M	M40-44	4	4:30:09	0:28:46	2:23:41	1:33:09
90	Samuel Wittig	M	M30-34	6	4:30:44	0:29:04	2:27:22	1:24:36
91	David Guenthardt	M	MPRO	55	4:30:46	0:33:29	2:19:44	1:32:42
92	Brian Folts	M	MPRO	56	4:31:10	0:30:41	2:25:47	1:30:12
93	Matteo Laratta	M	M25-29	10	4:31:14	0:27:58	2:21:55	1:35:58
94	Blake Mitton	M	M25-29	11	4:31:18	0:32:35	2:18:18	1:35:11
95	Spencer Thibideau	M	M30-34	7	4:31:30	0:31:15	2:30:55	1:24:37
96	Nicole Falcaro	F	FPRO	10	4:32:07	0:29:28	2:30:26	1:27:58
97	Matt Tobey	M	M40-44	5	4:32:52	0:31:56	2:27:49	1:26:22
98	Marissa Lovell	F	FPRO	11	4:33:07	0:29:17	2:33:03	1:26:22
99	Alfredo Valdes Islas	M	M35-39	5	4:33:13	0:36:23	2:22:06	1:29:29
100	Dj Snyder	M	M35-39	6	4:33:40	0:31:44	2:29:22	1:27:21
101	Danielle Fauteux	F	FPRO	12	4:34:11	0:30:57	2:27:43	1:31:03
102	Si Mohamed Aziz Sbai	M	M40-44	6	4:34:20	0:33:18	2:27:56	1:27:22
103	Bryan Rocha	M	M35-39	7	4:34:46	0:30:34	2:23:20	1:35:28
104	Evan Gruda	M	M30-34	8	4:35:07	0:32:41	2:31:36	1:26:18
105	Maksim Grebenchuk	M	M35-39	8	4:35:11	0:27:18	2:34:04	1:29:54
106	Skylar Morrill	M	M30-34	9	4:35:12	0:32:53	2:27:52	1:26:37
107	Carson Kidwell	M	M30-34	10	4:35:28	0:32:27	2:26:23	1:30:54
108	Kevin Konczak	M	M55-59	1	4:35:37	0:31:38	2:28:02	1:30:19
109	Jonathan Pople	M	M35-39	9	4:36:04	0:32:20	2:32:12	1:26:21
110	Bernardo Amaral Neves	M	M25-29	12	4:36:14	0:30:20	2:29:22	1:30:45
111	Vilis Vuskalns	M	M25-29	13	4:36:16	0:26:18	2:27:49	1:37:05
112	Stefano Profumo	M	M45-49	1	4:36:18	0:32:13	2:25:02	1:34:13
113	Aiden Pratt	M	M25-29	14	4:36:38	0:29:30	2:23:45	1:38:23
114	Joey Costello	M	M25-29	15	4:36:45	0:26:58	2:30:32	1:34:09
115	Tim Hola	M	M50-54	1	4:37:06	0:26:53	2:30:26	1:34:58
116	Yiwen Li	M	M25-29	16	4:37:30	0:26:28	2:33:54	1:28:38
117	Kevin Le	M	M25-29	17	4:37:39	0:29:59	2:27:02	1:34:46
118	Simon Logan	M	M40-44	7	4:38:28	0:34:15	2:30:36	1:28:30
119	Tyler Tsubota	M	M30-34	11	4:38:38	0:33:45	2:23:21	1:35:54
120	Jenna Haufler	F	FPRO	13	4:38:47	0:26:47	2:35:43	1:32:30
121	Eric Chuu	M	M25-29	18	4:39:34	0:30:30	2:31:28	1:31:48
122	John Cline	M	M45-49	2	4:39:39	0:30:58	2:27:58	1:35:15
123	Doug Heymann	M	M25-29	19	4:39:57	0:26:35	2:30:44	1:36:57
124	Guy Gaspari	M	M18-24	5	4:40:14	0:31:49	2:30:26	1:33:07
125	Joshua Chang	M	M25-29	20	4:40:17	0:31:58	2:31:10	1:31:00
126	Ryan Sax	M	M25-29	21	4:40:58	0:32:49	2:35:36	1:25:40
127	Trevor Cubra	M	M25-29	22	4:41:19	0:31:01	2:29:12	1:36:02
128	Guillaume Lalande	M	M40-44	8	4:41:19	0:33:51	2:26:32	1:35:38
129	Hayden Sikora	M	M18-24	6	4:41:30	0:29:00	2:37:40	1:28:23
130	Christine McKinley	F	FPRO	14	4:41:41	0:26:46	2:37:12	1:34:02
131	Ryan Stevens	M	M40-44	9	4:41:44	0:32:07	2:38:08	1:25:48
132	Lonnie Adams	M	M40-44	10	4:41:47	0:30:57	2:26:50	1:37:51
133	Riley Rosado	M	M25-29	23	4:42:24	0:32:18	2:26:39	1:36:56
134	Ben Goldman	M	M45-49	3	4:42:26	0:33:03	2:29:16	1:35:47
135	Nicholas Crispie	M	M30-34	12	4:42:52	0:34:21	2:32:58	1:29:20
136	Craig Kuehl	M	M45-49	4	4:43:09	0:28:55	2:35:46	1:32:23
137	Hans Ryham	M	M45-49	5	4:43:19	0:28:27	2:26:47	1:41:34
138	Deo Timbol	M	M30-34	13	4:43:30	0:32:06	2:31:23	1:34:25
139	Brad Robison	M	M25-29	24	4:43:36	0:25:43	2:26:21	1:46:30
140	Joshua Ketai	M	M30-34	14	4:43:53	0:32:04	2:30:47	1:34:24
141	Robert Vazquez	M	M35-39	10	4:44:00	0:32:38	2:24:10	1:41:11
142	Nikolai Jenkins	M	M40-44	11	4:44:17	0:30:44	2:30:55	1:37:06
143	Alex Bergeson	M	M35-39	11	4:44:44	0:27:34	2:39:49	1:32:00
144	Maciej Zadlo	M	M45-49	6	4:44:50	0:36:42	2:35:56	1:26:53
145	Nick Molzahn	M	M35-39	12	4:44:59	0:32:28	2:30:28	1:36:31
146	Isaac Tyson	M	M35-39	13	4:45:25	0:31:19	2:27:54	1:40:54
147	Michael Ross	M	M50-54	2	4:45:31	0:31:04	2:34:01	1:33:49
148	Jackson Burns	M	M25-29	25	4:45:46	0:32:14	2:31:33	1:36:21
149	Colby Ferbrache	M	M18-24	7	4:45:53	0:30:56	2:19:19	1:51:05
150	Micah Wilson	M	M30-34	15	4:46:10	0:28:27	2:21:11	1:50:31
151	Paul Riddle	M	M45-49	7	4:46:13	0:28:39	2:32:59	1:38:46
152	Elliot Colquhoun	M	M30-34	16	4:46:17	0:33:52	2:24:23	1:41:51
153	Christopher Gill	M	M25-29	26	4:46:18	0:29:03	2:28:15	1:44:02
154	Kinley Bollinger	F	F18-24	1	4:46:33	0:32:51	2:36:22	1:31:23
155	Isaiah Lange	M	M18-24	8	4:46:45	0:32:00	2:30:57	1:37:27
156	Ethan Cramer	M	M35-39	14	4:46:54	0:26:29	2:26:23	1:47:23
157	Oliver Martin	M	M50-54	3	4:46:58	0:35:33	2:31:45	1:32:28
158	Kinsey Mattison	F	F35-39	1	4:46:59	0:28:41	2:36:52	1:36:16
159	Reid Sund	M	M35-39	15	4:47:02	0:33:04	2:32:25	1:35:46
160	Rory Weston	M	M35-39	16	4:47:08	0:30:56	2:32:45	1:36:58
161	Alexandra Watt	F	FPRO	15	4:47:32	0:29:24	2:40:22	1:32:58
162	Kevin Fuller	M	M55-59	2	4:48:04	0:31:05	2:25:34	1:45:42
163	Carlos Mendez	M	M35-39	17	4:48:31	0:31:59	2:30:08	1:41:10
164	Julia Day	F	F25-29	1	4:48:40	0:28:11	2:38:45	1:35:55
165	Nicolas Czorny	M	M45-49	8	4:48:45	0:30:08	2:29:28	1:39:24
166	Christian Ricks	M	M40-44	12	4:48:48	0:32:50	2:32:00	1:37:48
167	Melanie McQuaid	F	FPRO	16	4:49:09	0:29:06	2:32:13	1:43:36
168	John Hatala	M	M55-59	3	4:49:20	0:32:58	2:34:46	1:36:05
169	Leonardo Giessmann	M	M18-24	9	4:49:35	0:25:14	2:35:48	1:42:58
170	Robert Gouley	M	M45-49	9	4:49:36	0:27:14	2:33:13	1:40:34
171	Samuel Kohll	M	M30-34	17	4:49:46	0:34:06	2:26:55	1:43:05
172	Charles Miron	M	M45-49	10	4:49:51	0:32:53	2:36:55	1:33:57
173	Owen Martin	M	M50-54	4	4:49:52	0:35:59	2:29:04	1:37:17
174	Annette Rogers	F	FPRO	17	4:50:01	0:29:04	2:41:39	1:35:28
175	Jonathan Porter	M	M40-44	13	4:50:07	0:30:18	2:31:33	1:42:24
176	Patrick Bowlds	M	M30-34	18	4:50:31	0:35:05	2:34:59	1:34:42
177	C.J. Castle	M	M50-54	5	4:50:36	0:30:24	2:38:03	1:35:14
178	Kirk Gilligan	M	M50-54	6	4:50:46	0:36:01	2:28:22	1:40:39
179	Batya Beard	F	FPRO	18	4:51:10	0:31:31	2:40:13	1:34:54
180	Fernando Cano Torres	M	M30-34	19	4:51:12	0:36:59	2:32:16	1:33:52
181	Verdo Gregory	M	M45-49	11	4:51:14	0:31:41	2:41:40	1:31:03
182	Ryan Thompson	M	M25-29	27	4:51:14	0:31:46	2:35:00	1:38:29
183	Austin Bray	M	M30-34	20	4:51:26	0:38:17	2:27:01	1:40:05
184	David Hansen	M	M40-44	14	4:51:27	0:30:58	2:29:06	1:44:42
185	Michael Aleixo	M	M30-34	21	4:51:41	0:32:23	2:37:25	1:35:31
186	Tyler Mcginnis	M	M35-39	18	4:52:00	0:35:04	2:28:35	1:41:42
187	Manuel Cortes	M	M18-24	10	4:52:01	0:29:38	2:45:11	1:31:42
188	Bergin Kennedy	M	M40-44	15	4:52:06	0:36:15	2:37:39	1:28:22
189	Cameron Keene	M	M25-29	28	4:52:09	0:30:34	2:32:49	1:42:20
190	John Arne	M	M18-24	11	4:52:25	0:36:42	2:27:34	1:43:09
191	Jeff Monson	M	M50-54	7	4:52:36	0:33:07	2:31:52	1:40:05
192	Pedro Ginocchi	M	M30-34	22	4:52:40	0:31:46	2:29:49	1:42:02
193	Kevin Rolfe	M	M55-59	4	4:52:41	0:32:50	2:42:13	1:29:07
194	Claire Wolff	F	F25-29	2	4:53:02	0:27:40	2:48:45	1:30:40
195	Michael Gannon	M	M30-34	23	4:53:16	0:30:09	2:32:07	1:43:59
196	Rebecca Yunginger	F	FPRO	19	4:53:24	0:30:10	2:27:18	1:51:48
197	Nathan Stringer	M	M18-24	12	4:53:25	0:37:39	2:36:37	1:33:50
198	Jared Marks	M	M25-29	29	4:53:44	0:30:51	2:43:56	1:33:24
199	Austen Scudder	M	M40-44	16	4:53:52	0:30:56	2:33:52	1:40:23
200	Jason Nartker	M	M40-44	17	4:54:40	0:32:10	2:33:10	1:42:01
201	Katie Spoelman	F	FPRO	20	4:54:45	0:27:39	2:41:47	1:40:41
202	Jonathan Ockert	M	M30-34	24	4:54:49	0:27:46	2:27:44	1:53:16
203	David Black	M	M45-49	12	4:55:07	0:33:23	2:36:12	1:39:52
204	Maximilian Yaport	M	M25-29	30	4:55:09	0:35:22	2:34:47	1:38:52
205	Ryan Tang	M	M25-29	31	4:55:26	0:28:33	2:34:17	1:45:24
206	Jonathan Whitehead	M	M60-64	1	4:55:33	0:28:05	2:37:28	1:42:22
207	Christian Belair	M	M50-54	8	4:55:35	0:31:46	2:38:44	1:38:44
208	Cameron Wolfe	M	M25-29	32	4:55:40	0:27:38	2:35:20	1:45:46
209	Alayna Szuch	F	FPRO	21	4:56:14	0:36:17	2:31:35	1:43:00
210	Elijah BERNARDO-FLORES	M	M25-29	33	4:56:29	0:35:56	2:40:20	1:35:31
211	Blake Jenkins	M	M35-39	19	4:56:45	0:35:50	2:36:03	1:39:29
212	Jonah Sutherland	M	M30-34	25	4:56:56	0:30:13	2:41:31	1:40:17
