順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子	女子	年齢区分	年齡別順	選手権順
1	1	松丸 真幸	36	男	鹿嶋市	0:57:19	0:22:07	7	0:35:12	1	1		30代男子		1
2	11	山口 孝治	33	男	鹿嶋市	0:58:55	0:21:55	4	0:37:00	3	2		30代男子		2
3	2	熊倉 大輝	16	男	水戸市	1:01:07	0:22:06	6	0:39:01	5	3		30未満男子		3
4	3	阿久澤 弘陽	22	男	つくば市	1:01:12	0:25:16	8	0:35:56	2	4		30未満男子		4
5	24	海老原 武	41	男	取手市	1:03:01	0:25:39	9	0:37:22	4	5		40代男子		5
6	102	川島 えり	24	女	愛媛県	1:04:19	0:20:53	1	0:43:26	19		1	30未満女子		
7	5	小島 裕貴	24	男	千葉県	1:04:26	0:21:46	2	0:42:40	15	6		30未満男子		
8	7	徳村 晋平	30	男	石岡市	1:04:41	0:21:53	3	0:42:48	16	7		30代男子	1	6
9	15	若山 源二朗	36	男	東京都	1:05:05	0:22:03	5	0:43:02	17	8		30代男子	2	
10	30	影山 昭夫	44	男	牛久市	1:05:56	0:26:08	11	0:39:48	8	9		40代男子	1	7
11	6	渡辺 誉史	28	男	笠間市	1:06:29	0:27:18	13	0:39:11	6	10		30未満男子	1	8
12	4	郡 恵樹	22	男	神奈川県	1:07:55	0:25:40	10	0:42:15	12	11		30未満男子	2	
13	10	山崎 誉生	32	男	牛久市	1:07:58	0:28:41	15	0:39:17	7	12		30代男子	3	9
14	3001	西村 世樹	46	男	水戸市	1:08:52	0:29:03	16	0:39:49	9	13				10
15	101	松丸 浩巳	38	女	鹿嶋市	1:09:28	0:28:31	14	0:40:57	11		2	30代女子		1
16	12	鬼澤 秀和	35	男	ひたちなか市	1:10:26	0:26:39	12	0:43:47	20	14		30代男子	4	11
17	21	渡辺 拓和	40	男	千葉県	1:16:32	0:32:13	19	0:44:19	21	15		40代男子	2	
18	9	峰 武史	31	男	埼玉県	1:16:42	0:34:25	24	0:42:17	14	16		30代男子	5	
19	25	高馬 恭介	41	男	東京都	1:17:03	0:34:47	26	0:42:16	13	17		40代男子	3	
20	17	黒瀬 知宏	37	男	埼玉県	1:17:15	0:37:08	33	0:40:07	10	18		30代男子	6	
21	40	鈴木 但義	53	男	那珂郡東海村	1:17:30	0:32:40	21	0:44:50	24	19		50代男子	1	12
22	41	紫芝 弘之	53	男	千葉県	1:19:20	0:34:43	25	0:44:37	22	20		50代男子	2	
23	42	片岡 康夫	57	男	つくば市	1:19:39	0:31:53	18	0:47:46	30	21		50代男子	3	13
24	26	伊丹 博幸	42	男	日立市	1:20:01	0:32:20	20	0:47:41	29	22		40代男子	4	14
25	13	植田 敏行	35	男	那珂市	1:21:08	0:36:26	30	0:44:42	23	23		30代男子	7	15
26	27	鈴木 宣雄	43	男	水戸市	1:21:31	0:33:23	23	0:48:08	33	24		40代男子	5	16
27	22	矢作 力也	40	男	千葉県	1:21:48	0:35:19	27	0:46:29	28	25		40代男子	6	
28	43	宇山 博之	59	男	龍ケ崎市	1:22:18	0:36:16	29	0:46:02	27	26		50代男子	4	17
29	47	木下 元	67	男	千葉県	1:22:44	0:32:48	22	0:49:56	36	27		60以上男子	1	
30	103	村岡 優美	14	女	鹿嶋市	1:22:51	0:30:48	17	0:52:03	38		3	30未満女子		2
31	32	磯部 勝博	47	男	東京都	1:23:37	0:35:45	28	0:47:52	32	28		40代男子	7	
32	45	八重樫 隆二	61	男	日立市	1:24:36	0:36:48	32	0:47:48	31	29		60以上男子	2	18
33	19	西須 俊夫	39	男	千葉県	1:25:29	0:42:19	42	0:43:10	18	30		30代男子	8	
34	106	関 美華	41	女	東茨城郡大洗町	1:27:12	0:38:25	34	0:48:47	34		4	40代女子	1	3
35	8	後藤 逸斗	30	男	東京都	1:28:30	0:38:37	35	0:49:53	35	31		30代男子	9	
36	31	奥田 周年	45	男	竜ヶ崎市	1:28:57	0:43:10	43	0:45:47	26	32		40代男子	8	19
37	44	吉田敏彦	59	男	埼玉県	1:31:05	0:36:46	31	0:54:19	43	33		50代男子	5	
