	Pos	StartNum	Name	Affiliation	YOB	Time	Swim	T1	Bike	T2	Run
aiueda	1	1	上田藍	ペリエ・グリーンタワー・ブリヂストン・稲毛インター（千葉）	1983	2:04:35	0:20:49	0:01:05	1:05:58	0:00:26	0:36:17
aoikuramoto	2	6	蔵本葵	東京ヴェルディ（東京）	1988	2:05:39	0:20:41	0:01:09	1:06:03	0:00:26	0:37:20
	3	3	中山彩理香	日本大学・アリーディ	2000	2:05:55	0:19:56	0:01:12	1:06:43	0:00:26	0:37:38
	4	7	潮田小波	三重県スポーツ協会	1997	2:06:41	0:21:09	0:01:06	1:07:00	0:00:28	0:36:58
minamikubono	5	8	久保埜南	山梨県トライアスロン連合	1997	2:06:51	0:19:56	0:01:07	1:06:49	0:00:22	0:38:37
	6	12	江田佳子	東京都トライアスロン連合	1993	2:07:14	0:19:59	0:01:14	1:06:39	0:00:30	0:38:52
	7	23	西麻依子	東京都トライアスロン連合	1984	2:07:37	0:20:44	0:01:09	1:06:01	0:00:28	0:39:15
	8	16	佐藤姫夏	敬愛大学	2001	2:07:59	0:20:41	0:01:07	1:06:06	0:00:32	0:39:33
	9	17	江成みなみ	神奈川県トライアスロン連合	1999	2:08:48	0:20:53	0:01:02	1:06:00	0:00:29	0:40:24
	10	9	杉原有紀	栃木県トライアスロン協会	1998	2:09:21	0:20:45	0:01:06	1:06:01	0:00:30	0:40:59
	11	18	武田結	東北大学	1999	2:09:46	0:21:35	0:01:16	1:06:19	0:00:36	0:40:00
	12	11	高嶺直美	東京都トライアスロン連合	1986	2:09:59	0:21:01	0:01:08	1:07:07	0:00:29	0:40:14
	13	21	太田麻衣子	千葉県トライアスロン連合	1985	2:11:00	0:21:10	0:01:11	1:06:53	0:00:35	0:41:11
	14	15	池口いずみ	日本体育大学	2000	2:11:40	0:20:42	0:01:09	1:06:04	0:00:29	0:43:16
	15	19	山内麻代	大阪府トライアスロン協会	1986	2:12:12	0:21:08	0:01:46	1:10:14	0:00:33	0:38:31
	16	13	丹野惠梨香	埼玉県トライアスロン連合	1989	2:12:48	0:21:39	0:01:12	1:10:19	0:00:35	0:39:03
	17	14	川崎由理奈	埼玉県トライアスロン連合	1986	2:13:25	0:21:03	0:01:13	1:10:52	0:00:31	0:39:46
	18	10	加後美咲	アルファ（愛知）	1996	2:14:04	0:21:06	0:01:08	1:07:01	0:00:38	0:44:11
	19	20	田中美沙樹	愛知県トライアスロン協会	1998	2:14:27	0:21:36	0:01:10	1:12:02	0:00:33	0:39:06
juriide	DNF	5	井出樹里	スポーツクラブNAS（神奈川）	1983		0:20:46	0:01:10			
	DNS	22	山田梓	島根県トライアスロン協会	1996						
