総合順位	No.	氏名	所属／登録	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	PNLT
1	1	石関 玲於	佐賀県	1:57:22	0:20:11	3	1:02:29	1	1:22:40	2	0:34:42	1	
2	2	立花 匠	福岡県	1:58:09	0:20:12	4	1:02:35	4	1:22:47	4	0:35:22	2	
3	4	橋本 力輝	学連(神奈川大学)	1:59:11	0:20:16	8	1:02:37	5	1:22:53	6	0:36:18	6	
4	3	大嶋 力	学連(立命館大学)	1:59:32	0:20:10	2	1:02:29	2	1:22:39	1	0:36:53	8	
5	7	𠮷澤 太賀	学連(立命館大学)	1:59:49	0:20:13	6	1:02:32	3	1:22:45	3	0:37:04	9	
6	13	末岡 瞭	長崎県	2:01:18	0:22:35	17	1:03:20	13	1:25:55	12	0:35:23	3	
7	20	米倉 亮太	福岡県	2:01:46	0:20:16	7	1:02:46	9	1:23:02	8	0:38:44	12	
8	11	堀田  昇世	長崎県	2:01:57	0:23:25	21	1:02:44	7	1:26:09	16	0:35:48	4	
9	6	髙濵  邦晃	福岡県	2:02:06	0:21:10	13	1:04:59	17	1:26:09	15	0:35:57	5	
10	18	池田 圭介	長崎県	2:02:58	0:21:19	14	1:04:53	16	1:26:12	18	0:36:46	7	
11	9	田中 聡	福岡県	2:03:19	0:22:34	16	1:03:31	14	1:26:05	13	0:37:14	10	
12	16	安田 大河	学連(九州大学)	2:03:37	0:20:49	11	1:05:17	18	1:26:06	14	0:37:31	11	
13	5	江里口 史翔	佐賀県	2:03:59	0:20:08	1	1:02:46	10	1:22:54	7	0:41:05	17	
14	14	筒井 佑	佐賀県	2:04:27	0:20:13	5	1:02:39	6	1:22:52	5	0:41:35	18	
15	8	鮫嶋 浩生	鹿児島県	2:05:15	0:21:00	12	1:03:52	15	1:24:52	10	0:40:23	15	
16	15	岩下 海響	学連(東京電機大学)	2:05:57	0:20:19	10	1:02:46	8	1:23:05	9	0:42:52	20	
17	17	江口 揮房	鹿児島県	2:07:11	0:23:22	19	1:02:50	11	1:26:12	17	0:40:59	16	
18	12	黒田 緣	福岡県	2:08:30	0:22:36	18	1:03:17	12	1:25:53	11	0:42:37	19	
19	23	内栫 将司	熊本県	2:12:43	0:21:24	15	1:08:15	22	1:29:39	20	0:43:04	21	
20	19	小野 高誠	大分県	2:16:52	0:24:37	22	1:12:04	25	1:36:41	22	0:40:11	14	
21	25	新地 義昭	大分県	2:17:00	0:29:50	26	1:08:07	21	1:37:57	26	0:39:03	13	
22	26	金子 雅明	学連(長崎大学)	2:18:20	0:26:38	24	1:07:56	20	1:34:34	21	0:43:46	22	
23	21	平野 雅人	熊本県	2:22:02	0:27:20	25	1:10:34	23	1:37:54	25	0:44:08	23	
24	22	渡邊 賢人	大分県	2:23:39	0:25:54	23	1:10:53	24	1:36:47	24	0:46:52	24	
25	24	山本 陽介	宮崎県	2:24:04	0:23:24	20	1:13:21	26	1:36:45	23	0:47:19	25	
26	27	吉村 建人	学連(長崎大学)	2:24:26	0:20:17	9	1:06:27	19	1:26:44	19	0:57:42	26	
DNS	10	伊東 政輝	学連(熊本大学)										
DNS	28	小原 寛也	熊本県										
