総合 順位	No.	氏名	年齢	登録地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順
1	1	石関 玲於	24	佐賀県	1:58:40	0:21:00	3	1:01:49	5	1:22:49	2	0:35:51	1
2	3	甲斐 瑠夏	22	佐賀県	2:00:28	0:20:04	1	1:02:25	12	1:22:29	1	0:37:59	5
3	2	新田 城二	28	大分県	2:01:18	0:20:58	2	1:01:59	6	1:22:57	5	0:38:21	6
4	8	福島 稜大	21	福岡県	2:01:24	0:22:45	14	1:02:47	13	1:25:32	10	0:35:52	2
5	7	藤田  海人	23	福岡県	2:01:41	0:22:08	12	1:00:48	1	1:22:56	4	0:38:45	9
6	10	山中 翔陽	20	学連	2:02:25	0:21:44	8	1:01:06	3	1:22:50	3	0:39:35	12
7	23	原口 大空	23	学連	2:02:44	0:22:08	11	1:00:49	2	1:22:57	6	0:39:47	14
8	16	橋本 悠輝	23	神奈川県	2:03:56	0:23:20	15	1:02:14	10	1:25:34	11	0:38:22	7
9	6	末岡 瞭	32	長崎県	2:04:12	0:24:34	24	1:02:13	9	1:26:47	14	0:37:25	3
10	12	浅田  晃輔	36	福岡県	2:04:50	0:23:48	22	1:03:10	14	1:26:58	15	0:37:52	4
11	19	筒井 佑	33	佐賀県	2:05:27	0:21:44	9	1:01:14	4	1:22:58	7	0:42:29	24
12	14	鮫嶋 浩生	30	鹿児島県	2:05:40	0:23:29	19	1:02:06	7	1:25:35	12	0:40:05	15
13	5	大嶋 力	19	学連	2:05:47	0:21:33	6	1:02:16	11	1:23:49	8	0:41:58	22
14	29	内栫 将司	28	熊本県	2:06:20	0:23:28	18	1:03:35	16	1:27:03	17	0:39:17	10
15	9	松本 敬之	22	学連	2:06:52	0:23:28	17	1:03:47	18	1:27:15	18	0:39:37	13
16	17	安田 大河	22	学連	2:07:09	0:23:35	21	1:03:25	15	1:27:00	16	0:40:09	16
17	32	引地  勇二	23	学連	2:08:19	0:23:22	16	1:02:08	8	1:25:30	9	0:42:49	25
18	15	髙木 将嗣	23	学連	2:08:40	0:23:30	20	1:03:45	17	1:27:15	19	0:41:25	19
19	13	橋本 力輝	18	学連	2:08:59	0:22:11	13	1:05:18	21	1:27:29	20	0:41:30	20
20	20	堀田  昇世	30	長崎県	2:10:41	0:27:10	29	1:05:09	20	1:32:19	21	0:38:22	8
21	24	岩城 省吾	29	鹿児島県	2:13:23	0:21:01	4	1:04:41	19	1:25:42	13	0:47:41	30
22	22	池田 圭介	42	長崎県	2:17:08	0:24:12	23	1:11:12	25	1:35:24	24	0:41:44	21
23	30	石丸 遼	24	学連	2:17:12	0:25:37	27	1:09:36	23	1:35:13	23	0:41:59	23
24	18	山本 修平	22	学連	2:17:52	0:27:37	30	1:10:50	24	1:38:27	26	0:39:25	11
25	26	小林  正陽	21	学連	2:19:56	0:27:09	28	1:07:30	22	1:34:39	22	0:45:17	27
26	27	小野 高誠	22	大分県	2:20:53	0:24:52	25	1:11:56	26	1:36:48	25	0:44:05	26
27	25	小方  壽浩	44	福岡県	2:21:30	0:28:19	31	1:12:57	28	1:41:16	27	0:40:14	17
28	31	小林 正典	41	大分県	2:25:39	0:28:53	32	1:15:29	29	1:44:22	30	0:41:17	18
29	34	田中 大貴	23	学連	2:27:50	0:28:54	33	1:12:25	27	1:41:19	28	0:46:31	29
30	33	竹永 照二郎	30	大分県	2:28:18	0:25:02	26	1:17:01	30	1:42:03	29	0:46:15	28
DNF	4	立花 匠	20	学連		0:21:02	5						
DNF	35	伊東 政輝	19	学連		0:21:35	7						
DNF	11	髙濵  邦晃	43	福岡県		0:22:08	10						
DNS	21	江口 揮房	25	佐賀県									
DNS	28	坂上 慎一	22	学連									
