総合順位	No.	氏名	年齢	性別	JTU登録	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	T1	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齢別順	岐阜県選手権	選手権順位
176	6501	⼀⾒ 正尚	65	男	三重	3:02:14	0:34:00	147	0:04:08	1:26:27	194	0:57:39	165	150		65-69男⼦	3		
177	5501	川崎 淳⼀	55	男	愛知	3:02:20	0:37:22	185	0:03:11	1:23:31	177	0:58:16	172	151		55-59男⼦	14		
178	4010	⻄野 貢平	42	男	⽯川	3:03:14	0:35:43	165	0:03:43	1:24:39	186	0:59:09	175	152		40-44男⼦	18		
179	601	岡⽥ 裕美	60	⼥	福井	3:03:20	0:34:51	155	0:03:27	1:23:27	176	1:01:35	186		27	60-64⼥⼦	3		
180	2003	福岡 秀介	20	男	愛知	3:03:33	0:36:39	178	0:02:50	1:19:47	152	1:04:17	197	153		20-24男⼦	10		
181	457	古澤 律⼦	48	⼥	岐⾩	3:03:59	0:34:43	153	0:06:05	1:27:14	198	0:55:57	150		28	45-49⼥⼦	6	岐⾩県⼥⼦	3
182	3522	⽇暮 泰広	38	男	広島	3:04:42	0:27:44	59	0:02:18	1:24:50	188	1:09:50	212	154		35-39男⼦	23		
183	4502	倉⽥ 芳信	45	男	三重	3:05:14	0:34:25	149	0:02:12	1:17:00	124	1:11:37	214	155		45-49男⼦	19		
184	5040	古⽥ 哲也	54	男	愛知	3:05:25	0:34:54	156	0:01:56	1:23:13	172	1:05:22	201	156		50-54男⼦	32		
185	4520	加藤 康彦	48	男	愛知	3:05:35	0:33:56	146	0:03:54	1:27:07	197	1:00:38	182	157		45-49男⼦	20		
186	3508	⼾⽥ 有紀	36	男	広島	3:06:39	0:39:52	205	0:03:17	1:23:38	181	0:59:52	179	158		35-39男⼦	24		
187	4501	⼤下 浩平	45	男	兵庫	3:07:02	0:37:09	183	0:04:12	1:25:33	192	1:00:08	181	159		45-49男⼦	21		
188	4508	⽯川 浩介	46	男	愛知	3:07:16	0:35:02	157	0:04:43	1:24:52	189	1:02:39	193	160		45-49男⼦	22		
189	5513	森岡 信⾏	57	男	岐⾩	3:07:21	0:37:55	188	0:04:10	1:24:00	183	1:01:16	185	161		55-59男⼦	15	岐⾩県男⼦	14
190	3502	丹⽻ 弘旭	35	男	愛知	3:07:46	0:39:47	203	0:02:39	1:23:12	171	1:02:08	190	162		35-39男⼦	25		
191	401	奥村 暢⼦	40	⼥	東京	3:08:40	0:40:00	206	0:03:46	1:29:31	205	0:55:23	146		29	40-44⼥⼦	4		
192	6008	加瀬 良⼀	62	男	神奈川	3:08:42	0:39:14	202	0:04:37	1:32:19	210	0:52:32	121	163		60-64男⼦	12		
193	5033	岩崎 智⼀	54	男	愛知	3:09:30	0:37:44	187	0:04:40	1:22:18	163	1:04:48	200	164		50-54男⼦	33		
194	4513	深⾕ 博信	46	男	愛知	3:10:14	0:42:29	222	0:04:02	1:27:15	199	0:56:28	152	165		45-49男⼦	23		
195	3001	伊藤 笙	30	男	愛知	3:10:42	0:29:36	86	0:05:22	1:33:31	211	1:02:13	192	166		30-34男⼦	12		
196	7003	⽥中 正則	74	男	三重	3:10:44	0:41:28	216	0:06:48	1:27:50	201	0:54:38	137	167		70-74男⼦	2		
197	7001	⽳⽥ ⽂夫	71	男	⼤阪	3:11:44	0:36:13	172	0:03:09	1:26:12	193	1:06:10	204	168		70-74男⼦	3		
198	3013	中⻄ 恭輔	33	男	愛知	3:11:44	0:35:36	162	0:03:00	1:35:24	216	0:57:44	168	169		30-34男⼦	13		
199	454	菊池 宏⼦	46	⼥	愛知	3:11:45	0:36:31	176	0:03:13	1:28:35	204	1:03:26	194		30	45-49⼥⼦	7		
200	5519	五藤 伸賢	59	男	愛知	3:11:56	0:36:49	180	0:05:07	1:31:09	208	0:58:51	174	170		55-59男⼦	16		
201	3003	佐々⽊ アスカ	30	男	愛知	3:12:47	0:38:34	193	0:03:35	1:24:25	184	1:06:13	206	171		30-34男⼦	14		
202	3012	北野 寛⽂	33	男	神奈川	3:12:50	0:41:16	213	0:03:39	1:23:14	174	1:04:41	199	172		30-34男⼦	15		
203	5009	⽥中 宏⼀良	51	男	愛知	3:14:07	0:36:38	177	0:03:36	1:17:10	127	1:16:43	217	173		50-54男⼦	34		
204	451	乾井 貴⼦	45	⼥	奈良	3:14:27	0:40:28	209	0:03:19	1:28:33	203	1:02:07	189		31	45-49⼥⼦	8		
205	5023	内⽥ 忠夫	53	男	三重	3:16:32	0:41:26	215	0:03:25	1:23:14	173	1:08:27	209	174		50-54男⼦	35		
206	3513	⻲嶋 ⼀⽮	37	男	愛知	3:17:40	0:41:47	218	0:04:06	1:34:18	214	0:57:29	164	175		35-39男⼦	26		
207	4004	⽴松 俊洋	41	男	愛知	3:18:08	0:33:49	144	0:03:39	1:19:24	148	1:21:16	222	176		40-44男⼦	19		
208	6005	佐藤 眞	61	男	岐⾩	3:19:09	0:31:15	105	0:04:42	1:34:01	212	1:09:11	211	177		60-64男⼦	13	岐⾩県男⼦	15
209	4002	⿃⽻ 佑典	40	男	愛知	3:21:34	0:36:10	171	0:03:37	1:35:49	217	1:05:58	203	178		40-44男⼦	20		
210	5512	中村 康宏	57	男	滋賀	3:23:01	0:42:48	225	0:04:16	1:29:42	206	1:06:15	207	179		55-59男⼦	17		
211	5016	吉川 誠	51	男	愛知	3:24:46	0:42:17	220	0:04:17	1:20:28	155	1:17:44	218	180		50-54男⼦	36		
212	5506	東川 和広	56	男	奈良	3:27:51	0:43:36	226	0:03:37	1:26:51	196	1:13:47	215	181		55-59男⼦	18		
213	8001	⼤島 強	80	男	愛知	3:28:16	0:32:27	120	0:03:30	1:45:21	225	1:06:58	208	182		80-84男⼦	1		
214	4017	園⽥ 将樹	43	男	愛知	3:28:52	0:47:24	228	0:04:07	1:35:13	215	1:02:08	191	183		40-44男⼦	21		
215	2005	⽫井 崚介	21	男	愛知	3:30:29	0:32:34	123	0:04:00	1:34:09	213	1:19:46	221	184		20-24男⼦	11		
216	553	坂野 実穂	57	⼥	愛知	3:31:01	0:40:26	208	0:05:05	1:41:40	223	1:03:50	195		32	55-59⼥⼦	3		
217	5507	中⾕ 裕司	56	男	兵庫	3:33:13	0:49:39	230	0:03:09	1:31:37	209	1:08:48	210	185		55-59男⼦	19		
218	506	林 恭⼦	54	⼥	愛知	3:39:19	0:48:26	229	0:03:43	1:40:59	221	1:06:11	205		33	50-54⼥⼦	4		
219	4504	夏⽬ 昌寿	45	男	愛知	3:39:39	0:35:40	164	0:05:03	1:36:37	219	1:22:19	223	186		45-49男⼦	24		
220	7501	神⼾ 嘉久	76	男	⻑野	3:42:20	0:38:02	189	0:06:54	1:41:51	224	1:15:33	216	187		75-79男⼦	1		
221	6505	杉浦 輝弘	67	男	愛知	3:43:22	0:51:43	231	0:00:00	1:41:26	222	1:10:13	213	188		65-69男⼦	4		
222	5006	今枝 寛	51	男	愛知	3:45:14	0:33:33	141	0:05:46	1:46:11	226	1:19:44	220	189		50-54男⼦	37		
223	4527	⼭⽥ 昌⼀	48	男	愛知	3:46:32	0:45:31	227	0:03:49	1:37:44	220	1:19:28	219	190		45-49男⼦	25		
224	4507	三⼾ 政和	45	男	東京	3:49:58	0:35:48	166	0:03:55	1:36:34	218	1:33:41	224	191		45-49男⼦	26		
