順位	ナンバー	氏名	年齢	最終タイム	スイム記録	バイク記録	ラン記録
1	102	高橋 泰夫	54	1:21:21	0:17:36	0:47:27	0:16:18
2	1	辻 巨樹	41	1:26:05	0:17:41	0:49:51	0:18:33
3	25	新井 孝史	50	1:28:29	0:19:20	0:50:57	0:18:12
4	53	長谷川 敏二	42	1:30:55	0:19:53	0:51:01	0:20:01
5	49	松浦 吉晃	34	1:31:39	0:19:34	0:52:44	0:19:21
6	127	加納 侑士	28	1:31:54	0:21:12	0:51:44	0:18:58
7	116	齋藤 求	41	1:33:42	0:19:02	0:55:18	0:19:22
8	113	倉田 芳信	43	1:34:54	0:21:57	0:54:50	0:18:07
9	72	平山 順一	48	1:35:32	0:23:28	0:54:32	0:17:32
10	130	阿部 倭	15	1:36:44	0:23:52	0:52:31	0:20:21
11	121	堀田 和則	36	1:37:11	0:22:27	0:53:05	0:21:39
12	123	喜多 秀樹	33	1:37:16	0:19:01	0:56:27	0:21:48
13	41	民部 晏基	20	1:38:24	0:23:49	0:55:16	0:19:19
14	66	羽田 悠人	22	1:38:34	0:23:59	0:56:07	0:18:28
15	59	杉浦 貴之	27	1:41:01	0:18:55	0:59:59	0:22:07
16	33	小原 健	31	1:41:22	0:21:31	0:56:58	0:22:53
17	35	西棟 真太郎	37	1:41:45	0:22:18	0:58:21	0:21:06
18	149	小竹 佑治	32	1:41:50	0:23:39	0:58:10	0:20:01
19	32	太原 裕誠	21	1:41:59	0:20:18	0:59:39	0:22:02
20	82	明石 隆之	54	1:42:13	0:23:48	0:58:28	0:19:57
21	43	田中 一正	54	1:42:23	0:19:39	0:57:52	0:24:52
22	52	垣屋 成宏	37	1:42:28	0:25:17	0:58:39	0:18:32
23	111	井手 伸一	45	1:42:31	0:21:41	0:58:38	0:22:12
24	73	中野 耕介	42	1:44:20	0:24:44	0:56:38	0:22:58
25	117	山内 武士	40	1:44:57	0:18:05	1:03:05	0:23:47
26	138	川崎 潔	68	1:45:33	0:24:26	0:59:20	0:21:47
27	118	佐々木 隆	40	1:46:15	0:24:50	0:54:55	0:26:30
28	23	渡邉 賢二	40	1:46:36	0:19:40	1:00:27	0:26:29
29	101	松島 順也	55	1:47:17	0:24:11	0:57:02	0:26:04
30	91	山本 義夫	59	1:47:18	0:30:24	0:54:49	0:22:05
31	56	青森 直人	57	1:47:49	0:26:45	0:59:05	0:21:59
32	40	吉田 陣平	22	1:48:15	0:31:55	0:54:28	0:21:52
33	109	宮前 俊介	46	1:48:28	0:27:37	0:58:19	0:22:32
34	142	田中 豊己	49	1:48:49	0:24:56	0:57:49	0:26:04
35	36	谷田 映広	47	1:48:57	0:30:35	0:56:06	0:22:16
36	151	ｳｨﾝﾁｪｽﾀ ｻﾞｯｶﾘｰ	27	1:49:57	0:31:25	0:57:09	0:21:23
37	152	万庭 浄	65	1:50:46	0:32:35	0:58:01	0:20:10
38	104	金村 論益	49	1:50:54	0:25:39	1:01:36	0:23:39
39	16	湯淺 貴弘	49	1:51:08	0:27:33	1:00:03	0:23:32
40	105	金井 孝	49	1:51:11	0:30:34	1:01:08	0:19:29
41	24	矢部 宰文	59	1:51:23	0:25:52	0:59:35	0:25:56
42	54	井端 啓輔	34	1:51:46	0:32:04	0:58:45	0:20:57
43	47	伊藤 禎志	33	1:51:47	0:30:02	0:57:59	0:23:46
44	19	藤原 郁也	21	1:51:56	0:24:01	0:59:52	0:28:03
45	21	畑田 章夫	62	1:52:08	0:27:56	1:01:44	0:22:28
46	5	山嵜 清張	57	1:53:05	0:28:01	1:00:29	0:24:35
47	99	武田 豊三	59	1:53:28	0:29:11	1:02:24	0:21:53
48	44	宮本 海	27	1:54:18	0:27:05	1:00:32	0:26:41
49	79	出口 隆啓	40	1:54:18	0:29:34	0:56:02	0:28:42
50	6	野場 尚	63	1:54:25	0:23:44	1:07:22	0:23:19
51	81	鶴和 義朗	51	1:55:55	0:27:30	1:01:06	0:27:19
52	98	小田 哲靖	60	1:56:06	0:28:38	1:03:44	0:23:44
53	108	三戸 昌人	46	1:57:20	0:28:04	1:04:59	0:24:17
54	115	村上 裕之	41	1:57:29	0:27:34	1:02:02	0:27:53
55	11	原 聖雅	66	1:57:57	0:27:30	1:04:03	0:26:24
56	87	吉田 悠	55	1:58:35	0:28:59	1:03:25	0:26:11
57	70	松井 直人	53	1:59:02	0:27:18	1:03:33	0:28:11
58	26	志方 達哉	44	2:01:05	0:30:57	1:06:43	0:23:25
59	106	岸本 啓司	48	2:01:06	0:36:05	1:02:31	0:22:30
60	80	小河 潤	48	2:02:05	0:25:58	1:01:42	0:34:25
61	135	深川 幹夫	46	2:02:13	0:24:37	1:05:24	0:32:12
62	13	尼崎 佳三	66	2:02:16	0:29:56	1:08:57	0:23:23
63	132	目木 智也	29	2:02:37	0:27:21	1:06:00	0:29:16
64	75	畠中 登	54	2:03:24	0:31:37	1:07:15	0:24:32
65	78	仲川 豪	51	2:03:32	0:26:57	1:03:45	0:32:50
66	126	田中 紘太	30	2:04:00	0:28:42	1:08:07	0:27:11
67	7	寺薗 賢隆	51	2:04:24	0:32:02	1:08:55	0:23:27
68	45	菊池 雄一郎	24	2:04:41	0:27:59	1:04:55	0:31:47
69	85	佐竹 康志	24	2:06:15	0:28:26	1:13:57	0:23:52
70	15	佐藤 悠貴	33	2:07:08	0:31:08	1:12:19	0:23:41
71	9	松尾 年和	48	2:07:22	0:24:41	1:10:28	0:32:13
72	58	向 敏史	56	2:08:28	0:28:11	1:07:31	0:32:46
73	122	香林 正樹	33	2:08:50	0:21:57	1:22:36	0:24:17
74	74	塩崎 宏一	44	2:08:58	0:33:47	1:05:57	0:29:14
75	10	吉川 一義	63	2:09:26	0:30:06	1:07:24	0:31:56
76	148	湯川 啓次	51	2:09:36	0:35:54	1:08:06	0:25:36
77	12	里見 貞二	66	2:10:00	0:28:23	1:09:57	0:31:40
78	3	芳村 茂樹	45	2:10:49	0:35:42	1:06:52	0:28:15
79	57	岡田 勝善	73	2:10:56	0:27:50	1:11:08	0:31:58
80	140	道川 成一	62	2:11:47	0:31:06	1:10:01	0:30:40
81	146	志水 宏行	34	2:12:05	0:24:59	0:54:41	0:52:25
82	84	深坂 健太郎	63	2:12:19	0:23:19	1:09:53	0:39:07
83	71	国本 恭	57	2:12:28	0:28:30	1:15:35	0:28:23
84	29	森 彩翔	21	2:12:43	0:31:10	1:16:10	0:25:23
85	120	山本 雄介	38	2:15:20	0:38:31	1:08:34	0:28:15
86	67	三江 弘貴	28	2:15:30	0:34:21	1:15:45	0:25:24
87	119	田中 和宏	38	2:15:38	0:30:33	1:15:10	0:29:55
88	69	黒田 知宏	46	2:15:56	0:32:53	1:16:15	0:26:48
89	14	湊 康行	57	2:16:45	0:28:10	1:09:46	0:38:49
90	96	門場 靖司	64	2:17:48	0:35:19	1:10:53	0:31:36
91	20	谷口 博志	70	2:18:12	0:31:59	1:11:25	0:34:48
92	61	田中 隆之	47	2:19:16	0:33:27	1:13:52	0:31:57
93	86	吉田 正太郎	15	2:20:14	0:36:58	1:15:31	0:27:45
94	139	髙木 剛	44	2:20:47	0:34:48	1:15:52	0:30:07
95	97	辻本 正一	60	2:21:03	0:40:16	1:09:37	0:31:10
96	51	柴田 嘉宏	49	2:21:09	0:35:37	1:11:55	0:33:37
97	4	松岡 弘之	28	2:21:22	0:24:34	1:22:04	0:34:44
98	112	太田 貴久	43	2:22:11	0:41:47	1:08:08	0:32:16
99	92	中西 啓一	73	2:22:26	0:37:37	1:16:05	0:28:44
100	100	赤木 政春	57	2:22:48	0:38:02	1:09:43	0:35:03
101	37	西棟 大	33	2:22:59	0:37:59	1:14:02	0:30:58
102	50	宮崎 隆人	42	2:25:00	0:36:24	1:14:40	0:33:56
103	145	北野 聡之	29	2:32:46	0:58:36	1:08:55	0:25:15
104	8	阪口 利彦	75	2:44:56	0:33:10	1:28:21	0:43:25
105	55	梶川 彰三	58	2:45:19	0:40:24	1:19:05	0:45:50
106	88	安藤 亮介	34	2:47:35	0:53:36	1:24:17	0:29:42
107	129	三戸 隆成	21	2:51:13	0:29:09	1:26:59	0:55:05
1	176	松本 華奈	47	1:32:42	0:18:11	0:54:47	0:19:44
2	172	野口 花音	16	1:38:29	0:16:10	0:59:47	0:22:32
3	164	牛塚 諒子	33	1:39:53	0:20:40	0:58:16	0:20:57
4	167	橘 知恵	48	1:49:02	0:20:15	1:02:42	0:26:05
