順位	ナンバー	氏名	年齢	最終タイム	スイム記録	バイク記録	ラン記録
1	364	川口 遼	28	2:14:02	0:25:47	1:03:10	0:45:05
2	456	前田 良孝	48	2:15:05	0:28:12	1:05:25	0:41:28
3	368	松井 裕樹	33	2:16:57	0:24:59	1:07:49	0:44:09
4	305	田中 秀和	39	2:18:55	0:26:58	1:05:53	0:46:04
5	431	松本 響平	21	2:19:57	0:25:19	1:09:34	0:45:04
6	320	丸岡 正和	46	2:20:12	0:27:29	1:05:18	0:47:25
7	482	重成 かおり	45	2:21:58	0:25:56	1:12:33	0:43:29
8	328	森永 幸希	43	2:22:50	0:28:39	1:11:04	0:43:07
9	420	広本 成志	44	2:24:27	0:28:51	1:13:43	0:41:53
10	400	松下 友吾	49	2:26:30	0:34:37	1:05:59	0:45:54
11	391	野嵜 親次	52	2:28:06	0:29:07	1:10:42	0:48:17
12	385	中島 一樹	45	2:29:42	0:28:33	1:12:51	0:48:18
13	362	呉 越	39	2:32:34	0:34:17	1:10:53	0:47:24
14	346	小倉 崚司	27	2:33:38	0:23:12	1:12:52	0:57:34
15	422	Masaki Kawamura	41	2:33:46	0:32:02	1:13:03	0:48:41
16	375	八山 雅幸	33	2:34:14	0:32:03	1:15:38	0:46:33
17	344	大嶋 健太	27	2:35:00	0:26:16	1:15:43	0:53:01
18	338	小路 廣輔	39	2:35:30	0:30:44	1:16:34	0:48:12
19	355	原 光洋	28	2:35:40	0:27:33	1:17:13	0:50:54
20	377	西尾 昇悟	20	2:35:46	0:29:05	1:10:51	0:55:50
21	407	平川 貴嗣	40	2:37:40	0:33:22	1:07:44	0:56:34
22	352	稲田 大郎	51	2:37:46	0:30:00	1:16:31	0:51:15
23	439	吉谷 邦宏	49	2:37:54	0:29:54	1:18:52	0:49:08
24	318	中西 晋	55	2:38:47	0:34:48	1:14:25	0:49:34
25	366	西川 智之	45	2:39:09	0:30:16	1:12:40	0:56:13
26	343	船岡 洋	50	2:39:10	0:45:17	1:10:29	0:43:24
27	308	川西 太一郎	47	2:39:18	0:38:18	1:14:49	0:46:11
28	396	小橋 駿輝	28	2:39:54	0:32:11	1:15:14	0:52:29
29	317	大家 秀行	52	2:40:46	0:40:13	1:10:36	0:49:57
30	434	赤坂 健太	29	2:41:00	0:35:19	1:18:43	0:46:58
31	384	上妻 卓矢	29	2:42:30	0:34:18	1:12:09	0:56:03
32	397	吉岡 将太郎	27	2:42:42	0:35:08	1:08:54	0:58:40
33	406	宮本 直樹	49	2:42:47	0:39:50	1:13:33	0:49:24
34	374	矢部 昂文	27	2:43:07	0:37:13	1:14:28	0:51:26
35	393	山本 賢也	44	2:43:32	0:36:28	1:14:27	0:52:37
