総合順位	No.	氏名	性別	都道府県	総合記録	ｽｲﾑﾗｯﾌﾟ	S順	ﾊﾞｲｸﾗｯﾌﾟ	B順	スプリット	通過	ﾗﾝﾗｯﾌﾟ	R順	男子順位	女子順位	近畿順位
1	31	椿 浩平	男	東京都	0:56:30	0:10:24	5	0:27:43	1	0:38:07	1	0:18:23	3	1		
2	8	岩井 悠二	男	学連	0:56:35	0:10:25	7	0:27:49	4	0:38:14	4	0:18:21	2	2		1
3	30	高橋 正俊	男	大阪府	0:57:15	0:10:38	14	0:28:23	9	0:39:01	9	0:18:14	1	3		2
4	10	岡本 空知	男	学連	0:58:11	0:10:28	10	0:28:48	16	0:39:16	17	0:18:55	5	4		3
5	36	清水 哲平	男	大阪府	0:58:23	0:10:27	9	0:27:54	6	0:38:21	5	0:20:02	12	5		4
6	21	原田 洋旭	男	学連	0:58:30	0:10:24	4	0:28:36	14	0:39:00	8	0:19:30	7	6		5
7	2	林田 悠希	男	学連	0:58:41	0:10:23	3	0:27:46	3	0:38:09	2	0:20:32	22	7		6
8	19	山田 侑翼	男	学連	0:58:45	0:10:24	6	0:28:40	15	0:39:04	11	0:19:41	8	8		7
9	9	岡田 空大	男	学連	0:58:49	0:10:30	11	0:27:53	5	0:38:23	6	0:20:26	17	9		8
10	29	大倉 拓也	男	大阪府	0:58:53	0:11:19	28	0:29:06	18	0:40:25	20	0:18:28	4	10		9
11	26	牧田 竜明	男	学連	0:59:00	0:10:41	18	0:28:21	7	0:39:02	10	0:19:58	10	11		10
12	4	竹内 隼	男	学連	0:59:07	0:10:17	1	0:28:21	8	0:38:38	7	0:20:29	19	12		
13	32	川久保 直希	男	奈良県	0:59:38	0:10:39	15	0:28:33	12	0:39:12	14	0:20:26	15	13		
14	16	山口 大貴	男	学連	0:59:46	0:10:42	20	0:28:32	11	0:39:14	15	0:20:32	21	14		11
15	11	小田 陸人	男	学連	0:59:53	0:11:04	25	0:29:23	22	0:40:27	21	0:19:26	6	15		
16	27	宮本 恒平	男	大阪府	1:00:15	0:11:11	27	0:29:19	21	0:40:30	23	0:19:45	9	16		
17	37	山本 良介	男	大阪府	1:00:20	0:10:41	19	0:29:41	23	0:40:22	19	0:19:58	11	17		12
18	25	原口 大空	男	学連	1:00:36	0:10:35	12	0:28:34	13	0:39:09	12	0:21:27	26	18		13
19	34	フェラーリ シモン	男	大阪府	1:00:52	0:11:06	26	0:29:12	19	0:40:18	18	0:20:34	23	19		
20	5	平石 祥汰	男	学連	1:01:08	0:10:23	2	0:28:52	17	0:39:15	16	0:21:53	30	20		
21	12	仲尾 瞭平	男	学連	1:01:18	0:10:27	8	0:27:45	2	0:38:12	3	0:23:06	35	21		14
22	1	松井 麟太郎	男	京都府	1:01:56	0:11:20	29	0:29:15	20	0:40:35	24	0:21:21	25	22		
23	33	筒井 佑	男	佐賀県	1:02:17	0:10:40	17	0:29:49	24	0:40:29	22	0:21:48	28	23		
24	28	中西 篤志	男	大阪府	1:03:03	0:12:19	37	0:30:39	25	0:42:58	25	0:20:05	13	24		
25	23	山本 陽介	男	学連	1:03:27	0:10:40	16	0:28:29	10	0:39:09	13	0:24:18	39	25		
26	15	山口 大星	男	学連	1:03:33	0:10:37	13	0:32:30	31	0:43:07	26	0:20:26	18	26		
27	17	福寿 弘海	男	学連	1:03:38	0:12:19	38	0:30:49	26	0:43:08	27	0:20:30	20	27		
28	66	山内 麻代	女	大阪府	1:03:43	0:10:45	21	0:32:43	32	0:43:28	29	0:20:15	14		1	1
29	24	中村 大和	男	兵庫県	1:05:43	0:12:21	41	0:31:20	28	0:43:41	30	0:22:02	33	28		
30	63	河野 典子	女	大阪府	1:05:56	0:11:38	31	0:32:22	30	0:44:00	33	0:21:56	32		2	
31	14	嶺岸 和主也	男	京都府	1:06:27	0:12:20	40	0:32:53	33	0:45:13	34	0:21:14	24	29		
32	18	吉川 凌矢	男	学連	1:06:37	0:13:10	42	0:33:01	34	0:46:11	38	0:20:26	16	30		
33	7	安部 裕嘉	男	学連	1:07:12	0:12:09	36	0:31:50	29	0:43:59	32	0:23:13	36	31		
34	59	長島 実桜	女	学連	1:07:35	0:11:25	30	0:34:34	41	0:45:59	35	0:21:36	27		3	
35	60	長藤 宏美	女	学連	1:08:07	0:11:40	32	0:34:32	40	0:46:12	39	0:21:55	31		4	
36	3	山田 壮流	男	愛知県	1:08:51	0:12:19	39	0:30:51	27	0:43:10	28	0:25:41	44	32		
37	54	酒井 優真	女	学連	1:09:21	0:10:46	22	0:33:11	36	0:43:57	31	0:25:24	41		5	
38	6	山本 十士	男	学連	1:09:26	0:12:02	35	0:34:02	38	0:46:04	36	0:23:22	37	33		
39	56	小石川 花梨	女	学連	1:09:57	0:14:23	48	0:33:43	37	0:48:06	42	0:21:51	29		6	
40	61	平井 紬希	女	学連	1:10:51	0:13:43	44	0:34:19	39	0:48:02	41	0:22:49	34		7	
41	51	谷村 帆夏	女	大阪府	1:11:36	0:10:55	24	0:35:14	43	0:46:09	37	0:25:27	42		8	
42	67	久米 さやか	女	兵庫県	1:11:40	0:13:17	43	0:33:09	35	0:46:26	40	0:25:14	40		9	2
43	57	富松 雪乃	女	学連	1:14:26	0:14:06	45	0:34:39	42	0:48:45	44	0:25:41	43		10	
