Overall_Rank	Gender_Rank	Div_Rank	Bib	Name	Gender	Division	Country	Club	Penalty	Swim	T1	Bike	T2	Run	Total_Time
1	1	1	1	Sam Laidlow	M	MPRO	FRA			00:46:34	00:01:25	04:03:11	00:01:08	02:37:19	07:29:35
2	2	2	15	Jonas Schomburg	M	MPRO	DEU			00:46:19	00:01:13	04:02:48	00:01:05	02:40:01	07:31:24
3	3	3	4	Jan Stratmann	M	MPRO	DEU	SSF BONN TRIATHLON		00:46:36	00:01:27	04:07:58	00:01:08	02:40:52	07:37:59
4	4	4	5	Vincent Luis	M	MPRO	FRA	La Chance		00:46:30	00:01:46	04:06:10	00:01:12	02:43:18	07:38:54
5	5	5	3	Frederic Funk	M	MPRO	DEU	ERDINGER Active Team		00:49:21	00:01:53	04:04:45	00:01:06	02:43:04	07:40:07
6	6	6	18	Finn Große-Freese	M	MPRO	DEU	SV Bayreuth		00:46:43	00:01:24	04:08:02	00:01:19	02:43:23	07:40:49
7	7	7	6	Daniel Baekkegard	M	MPRO	DNK	OTK		00:46:40	00:01:23	04:10:51	00:01:59	02:41:41	07:42:31
8	8	8	24	Mathias Lyngsoe Petersen	M	MPRO	DNK	Odense Triatlon Klub		00:48:39	00:01:41	04:09:37	00:01:20	02:43:17	07:44:32
9	9	9	11	Matthew Hanson	M	MPRO	USA			00:52:27	00:01:27	04:21:54	00:01:14	02:28:03	07:45:04
10	10	10	9	Aaron Royle	M	MPRO	AUS			00:46:32	00:01:42	04:09:02	00:01:07	02:49:15	07:47:36
11	11	11	20	Zachary Cooper	M	MPRO	GBR	That Triathlon Life / Team Hatch / Triviera		00:56:51	00:02:18	04:08:33	00:01:29	02:39:07	07:48:17
12	12	12	36	Tristan Olij	M	MPRO	NLD			00:51:12	00:02:10	04:12:41	00:01:51	02:42:07	07:49:59
13	13	13	52	Matthieu Bolzer	M	MPRO	FRA	Rougeot Beaune Triathlon		00:53:00	00:01:32	04:16:22	00:01:26	02:38:28	07:50:46
14	14	14	16	Joe Skipper	M	MPRO	GBR			00:56:51	00:02:15	04:09:00	00:02:01	02:45:23	07:55:28
15	15	15	56	Sebastian Norberg	M	MPRO	SWE	Terrible Tuesdays athletic club		00:57:50	00:01:40	04:16:11	00:01:26	02:42:30	07:59:35
16	16	16	12	Jack Moody	M	MPRO	NZL	Fitter		00:53:11	00:01:47	04:21:47	00:03:14	02:40:12	08:00:09
17	17	17	2	Thomas Bishop	M	MPRO	GBR			00:48:42	00:01:35	04:10:30	00:02:00	03:00:08	08:02:53
18	18	18	34	Felix Hentschel	M	MPRO	DEU	IfA Nonstop Bamberg		00:56:45	00:02:06	04:15:10	00:01:14	02:49:18	08:04:30
19	19	19	8	Bart Aernouts	M	MPRO	BEL	Veldeman - WCUP - Sportoase		00:56:58	00:01:43	04:09:10	00:01:17	02:55:51	08:04:57
20	20	20	40	Martin Ulloa	M	MPRO	CHL			00:49:24	00:01:35	04:09:01	00:01:19	03:06:17	08:07:34
21	21	21	41	Arne Leiss	M	MPRO	DEU	TSV Dettingen/Erms		00:46:58	00:01:33	04:14:45	00:01:36	03:03:49	08:08:39
22	22	22	26	Kieran Storch	M	MPRO	AUS	Red Dog Triathlon Training		00:53:02	00:01:50	04:16:21	00:01:02	02:57:00	08:09:12
23	23	23	50	Jesse Hinrichs	M	MPRO	DEU			00:50:39	00:01:39	04:15:19	00:02:21	03:01:04	08:11:00
24	24	24	25	Filipe Azevedo	M	MPRO	ARE	Fawz Concept		00:50:45	00:01:54	04:16:58	00:01:42	03:00:17	08:11:35
25	25	25	28	Florian Angert	M	MPRO	DEU	Erdinger Alkoholfrei / Tri Team Heuchelberg		00:46:45	00:01:25	04:15:34	00:01:47	03:06:24	08:11:52
26	26	1	169	Martin Kodewitz	M	M30-34	DEU	GPS - Gruppe Positiv Sportverrückt		01:08:16	00:02:33	04:21:03	00:01:04	02:39:30	08:12:24
27	27	26	35	Nicholas Chase	M	MPRO	USA	Real Triathlon Squad		00:53:07	00:01:46	04:21:09	00:01:15	02:55:46	08:13:02
28	28	27	48	Timo Schaffeld	M	MPRO	DEU	SC Rot-Weiß Oberhausen e.V.		00:57:09	00:01:54	04:23:36	00:01:23	02:49:27	08:13:27
29	29	28	22	Chris Dels	M	MPRO	DEU	Böhnlein Sports Bamberglein		00:56:55	00:01:49	04:24:21	00:01:28	02:52:22	08:16:54
30	1	1	101	Laura Philipp	F	WPRO	DEU	TSV Mannheim		00:58:15	00:02:03	04:33:27	00:01:19	02:43:17	08:18:18
31	30	29	42	Corentin Chouvelon	M	MPRO	FRA	Team Lifetri		00:57:07	00:02:21	04:39:02	00:01:47	02:38:10	08:18:25
32	31	30	29	Jonathan Guisolan	M	MPRO	CHE			00:54:01	00:02:37	04:09:37	00:01:08	03:11:19	08:18:40
33	32	31	14	Jesper Svensson	M	MPRO	SWE			00:49:25	00:01:35	04:06:45	00:01:23	03:21:06	08:20:12
34	33	32	32	Tomasz Szala	M	MPRO	POL			00:51:15	00:01:34	04:18:45	00:01:12	03:08:23	08:21:07
35	34	2	179	Julian Zenke	M	M30-34	DEU	Wildcats Swiss Triathlon Team / SV Basel		00:56:22	00:02:51	04:23:57	00:01:30	02:56:55	08:21:33
36	35	33	59	Christoffer Heick	M	MPRO	DNK	Odense Triathlon Klub		00:57:12	00:02:20	04:23:13	00:01:32	02:57:25	08:21:41
37	36	1	143	Kilian Bauer	M	M25-29	DEU	SV Wacker Burghausen / enduranceshop		00:53:22	00:01:33	04:22:27	00:01:26	03:03:12	08:21:59
38	37	34	23	Jannik Stoll	M	MPRO	DEU	Skinfit Racing Tri Team		00:49:21	00:01:41	04:05:03	00:01:16	03:24:47	08:22:06
39	38	35	21	Lukas Stengel	M	MPRO	DEU	Arriba Göppersdorf / Endurance Shop		00:53:08	00:01:31	04:17:07	00:01:46	03:08:49	08:22:18
40	39	36	68	Amaury Dehez	M	MPRO	FRA			01:01:52	00:02:17	04:29:17	00:01:46	02:47:39	08:22:49
41	40	37	49	Nicolas Quenette	M	MPRO	FRA	Cercle Triathlon Toulouse		00:53:04	00:01:44	04:17:10	00:02:07	03:09:20	08:23:22
42	41	1	163	Lukas Bosmans	M	M35-39	BEL	PHNX		01:00:14	00:01:54	04:26:08	00:01:09	02:54:19	08:23:42
43	42	38	58	Kevin Portmann	M	MPRO	FRA	KP Coaching		00:57:15	00:01:53	04:23:46	00:01:37	03:00:19	08:24:48
44	43	39	53	Stephan Benedikt	M	MPRO	AUT	Omni Biotic Powerteam		00:57:07	00:02:00	04:23:55	00:01:50	02:59:59	08:24:49
45	44	2	141	Tijmen Van Der Burgt	M	M35-39	NLD	AV Triathlon		01:01:14	00:01:57	04:19:53	00:02:29	02:59:28	08:24:59
46	45	1	217	Dirk Oswald	M	M40-44	DEU	TSV 1895 Oftersheim		01:00:12	00:02:54	04:28:46	00:01:41	02:51:55	08:25:27
47	46	40	60	Vincent Größer	M	MPRO	DEU	Triathlon-Team Giessen		00:56:55	00:01:37	04:11:43	00:01:20	03:13:54	08:25:27
48	47	3	367	Jannik Gruber	M	M30-34	DEU	ASC Konstanz		00:51:30	00:02:29	04:28:32	00:01:09	03:05:09	08:28:48
49	48	4	153	Willem Geuns	M	M30-34	BEL	PHNX		00:56:08	00:02:38	04:31:12	00:01:40	02:57:30	08:29:06
50	49	41	47	Toby Nisbet	M	MPRO	GBR	Leeds Triathlon Centre		00:53:10	00:02:06	04:22:35	00:01:39	03:11:47	08:31:14
51	50	2	165	Sebastian Schatz	M	M25-29	AUT	KTK86		01:01:12	00:02:08	04:38:07	00:02:01	02:48:16	08:31:42
52	51	42	46	Ben Akin	M	MPRO	GBR	TriCentralUK		00:57:03	00:01:40	04:18:27	00:01:17	03:14:00	08:32:25
53	52	5	209	Sascha Thiel	M	M30-34	DEU	Nine Sub 9 - WSU Tri-Team Warendorf		00:53:46	00:02:20	04:34:27	00:01:36	03:00:28	08:32:35
54	53	43	62	Pascal Franken	M	MPRO	NLD			00:57:01	00:01:39	04:24:37	00:01:52	03:07:42	08:32:48
55	54	44	7	Henri Schoeman	M	MPRO	ZAF			00:46:17	00:02:00	04:17:23	00:01:51	03:27:25	08:34:54
56	55	3	154	Jakob Meibeyer	M	M25-29	DEU	Hannover 96 Triathlon		00:58:22	00:02:09	04:31:37	00:02:07	03:02:27	08:36:40
57	56	6	178	Moritz Bickel	M	M30-34	DEU	Sport-Union Neckarsulm Triathlon		00:55:30	00:02:37	04:38:17	00:03:19	02:57:40	08:37:20
58	57	2	227	Villu Vakra	M	M40-44	EST	21CC Triatloniklubi		01:01:09	00:02:32	04:28:14	00:01:19	03:04:16	08:37:27
59	2	2	104	Grace Thek	F	WPRO	AUS			00:54:05	00:01:41	04:46:51	00:01:32	02:53:32	08:37:39
60	58	1	196	Sergio Marques	M	M45-49	PRT	CNATRIL		01:02:26	00:02:41	04:36:12	00:01:33	02:55:51	08:38:41
61	59	7	180	Jonas Endres	M	M30-34	DEU	Radfreunde Hilpoltstein e.V.		00:58:19	00:02:25	04:29:05	00:01:45	03:07:58	08:39:31
62	60	1	89	Luis Schulz	M	M20-24	DEU	SV Bayreuth		01:03:35	00:03:15	04:32:17	00:01:22	03:00:05	08:40:32
63	61	4	211	Jonas Stengel	M	M25-29	DEU	Arriba Göppersdorf		00:58:19	00:01:48	04:29:54	00:02:14	03:08:46	08:40:59
64	62	3	160	Alexander Siegmund	M	M35-39	DEU	Tri Team Hamburg		00:58:13	00:02:15	04:29:25	00:01:59	03:09:47	08:41:37
65	3	3	106	Alanis Siffert	F	WPRO	CHE	Team Duxsports		00:52:31	00:01:52	04:41:42	00:01:07	03:04:30	08:41:41
66	63	8	285	Jesus Jaro Molina	M	M30-34	ESP	C.D.T RESISTENTIA T3		01:06:34	00:01:45	04:39:54	00:01:57	02:51:37	08:41:45
67	64	3	152	Matthias Wydra	M	M40-44	DEU	TV Sangerhausen		01:04:44	00:03:12	04:29:35	00:01:52	03:03:00	08:42:21
68	65	9	175	Christoph Aigner	M	M30-34	AUT	Pewag Racing Team		01:08:34	00:01:48	04:32:30	00:02:34	02:57:01	08:42:25
69	4	4	102	Nikki Bartlett	F	WPRO	GBR			00:58:25	00:01:37	04:41:59	00:01:20	02:59:31	08:42:50
70	66	10	220	Johannes Fischer	M	M30-34	DEU	DSW Darmstadt		01:12:35	00:02:29	04:35:20	00:01:02	02:51:30	08:42:54
71	67	4	197	Jan-Ole Gerschefski	M	M40-44	DEU	NG TRG		01:01:11	00:03:39	04:40:53	00:03:06	02:54:35	08:43:22
72	68	5	295	Ulrich Hermann	M	M25-29	DEU	DLC Aachen		01:04:55	00:01:49	04:33:09	00:01:49	03:01:54	08:43:34
73	69	11	265	Ricardo Marquez Monzo	M	M30-34	ESP	Morvedre Triatlón		00:56:20	00:01:46	04:33:39	00:02:10	03:10:00	08:43:54
74	70	4	240	Florian Tausend	M	M35-39	DEU	Garmin / SV Mergelstetten		00:58:09	00:01:38	04:39:07	00:02:15	03:02:49	08:43:56
75	71	6	195	Patryk Podpirko	M	M25-29	POL	Warmia Aktywnie/CTS		01:01:23	00:03:13	04:33:15	00:01:56	03:04:14	08:43:59
76	72	7	230	Logan Siebert	M	M25-29	BEL	3T		00:59:50	00:02:33	04:45:46	00:01:25	02:54:37	08:44:09
77	73	5	218	Geert Janssens	M	M35-39	BEL	PHNX		00:58:10	00:02:25	04:31:44	00:02:40	03:09:24	08:44:22
78	74	12	245	Michael Scheumaier	M	M30-34	DEU	WSV Bad Tölz		01:01:06	00:02:13	04:37:05	00:02:54	03:01:37	08:44:54
79	75	45	19	Maurice Clavel	M	MPRO	DEU			00:47:17	00:01:22	04:35:02	00:02:26	03:19:01	08:45:05
80	5	5	108	Justine Mathieux	F	WPRO	FRA	Besancon Triathlon		00:56:23				03:00:07	08:45:06
81	76	8	203	Julian Hegel	M	M25-29	DEU			01:01:01	00:03:22	04:36:53	00:02:25	03:01:27	08:45:07
