総合順位	No.	氏名	年齢	性別	JTU登録	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	T1	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齢別順	岐阜県選手権	選手権順位
1	916	森嶋 良太	25	男	大阪府	0:46:57	0:11:42	5	0:00:46	0:23:41	2	0:10:48	2	1		M25-29			
2	912	阿部 忠和	21	男	学連	0:48:08	0:11:19	4	0:01:00	0:24:56	11	0:10:53	3	2		M20-24	1		
3	911	渡邊 大地	21	男	学連	0:48:45	0:10:08	1	0:00:47	0:25:01	13	0:12:49	22	3		M20-24	2		
4	930	栗山 哲也	37	男	大阪府	0:48:58	0:12:43	12	0:01:00	0:24:00	3	0:11:15	4	4		M35-39	1		
5	942	湊 佳彦	44	男	愛知県	0:49:56	0:14:23	27	0:01:32	0:22:32	1	0:11:29	8	5		M40-44	1		
6	946	北川 貴士	47	男	滋賀県	0:50:50	0:11:15	3	0:00:56	0:24:48	9	0:13:51	35	6		M45-49	1		
7	947	服部 雅司	48	男	愛知県	0:51:22	0:13:44	22	0:01:02	0:24:36	6	0:12:00	12	7		M45-49	2		
8	926	二ノ丸 拓哉	30	男	大阪府	0:51:42	0:13:39	21	0:02:22	0:24:17	4	0:11:24	7	8		M30-34	1		
9	910	糸山 渉吾	21	男	学連	0:52:09	0:13:26	17	0:00:56	0:25:26	17	0:12:21	16	9		M20-24	3		
10	909	木部 歩輝	20	男	学連	0:52:13	0:10:58	2	0:00:53	0:24:21	5	0:16:01	55	10		M20-24	4		
11	943	清水 綱之	46	男	大阪府	0:52:29	0:13:35	20	0:01:02	0:24:47	8	0:13:05	26	11		M45-49	3		
12	913	水野 那音	21	男	滋賀県	0:52:29	0:14:06	25	0:01:03	0:26:04	27	0:11:16	5	12		M20-24	5		
13	965	白井 稔	55	男	大阪府	0:52:34	0:13:18	15	0:01:20	0:24:59	12	0:12:57	25	13		M55-59	1		
14	939	横大路 勝也	43	男	大阪府	0:52:52	0:13:21	16	0:01:20	0:26:49	37	0:11:22	6	14		M40-44	2		
15	908	黒岩 官九郎	19	男	学連	0:52:56	0:14:35	34	0:01:15	0:27:03	41	0:10:03	1	15		M16-19	1		
16	937	河村 崇之	42	男	愛知県	0:53:03	0:12:17	6	0:01:26	0:26:34	32	0:12:46	21	16		M40-44	3		
17	934	井阪 裕貴	41	男	兵庫県	0:53:30	0:13:07	13	0:01:04	0:25:38	20	0:13:41	31	17		M40-44	4		
18	972	稲波 隆	60	男	愛知県	0:53:31	0:13:32	18	0:01:21	0:25:07	15	0:13:31	29	18		M60-64	1		
19	914	北島 智史	23	男	大阪府	0:53:48	0:14:35	33	0:00:53	0:26:08	28	0:12:12	14	19		M20-24	6		
20	928	北地 孝行	35	男	三重県	0:53:57	0:14:27	28	0:01:33	0:25:33	18	0:12:24	18	20		M35-39	2		
21	935	殿本 将司	41	男	大阪府	0:54:33	0:12:28	9	0:01:04	0:24:42	7	0:16:19	57	21		M40-44	5		
22	917	松澤 恭佑	25	男	岐阜県	0:54:33	0:12:25	8	0:01:07	0:26:51	38	0:14:10	36	22		M25-29	1	岐阜県男子	1
23	958	各務 正敏	54	男	岐阜県	0:54:56	0:15:23	44	0:01:40	0:25:18	16	0:12:35	19	23		M50-54	1	岐阜県男子	2
24	925	山下 優太郎	29	男	東京都	0:55:25	0:12:19	7	0:01:07	0:26:47	35	0:15:12	50	24		M25-29	2		
25	955	松浦 将志	54	男	愛知県	0:55:26	0:15:55	51	0:01:45	0:24:54	10	0:12:52	23	25		M50-54	2		
26	803	木寺 咲希	20	女	学連	0:55:27	0:15:21	43	0:00:56	0:26:48	36	0:12:22	17		1	F20-24			
27	903	岩田 新市	17	男	愛知県	0:55:45	0:12:41	11	0:01:43	0:27:50	48	0:13:31	30	26		M16-19	2		
28	950	東 剛志	51	男	大阪府	0:55:52	0:14:34	32	0:01:19	0:26:35	33	0:13:24	28	27		M50-54	3		
29	961	藤本 耕司	54	男	岡山県	0:56:06	0:14:31	30	0:01:46	0:25:34	19	0:14:15	39	28		M50-54	4		
30	927	石田 涼太郎	30	男	東京都	0:56:27	0:16:17	52	0:01:48	0:26:27	30	0:11:55	10	29		M30-34	2		
31	918	ヒダカ マサハロ	26	男	福井県	0:56:32	0:16:55	55	0:01:20	0:26:16	29	0:12:01	13	30		M25-29	3		
32	981	谷 佳憲	65	男	大阪府	0:56:40	0:15:03	39	0:01:18	0:25:42	22	0:14:37	43	31		M65-69	1		
33	940	布施 康史	43	男	愛知県	0:57:04	0:12:36	10	0:01:50	0:30:41	66	0:11:57	11	32		M40-44	6		
34	963	正木 英二	55	男	神奈川県	0:57:21	0:13:51	23	0:01:19	0:29:54	57	0:12:17	15	33		M55-59	2		
35	964	渡邉 賢二	45	男	大阪府	0:57:38	0:14:30	29	0:01:50	0:25:58	26	0:15:20	51	34		M45-49	4		
36	808	金澤 理恵	48	女	三重県	0:57:38	0:14:41	35	0:01:43	0:25:38	21	0:15:36	53		2	F45-49	1		
37	923	石毛 樹	27	男	兵庫県	0:57:50	0:13:55	24	0:01:06	0:26:57	40	0:15:52	54	35		M25-29	4		
38	966	伊藤 泰寿	56	男	東京都	0:59:00	0:14:51	37	0:02:04	0:28:17	50	0:13:48	33	36		M55-59	3		
39	957	平山 順一	54	男	大阪府	0:59:34	0:15:14	42	0:01:23	0:25:02	14	0:17:55	70	37		M50-54	5		
40	805	岡田 佳澄	32	女	愛知県	0:59:34	0:15:48	48	0:02:15	0:27:20	43	0:14:11	37		3	F30-34	1		
41	970	山田 昌孝	58	男	岐阜県	0:59:37	0:16:54	54	0:02:14	0:25:50	24	0:14:39	44	38		M55-59	4	岐阜県男子	3
42	977	大坪 隆	62	男	埼玉県	1:00:08	0:15:11	41	0:02:53	0:27:49	47	0:14:15	38	39		M60-64	2		
43	971	伊藤 一夫	59	男	愛知県	1:00:22	0:17:12	57	0:01:09	0:26:54	39	0:15:07	49	40		M55-59	5		
44	807	直下 典子	45	女	石川県	1:00:25	0:15:53	50	0:01:23	0:28:08	49	0:15:01	48		4	F45-49	2		
45	949	笹部 泰宏	51	男	岡山県	1:00:38	0:18:16	66	0:01:03	0:27:03	42	0:14:16	40	41		M50-54	6		
46	938	谷村 鉄兵	42	男	兵庫県	1:00:38	0:18:10	65	0:02:00	0:26:45	34	0:13:43	32	42		M40-44	7		
47	985	千原 寿一	68	男	大阪府	1:00:50	0:17:06	56	0:01:54	0:27:30	45	0:14:20	41	43		M65-69	2		
48	944	志知 和明	46	男	京都府	1:01:18	0:13:33	19	0:01:56	0:29:01	52	0:16:48	64	44		M45-49	5		
