Pos	StartNum	Name	Affiliation	YOB	Time	Swim	T1	Bike	T2	Run
1	1	高橋 侑子	富士通/東京	1991	1:59:12	0:20:17	0:00:24	1:02:28	0:00:24	0:35:39
2	3	岸本 新菜	福井県スポーツ協会・稲毛インター/福井	1995	1:59:17	0:20:45	0:00:23	1:02:03	0:00:27	0:35:39
3	5	福岡 啓	横浜こどもスポーツ基金/福井	1994	1:59:19	0:20:40	0:00:22	1:02:09	0:00:27	0:35:41
4	2	佐藤 優香	トーシンパートナーズ、NTT東日本・NTT西日本、チームケンズ/山梨	1992	1:59:36	0:20:44	0:00:23	1:02:06	0:00:29	0:35:54
5	10	中山 彩理香	日本大学・アリーディ	2000	1:59:50	0:20:19	0:00:22	1:02:30	0:00:25	0:36:14
6	6	蔵本 葵	東京ヴェルディ/東京	1988	1:59:56	0:20:45	0:00:23	1:02:07	0:00:30	0:36:11
7	8	潮田 小波	中京大学	1997	2:00:44	0:21:38	0:00:24	1:02:27	0:00:26	0:35:49
8	4	上田 藍	ペリエ・グリーンタワー・ブリヂストン・稲毛インター/千葉	1983	2:00:58	0:20:50	0:00:23	1:02:02	0:00:34	0:37:09
9	7	加藤 友里恵	佐藤興業/千葉	1987	2:01:30	0:21:02	0:00:22	1:03:07	0:00:27	0:36:32
10	17	宮崎 集	筑波大学・アリーディ	1996	2:01:37	0:21:34	0:00:22	1:02:35	0:00:24	0:36:42
11	22	酒井 美有	トーシンパートナーズ・チームケンズ/山梨	1999	2:02:19	0:20:42	0:00:23	1:02:05	0:00:23	0:38:46
12	15	杉原 有紀	流通経済大学	1998	2:02:23	0:21:24	0:00:25	1:02:43	0:00:26	0:37:25
13	16	久保埜 南	トーシンパートナーズ・チームケンズ/山梨	1997	2:02:33	0:20:46	0:00:24	1:02:04	0:00:24	0:38:55
14	20	池野 みのり	山梨学院大学・チームケンズ山梨	1997	2:03:09	0:19:56	0:00:28	1:02:51	0:00:27	0:39:27
15	24	江田 佳子	東京都トライアスロン連合	1993	2:03:15	0:20:47	0:00:26	1:03:21	0:00:31	0:38:10
16	29	江成 みなみ	日本体育大学	1999	2:03:15	0:21:30	0:00:25	1:02:41	0:00:28	0:38:11
17	23	中山 菜々美	立命館大学・AS京都	2000	2:03:32	0:21:32	0:00:23	1:02:34	0:00:25	0:38:38
18	18	瀬賀 楓佳	トーシンパートナーズ・チームケンズ/山梨	1998	2:03:38	0:20:23	0:00:25	1:03:43	0:00:27	0:38:40
19	47	石田 凪帆	静岡県トライアスロン協会	1993	2:03:45	0:21:28	0:00:23	1:02:42	0:00:27	0:38:45
20	12	西 麻依子	東京都トライアスロン連合	1984	2:03:54	0:20:23	0:00:24	1:02:30	0:00:33	0:40:04
21	14	高嶺 直美	東京ハイリッジレーシング/東京	1986	2:04:10	0:21:27	0:00:26	1:02:42	0:00:29	0:39:06
22	13	田中 麻優	日本食研/愛媛	1997	2:04:21	0:20:46	0:00:24	1:02:06	0:00:27	0:40:38
23	11	武友 綾巳	ボーマレーシング・トラソール/福岡	1985	2:04:28	0:21:01	0:00:24	1:03:10	0:00:27	0:39:26
24	33	宮田 彩花	日本体育大学	1999	2:04:33	0:20:19	0:00:27	1:03:50	0:00:34	0:39:23
25	35	山内 紅寧	法政大学	1997	2:04:51	0:21:05	0:00:28	1:03:04	0:00:34	0:39:40
26	37	西岡 真紀	和歌山県トライアスロン連合	1991	2:04:52	0:22:57	0:00:25	1:03:36	0:00:29	0:37:25
