総合順位	No.	氏名	性別	居住地	総合記録	1st ラン	1R順	ﾊﾞｲｸﾗｯﾌﾟ	B順	ｽﾌﾟﾘｯﾄ	通過	2nd ラン	2R順	PNLT	男子順位	女子順位	区分	区分順位
1	431	清水 哲平	男	大阪府	1:40:27	0:18:09	6	1:02:59	1	1:21:08	1	0:19:19	3		1		40-49歳男子	
2	423	川森 康裕	男	三重県	1:42:41	0:18:08	5	1:05:13	2	1:23:21	2	0:19:20	4		2		40-49歳男子	
3	329	山口 晃	男	石川県	1:42:48	0:17:32	3	1:06:10	4	1:23:42	3	0:19:06	2		3		30-39歳男子	
4	221	清水 晃樹	男	愛知県	1:45:25	0:18:10	7	1:05:35	3	1:23:45	4	0:21:40	14		4		29歳以下男子	1
5	225	竹内 啓一郎	男	愛知県	1:46:00	0:16:13	1	1:11:06	16	1:27:19	7	0:18:41	1		5		29歳以下男子	2
6	437	野口 克彦	男	愛知県	1:47:53	0:19:39	14	1:07:33	6	1:27:12	6	0:20:41	7		6		40-49歳男子	1
7	229	松崎 大典	男	愛知県	1:48:41	0:19:22	11	1:07:00	5	1:26:22	5	0:22:19	20		7		29歳以下男子	3
8	535	青木 幸則	男	愛知県	1:49:08	0:20:13	21	1:08:49	11	1:29:02	9	0:20:06	5		8		50-59歳男子	1
9	447	成田 延久	男	愛知県	1:49:56	0:20:00	17	1:08:02	8	1:28:02	8	0:21:54	16		9		40-49歳男子	2
10	542	丹羽 直人	男	愛知県	1:51:45	0:21:11	27	1:08:56	12	1:30:07	10	0:21:38	13		10		50-59歳男子	2
11	425	高田 佳宏	男	石川県	1:51:59	0:19:39	13	1:10:52	14	1:30:31	11	0:21:28	12		11		40-49歳男子	3
12	324	稲葉 佑典	男	愛知県	1:54:06	0:17:31	2	1:15:38	31	1:33:09	16	0:20:57	9		12		30-39歳男子	1
13	524	岸本 雄飛	男	愛知県	1:54:23	0:20:36	23	1:11:50	17	1:32:26	15	0:21:57	17		13		50-59歳男子	3
14	223	古居 佳汰	男	愛知県	1:54:55	0:20:05	19	1:13:45	23	1:33:50	20	0:21:05	10		14		29歳以下男子	4
15	332	吉田 ナポレオン	男	福井県	1:55:04	0:19:21	10	1:15:02	28	1:34:23	24	0:20:41	8		15		30-39歳男子	2
16	523	増澤 剛之	男	愛知県	1:55:15	0:19:49	16	1:13:21	21	1:33:10	17	0:22:05	19		16		50-59歳男子	4
17	521	浅井 輝彦	男	愛知県	1:55:30	0:20:12	20	1:14:07	24	1:34:19	23	0:21:11	11		17		50-59歳男子	5
18	323	神谷 拓図	男	岐阜県	1:55:33	0:20:58	24	1:12:41	18	1:33:39	18	0:21:54	15		18		30-39歳男子	3
19	530	上地 正昭	男	愛知県	1:55:42	0:22:20	40	1:08:22	10	1:30:42	12	0:25:00	35		19		50-59歳男子	6
20	445	田中 智浩	男	愛知県	1:55:58	0:19:31	12	1:14:25	27	1:33:56	21	0:22:02	18		20		40-49歳男子	4
21	444	国政 武史	男	福井県	1:56:32	0:21:08	26	1:12:56	20	1:34:04	22	0:22:28	22		21		40-49歳男子	5
22	501	北吉 舞	女	奈良県	1:57:08	0:21:08	25	1:13:36	22	1:34:44	26	0:22:24	21			1	50-59歳女子	
23	537	廣田 賢司	男	愛知県	1:58:04	0:23:02	46	1:07:56	7	1:30:58	13	0:27:06	55		22		50-59歳男子	7
24	430	櫻井 秀樹	男	愛知県	1:58:22	0:24:01	52	1:08:17	9	1:32:18	14	0:26:04	47		23		40-49歳男子	6
25	424	吉田 悠太	男	岐阜県	1:59:10	0:21:24	30	1:14:24	26	1:35:48	29	0:23:22	25		24		40-49歳男子	7
26	628	黒田 孝	男	三重県	1:59:16	0:24:27	57	1:09:22	13	1:33:49	19	0:25:27	40		25		60-69歳男子	1
27	538	枡田 拓也	男	三重県	1:59:53	0:23:38	49	1:11:05	15	1:34:43	25	0:25:10	37		26		50-59歳男子	8
28	328	伊藤 啓介	男	岐阜県	2:00:57	0:22:55	43	1:12:45	19	1:35:40	28	0:25:17	39		27		30-39歳男子	4
29	629	藤村 大	男	愛知県	2:00:58	0:21:19	28	1:15:13	29	1:36:32	31	0:24:26	30		28		40-49歳男子	8
30	330	岩瀬 拓也	男	愛知県	2:01:06	0:18:06	4	1:22:29	53	1:40:35	38	0:20:31	6		29		30-39歳男子	5
31	326	福本 篤司	男	滋賀県	2:01:23	0:19:01	8	1:16:30	33	1:35:31	27	0:25:52	45		30		30-39歳男子	6
32	327	村井 直史	男	岐阜県	2:01:38	0:21:25	31	1:15:43	32	1:37:08	32	0:24:30	33		31		30-39歳男子	7
33	224	三﨑 日飛斗	男	三重県	2:01:41	0:20:01	18	1:17:14	35	1:37:15	33	0:24:26	31		32		29歳以下男子	5
34	438	村上 貴彦	男	愛知県	2:02:37	0:21:26	32	1:17:40	37	1:39:06	34	0:23:31	26		33		40-49歳男子	9
35	422	吉川 貴章	男	大阪府	2:03:19	0:22:37	42	1:17:25	36	1:40:02	36	0:23:17	24		34		40-49歳男子	10
36	201	橋本 咲良	女	愛知県	2:04:29	0:21:21	29	1:19:55	42	1:41:16	40	0:23:13	23			2	29歳以下女子	
37	331	森田 孝治	男	静岡県	2:05:54	0:20:25	22	1:20:50	45	1:41:15	39	0:24:39	34		35		30-39歳男子	8
38	439	小松 基城	男	和歌山県	2:06:15	0:24:48	61	1:15:38	30	1:40:26	37	0:25:49	43		36		40-49歳男子	11
39	525	小川 智之	男	京都府	2:07:15	0:22:58	45	1:18:38	41	1:41:36	41	0:25:39	41		37		50-59歳男子	9
40	226	下村 悠斗	男	三重県	2:07:30	0:19:17	9	1:23:51	57	1:43:08	45	0:24:22	29		38		29歳以下男子	6
41	325	廣瀬 靖真	男	愛知県	2:07:41	0:21:32	33	1:21:56	50	1:43:28	47	0:24:13	28		39		30-39歳男子	9
42	222	小笠原 照弥	男	愛知県	2:08:58	0:19:41	15	1:25:10	61	1:44:51	51	0:24:07	27		40		29歳以下男子	7
43	546	中野 信博	男	岐阜県	2:09:09	0:22:56	44	1:20:27	44	1:43:23	46	0:25:46	42		41		50-59歳男子	10
44	622	祖父江 隆司	男	愛知県	2:09:45	0:24:14	56	1:18:03	38	1:42:17	43	0:27:28	58		42		60-69歳男子	2
45	435	石川 雄基	男	愛知県	2:09:49	0:22:28	41	1:21:30	48	1:43:58	48	0:25:51	44		43		40-49歳男子	12
46	321	福嶋 琢朗	男	愛知県	2:10:36	0:21:37	34	1:22:34	54	1:44:11	49	0:26:25	51		44		30-39歳男子	10
47	549	鵜飼 健太郎	男	愛知県	2:10:54	0:23:02	47	1:16:56	34	1:39:58	35	0:30:56	72		45		50-59歳男子	11
48	522	塩山 貞則	男	大阪府	2:11:10	0:22:08	38	1:22:52	55	1:45:00	52	0:26:10	48		46		50-59歳男子	12
49	443	長谷川 タカオ	男	福井県	2:11:39	0:24:30	58	1:18:19	39	1:42:49	44	0:28:50	60		47		40-49歳男子	13
50	529	野畑 明広	男	愛知県	2:12:08	0:23:21	48	1:18:24	40	1:41:45	42	0:30:23	68		48		50-59歳男子	13
51	440	村岡 陽	男	神奈川県	2:13:15	0:22:07	37	1:25:53	64	1:48:00	56	0:25:15	38		49		40-49歳男子	14
52	401	永松 慶子	女	長野県	2:13:17	0:25:58	64	1:22:15	52	1:48:13	57	0:25:04	36			3	40-49歳女子	
53	624	河方 哲也	男	岐阜県	2:13:30	0:26:17	68	1:21:11	47	1:47:28	55	0:26:02	46		50		60-69歳男子	3
54	553	中村 康宏	男	滋賀県	2:14:54	0:24:13	55	1:24:28	60	1:48:41	58	0:26:13	49		51		50-59歳男子	14
55	541	小谷 直	男	三重県	2:15:20	0:24:58	63	1:20:24	43	1:45:22	54	0:29:58	66		52		50-59歳男子	15
