順位	No.	氏名	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	総合順位
1	501	⾧谷川 菜奈	2:28:28	0:21:26	5	1:20:45	33	1:42:11	16	0:46:17	18	12
2	508	今関 優海	2:40:52	0:23:37	14	1:26:13	63	1:49:50	41	0:51:02	39	36
OPEN	2	太田 麻衣子	2:42:37	0:23:03		1:25:46		1:48:49		0:53:48		OPEN
3	502	加塩 桃乃	2:42:39	0:21:37	7	1:25:29	57	1:47:06	30	0:55:33	89	44
4	506	谷村 佳子	2:44:31	0:27:44	59	1:27:18	76	1:55:02	62	0:49:29	30	47
5	515	島田 浩美	2:54:13	0:33:31	203	1:26:40	66	2:00:11	88	0:54:02	63	69
6	503	草地 紗來	2:56:08	0:23:55	17	1:33:18	132	1:57:13	72	0:58:55	126	74
7	525	小池 凜花	2:59:06	0:32:02	154	1:31:07	108	2:03:09	113	0:55:57	91	89
8	504	鈴木 紗希子	3:02:22	0:28:44	78	1:38:34	194	2:07:18	151	0:55:04	81	106
9	531	上田 照江	3:02:33	0:28:12	68	1:36:31	167	2:04:43	125	0:57:50	111	108
10	505	宮澤 智子	3:02:43	0:27:19	48	1:31:58	120	1:59:17	81	1:03:26	181	109
11	514	Dow Emily	3:06:20	0:33:00	184	1:38:40	195	2:11:40	191	0:54:40	75	133
12	523	矢野 めぐみ	3:07:34	0:30:52	121	1:34:46	149	2:05:38	135	1:01:56	164	140
13	509	加瀬 恵美	3:10:55	0:28:16	70	1:37:40	183	2:05:56	138	1:04:59	202	163
14	513	野口 歩実	3:11:08	0:25:39	30	1:41:39	237	2:07:18	152	1:03:50	190	165
15	510	新井 知子	3:11:34	0:28:02	64	1:39:48	212	2:07:50	156	1:03:44	188	167
16	519	佐野 智恵子	3:13:47	0:34:41	235	1:42:18	246	2:16:59	239	0:56:48	102	176
17	524	安藤 有希	3:14:28	0:33:14	195	1:40:46	227	2:14:00	212	1:00:28	145	183
18	535	鈴木 浩子	3:17:10	0:38:50	310	1:36:53	172	2:15:43	229	1:01:27	158	198
19	522	佐々木 幸子	3:20:25	0:30:57	124	1:34:14	143	2:05:11	131	1:15:14	290	213
20	511	佃 史絵	3:20:29	0:31:46	144	1:41:49	239	2:13:35	208	1:06:54	219	215
21	518	林原 りか	3:22:20	0:32:33	167	1:44:19	271	2:16:52	237	1:05:28	206	229
22	532	鈴木 かおる	3:23:03	0:33:29	202	1:40:27	221	2:13:56	210	1:09:07	250	233
23	520	山崎 聡美	3:23:58	0:28:51	80	1:40:55	228	2:09:46	176	1:14:12	286	237
24	517	鈴木 友紀子	3:24:05	0:34:30	232	1:40:14	220	2:14:44	221	1:09:21	252	239
25	529	本田 麻紀子	3:26:21	0:34:20	230	1:45:05	276	2:19:25	261	1:06:56	220	247
26	541	舘野 真弓	3:27:44	0:33:59	222	1:50:06	304	2:24:05	294	1:03:39	185	255
27	537	大谷 千賀子	3:33:07	0:37:40	299	1:51:04	309	2:28:44	310	1:04:23	194	274
28	527	中村 恵美	3:35:52	0:38:47	308	1:57:02	336	2:35:49	332	1:00:03	138	283
29	542	平山 晴美	3:48:45	0:41:52	336	1:58:52	341	2:40:44	338	1:08:01	236	321
30	526	三國 怜佳	3:49:04	0:35:35	255	1:46:17	284	2:21:52	272	1:27:12	344	323
31	534	宮下 礼子	3:57:35	0:40:35	328	1:57:07	337	2:37:42	333	1:19:53	319	334
32	538	松本 多賀子	4:02:43	0:36:23	274	2:03:32	350	2:39:55	336	1:22:48	329	341
33	544	坪子 友香理	4:07:15	0:46:06	350	1:57:48	339	2:43:54	346	1:23:21	332	343
34	539	細谷 真弓	4:09:33	0:46:04	349	2:10:29	355	2:56:33	356	1:13:00	280	345
35	540	大出 愛子	4:21:00	0:42:01	340	2:05:08	351	2:47:09	352	1:33:51	351	351
DNF	521	池田 フランシィーン		0:29:43	94	1:54:21	326	2:24:04	293			DNF
DNF	516	関根 美樹		0:29:15	86							DNF
SKIP	530	河上 純子				1:38:32				1:13:05		SKIP
SKIP	536	松浦 理恵				1:46:28				1:08:33		SKIP
SKIP	545	高橋 梨紗										SKIP
DNS	507	中村 有里										DNS
DNS	512	渡邉 由美子										DNS
DNS	528	深堀 由香梨										DNS
DNS	533	寺本 美奈子										DNS
DNS	543	佐藤 衣珠										DNS
