順位	No.	氏名	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	総合順位
OPEN	1	小林 祐也	2:06:01	0:17:34		1:08:24		1:25:58		0:40:03		OPEN
1	108	平井 健吾	2:12:15	0:21:49	8	1:09:27	1	1:31:16	1	0:40:59	1	1
2	102	立山 宏一	2:17:48	0:20:36	2	1:14:18	8	1:34:54	5	0:42:54	4	2
3	107	中込 智樹	2:18:38	0:21:15	4	1:11:32	6	1:32:47	3	0:45:51	14	3
4	105	中山 泰誠	2:20:38	0:21:08	3	1:10:22	2	1:31:30	2	0:49:08	28	4
5	161	武田 隼人	2:21:56	0:27:22	51	1:10:26	3	1:37:48	6	0:44:08	8	5
6	112	渡辺 誉史	2:24:07	0:23:38	15	1:16:22	11	1:40:00	11	0:44:07	7	6
7	110	ABSOUS OLIVIER	2:24:29	0:21:53	9	1:16:29	12	1:38:22	8	0:46:07	16	7
8	121	瀬古 尚彦	2:24:31	0:25:21	28	1:13:48	7	1:39:09	10	0:45:22	13	8
9	139	吉田 圭汰	2:26:11	0:24:47	23	1:16:38	13	1:41:25	12	0:44:46	10	9
10	101	上條 琉聖	2:26:16	0:20:11	1	1:17:49	16	1:38:00	7	0:48:16	25	10
11	383	遠藤 吉文	2:26:46	0:28:01	63	1:10:52	4	1:38:53	9	0:47:53	24	11
12	180	堀井 舜平	2:28:29	0:29:58	97	1:17:06	15	1:47:04	29	0:41:25	2	13
13	106	清水 賢	2:28:33	0:21:27	6	1:20:42	32	1:42:09	15	0:46:24	19	14
14	126	永井 純	2:28:39	0:22:33	10	1:19:29	26	1:42:02	14	0:46:37	20	15
15	145	田中 宏樹	2:28:50	0:27:33	57	1:15:02	9	1:42:35	17	0:46:15	17	16
16	118	木幡 帝珠	2:29:07	0:25:55	32	1:18:20	18	1:44:15	21	0:44:52	11	17
17	104	茂田 萌次郎	2:30:24	0:23:13	13	1:11:12	5	1:34:25	4	0:55:59	92	18
