総合順位	No.	氏名	年齢	性別	居住地	総合記録	スイムラップ	S順	バイクラップ	B順	スプリット	通過	ランラップ	R順	男子順位	女子順位
1	158	高橋 勇市	54	男	東京都	1:50:39	0:30:05	3	1:06:37	1	1:36:42	1	0:13:57	1	1	
2	264	秋葉 茂	47	男	千葉県	1:53:38	0:29:51	1	1:07:43	2	1:37:34	2	0:16:04	2	2	
3	148	杉田 好士郎	42	男	千葉県	2:03:08	0:30:01	2	1:10:58	3	1:40:59	3	0:22:09	3	3	
