総合順位	No.	氏名	年齢	性別	登録地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	Ｔ１	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	区分	区分順位
1	4001	樋口 新	44	男	愛知	2:16:15	0:19:06	1	0:11:34	0:55:40	1	1:26:20	1	0:49:55	1	1		TRI3	1
DNS	5001	山上 翔太郎	30	男	京都													TRI4	
