総合順位	No.	氏名	性別	年齢区分	Swimラップ	バイクラップ	ランラップ	合計タイム	年代別順位
	902	⿅内 木村 河村			0:21:13	1:19:53	0:55:29	2:36:34	1
	903	江草 金後 佐々木			0:31:24	1:24:50	0:58:56	2:55:09	3
	901	福島 ⾨田 後藤			0:36:05	1:41:48	1:07:04	3:24:55	4
DNF	900	長⾕山 藤井 ⼘部 37:24 skip 46:38							
	140	平野 雅人	男	30未満	0:25:12	1:14:17	0:43:21	2:22:49	1
	108	藤井 一哉	男	30未満	0:28:50	1:17:09	0:49:11	2:35:08	2
	128	山内 涼介	男	30未満	0:31:02	1:15:46	0:50:05	2:36:52	3
	104	宇高 樹	男	30未満	0:29:54	1:15:40	0:51:50	2:37:23	4
	115	川口 諄	男	30未満	0:24:21	1:17:21	0:59:31	2:41:12	5
	119	中野 暁太	男	30未満	0:32:50	1:19:54	0:50:44	2:43:27	6
	106	三⾕ 健二	男	30未満	0:29:53	1:20:49	0:52:51	2:43:32	7
	133	中野 祥平	男	30未満	0:28:57	1:21:56	0:57:41	2:48:33	8
	114	東田 優紀	男	30未満	0:30:55	1:21:10	0:57:17	2:49:22	9
	135	川合 正記	男	30未満	0:32:00	1:26:44	0:51:17	2:50:00	10
	116	脇坂 雄三	男	30未満	0:31:50	1:19:17	0:59:38	2:50:44	11
	130	内山 雄太	男	30未満	0:27:41	1:23:15	1:00:08	2:51:03	12
	122	藤田 俊樹	男	30未満	0:32:23	1:26:36	1:00:11	2:59:09	13
	103	多田 優輝	男	30未満	0:33:55	1:31:10	0:55:54	3:00:57	14
	110	福田 尭之	男	30未満	0:31:49	1:24:32	1:04:43	3:01:04	15
	118	島津 泰彦	男	30未満	0:35:43	1:25:24	1:01:56	3:03:02	16
	117	大森 真乗	男	30未満	0:36:25	1:29:53	0:59:34	3:05:50	17
	136	上田 俊一	男	30未満	0:35:25	1:29:51	1:00:48	3:06:04	18
	137	大河原 奨平	男	30未満	0:30:46	1:31:53	1:04:12	3:06:49	19
	134	中村 慶昭	男	30未満	0:37:42	1:36:26	0:52:48	3:06:55	20
	107	藤村 貴規	男	30未満	0:36:29	1:31:09	1:00:01	3:07:38	21
	121	渕上 ⻯平	男	30未満	0:38:05	1:35:05	0:58:46	3:11:55	22
	112	鳴川 善友	男	30未満	0:43:24	1:20:06	1:10:17	3:13:46	23
	102	小林 和貴	男	30未満	0:34:07	1:31:47	1:12:08	3:18:02	24
	101	戸田 克⺒	男	30未満	0:33:24	1:25:02	1:20:03	3:18:27	25
	124	築澤 良亮	男	30未満	0:36:19	1:33:42	1:08:35	3:18:35	26
	105	箱田 祥光	男	30未満	0:36:34	1:35:35	1:11:54	3:24:02	27
	129	錦織 光輝	男	30未満	0:33:01	1:46:00	1:11:59	3:30:59	28
	131	山内 開人	男	30未満	0:40:58	1:48:10	1:02:40	3:31:46	29
	126	坂井 裕樹	男	30未満	0:37:24	1:34:56	1:20:29	3:32:49	30
	139	牧内 和隆	男	30未満	0:34:54	1:57:13	1:09:15	3:41:20	31
	109	荻野 大樹	男	30未満	0:41:31	1:42:50	1:18:02	3:42:22	32
	120	岡田 誠流	男	30未満	0:29:28	1:54:37	1:28:59	3:53:03	33
	132	山田 貴喜	男	30未満	0:49:08	1:55:20	1:09:46	3:54:13	34
	127	松本 有史	男	30未満	0:44:42	1:55:48	1:18:00	3:58:28	35
	123	信岡 健	男	30未満	1:01:56	1:58:55	1:02:44	4:03:34	36
DNS	138	秋山 秀太郎	男	30未満					
DNS	125	加藤 和⾺	男	30未満					
DNS	111	白井 直也	男	30未満					
DNS	100	杉原 史浩	男	30未満					
	248	宇佐川 聡	男	30代	0:25:35	1:10:02	0:41:25	2:17:01	1
	209	丸尾 公貞	男	30代	0:23:24	1:12:43	0:44:25	2:20:30	2
	220	後藤 周作	男	30代	0:26:16	1:13:17	0:46:29	2:26:00	3
	229	長⾕川 敏二	男	30代	0:23:02	1:15:18	0:48:57	2:27:16	4
	206	山内 光春	男	30代	0:18:46	1:18:54	0:50:36	2:28:15	5
	243	平本 昌樹	男	30代	0:32:31	1:18:21	0:39:47	2:30:38	6
	239	上杉 剛志	男	30代	0:28:17	1:15:39	0:47:19	2:31:14	7
	221	津和野 太史	男	30代	0:27:46	1:16:17	0:47:55	2:31:56	8
	230	黒江 正晃	男	30代	0:28:23	1:15:36	0:50:11	2:34:09	9
	258	山本 健仁	男	30代	0:29:18	1:13:41	0:52:24	2:35:22	10
	264	本岡 拓憲	男	30代	0:29:03	1:19:47	0:47:03	2:35:52	11
	215	難波 弘樹	男	30代	0:26:14	1:17:19	0:52:59	2:36:30	12
	201	椙本 英嗣	男	30代	0:31:55	1:15:30	0:49:35	2:37:00	13
	255	西井 修	男	30代	0:30:58	1:18:58	0:49:50	2:39:46	14
	232	八杉 展弘	男	30代	0:29:09	1:18:38	0:53:16	2:41:02	15
	224	松崎 周平	男	30代	0:27:19	1:17:15	0:57:08	2:41:42	16
	244	Felix David	男	30代	0:28:15	1:26:44	0:47:37	2:42:35	17
	262	中増 裕輔	男	30代	0:27:33	1:19:10	0:57:01	2:43:42	18
	216	浅野 学司	男	30代	0:29:55	1:16:53	0:57:23	2:44:10	19
	238	⽵本 翼	男	30代	0:31:06	1:27:50	0:47:00	2:45:54	20
	250	中島 大悟	男	30代	0:29:56	1:23:31	0:54:11	2:47:37	21
	265	数田 啓二	男	30代	0:31:29	1:29:10	0:50:11	2:50:49	22
	205	太田 晃⽣	男	30代	0:25:13	1:25:06	1:03:28	2:53:46	23
