総合順位	No.	氏名	年齢	性別	総合記録	スイムラップ	S順	バイクラップ	日順	スプリット	通過	ランラップ	R順	男子順位	女子順位
1	105	杉原 啓佑	28	男	2:09:54	0:20:10	3	1:12:18	5	1:32:28	4	0:37:26	1	1	
2	162	長辻 肇	48	男	2:10:28	0:22:20	7	1:09:08	1	1:31:28	3	0:39:00	2	2	
3	113	奥平 竜司	34	男	2:13:29	0:19:38	2	1:09:49	3	1:29:27	2	0:44:02	6	3	
4	102	柴田 大輔	24	男	2:13:52	0:22:17	6	1:11:32	4	1:33:49	5	0:40:03	3	4	
5	117	原田 哲弥	37	男	2:18:20	0:18:24	1	1:09:27	2	1:27:51	1	0:50:29	42	5	
6	223	田村 誠	59	男	2:24:33	0:22:58	10	1:15:11	8	1:38:09	6	0:46:24	16	6	
7	106	川瀬 佐太	28	男	2:26:26	0:29:44	59	1:13:13	6	1:42:57	11	0:43:29	5	7	
8	182	馬場 正基	52	男	2:29:42	0:28:38	42	1:16:14	11	1:44:52	12	0:44:50	10	8	
9	157	筒井 貴之	47	男	2:31:00	0:23:19	11	1:18:43	16	1:42:02	9	0:48:58	30	9	
10	197	大石 尾張	54	男	2:31:43	0:25:20	20	1:17:16	14	1:42:36	10	0:49:07	32	10	
11	183	堀越 由忠	53	男	2:32:21	0:29:58	63	1:21:39	32	1:51:37	34	0:40:44	4	11	
12	160	國本 真司	48	男	2:32:30	0:29:16	50	1:18:38	15	1:47:54	21	0:44:36	8	12	
13	139	金澤 英明	42	男	2:34:30	0:25:12	19	1:16:46	12	1:41:58	8	0:52:32	56	13	
14	172	鈴木 恒二	50	男	2:34:31	0:29:45	60	1:18:56	18	1:48:41	25	0:45:50	13	14	
15	187	藤巻 裕之	53	男	2:36:15	0:29:24	55	1:18:44	17	1:48:08	22	0:48:07	22	15	
16	142	小林 勇三	43	男	2:36:23	0:32:04	95	1:14:54	7	1:46:58	18	0:49:25	35	16	
17	117	Vyshegoroatssy Marat	33	男	2:36:44	0:24:06	15	1:16:11	10	1:40:17	7	0:56:27	85	17	
18	136	神谷 貴彦	42	男	2:36:46	0:26:07	25	1:21:28	30	1:47:35	20	0:49:11	33	18	
19	308	下村 石美	34	女	2:36:52	0:30:59	73	1:21:08	28	1:52:07	38	0:44:45	9		1
20	227	伊藤 さけし	61	男	2:37:18	0:25:46	22	1:21:22	29	1:47:08	19	0:60:10	40	19	
21	146	佐藤 博之	44	男	2:37:31	0:26:17	27	1:19:50	20	1:46:07	15	0:51:24	49	20	
22	180	北岸 郁雄	52	男	2:38:07	0:21:41	4	1:24:21	43	1:46:02	14	0:52:05	54	21	
23	176	南土 佐町	51	男	2:38:10	0:33:15	107	1:16:58	13	1:50:13	29	0:47:57	20	22	
24	151	大沼 亮	45	男	2:38:54	0:27:39	31	1:21:34	31	1:49:13	26	0:49:41	38	23	
25	193	市川 信一	53	男	2:39:26	0:29:49	61	1:15:26	9	1:45:15	13	0:54:11	74	24	
26	121	下村 康文	38	男	2:39:30	0:29:21	54	1:23:13	38	1:52:34	42	0:46:56	17	25	
27	184	関口 秀之	53	男	2:40:04	0:31:40	88	1:20:23	23	1:52:03	37	0:48:01	21	26	
28	138	加賀 沢宗隆	42	男	2:40:21	0:31:11	80	1:20:45	27	1:51:56	36	0:48:25	27	27	
29	321	贅沢 さちこ	49	女	2:40:27	0:26:57	30	1:19:17	19	1:46:14	17	0:54:13	75		2
30	119	小倉章	37	男	2:40:35	0:31:49	92	1:20:27	24	1:52:16	39	0:48:19	25	28	
31	309	上野 良子	37	女	2:40:38	0:25:04	18	1:25:55	60	1:50:59	31	0:49:39	37		3
32	188	野口 徹	53	男	2:41:25	0:31:29	85	1:24:39	47	1:56:08	59	0:45:17	12	29	
33	143	茂看   聡	43	男	2:41:36	0:23:35	13	1:22:37	37	1:46:12	16	0:55:24	80	30	
34	201	中西 蓮夫	55	男	2:42:04	0:28:21	37	1:20:13	22	1:48:34	24	0:63:30	65	31	
35	226	小西 裕二	59	男	2:42:07	0:28:51	46	1:22:28	35	1:51:19	33	0:50:48	45	32	
36	127	渡辺 線	39	男	2:42:10	0:29:29	57	1:25:37	58	1:55:06	50	0:47:04	18	33	
37	314	小早 瀬幸枝	45	女	2:42:16	0:32:49	101	1:24:35	45	1:57:24	69	0:44:52	11		4
38	126	小川 友岳	39	男	2:42:24	0:28:35	41	1:27:53	73	1:56:28	60	0:45:56	15	34	
39	1777	佐々木政人	51	男	2:42:46	0:24:25	16	1:26:50	68	1:51:15	32	0:51:31	51	35	
40	114	戸谷 信蘭	34	男	2:43:41	0:29:42	58	1:20:44	26	1:50:26	30	0:53:15	61	36	
41	194	山本 崇正	54	男	2:43:50	0:29:10	48	1:20:30	25	1:49:40	28	0:54:10	73	37	
42	219	山口 運	58	男	2:44:10	0:35:52	137	1:20:00	21	1:55:52	57	0:48:18	24	38	
43	302	廣田 侑紀	20	女	2:44:26	0:22:48	9	1:29:03	77	1:51:51	35	0:52:35	57		5
44	123	山口 正治	38	男	2:44:29	0:26:55	29	1:25:32	57	1:52:27	40	0:52:02	53	39	
45	192	金井 由光	53	男	2:44:44	0:24:37	17	1:24:44	48	1:49:21	27	0:65:23	79	40	
46	173	小幡 修大	51	男	2:45:01	0:31:06	74	1:23:30	39	1:54:36	48	0:50:25	41	41	
47	189	貸手屋 昌司	53	男	2:45:17	0:25:53	23	1:22:30	36	1:48:23	23	0:56:54	89	42	
48	179	小笠原 治	51	男	2:46:25	0:31:14	81	1:22:21	34	1:53:35	45	0:52:50	60	43	
