総合順位	No.	氏名	年齢	性別	都道府県	総合記録	ｽｲﾑﾗｯﾌﾟ	S順	ﾊﾞｲｸﾗｯﾌﾟ	B順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	R順	男子順位	女子順位
1	115	米田 竜太	20	男	兵庫県	0:37:20	0:07:30	9	0:20:48	1	0:28:18	4	0:09:02	1	1	
2	121	栗山 哲也	34	男	大阪府	0:37:32	0:06:50	5	0:21:03	3	0:27:53	2	0:09:39	3	2	
3	114	竹井 一真	19	男	大阪府	0:37:36	0:07:03	6	0:20:48	2	0:27:51	1	0:09:45	4	3	
4	123	山本 泰資	42	男	静岡県	0:39:34	0:06:27	3	0:21:42	4	0:28:09	3	0:11:25	10	4	
5	161	坂口 愛紗	15	女	京都府	0:40:18	0:06:24	2	0:23:08	7	0:29:32	5	0:10:46	7		1
6	111	金井 悠真	16	男	兵庫県	0:41:25	0:07:15	8	0:23:14	8	0:30:29	7	0:10:56	8	5	
7	164	入江 陽日	21	女	大阪府	0:41:41	0:07:43	10	0:22:51	6	0:30:34	8	0:11:07	9		2
8	162	入江 花	16	女	滋賀県	0:41:59	0:06:23	1	0:23:34	9	0:29:57	6	0:12:02	14		3
9	116	桝山 功太	21	男	京都府	0:42:21	0:09:22	12	0:23:54	10	0:33:16	10	0:09:05	2	6	
10	163	数河 なつ	20	女	大阪府	0:43:57	0:07:10	7	0:24:45	12	0:31:55	9	0:12:02	15		4
11	122	永野 雅博	37	男	京都府	0:44:58	0:09:44	14	0:24:51	13	0:34:35	11	0:10:23	5	7	
12	117	長谷川 敬大	21	男	京都府	0:45:47	0:12:18	20	0:22:49	5	0:35:07	12	0:10:40	6	8	
13	113	南野 陽大	19	男	大阪府	0:46:41	0:06:41	4	0:28:31	16	0:35:12	13	0:11:29	11	9	
14	112	中谷 啓太朗	19	男	奈良県	0:49:23	0:13:25	23	0:24:04	11	0:37:29	16	0:11:54	13	10	
15	130	根尾 尚志	61	男	福井県	0:51:02	0:09:00	11	0:26:39	14	0:35:39	14	0:15:23	21	11	
16	132	古井 佳雄	64	男	愛知県	0:51:07	0:10:04	15	0:26:58	15	0:37:02	15	0:14:05	19	12	
17	120	岡久 昇平	30	男	京都府	0:53:02	0:10:17	16	0:31:04	20	0:41:21	19	0:11:41	12	13	
18	128	藤澤 道彦	56	男	京都府	0:54:42	0:11:39	19	0:29:35	17	0:41:14	18	0:13:28	17	14	
19	129	松木 俊文	57	男	大阪府	0:55:06	0:10:32	18	0:30:41	19	0:41:13	17	0:13:53	18	15	
20	119	岡崎 勇介	24	男	大阪府	0:57:55	0:13:02	21	0:29:55	18	0:42:57	21	0:14:58	20	16	
TOV	125	澤田 賢二	47	男	京都府	0:59:42	0:13:19	22	0:34:15	23	0:47:34	24	0:12:08	16		
TOV	165	保田 明日美	32	女	三重県	1:00:02	0:10:18	17	0:34:21	24	0:44:39	22	0:15:23	22		
TOV	131	山下 裕泰	63	男	京都府	1:03:17	0:14:29	24	0:32:24	21	0:46:53	23	0:16:24	23		
TOV	127	芥 慶和	53	男	香川県	1:03:31	0:09:43	13	0:33:00	22	0:42:43	20	0:20:48	24		
TOV	166	長瀬 亜衣	36	女	大阪府	2:17:13	0:33:44	25	0:58:22	25	1:32:06	25	0:45:07	25		
DNF	126	内藤 賢二	52	男	京都府											
DNF	133	和田 耕二	74	男	奈良県											
DNF	167	松木 敦子	55	女	大阪府											
DSQ	124	高野 善明	44	男	神奈川県	0:41:38	0:11:08		0:18:27		0:29:35		0:12:03			
DSQ	118	日下 和哉	22	男	滋賀県	0:45:08	0:11:42		0:17:13		0:28:55		0:16:13			
